decent 	 hotel old large room . get kitchen suite , family great addition ( eat inside ) . need space want low cost hotel , great option . 
 Nov 13 2009 	 user friendly 	 come back couple day fun New York . Stayed Eastgate room 25B . last floor . great view . quiet clean . helpful staff . big , clean appartment 2 bathroom . well equip kitchen , dining room big living room . bed pillow comfortable . back problem almost expert .... Got Priceline . 15 minute walk Times Square load shop around grocery anything want . would recommend Byblos restaurant nearby . food so - so expensive . come back hotel ! 
 Nov 10 2009 	 huge suite clean sheet great location . 	 three we stay Eastgate Tower along baby daughter . need one bedroom suite kitchen get great online deal . review tripadvisor generally positive , hope well without great expectation . turn , pleasantly surprised . hotel great spot midtown Manhattan , close Grand Central Station Diagostio supermarket , ubiquitous Starbucks fresh bagel minute away . first appearance 's little tired , 's clean staff friendly helpful . suite spacious , dining area , separate kitchen , huge lounge large bedroom two comfortable double bed , another tv sign bedbug . bathroom clean shower pressure great . 's Hudson , be great value want hang hip crowd , W minute 's walk road . you like Eastgate Tower : - want plenty space- budget- travel children- want escape Times Square- like make breakfastyou like : - want hotel look like page Wallpaper * magazine 
 Nov 9 2009 	 standard hotel different NY anywhere else world . 	 stay base review Tripadvisor say hotel dump . surprising since hotel standard ny different city world . 5 star actually 3 star , 4 star 2 etc . , since hotel 2.5 actually .5 make sense exactly . picture really bad bachelor pad mismatch furniture clunky light fixture tv horrible reception layer dust vanity light bathroom . good thing room fact shower work well , drain properly water pressure good . be good . 
 Nov 4 2009 	 Roomy room good location New York 	 refer someone stay happy choice . get Jr. suite little extra room . 10 min . walk Grand Cental use lot . staff nice maybe 10 min walk time square theater . also restaurant near also . 
 Nov 4 2009 	 ideal family 4 	 recently return 4 night stay husband 2 child ( age 8 & amp ; 10 ) complaint hotel ! one bedroom apartment 14th floor two bed , sofa bed full kitchen . other say , be exactly stylish room huge , bed comfy , clean every day staff friendly . able walk many place interest without complaint child want go Grand central short walk away . we couple good breakfast Frontier Diner close - by otherwise plenty delis restaurant choose stay local . one thing note - arrive hotel put we one bedroom apartment 9th floor mistake ( ) . spend 5 min move we say room not good condition - carpet much old dodgy look stain bed not comfortable . kitchen appliance also look old . not bad enough make we complain 2nd room definately well - maybe rennovate top bottom ? might idea ask high floor . 
 Oct 31 2009 	 friendly staff huge room clean safe . 	 stay 10 day satisfied location ( short walk Grand Central station ) , small kitchen , coin - laundry basement , service , many place close eat get grocery . Junior Suite room huge 3 small closet , plenty drawer room dance . tv color channel selection poor furniture outdate , see sight , problem . 
 Oct 24 2009 	 nothing complain budget Hotel 	 get place via Priceline . fine good value . room large , kitchenette . bathroom clean totally serviceable . room bit cold nearly bad 4 - 5 star place ' ve NYC . old city build like crap , building cold , exp . for sub- $ 200 night price , fine . 
 Oct 23 2009 	 Eastgate fulfil need 	 find Eastgate Tower ideal group five . quiet - even one room another . two bedroom suite sofa bed . buy breakfast food small grocer nearby save time money . even wine glass kitchen . furniture outdate bed wonderful everything clean . one word caution . confirmation show rate number person . arrive suite separate bed bedroom request also try change room rate . lucily bring email confirmation show . change we choice room configuration next day room available . 
 Oct 20 2009 	 excellent base stay New York ! 	 hotel everything want . a central location , clean spacious friendly , helpful staff . the room decor bit date clean maid service clean towel every day . 
 Oct 15 2009 	 luxury spacious group 	 reserve two bedroom , two bath suite non - smoking room , get . check - in quick easy , take 5 minute . bellman , Luis , load luggage cart take room . also give we tour room , show we use AC open window want fresh air . room HUGE , toddler blast walk room room . open window every day . full kitchen nice , though not need . maid stop every day make bed , change towel , etc . hotel restaurant , minute away Frontier Diner , offer breakfast , lunch & amp ; dinner free delivery . store area include : McDonalds , Dunkin Donuts , convient store , Duane Reade , chinese restaurant , pizza place . pay $ 299 per night awesome deal Manhattan group 7 . 
 Oct 13 2009 	 great location - basic hotel great base great staff . 	 stay 6 night . hotel basic - room average size clean , dimly light somewhat date . however , exactly need price , great value money . room alloacte mini - apartment ktichenette , bathroom small functional . location ideal explore city , perfect base holiday . staff extremely helpful , happy assist need . bar resturant nearby ( cheap breakfast spot one end street - try chocolate chip pancake ! ) 10 min walk Grand Central Station . overall , would hesitate recommend hotel other budget . 
 Oct 11 2009 	 nothing write home 	 good size room , serviceable place stay , particularly comfortable invite room environment . hard bed , chair work table terrible shape , tv old pretty poor reception . 
 Oct 11 2009 	 Perfect place perfect price 	 Eastgate Tower hotel locate Midtown five minute walk Grand Central Terminal . nearby deli 's , restaurant shop . group second trip really love hotel . we two bedroom suite huge friendly price . breakfast everymorning room even make dinner room . come back dinner relaxed sittingroom , talk , drink . relax ! could see UN building ( 24th floor ) reflection Chrysler building . know really New York . the room well expect price ( 240 euro's / night ) expect fancy room . room tv . kitchen equip necessary utensil . include dishwasher . 
 Oct 1 2009 	 Convenience space 	 conveniently locate 6 block UN Headquarters well Grand Central Terminal , Eastgate suit hotel provide rudimentary , quite adequate service facility . unit oversized suite afford we lot space two people . room quiet really appreciate . the negative lack site restaurant even snack bar / pop machine . however , number restaurant store include grocery store close . staff helpful friendly . 
 Sep 30 2009 	 wonderful roomy apartment style suite 	 Eastgate Towers exceed expectation first family vacation NYC ! great location 5 min walk subway Grand Central Station . two bedroom suite luxurious roomy comfortable - apartment style , 2 bedroom , 2 bath , kitchen , roomy livingrm / dine w sleeper couch . the web special price $ 199 unbelievable value . three teenager , nervous NYC hotel room size pleasantly surprise spacious suite , ' ve ever stay travel . definitely stay . 
 Sep 28 2009 	 great location spacious lux 	 stay two night 2br apartment . spacious . bed ok , room spacious , kitchen great , though clean . pull sofa comfortable sleeping ( expect ) . hotel renovate , roomy comfortable . would stay . 
