really 	 room spacious although feel bit impersonal 'cause be big , staff make really friendly helpful . desk staff excellent move we room look across hudson ( ? ) river . the location poor , get pricey cab subway times square ( rubbish ) central park ( nice ) area . got good deal hotwire feel decent value choice . 
 Bad 	 family - wife , three boy ( 11 , 8 & amp ; 5 ) - New York Thanksgiving . choose Embassy Suites familiar chain ( ' ve stay hotel Washington DC Monteray Bay ) , frankly , not many hotel comfortably accommodate family five one room . the NYC version Embassy Suites pretty hope . familiar brand , know gig . big room ( well , two actually ) , decent breakfast , free drink evening . promise . on hotel particular , not find room especially date , comment review . find matress bit soft - design simply age ' m sure . not make great night 's sleep . as location , think fine . 's good base Brooklyn ferry south island . 's brisk five minute walk underground , rapid transit midtown attraction . not lazy - need five minute walk comprehensive breakfast ! 
 far can not deliver promise room 	 main reason stay Embassy Suites allegedly offer suite two double bed , mean family two teen fit - save price second room . ( otherwise , hotel end Manhattan , be 25 dollar taxi fare mid - town ) .However , work we first two time stay Embassy Suites Manhattan , past two stay two - bed reservation turn King size bed cot - & quot ; go somewhere else be happy . & quot ; , cot freeze cold flimsy blanket , especially place next window . breakfast buffet ok mob . stand line food , fight table . even table , hostess may try remove chair get coffee , happen we - even though daughter still table . protest , however mildly , might invite torrent sarcasm , protest ( & quot ; Excuse , chair & quot ; ) . much hospitality - problem ? ? ? ? business center : two day row , wait behind bunch kid work .... ' m sure business work . lots kid though , ' ve got wait . suite need work - lamp without knob turn , mildew bathtub , bent towel rack hide towel fall toilet reach , rack bent ..... , get two bed desk , might worth . bring lot patience buffet business center . otherwise , look mid - town . . 
 Nov 18 2009 	 good place stay New York 	 moment arrive hotel , will feel right home . staff friendly ( especially chef breakfast ) , free breakfast absolutely amazing , manager 's drink awesome hotel perfect location . free internet perfect traveller hotel always clean . fitness centre every piece equipment imaginable would get lose not dad . go many corridor ! value amazing return guest receive good rate . my gripe room need bit update . bed comfortable room , although clean , start look date . 
 Nov 17 2009 	 see well day 	 , unsure fuss place ? price pay expect bit . room need urgent upgrade , damage wall , old matresse pillow , use mini bar ( think ) disconnect part dismantle . furniture old date . breakfast , cereal , pancake etc good suppose hot food avoid . staff frendly check breakfast staff . big hassle location . first not mind , day tired walk construction site etc get anywhere . good location business downtown , would rethink intend go . yes could get cab , , traffic jam construction unbearable . leave wet Hampton Inn Soho , hotel love ! 
 Nov 17 2009 	 Best keep secret NYC ! ! 	 place want stay want peace quite horn honking - siren blast Times square rest NYC . stay Waldordorf night previous alot less get alot . start Free Drinks 5:30 - 7:30 manager reception . clean spacious suite large apartment NYC . take private walk along Hudson never feel unsafe day night . federal building next store shop course starbuck . subway short walk away many pizza place close . not forget Free buffet breakfast egg make order .... mmmmm ... return sure ! ! 
 Nov 16 2009 	 great hotel far 	 pick hotel spacious room . hotel , staff , breakfast fantastic go back forth Times Square expensive taxi fare . think save money probably would come well stay TSquare . could see Statue Liberty Ellis Island shore well walk World Trade Center . quiet evening . 
 Nov 14 2009 	 Definately worth stay ... 	 hotel book travel agent use office . criterion select hotel close meeting would , & quot ; safe & quot ; ( relatively speak ) area would travel alone , clean room spread work . hotel live criterion actually surpass . moment arrival , & quot ; face & quot ; hotel friendly , efficient professional . view Hudson outstanding , particularly sunset . pretty picky cleanliness hotel up - to - date furnishing although perfection neither necessary likely anywhere travel . room clean bathroom . ( although always travel lysol wipe clean countertop , phone , etc upon advice someone know use clean hotel room ! ) . work space/ & quot ; living room & quot ; separate bedroom . bedroom door nice . bed bit soft , comfortable . linen clean ( yes check thoroughly ) . drawback : ( 1 ) wall room seem bit thin ( could clearly hear guest next room cough night ) ; ( 2 ) work / living area & quot ; window & quot ; look onto hallway . keep curtin close . staff accommodate request late check - out without blink eye . check - out 12 noon ask 1:30 pm . note parking available via & quot ; valet & quot ; privilege . go take cab anyway pose issue , something note . realize close hotel WTC site . sober experience view . breakfast include rate outstanding , good enough particularly convienent . Whole Foods Market 1 block away want eat healthy ! would definately stay either business pleasure . 
 Nov 14 2009 	 ok Choice New York 	 ' m sure hotel deserve accolade , not bad choice New York CIty . room large quiet , sleep well , somewhat rare New York big positive . beyond not quite see big attraction . location bit way tourist , although near river Battery Park make nice walk . end day , large atrium - style hotel seem bit place New York City . breakfast scene madhouse Sunday morning hundred hungry guest wait long queue get egg , bacon , pancake , etc look awful smell bad . hard get coffee , let alone food . would stay want downtown price right , would not pay . 
 Nov 13 2009 	 great service clean pleasant room 	 second stay hotel , feel like really give honest review . much prefer hotel anything midtown . be close everything yet beat path . stroll wonderful tribeca area , WTC beautiful view Hudson river . from excellent extremely kind staff wonderfully comfortable room , love stay . much 's month since last stay yet still felt compel write review . the concierge ' desk ( entire lot ) could not anymore helpful sightseeing need . complimentary breakfast & amp ; happy hour well organize well . ' ve stay Embassy Suites line horrible thing , case . surprise several employee remember we last stay back July make we feel special . I would definitely want regular hotel future NYC trip . two enthusiastic thumb hotel . keep great work ! 
 Nov 3 2009 	 great place stay New York 	 arrive ask hypo allergenic bedding bring we promptly bed remade . room clean well supply towel toiletry . breakfast vary good . short walk subway use daily visit uptown . nice walk river , especially evening look sunset New Jersey . Ferries Staten Island , Ellis Island Statue Liberty within walk distance ferry terminal near hotel visit New Jersey . we use Applebees two occasion , good food.and convenient hotel , especially rain . also use Room Service one night food good deliver quickly . overall good place stay 
 Nov 2 2009 	 Fabulous great wonderful place stay ! 	 day arrive rain help get luggage great ! even come car umbrella make sure would not get wet . pleasant cheery . go register , happy helpful request . bellboy pleasant attentive . room absolutely beautiful clean . hotel stay room keep cleaniness , Embassy Suites tell look every detail . next morning breakfast include price die , everything omeletts bacon cereal pancake list go . delightful delicious way start day . ready leave everyone thank we stay also ask good stay . really care customer definitely know make people feel right home . addition , location plan day great easy get downtown west side . know , next time plan go New York need room , definitely stay Embassy Suites . Liz Jersey 
 Nov 1 2009 	 GREAT location tasty free breakfast 	 great hotel visit low Manhatten . easy walk distance World Trade Center site , World Trade Center Tribute Center , Wall Street , financial district highlight . while view building ( & quot ; city view & quot ; ) , not spend much time clean & amp ; large suite . breakfast buffet lot choice , include excellent make order omelette . concierge provide map , recommend restaurant , & amp ; give precise direction want go . subway stop block away make easy visit rest Manhatten . 
