meet 	 NYC Thanksgiving parade , etc . family 12 include four child age 6 - 10 . hotel open early 2009 new . hotel 8 room per floor ; four room face 40th Street four room back hotel . four room 27th floor . two face 40th Street two room back hotel quieter . suggest request room back hotel high floor quietness . room size fine , clean comfortable bed pillow . hotel three elevator even though hotel full wait elevator long . free breakfast fine ( coffee , hot chocolate , juice , fruit , cereal , toast , bagale , muffin , biscuit egg meat ) . free breakfast nice benefit especially kid . breakfast room size fine . 40th street nice always feel safe kid never problem . subway stop ( 40th Street 8th av . ) within 150 foot hotel ; also walk underground subway stop Times Square station great . hotel next Sheraton Four Points , new hotel build side Fairfield Inn . hotel across street major bus terminal easy get cab . 5 night , stay fine , problem hotel . hotel fine family want bring kid NYC . safe , clean comfortable . 
 Nov 19 2009 	 Wonderful Hotel ! 	 great hotel ! everything brand new super clean ! free breakfast morning really nice modern sitting / eat area vast assortment different food . the King size bed comforatable 4 really soft pillow . bath room huge walk shower . I deff . want stay ! great location great price name price priceline ( $ 85 woo hooo ! ) .We able leave bag check morning shop whatever untill ready leave city great help ! 
 Nov 15 2009 	 Perfect - excede expectation 	 hotel spotless , staff friendly helpful room beautiful . would definitly stay already recommend friend . 
 Nov 10 2009 	 Marriott quality dreary location . 	 typical Marriott hotel ... attentive staff , great , clean room . feel welcome home , ... location , next bus station , horrible . porno shop right next hotel . guess change soon , area renew , time aware . 
 Nov 9 2009 	 Excellent hotel excellent location 	 fiancee stay Fairfield Inn October 5 night . hotel 7 month old nice indeed . double room free safe , wire high speed internet access , 32 & quot ; plasma television hd channel air conditioning . room clean excellent view . package include continental breakfast perfect table seat area huge wait busy . staff helpful polite . location perfect 4 block times square port authority bus terminal subway station , perfect take AirTrain JFK , take c train Howard beach . staff say bar restaurant come soon . excellent hotel go back ! ! 
 Nov 7 2009 	 great ny value 	 new property great ny value . room typically ny small nicely decorte furnish . staff exceptional . good ny value . would stay . downside difficulty get cab . 
 Nov 4 2009 	 Good Hotel shame place : - ) 	 smart mid range Hotel , look fairly new , tall builidng , 8 room per floor . free breakfast provide ample self service food ok standard . friendly staff . no bar restaurant hotel shame . good location general opposite Port Authority Bus Terminal close Underground exit . one thing might let people 's neighbour , 's street probation service several adult book store . say aslong be prude not issue . the location great walking sight , 5th Avenue , Time Square , etc . 
 Nov 3 2009 	 nice hotel bad location 	 relatively new hotel . room nice bed comfortable . nice shower glass door , however tub . one main problem hotel location . 3 1/2 block walk Times Square bad , however couple door parole office . not really feel safe walk least 2 block regular basis . staff nice include breakfast good . breakfast area bite dark dreary . would probably stay location . last time stay Marriott East Side seem much safe right across street Gray Line tour start Waldorf Astoria . 
 Oct 31 2009 	 small room great service convinient get good price .. 	 even stay , good idea property go like . locate right next door four point ( basically , attach ) figure would similar . be . lobby functional , bit small . room side computer helpful not though always people they . room small - small ' ve see New York believe . 3 we , suitcase find bit cramp . never really ' fall ' , hard get organize morning 3 us room . therefore , go breakfast turn room get ready . room contain 2 double bed , bathroom , tv cabinet / closet desk . well lay size , tiny . breakfast great addition many item enjoy . cereal , baked good , heat sandwich , coffee / tea / juice , fruit yogurt . breakfast room could busy time , though never problem find table . one thing note , however , wait elevator breakfast hour . sometimes take 10 minute one arrive either floor , lobby . one huge mention go staff - front office staff friendly . always say hello we , remember throughout stay . helpful , good find New York . another positive mention go free internet room . the hotel locate 40th street , border south side Port Authority Bus Station . fairly desolate street adult video store , liquor store correction office locate . never feel unsafe , though mother remark would probably never walk street alone night . subway entrance , open , locate corner 40th 8th Avenue . overall , nice hotel bit area . good value money , though incredibly cheap . honest , Marriott 's property Times Square available fraction , though want free breakfast / internet .. find . 
 Oct 16 2009 	 good Choice NYC Midtown Area 	 enjoy stay hotel . pay $ 100 per night ( + tax fee ) via Priceline - great deal ! front desk give we high - floor king - size room ( hotel would give bad room Priceline booking ) . room small new , modern , clean . free breakfast buffet . excellent service . convenient location - block ' walk Times Square half block metro entrance . 
 Oct 15 2009 	 say tin ! ! ! 	 stay Fairfield Inn 5 day old friend - great reuniion . she book Hotel , live California , England . initial thought , Hotel busy sidestreet quite small . however room , although compact bijou , fulfil every requirement . lovely comfortable bed , good bath / shower , clean linen daily . good breakfast quite local Times Square , Metro bus station . very convenient everything need . I 1 gripe , NYC never warm drink proper cup / mug . drink offer either plastic cardboard cup . Guess 's gripe nothing complain about . Loved City , people , even get use frenetic pace thousand tourist , mostly walk opposite direction ! ! ! 
 Oct 8 2009 	 GREAT hotel ! 	 New hotel , great location , great rate ... clean , safe , helpful staff 
 Sep 28 2009 	 first time stay - would go back 	 go NYC quite bit , especially around US Open . always stay Times Square area either Marquis one 2 Westins . see low price Fairfield Inn decide try . good -- ( 1 ) Free Continental breakfast save money compare go ( 2 ) location 1/2 block main subway entrance ( 3 ) free internet room lobby ( 4 ) price - $ 50 cheap hotel mention ( 5 ) put refrigerator room charge . bad - ( 1 ) really Times Square - probably 3 block away ( good also ) ( 2 ) mention review , street little rough ( one block high activity street ) ( 3 ) new building , in - room A / C unit noisy ( bad - drown - out street noise ) ( 4 ) Requested & quot ; high floor & quot ; , get 3rd floor ( turn - out ok could walk room without take elevator ) . overall , would stay could get low price Westin . 
 Sep 17 2009 	 great hotel price easy access New York attraction 	 Fairfield Inn Marriott good choice traveller . always clean , cosy affordable . the Fairfield Inn Manhattan / Time Squares exception . enjoy stay tremendously . 
 Sep 16 2009 	 Perfect business trip - well breakfast would earn ` ` excellent '' rating 	 stay 4 night business . yes , part 40th St welcome perhaps , not feel unsafe time . 's close subway , be get great food option within walking distance , be clean , modern comfortable . I rate $ 125 per night class be really great ; fresh item offer complimentary breakfast , would rate excellent . free internet course major plus well . two point criticism : issue elevator ( wait 4 minute 20th floor fun ) , would even one small meeting room available would well business . overall though , check rate come back NYC . 
 Sep 9 2009 	 Nice hotel good service dirty area 	 partial Marriott property result positive experience choose one due rate $ 189 / night Labor Day weekend . property nice tight ... lobby tight , breakfast area tight , elevator tight . , hallway tight .... 2 small bag we ... could not imagine get elevator large piece luggage ... say , king size room small .... get ... tight , clean bed comfortable . breakfast nothing special .. instant hot cereal , cold cerea , apples banana day , breakfast sandwich microwave , standard bread toaster ... always get seat ... sometimes wait big deal .... would nice window breakfast area ... appear might work ... believe 3 computer lobby area free internet access print capability ... nice Pantene shampoo , conditioner lotion . nice hairdryer provide not bring one unless particular . view office building not spend much time room . plan eat food room , not room ... king size bed chair desk ... place sit additional small table . enough room clothe 4 day . area well .. block Times Square subway , must walk store advertising peep show booth ( even buddy ! ! ) erotic merchandise / dvds etc .... always guy loiter police presence .. Port Authority across street ..... walk 2 block 7th street , change dramatically . would stay price right ; otherwise prefer Residence Inn 6th Ave . note also 2 Courtyards 42nd - one near 6th ; near 5th .... taxi driver believe we say hotel .. 's new . be go Yankee stadium like , walk Bryant Park station ( 6th 42nd ) take train .... remember , NYC walk city .... place ! ! can not wait return ! ! 
 Sep 7 2009 	 Clean Brand New 	 book top floor King Suite $ 369 night . call & quot ; penthouse suite , & quot ; be really somewhat large room sit area . hotel newly build room clean polished . desk , mini fridge , two nice plasma tv , large bathroom . hotel locate pretty quiet side street still lot construction , not seem like unsafe area . top floor wonderful view , think window rather small . lobby also small hallway narrow . however , large breakfast room uniquely decorate . hotel mile Grand Central . 's close enough walk , luggage something take cab might well . overall , comfortable stay . 
 Sep 7 2009 	 good hotel great location 	 stay 2 night . room TINY ! room 2 dble bed could barely walk around 4 people luggage room . good free breakfast save money , especially kid . street around hotel little dicey lot construction around hotel , make pretty noisy . nice staff , helpful offer good advice get around . 
 Sep 7 2009 	 great price good location 	 find hotel last minute overnight stay NYC . check line number day & amp ; see either crazy price way location , property show & amp ; great price midtown NYC . disappointed room clean , good size & amp ; fast check - in . side , street not good & amp ; seem like take forever elevator show & amp ; pack already guest . overall would stay location & amp ; price well make minor short coming . 
 Aug 31 2009 	 room staff great hope street change crowd 	 big room NYC standard , specially king bed . know rest USA huge room , big ( new ) budget hotel go get . comfortable , nice flatscreen , bathroom also big expect . yes street creepy , keep brisk walk will fine . complex actually brand spank new , similar hotel open door next door couple month time . three hotel tower street . scaffold go , lot foottraffic move along , take away creep . although see lot cop street , will fine too . do favor turn north Ninth Ave , great restaurant couple short block , restaurant row not good compare go upwards 43rd 9th ! gay traveler , also gayfriendly neighborhood . jammed 8th 9th av ( 43rd 57th street ) , try Therapy , nice place drink . non - gay , going scare away , guy girl fun , leather / non clothing , not want confront kid grandma kind way , least enjoy cuisine ! see lot family be try get restaurant , lot 2 person table , might want reserve not miss show . ask high floor , will great view cityscape , nothing facy though , tall building ! elevator quite quick , three . ' ve 30 floor 10 room floor , building 2 slow one , good get . plan breakfast rush , might take 5 min max . Staff either train well , non - new Yorkers , laugh , look eye checking ! , great hotel , great location , 2 short block 42nd , long block time sq ( 7th ) , subway ( huge 42nd street subway interconnect station ) end street , across port authority busterminal ( take bus Newark airport , drop 42nd 8th , 2 short block hotel , pick 41st , one short block ! ) . 
 Aug 31 2009 	 3 star hotel 1 star price 	 get great senior rate comfortable king bed room nice view . complimentary breakfast great selection . hotel new . staff helpful courteous . location , across Port Authority walk distance Times Square , perfect . area around hotel bit rundown , appear dangerous . 
 Aug 24 2009 	 Fairfield Inn nice clean friendly economical . 	 recently stay friend visit New York City weekend . need stay somewhere economical good value money . room small ( hey ny ) recently renovate update . thing mention would wait sometimes elevator split floor atmosphere outside hotel . still renovation go scaffold good scene night . second away Times Square . 
 Aug 23 2009 	 room small otherwise great place 	 other indicated- street hotel locate look little sketchy . inside new nice . room well appoint nicely decorate . small- 2 child - 20 21 son 6 & quot ; 6 & quot ; tall . cramp say least . hotel staff amazing . friendly . conceirge fantastic . extremely nice helpful . manger bake cookie every day put afternoon . breakfast free good selection keep restock . location good- right next subway port authority . also drive in- did- get Holland Tunnel hotel . scary driving midtown . good value money ! highly recommend . 
 Aug 18 2009 	 Perfect ! 	 stay four night highly pleased ! look low cost hotel Manhattan trip attempt low cost possible . find AAA rate $ 119 per night property hotel website . the location wonderful even though look gigantic ugly Port Authority Building turning leave front door one encounter less lovely area . however , make right short block away hub - bub Times Square . walk adult bookstore solo female traveler intimidate bother anyone street hour problem . go block turn leave Hell 's Kitchen area every type dining experience await . would go area turn leave hotel must walk underpass area Port Authority large crowd man hang area . feel uncomfortable one time try route walk right block leave on . go Port Authority building downstairs Subway -- convenient ! ! hotel room small NYC hotel prone , space well - design . would like another shelf bathroom -- deep sink lip shelf around speak store toiletry bit pain . tub glass - doore shower great water pressure door make space seem large be . the bed comfortable . view window wonderful could see light New Yorker building evening well spire Empire State Building worst view ever New York hotel . could see blue sky try see window nearby apartment building , happy . the folk hotel great . one staffer would push elevator button see come often ask day go . concierge find great seat Hair grow weary stand half price line ticket one day . several time ask make change readily front desk always cheerful . one day need utensil take - out pick staff person go back come back plastic fork , spoon , knife . pleased caring attitude people hotel . deliver fridge room able buy take - out food market eat choose . I problem guest allow child spend great length time lobby computer . kid would play game need print boarding pass think sign say please limit usage computer consideration guest something would help . two machine one night teenager instant message friend hour finally ask could please computer check schedule one event would return . grudgingly agree . night need print pass think parent kid would ever allow turn , finally leave kid tow . I would definitely stay . location great . quiet street little noise backside hotel . room nice flat panel tv premium channel , comfortable bed , clean . small wardrobe room -- closet dresser area drawer store clothe -- free internet room good lighting . thing miss lack room service one menu nearby place deliver list place nearby offer delivery pinch would do . do try ethnic place hell 's kitchen . plan write review many get time great dining experience low cost . entire trip thousand dollar include multiple play , transportation , great food lodge five day meet goal bite Big Apple without break bank ! 
 Aug 8 2009 	 good hotel 	 overall pleasantly surprised hotel differ much upscale sibling - courtyard . location good , near port authority nowadays luckily safe secure 24\7 . would not though call Times Square location , since 's 4 - 5 block away . room big adequate well equip maintain , though window bit small , least room . shower great ! complimentary breakfast also nice handy starting hotel ( 40th ) - hopefully 's permanant problem . day . last night non stop noise road work street front another advantage hotel relative cheap parking offer parking lot next door - 25 $ arrive car NYC 's great bargain . 
 Aug 3 2009 	 great value money 	 $ 169 / night , steal . grotty street , block away theater , restaurant , etc . room modern adequate , though bathroom could well - design . excellent service . amazingly good free continental breakfast , though could lay seating & amp ; table . 
 Jul 31 2009 	 Great Value Location 	 stay hotel sister work Marriotts give awesome rate ! know expect limited service hotel get pleasantly surprised . room look nice . hotel brand new like open everything nice . breakfast little well expect . place go travel budget want something decent especially sightseeing need room sleep . 
 Jul 22 2009 	 Great NYC Price 	 pay $ 170.00 great location hotel . lobby small . breakfast standard budget hotel fare . room great . bathroom shower good . bed Marriott hotel always comfortable . would stay . . 
 Jul 16 2009 	 great deal heart NYC . 	 brand new hotel , centrally locate , offer great value . room decent sized Manhattan full bath . pleasantly appoint attractive furniture , flat screen tv coffee maker . throw free breakfast free internet , gem deal $ 170 . pay far get much less Manhattan . negative street little gritty , 's New York , be quickly beyond . great place explore NYC go show Broadway . 
 Jul 6 2009 	 Outstanding value mid - town Manhattan 	 wife travel bit business swear Marriott chain . Fairfield Inn disappoint we . it modern , clean convenient attraction mid - town Manhattan . ( location opposite impose wall Port Authority scenic stretch street , clean feel safe . one block west 8th Avenue . ) king room snug , plenty big enough two people five suitcase ( long trip ) . nice furnishing , nice bathroom blaster showerhead , safe tall wardrobe , plenty drawer , iron ironing board , hair dryer , flat - screen tv , free wireless wire Internet , etc . our rate $ 179 , include breakfast , high Fairfields general good NYC . standard cold breakfast item , microwavable Jimmy Dean ham - and - egg muffin ( love ! ) .parking garage adjacent -- post rate $ 25 24 hour , attendant say discount get ticket stamp hotel staff . find check out . while pain spend $ 100 night hotel -- little less expensive , would give five start -- feel property outstanding value New York City . 
