ok 	 stay three night . got really good deal Hotwire can not really complain . tiny room housekeeping . wireless never work despite several request front desk . local friend try telelphone three time tell not register mess plan meet . bathroom great , bed comfy location can not beat . good deal would try something small friendly staff next time . 
 Nov 18 2009 	 bad 	 hotel new , clean , nice . be directly across street port authority , btwn 8th 9th ave . right alot construction go outside hotel . get inside , not hear outside noise anf forget neighborhood little bit suspect . xxx dvd store block , area know really dangerous , although leave hotel 2 am find . one issue room bit cramp , ny . sink , can not hot water w/o water pressure high . not sure wash face w/o splash water clothe let water fill sink wash face . 
 Nov 13 2009 	 Clean New Red Light District 	 stay twice October -- Columbus Day weekend wife second time World Series . use Starwood point time , request upgrade base upon platinum status , give suite top floor ( second visit ) . room quite nice everything brand new . staff friendly helpful . downside hotel , other note , location amidst porn shop across Port Authority . tolerate half - block walk back mainstream neighborhood , hotel good choice . 
 Nov 11 2009 	 's relative NYC ..... 	 . Starwood Gold member use point two night hotel . rate find line $ 315 per night feel high four point property . arrive 6 a.m. redeye west coast . room availability hour always coin toss typically willl check part & quot ; program . & quot ; case hotel completely sell night . see jam , front desk clerk offer key room vacate yet clean could change suit meeting . clerk come shortly , ask cell # call 9:20 a.m. clean room ready use . ' ve 5 star hotel offer kind service . Bellman conierge also helpful , friendly cordial time encounter . say enough staff hotel . location - 25th floor back hotel face Westin 51st 8th . noise absolutely zero . ' m little confused noise complaint bus port authority . traffic front hotel see bus anything rarely move fast enough make noise due proximity traffic light traffic . perhaps louder low floor and/or face another direction . ' m sure people expect NY nothing unsafe location . one two adult bookstore block never encounter anyone loitering feel uncomfortable day late night . well locate attraction , dining , subway Times Square . good walk 1/2 block 8th 9th get cab . easy find front hotel . finally , place great travel Newark airport . close tunnel get one way charter bus Coach USA $ 15 . door door 40 minute . room - nice decor minimalist approach decorate . bed comfortable clean . flat screen tv , clock radio mp3 connection , plenty outlet plug thing . bathroom lack counter space Manhattan . strange thing turn water pressure way get hot water . flat bottom sink would splash everywhere use caution fully dressed . great glass shower good pressure lot space . room safe , iron ironing board good working order . two free bottle water per day wire / wireless internet include throughout hotel . yes - room small NYC . sit desk across bed , another person pass behind . do not get square footage city do not factor negative . hotel - use gym . lounge small counter front breakfast drink evening tv sport news . order room service use small restaurant premise speak food . common area care clean . not much negative say hotel . get fair rate brand , certainly little gem business pleasure . 
 Nov 4 2009 	 lousy location make one avoid 	 be nostalgic Times Square porn shop liquor store , four point alley . establishment , busy Port Authority bus station , make area busy seedy . room new clean , comfortable bed . service ok , though not clean room almost 5 pm . many well choice NYC Times Square area , not bother unless rate really low . 
 Nov 1 2009 	 great location 	 Nice hotel good location , right across Port Authority bus station two block Times Square . 
 Oct 31 2009 	 Good Location Loud Slow internet 	 proximity Times Square , Hells Kitchen , Bus Terminal convenient . result hotel pretty loud . room clean , modern , pretty much no - frill . bed comfy . internet next worthless , time able get , run speed test result max download speed 4.3kbs ( modem 1991 ) . business traveler need hotel connectivity , not stay . going show broadway , want see city stay someplace cheap , would good location . 
 Oct 29 2009 	 fantastic stay 	 be back 3 - night stay hotel . lucky enough room 20th floor noise not problem ( sign SPG member , be free be likely get room high ) . 20th floor nice enough view noise . bed comfortable bed sleep already miss ! room good size , neither small big clean . there be also computer downstair internet connection quite slow . complimentary bottle water nice touch . in term area , know review say shabby area . husband not . not tell left , every single day pass Parole office two adult store actually surprise never notice ! really not think neighbourhood bad . ok be like upper west side price pay hotel ( $ 440 taxis include 3 night ) really good value money great room virtually metro station within 2 10 minute walk . Ooh also go roof , 34th floor , great view Jersey , times square area ! 
 Oct 28 2009 	 Comfy bed ! neighborhood seedy noisy bring ear plug ! 	 boyfriend come event Marriott Marquis , book Wednesday Thursday , look alternate lodging could use SPG point . close available hotel four point Midtown . I read review little concerned neighborhood , figure two night basically sleep , right ? believe hotel go renovation long ago , outside lobby look new . lobby small small concierge desk , check - in desk tiny bar / coffee lounge right . check pretty quick headed room 903 .... room simply remodel , could tell old , remodeled room , make sense . 's small ... not room two people walk end bed dek time . king bed ( must say comfortable , along pillow linen - far good feature room ! ) two nightstand ; armoire hang clothe house safe , iron iron board coffee maker ; desk chair , flat panel tv side chair lamp . bath small plain , job . fancy . clean like say , bed fantastic ! point pretty happy hotel , go explore ... - onto ' hood - not let review say 's seedy neighborhood 's unsafe scare .... be really bad ! directly across street Port Authority bus come hour day - expect noise . quite lot actually . yes , step door hotel right Parole Office honestly never see anyone hang around . see shady look character hang around Adult dvd store . keep walk will fine ... 's 5 - 10 minute walk Times Square , depend hit stoplight ( fast walk ! ) ton convenience store , restaurant ( fast food sit - down ) starbuck way . we not issue air conditioning / fan , water temperature pressure - anything else funky matter . so far good , right ? ... go bed . oh Lord ! loud keep get check make sure window not open ! somewhat light sleeper , typically ' m travel walk many , many mile day , crash pretty hard . not matter tired , absolutely could not get sleep noise - mostly come Port Authority across street . luckily remember ear plugs pop manage get 5 hour sleep . , say boyfriend heavy sleeper could fall asleep tarp middle construction site , not problem . perhaps noise would not bad high floor ? suggestion would avoid street side 9th floor - unless sleep like boyfriend ! ear plug . with .... overall , even noise , think hotel good value 's location . feel free contact question ... happy Travels ! LisaMpls 
 Oct 26 2009 	 average hotel great location 	 ny least dozen time , stay various location city depend go . time quick 1 night see show friend , decide really not want 5 - 10 minute walk Times Sq . area . hotel fit perfectly ! other mention , location great - 5 min . TS theatre district , may bit put - off semi - sketchy street / neighborhood be locate ( ie adult book store , Port Authority bus station ) . not let scare ! perfectly fine , 2 woman travel alone , not feel threaten awkward . 's ny - full kind character , 's charm . the interior hotel nice - simply furnish functional , comfortable bed pillow . really ! room locate 16th floor lovely view . staff , Reception Concierge , Room Service , exceptionally nice . just couple nice feature room : window open bit , ipod docking station play music , bottled water large flat - screen tv . I would not hesitate stay would certainly suggest hotel other . 
 Oct 21 2009 	 small clean enough . not like neighborhood . 	 hotel window , see bus Port Authority Bus Terminal 9th Avenue . Times Square not close , walk five six adult dvd shop , two massage parlor , peep show booth , think will get eventually get . 
 Oct 19 2009 	 worth consider get cheap 	 four Points Times Square great location ( want stay midtown ) , room well appoint staff friendly . get cool flatscreen tv wall , bed super comfortable 's small gym basement . deserve respect offer free wifi free bottled water . on side - 's hard quantify exactly - put mind & quot ; Linton Travel Tavern & quot ; stay ... find bit depressing . ( big caveat follow comment probably apply many Manhattan hotel ) room quite small , build wedge pretty tight around look window find stare someone face 's photocopy office opposite , small corridor , cheap product bathroom , smell stale cigarette corridor lift / elevator etc . as other observe , bed comfortable although bite right arm one night appear & quot ; house guest & quot ; room ... Overall 's fine get good deal would serve well stopover short stay ; especially not expect nice surprise cleverly think design detail . 
 Oct 17 2009 	 love Sheraton Hotels 	 hotel recently remodel believe . room small amenity need . sheraton bed well ! ! staff quite helpful & amp ; friendly . food restaurant also wonderful . one negative shower head place high . stand tipee toe still difficulty move . 5 ' 4 & quot ; . 
 Oct 15 2009 	 get great deal 	 hotel front staff not friendly , price location great place stay . room clean comfortable . would stay would reccomend friend . 
 Oct 13 2009 	 friendly staff 	 good location close Bus terminal bus Newark airport 25 $ roundtrip , nice room excellent bed , friendly staff . stay 5 adult 1 child 2 room . love it . the thing pornstore way hotel , ok anyway , much action go around anyway . 
 Oct 11 2009 	 efficient comfortable good location 	 spend 1st last night hotel NYC . find clean serviceoriente . room nice , typical size NYC , functional , nice work area withfree WIFi coffee tea maker room . lovely soft bathrobe slipper . able fit lap - top room safe great . stay King room also 1 bedroom suite nice . 
 oct 8 2009 	 ok ! 	 stay three night Oct 1 - 4th . room clean grant small even NYC standard . NYC 3x three different hotel much roomy . maid service poor ... staff throw receipt leave neatly stack night stand replace plastic glass . bathroom tiny . great one person stay definitely 2 per room . close everything . bus terminal handy direct transport Bruce Springsteen concert Giants Stadium NJ . feel unsafe get to / from hotel . staff generally friendly seem like space time know answer basic question . good rate fund 208 / ngt reason stay fee night offer we SPG . 
 Oct 6 2009 	 great value /totally safe area 	 book re - opening deal $ 115 per night . , make stay great , plesantly surprised size room great view . could see Times Square room . room clean bed great . I see review mention adult store street . yes , , however never feel unsafe . love fact Times Square block away . Port Authority Bus Terminal across street kind handy lot affordable resturant shop . bad deal . hotel grand re - opening deal allow family extend vacation stay ! 
 Oct 5 2009 	 Fatal error 	 good thing one say relatively new hotel ( eg , incredibly comfortable bed , smart design small room , friendly staff ) , couple major problem make impossible stay again . first air - conditioning . previous reviewer note , cool ( hot ) air kick , sound loud awaken every 5 - 10 minute night . option keep fan cool warm air also desire ( would least keep noise constant level ) . could new hotel adopt antiquated system ? use tv remote turn a / c ? ? second in - room internet . yes , free , case get pay . wire option slow work impossible ( staff advise many people system suggest go business center work ) . connection non - existent wireless option . stay 4 night connection & quot ; normal & quot ; ( much less high - speed , advertised ) .I leave hotel tired frustrated . 
 Sep 28 2009 	 clean reasonable convenient nothing exceptional . 	 stay lasy night ( 5 - night trip ) partner . clean , reasonably - price , room really conveniently locate . not mind somewhat grungy ' hood , feel hotel could well ' format ' location include massive bed time room efficiently design lobby cater small size lobby large number guest . still , would stay price right . 
 Sep 27 2009 	 Clean Hotel Location Good Bad 	 arrive hotel 9:00 overnight flight Asia . check - in go smoothly , get room 15 minute wait great ! platinum member sure reason , nice start trip . , never talk staff hotel not need anything . room : Perfect NYC . small , functional . tv good size ( would guess 32 36 & quot ; ) plenty big small room . comfortable bed , everything new . issue would say wall air conditioner , loud need . luckily , weather fairly cool stay use fan mode mostly . think need A / c time , would annoying . location : great use public transportation . almost every subway need right around corner ( half city block ) . need walk front NY Probation office , quite frankly , be fine . walk alone time day night never feel issue . walk away subway station 9th Avenue , be little sketchy , ton construction work end little tunnel walkway . bad thing location cab travel 40th . think something construction traffic pattern , taxis not like crosstown route . take lot taxi card , keep mind . use car service get airport not confident could get taxi 5:00am leave ( ton luggage not feel like walk 1/2 block 5 morning ) .The hotel offer free internet service , slow . guess get pay ! 
 Sep 22 2009 	 GREAT HOTEL 	 lovely clean hotel excellent location.port authority right across street 24 store / chemest.there lovely cafe port authority breakfast food hotel pricey . room small enough perfect showering sleep did.the t.v room great even remote keep switch noisy air con.the bed comfortable ever pillow way soft support do not offer alternative people need support pillow . bar hotel be not really bar small alcove side reception area approx . 3 table . ask room shower & amp ; tub give we one tub . I make 10 minute phonecall ireland cost $ 93.00 yes that s ninty three dollar . review say area bit dodgy do not agree.o.k xxx shop window cover one hang around outside cop everywhere n.y feel pretty safe . upon checkout issue amount already prepay manager little resolve situation infact point blank lied face really let nice hotel would definatly stay . 
 Sep 19 2009 	 incredible bang buck super central ( albeit seedy suburban traveler ) location 	 summary : introductory rate $ 115 pay , value beyond expectation central location Manhattan . hotel less three month old , make one new clean hotel nyc.room : brand new room reasonable size two adult immaculately clean , especially all - white bathroom seem sparkle light . bed top notch , desk actually design life century . . . mean tv mount wall power outlet build desk plug . desk even build usb connection ! location : location flawless leisurely tourist ( right next Times Sq abundant subway line cab ) , though adult shop grungy street character block may turn suburban visitor not experience much NYC . overall , great ' base ' sightseeing nightlife excursion . service : select service hotel , bad . call extra Seattle 's good coffee ( yum ) , bottled water ( free ) , toothpaste separate occasion bring within ten minute . housekeeper friendly great job make room comfortable return long day walk . staff seem new , expect ? 's brand new hotel ! cleanliness : like say , brand new hotel . not get clean NYC . hope year cleanliness not start slide . value : read section experience , would say value $ 115 rate ? : - ) know intro rate , experience worth well $ 115 . . . maybe upper $ 100 be would say , low $ 200 's peak date . other comment : lobby area bit cram . circular seating area take half lobby space create obstruct wall lobby . times get claustrophobic tourist luggage , reception desk agent good job greeting guest check efficiently . 
 Sep 12 2009 	 Awesome Place AWESOME Price ! 	 also get open rate travelzoo 115.00 . love room . first trip New York everything great ! ! ! ! yes port authority acrosse street back side build people . yes adult dvd store many street walk . also parole build one time walk pass even open . believe complaint truly people like complain . love proximity everything . love News York . we amaze thing see closeness subway Times Square . far theatre great . never see hotel build tall skinny . staff helpful really apreciate help . willing . , totally go recommend place stay . room 15th floor port authority love everything . really great room awesome price . thank travelzoo offering ! room really clean , bed really comfy pillow . everything new really nice . elevator fast . really great experience . friend go us 13th floor back build love room ! handicap accessible room clean nice . also leave 1 water bottle room arrive . next day give 2 bottle . thank four point wonderful stay someday make way back big city ! big difference rural town . little Italy cool China town . go yankees game Jeter tie Gherig . go cruise see site city awesome . go wall street central park . much could see enough time . love back ! 
 Sep 10 2009 	 would stay without question ! 	 read several review really worried stay senior citizen mother . nothing worry about- yes street XXX Dvd store Parole Center ( open day ) see type thing everywhere New York . close TImes Square . Great Price- complaint try go resturant hotel could get service . busy really big deal . Alex get we private car take we airport really helpful . come home afterdark one evening around 11 night tour not feel least bit scare walk street . 
 Sep 7 2009 	 Great Hotel 	 go promotion pricing really amazed hotel . yeah like people say ... 's 1 1/2 block ghetto area ( half NYC ) . really 2 block away Times Square . Point 's close subway , food , shopping , amazing entertainment . hotel nice , staff friendly , location great ! definately recommend hotel use month . internet little slow time get real ... go NYC , not go sit hotel room much . use hotel ! 
 Sep 7 2009 	 Nice would stay 	 hotel clean new . hotel street across bus terminal . feel safe walk hotel leave airport . leave airport 5:00 . go downstairs ask man front desk get taxi say would walk corner go front bus terminal . walk luggage . short walk time night seem like alot shady people hang front bus station feel uncomforatble safe . hotel one way alley taxis ride unless drop someone hotel . unfortunately taxi issue stay . 
 Sep 4 2009 	 great value promo price Midtown 	 exceptional bed comfortable new bed , internet business centerw/ printer boarding pass plus . small room typical size NYC , view . broken coffee maker replace upon request . free bottled wateris one bottle per day room accommodate 4 people . Dirtystreet , adult toy store , scaffold acceptable tradeoff proximityto Times Sq Broadway . line check . tiny congested lobby butclean new . friendly staff . initially tell reserve room w/ two double bedswas available would either share bed mygrown son opt one sleep chaise . push issue get roomreserve well advance guarantee deposit . first night , maid service not happen 9 pm . tell theywere run bit behind . not horrible thing late checkout privilege compensate since ability shower middaybefore head brutal August heat wave priceless ! floor tiny , elevator slow , everyone require travel thebasement ice machine . not worth current pricing $ 255 per night give immediate competitionin area well aesthetic . would return heartbeat thepromo rate . 
 Aug 31 2009 	 good hotel . would certainly stay . 	 stay two night last week 10 - year - old son . book Travelzoo rate $ 115 . sorry not stay long . room clean bed comfortable ! staff friendly go way help we . adult book / dvd store block window cover thing see word & quot ; Adult dvd 's ... " . Port Authority Bus Terminal close good . many place eat reasonable price since open 24/7 always people around include police officer . single mom , son walk back hotel 11:30 evening never feel unsafe . would feel unsafe area few people around street . would certainly stay good rate . going pay $ 300 night would probably stay large hotel amenity . 
 Aug 30 2009 	 convenient safe 	 other note , hotel next port authority bus terminal 2 short block times square within walk distance grand central , fifth avenue , central park south , broadway theater , etc . really great location . street unattractive , quite safe . hotel brand new , furnishing bathroom nice bed ( 2 double we ) comfortable . however , air conditioner sound like jet take every time condenser come . ridiculously loud ( brand new equipment ) wake night . really something need address . ahve loud air conditioning 20 hotel stay around New YorkCity , include Times Square area , include comparable hotel , Hilton Garden Inn Doubletree . 
