disappointment 	 high expectation hotel give reputation , really wow architecture upon enter . thing go mostly downhill . staff lack warmth willingness assist would expect four season . obvious moment check , get worse notify front desk hot water . say would flip switch get hot water run , happen . call , finally send repairman ( rather simply send we room hot water ) . still get fix . call one time getting blow , shiver rest visit ( snow outside ) . small issue , one would expect hotel : dirty dish stack abandon tray next us restaurant ; 45 - minute wait room service bring granola coffee , explanation offer . room big NY standard course location great , St. Regis Ritz - Carlton far superior term appointment room service area . 
 Oct 5 2009 	 Heavenly 	 possibly one favorite hotel ever stay . rave enough service , location , room , physical building ( design world - famous architect ) . would recommend hotel anyone heartbeat ... anyone wallet fat enough ... 
 Oct 5 2009 	 much ` ` attitude '' well nyc hotel choice 	 feel compel write first time husband stay Fours Seasons Hotel NYC find less expected . complaint minor , stay one & quot ; good & quot ; , expect level service . stay Four Seasons Boston summer find magnificent , unfortunatley find NYC . list & quot ; problem & quot ; . order breakfast Friday A.M. come piece hair cream cheese hair table cloth , Saturday morning breakfast arrive 15 minute later time tell would arrive . want dine Nobu concierge tell we could get we table 11PM . husband call Nobu phone receive 7:30 pm dinner reservation . Saturday , ask speak manager relay unpleasant experience . preface conversation , think hotel know less stellar moment stay , expect anything hotel , except know & quot ; heard & quot ; . manager say would someone follow we next day . one ever . someone head NYC , stay St. Regis 55th Fifth Avenue . , find excellent service , stunning room suite , incredible food , perfect bell staff , accomodate concierge staff , agreeable front desk perfect housekeeping . always stay St. Regis never venture . St. Regis lack & quot ; stuffy attitude & quot ; offer incredible service , always appreciate business remember name . sometimes really need venture away truly appreciate . side note , want incredible cupcake go CRUMBS 53rd Madison . son 's favorite & quot ; smore & quot ; , love & quot ; cookie dough & quot ; . 
 Sep 6 2009 	 location explore New York 	 eld start college New York , take little one see would live also chance see New York . they see usual attraction , include Beast Speed boat - crazy ! ! stay Four Seasons lovely hotel - friendly - great location - good sized roomsThey recommend great little restaurant we eat great dinner kid experience full american breakfast ! ! 
 Aug 17 2009 	 lovely $ ouch 	 room without doubt lovely , bathroom possibly good hotel ' ve every stay . staff friendly enough , bit stuck bar . pay $ 750 night room . ' m think overall 's tad pretentious . 
 Jul 25 2009 	 good great 	 tenth FS property least favorite . could understand FS hotel could rate low TA , one stay may know middle - ranked . price service flawless part staff hold true . spa staff , concierge desk housekeeping department top notch . front desk also fantastic job . however , doormen bellman fail miserably nearly every arrival / departure hotel . think live NYC require grit , attitude gimic ; fs staff give plenty . maybe naive , over - friendly , optimistic country mouse , sure would nice least get greeting staff be pay $ 1000 night . the one shocker spa locate seven floor underground . sink thought bowel NYC . ask fire escape plan arrival try settle relax massage pragmatic mind . not worth ask price . get half price twice service New York Palace . 
 Jul 6 2009 	 Best City 	 ' ve never disappoint stay hotel . staff always perfect . service typical Four Seasons , always need , flaw . bathroom huge , one fast filling tub ' ve ever see hotel . walk - in closet / dressing area HUGE . light dimmer every room . curtain shade power . view Central Park city perfect . front desk staff concierge address name every time pass desk , always smile . elevator incredibly fast . hotel location could well . bed one comfortable ever sleep . 
 Jun 29 2009 	 First Rate pricey 	 comfortable , luxurious room . fancy , extremely well appoint comfortable . price bite silly , especially food beverage , top heap New York . 
 Jun 7 2009 	 new york new york 	 great location . close central park . close shopping . quick taxi time square . room clean roomy . staff nice . prepared cost drink food . 
 May 30 2009 	 fantastic location fantastic staff fantastic hotel 	 arrive hotel extreamly early , 6 am . thinking would leave luggage see New York getting room . wrong . upon arrival , greet Doorman , luggage take away walk Front Desk . give name , , nothing else need . due time arrival , room still occupy , kind enough upgrade beautiful room ( 1006 ) . room balcony , New York rare , huge walk closet . bathroom splendid . internet dead cheap , either $ 10 $ 20 24h can not quite remember . connection fast . cleanliness 100 % .All staff come across nothing polite welcoming . point even pleasure meeting Mr. Sharpe ( Founder & amp ; CEO Four Seasons ) front desk . the fall , small thing , room service order Lobster Spagetti , honest , Lobster taste frozen . Chewy hard get . everything else whole stay New York blast do not bother . 
 May 27 2009 	 PERFECT - 	 back 4 night vacation Four Seasons Manhattan . consider many place ( Mandarin Oriental , Peninsula , NY Palace ) , rate advertise substantially low FS , glad finally stay . business US currently , low season start NYC , hotel big rebate . fs policy . package instead , bring tab obscenely expensive something affordable . take advantage & quot ; stay long & quot ; package ( stay 3 night , pay 2 ) + one week - end rate , Premium Deluxe room set we back $ 850 nightly , plus taxis . CHECK - in extremely prompt smooth . request get high available floor , well possible view well take account , within category book . room 2901 29th floor , boast roar view Central Park . glad book Tower Parkview Room , would cost $ 300 extra per night . luggage bring couple minute . great bellman , welcomed & quot ; back & quot ; , perfetc tour room . the room extremely large , especially NYC standard . typically Four Seasons , meaning really recongnize city looking room . stay 7 year ago , room age . update flat screen tv room bathroom ( huge channel selection ) . spotlessly clean , plenty storage , great dressing area . highlight bathroom fast fill tub , truly fill minute . eventhough know use previously , catch off - guard . view awesome : Central Park north west interrupt Pierre hotel , city view north east . service perfect . take expectation account , go top please . call reception standing request 4 bath towel give time , ample toiletry supply . could start towel toiletry shop end stay ! notice put floor third bath rug . replace 2 small one single large version . evening turndown would blankly respect privacy sign , slip note door instead . come notice . our request later check - out time graciously meet : offer 4 pm c / o charge , less need , expect . store luggage , enjoy spa facility shower head JFK , charge . Doormen open door ; never miss spot way , greet smile kind word . well , many NYC high end hotel , keep busy count tip instead . overall AMBIANCE high end hotel . step spectacular lobby , marble high ceiling , welcome relief noise , hustle bustle city . mostly cater corporate people , crowd behave , shout , well groomed . even flip - flop type , , would feel comfortable walk around relaxed outfit . food : try breakfast . & quot ; 57 & quot ; fully book , redirect we & quot ; TY & quot ; across lobby . spectacular setting , great service , corparate crowd & quot ; strategizing & quot ; & quot ; need restrategize & quot ; . overly impressed food selection . go Park Avenue menu . $ 40++ p / p , featured coffee juice , 2 piece toast , coupleof egg style 3 strip bacon . acknowledge right rate FS ; quality good ; deliver right quantity : scarce side we , especially day walk city . we breakfast Norma 's @ Parker Meridien , short 10 - minute walk west 57th street . similar price , unexpected menu selection , outstanding quality quantity , somewhat noisier step dining room . we enjoy bar . good drink selection . love setting : many armchair around table , settee aroung coffee table . highly rightly price , kind place : $ 8++ Coke , $ 22++cocktails . overall love place . sad leave , would go back time . could improve ? hardly . well perhaps rate , fresh flower room , bottle water evening turndown ( location ) would hurt . would go bankrupt ! 
