great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Nov 26 2009 	 huge room clean quiet hotel friendly staff 	 stay 4 night recently . able check early great long flight ! room 26th floor extremely quiet , noise ajoine room . room clean nicely decorate , massive ! ! ! throughout stay staff meet extremely helpful friendly . close Times Square able walk attraction . we enjoy stay would use hotel . 
 Nov 25 2009 	 get pay - worth 	 please recent four day stay . request receive two double room great promo rate ( less 250 night - holiday season ) . let check early ( nice ) , check late ( really nice ) , give free breakfast ( really , really nice - come promo ) , remarkably accommodate every need ( GREAT concierge staff ) . room quiet ( 26th floor overlook Grand Central Station ) location beat . room brand new show wear , would nice in - room fridge , overall comfortable , convenient classy . well worth buck . 
 Nov 23 2009 	 true HOTEL MAINLY CONFERENCE wedding 	 great hotel really make feel welcome , busy lost crowd , wedding seem take hotel , tell use lift around 300 wedding guest use . also business meeting sometimes make feel like second class citizen , attempt room service $ 9,00 cup tea , think would try another hotel return New York 
 Nov 23 2009 	 Lovely Hotel - perfect trip 	 read comment hotel slightly apprehensive seem quite negative , however need worried . greet pleasant staff front desk make feel welcome . mother stay Hyatt 3 night every one without complaint . room lovely bright . clean high standard view GCT brilliant . add bonus able check line return flight mean could leave late airport squeeze abit shopping . hotel really well situate want - visit Central Park . Bloomingdales , Times Sq , Empire State Building , Rockerfella Centre course shopping . Sunday Madison Ave close traffic huge street market open lovely . Bryant Park along right hotel real hide gem . spend lot time sit watch ice skater look little unit sell everything christmas decoration novelty soap . great place chill get away hustle bustle . also toilet beautiful well look lovely lady , really take pride job . put Starbucks Empire State Building shame , not use restroom coffee house disgust ever come across ( 2 foot high pile use toilet tissue floor baby change unit ) worry thing staff use ? ? ? find EuropaCafe Madison Ave excellent breakfast lunch - great value money . mulldoon Irish Pub Lexington serve great meal evening . all fantastic tire trip , lovey hotel great staff , brilliant memory . 
 Nov 22 2009 	 Nice noisy 	 staying week . hotel excellent location 's hard beat . got great deal internet could not ignore . great first night , sound like room 8 drunken boy move room next door play rap music , cursed shout small hour morning , despite plee quiet . not get room 2971 want quiet night ! room immaculatley clean everything need iron ipod dock . tv bit oversized room , people like . hear people say find bathroom small , 's . ' ve see small bedroom . lobby amazing , want waterfall home . keen brown marble precarious look giant flower vase , give place class . food expensive 's experience read price list make sure 's mistake . , guess , noisy rabble next room feel go outside buy buffet get population NY room laugh , giggle snort night . be cheap outside . 
 Nov 21 2009 	 Great Location not use room service 	 Location fantastic Grand Central Chrysler building , lucky enough get conference rate make relatively cheap new york term still excess $ 600 3 night . big place try hard rather soul less , clearly design business travel . do not come across many staff use auto check check facility , lady sell sightseeing bus ticket theatre ticket helpful , concierge job feel like big favour ask reconfirm shuttle book back airport . room large enough well present clean , bathroom tiny functional . good fitness centre , use morning wife always manage get run machine 25mins peak time . do not tempt use room service , sky high price mediocre food use corporate suit expense account , probably banker spend tax dollar lazy go next door wonderfull Grand Central Food Court Lexington Passage Market ( also Grand Central ) . way large chain get message overprice room service menu stop use , come suit , walk next door sample Grand Central . would stay great location , walk distance many key attraction ( especially theatre district ) 
 Nov 19 2009 	 amazing ! 	 hotel amazing , ( feature film definatley maybe ryan reynolds ! ) grand right next central station , hussel bussel definatley ! love shop grand central station sell muffin , bagel etc . lovely definatley reccommende breakfast go ! hotel staff friendly helpful room lovely ! 
 Nov 17 2009 	 good hotel great location 	 Grand Hyatt Hotel well locate heart Manhattan Grand Central Station . check - in check process painless . hotel lobby huge grand ! room 18th floor . not view not care not spend much time room anyway . room good size , double bed big comfy . bathroom clean toiletry provide . can not fault hotel would happily stay . room service expensive many place around food , not really need . oh , concierge , computer online check - in print boarding pass free , useful ! 
 Nov 17 2009 	 great location good Priceline price ! 	 stay Friday Saturday night September . location can not beat -- literally inside Grand Central Station . quiet room well - decorate comfortable stay . pay $ 150 / night ( plus taxis fee ) . hotel valet parking expensive street parking available ( weekend least ) residential area within 5 - 7 block . 
 Nov 16 2009 	 Room clean 	 get room dirty towel washcloth floor bathroom . bed bit rumple also . call houskeeping keep promise within th next 1/2 hr someone would clean . 1/2 hour turn 2 hour call 4 time . seem beg . collegeage check floor want relocate . otherwise would go back reception request room change . 
