excellent 	 clean , friendly , cheap staff hand whenever want . smallish comfortable room good facility . excellent gym , breakfast area , room tv 's etc . good situation really interesting bit NYC . helpful friendly staff could not seem enough make stay success . american mostly europeans seem residence do not hear complaint either . Manager Concierges particularly helpful 
 View value 	 book hotel price , location , fact ' ve always good l luck Hampton Inns . never expect fantastic view . room 15th floor perfect view Empire State Building Chrysler building . People need understand thing Manhattan hotel . room often small , bathroom small , lobby almost non - existent . true Hampton Inn well . clean , staff pleasant professional , affordable great location great bonus wonderful view ( least north side ) . honestly say not check breakfast . Saturday a.m . feel weather husband went get soup cracker . Sunday plan brunch . sorry can not speak . husband seem indicate quality Hampton Inns - fancy , adequate . even bus load people cram tiny entrance get check return walk , get right elevator room . ' m really sure possible , staff seem make thing work out . when not feel well , husband go leave sleep . stay nice hotel staff seem ignore & quot ; disturb & quot ; sign either barge right knock every 20 min . happen hotel . able rest morning husband take fresh air little soup , able find housekeeper bed make , new towel hang , trash emptied time return . I not give 5 not 5 - star hotel . however , one good value hotel ever stay . would recommend anyone come visit nyc.only one suggestion - find spot vending machine besides cellar space . : ) 
 Nov 16 2009 	 Awesome staff awesome location can not wait return ! 	 review long time come . stay Hampton Inn SoHo June 24 thru July 8 year . travel wife two young child age 6 4 . let start syae staff professional ' ve deal truly make expeience memorable one . stay maintenance work need carry staff awesome way handle situation . offer another room decline have go crazy shopping could bother move . besides , work occur day always not bother all . we stay 18th floor awesome view city . breakfast great - tip get early . love breakfast go bag - keep kid go day inevitably get hungry . Kevin clearly make impression kid constantly speak . Karl , opportunity , could please say hi Kevin Jordan Sarah Melbourne . miss : - ) & quot ; quirk & quot ; loud A / C unit however , alert staff maintenance investigate reduce noise significantly . I could ramble will not . short , stay . 's popular good reason ! can not wait come back . 
 Nov 15 2009 	 Great Location ! 	 stay 3 night November 2009 . location excellent short walk away many restaurant , shop , etc . room decent size comfortable . service good , Decent Movie selection , fast internet connection . for price , get good deal PriceLine . think average cost $ 240 , , get good deal . use stay Tribeca Grand , feel good bit cost conscious trip . we defnitely stay . 
 Oct 31 2009 	 great hotelgreat valuegreat experience 	 hotel absolute joy . we book pay advance July 2009.the price pay incredible value consider quality . the allocate room spacious , clean ( spotless fact ) promise city view spectacular lovely look first thing morning last thing night . only one criticism ( Karl note please ) .. breakfast superb - run choice quickly staff although willing difficulty keep demand . also sit anywhere around breakfast / lobby area end take available time room . this impact day slightly provide breakfast one consideration time booking . oh - hotel reception working corkscrew loan wish bring bottle back little later - ask Adam ... overall hotel superb value money . the staff attentive , helpful considerate . the area walk distance Greenwich , Little Italy Chinatown SoHo many shop restaurant / take away . the subway Canal street within 5 min walk take anywhere Metro system . we buy metro pass hop on / off bus subway train choose destination / attraction . after long day delight come back hotel welcome room have . the bed without doubt comfortable ever sleep hotel entertainment varied , inexpensive deliver quality HD flat screen television . when travel back NY hotel first choice . however word get around SoHo jewel may price range . 
 Oct 26 2009 	 Hidden Gem ! 	 pick hotel , ' ve great experience past Hampton Inns , must admit nervous quality rate secure low figure good true . wrong ! wonderful experience recommend enough ! incredibly friendly staff , impeccable service cleanliness , safe location ( short walking distance Metro right heart Soho ) . breakfast beyond one ever expect free & quot ; continental & quot ; breakfast ! room beautiful clean , bed incredibly comfortable ... right next ice machine elevator , not hear peep . also greatly appreciate free internet ... difficulty & quot ; new - ness & quot ; hotel , find none taxi driver know ! long prepare know cross street general direction , not problem get . ' m sure , , pass time ... traffic ridiculous approach Watts Street , feed Holland Tunnel , might want prepared walk block two luggage save 45 minute gridlock . all - in - all definitely return must insist hotel receive least one star . nothing else , outstanding quality incredible value ! seriously , pay 3 4 star get ( well many case ) 2 - star rate ? 
 Oct 23 2009 	 Loved SOHO 	 Husband stay week end August . hot muggy first day never feel way Hotel . have king bed room mean tell tight ! room sleep shower fine , bed comfortable bedding nice . bathroom quite large tub nice . you get creative store empty luggage thing make space ( top wardrobe work well we ) .Breakfast fine get go early start save buck well . we really enjoy location close buy many interesting shop , great dining , chinatown , little Italy ect .... Soho favorite area Manhattan happy stay location hope go back sometime . also Subway close easy get around . 
 Oct 21 2009 	 convenient location nice hotel helpful staff 	 nice hotel convenient location . front desk staff extremely nice helpful . hotel clean , king - size bed room bit small , pleasant . take car , ask direction garage cost $ 35 , $ 30 one . much easy get . 
 Oct 18 2009 	 new place stay New York 	 stay 5 night Oct 11.We place large room 18th floor , ( cityview expect , excellent room ) .I say enough positive hotel staff check excellent , room excellent , cleanliness excellent , service excellent , checkout excellent . breakfast free hard complain , notice management upgrading breakfast , excellent . the location fantastic , ( despite read review ) hampton Inn Soho cose NY offer , two subway within walking distance , fabulous Soho shop dining right door , delight West Village , tribeca , downtown , Chelsea , Greenwich Village , close . we stay time previous reviewer mention problem get room , say noticed staff work hard provide alterative arrangement guest , way night fantastic see . this hotel spotlessly clean , well present , safe well staff . I wait return hestiation recommend hotel anyone.thank Hampton Inn Soho , fabulous ! 
 Oct 18 2009 	 awesome 	 place kind blow mind . book another room January 2010 realized never write review July 2009 stay . somewhat budget yet want top - notch place stay , can not get much well Hampton Inn Soho . get good rate . place great . super nice people lobby upon check - in joked talk supply many take - out menus ask . elevator corridor lobby bar nicely design ( seem brand - spank - new ) . think jaw drop upon enter room - plush king bed , great view , incredibly nice bathroom , flat - screen tv , decent size NYC . comfortable , spend time make decor nice ( include great NYC photo wall ) . happy stay , great time New York . hotel close Village SoHo , two favorite neighborhood . complaint Hampton Inn SoHo - definitely get five star . 
 Oct 15 2009 	 great location 	 good hotel great location trendy shop . lot around area short stroll china town / little Italy ect . stayed 7 night love location . room top terrace also fantastic . close Holland Tunnel noise bad . room 501 ok view , gripe little close elevator hear noice night . Put earplug happy larry ! ! ! breakfasta good way begin day , basic fresh . good little cafe around corner call amelia 's cheap great egg coffee little $ .second time nyc stay . 
 Oct 13 2009 	 good hotel noise machinery unacceptable room . 	 well maintain hotel good location friendly helpful staff . complimentary breakfast really quite good , fitness centre free wifi deserve mention . room ( 206 ) would right one thing . loud constant noise machinery sort house room next door . know , due love airconditione , Amercan hotel guest seem use noise european one , be difficult see constant din level could consider anything like normal . fortunately industrial ear plug , stick interest TA research knowledge move someone without earplug would give room . will still recommend hotel anyone get room vicinity noise , apart 's good place stay . 
