Nice 	 room clean , nicely appoint . small , expect give location . comfortable bed . staff friendly responsive . 
 Great Stay 	 go NYC Macy Parade , arrive Tuesday Nov. 24 . stay till Nov. 28 . make short sweet . perfect stay , clean , comfortable , wonder ful staff . room big , know go NYC . stay room . complaint , make point stay . staff , go way help ! ! want room nice go long day NYC place go . want spend day hotel , place , clean , bed extremely comfortable , pillow great ! can not say enought kind thing hotel . walk broadway , ask get taxi , need one . stay . 
 great 	 hotel perfect ! room beautiful , clean , comfortable . staff nice accomadating . location great , little busy , be come New York . 
 Nov 26 2009 	 Nice hotel ... 	 be not usual Hampton Inn hotel , small next 2 hotel room clean nice small . care ! ! be not live permenantly room , clean , modern bathroom , tub nice view ( depend room get ) . stay ! ! 
 Nov 25 2009 	 pleasant friendly place 	 stay property couple night last week business trip . like lot . clean , efficient , friendly place . front desk staff helpful various way , include call room five minute check make sure everything order provide good recommendation nearby place eat , include great neighborhood italian place block away 38th St . include in - room coffee maker basic certainly adequate buffet breakfast downstairs couple basic certainly adequate room . business center consist three computer terminal printer good high - speed internet connection . also , free internet access room , though not use . get high enough room , get bit view . another thing impress be pretty quiet . pass hallway could pretty clearly hear couple child door room next . enter room could hear , would seem indicate pretty thick and/or well insulate wall . other note , six room floor fairly tall ( 30 + story ) , thin building . I usually stay nice place work play , prepared ( course unfairly ) snobby one . take account reasonable price expensive Manhattan , highly recommend .. give Excellent rating , still note thing visitor keep mind . first , room small , though certainly comfortable . second , overall location block Times Square fine safe , block Hampton attractive street NYC , nice commercial establishment , trash bag stack street ( include one evening front hotel ) , etc . finally , safes room . understand lack , give budget hotel , someone travel laptop still might make hesitate staying . otherwise , great . highly recommend . 
 Nov 15 2009 	 convenient quiet great value 	 get excellent price new hotel near times square . street transition , completely safe . hotel narrow high rise 6 room floor . hampton in - house restaurant , nice free breakfast provide several menus area restaurant deliver . woman front desk delightful observe much careful cleaning staff lobby . room new , well - light , comfortable , quiet , nice high def LG flatscreen tv . amenity get price point ( refrigerator , room service , pay per view movie , etc . ) , purpose great deal comfortable , clean , quiet room great convenient time square location . 
 Oct 31 2009 	 Great Location Super Staff 	 walking distance mid - town attraction ( Times Square , Rockefeller Center , Central Park , Empire State Building , Broadway Theaters ) , subway entrance one block away . to get hotel JFK take AirTrain Jamaica Station take LIRR Jamaica station head New York City / Penn Station . ( take subway take 30 minute long . ) Penn Station exit W 34th St toward 8th Ave . walk 8th Ave five block w 39th St . take we 10 minute walk hotel , exactly one hour get bag baggage claim arrival hotel . the Front Desk staff excellent check - in , later ask recommendation restaurant nearby recommend Carbone Ristorante around block hotel . good , family own , italian restaurant , small , six table bar food fantastic ( highly recommend pizza ' ) .room staff also great , give we extra coffee package ask , room always clean get back sightseeing . the hotel room small clean quiet . Tassimo one Cup Coffee Makers room make great coffee , room bath tub , would like , nothing wrong shower . room 11th floor face street ; quiet , street noise all . the breakfast include room rate , buffet style , choice cold cereal , scramble egg , sausage , oatmeal , bagel , toast , coffee , get idea , nothing brag nothing wrong either . the location affordable price two good reason stay hotel , like 6 block everything ! 
 Oct 16 2009 	 great hotel good service 	 stay 3 night early october , room small clean every thing need ( living ) . good area bad turn leave exit hotel go via 8th ave . 9th seem bit seedy 37th 41st street . great time , breakfast good set day . homework price vary check , site pricing seems go long open . business center vary useful get hot ( turn air - con stop stay long ) . 
 oct 9 2009 	 Disappointing 	 Hampton Inn Time Square South locate relatively good find many place walk distance . stay double bed room high floor ( 26th ) great view brick wall ( would not imagine anything well ) . room small hard handle stroller baby , introduce crib room make move room impossible . room clean expect hampton network , nothing extra ordinary , shower also small clean . service hotel real disappointment , could not put smile front desk people even tell lottery , grim face always give feel favor every service give you . the hotel supposedly free wireless connection guest room connectivity impossible , go elevator come back . room also expensive thought would get well return money spend ( 354 $ /night ) would recommend stay hotel unless get deal refuse . hotel boom NYC , find well hotel little effort . 
 oct 8 2009 	 Great Find 	 stay Hampton Inn Times Square South 10/1/09 - 10/4/09 enjoyable stay . area & quot ; bad & quot ; poster state . 's city street different many city street . ' ve never street city New York might seem daunt . 's safe make safe . aware surrounding know be go . People look clueless lost target . even not know be go - fake . attitude everything . remember , place & quot ; dangerous & quot ; clean suburban neighborhood dirty city street . hotel situate 8th 9th Avenues ( though close 9th ) avenue fairly busy . be block theatre district make hotel perfect . town take production & quot ; Bye Bye Birdie & quot ; Henry Miller Theatre ( 43rd Street Broadway & amp ; 6th Avenue ) . quick walk hotel . staff helpful courteous complaint . whenever stay hotel put & quot ; disturb & quot ; sign door keep hotel staff . not need bed make every day not accumulate much trash short stay . Hilton Family hotel quite reputable ' m sure temptation go someone 's belonging swipe something would never occur one employee . temptation always around . especially 's laptop ipod room . , stay room . clean ' m go . highly recommend hotel . six block Penn Station block theatre district . many taxi come 39th Street one easily hail either 8th 9th Avenues ( though be go uptown 's well hail one 8th ) . be uncomfortable thought hail cab ask front desk help . never not see would problem . time use cab go Lincoln Center ( 60 's ) . walk everywhere else . walk real treat never know will see . stay see four Broadway actor walk street - one Dustin Hoffman . 
 Oct 8 2009 	 Convenient hotel 	 hotel locate block away Times Square . also convenient subway . 2 young child along , great place stay , breakfast include . could get something like snack take along later day . hotel staff accomodate . 
 Sep 27 2009 	 Great Little Hotel 	 evidence start problem mention previous reviewer . good room size Manhattan standard . double window soundproof , quiet air conditioning . friendly staff , good breakfast area , nice fitness facility , fast WiFi room . location might bit concern family concern . tall narrow , 6 room per floor . will back . 
 Sep 24 2009 	 excellent hotel friendly staff ! 	 Excellent hotel polite friendly staff ! stay posher , expensive hotel n.y far good ! staff friendly helpfull , hotel nice clean location great ! view be not good stay room rear building can not ask everything , still tidy , clean spacious room . would definately stay ! ! 
