Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Nov 23 2009 	 Fantastic Location Excellent quality . 	 stay Hiton Garden inn Times Square last week 5 night New York THANG ! location hotel excellent locate 8th Ave 48thand 49th not know NYC one block away bussle Times Square short walk everywhere else . hotel welcome staff mean pleasant feel home immediately . completely understand hotel high rank T.A . thoroughly enjoy stay return hotel many year sure well do Hilton Garden Inn Times Square ( well one block away actually ) 
 Nov 23 2009 	 Nice Hilton stay middle mid - twon near Time Square 	 use accumulate hhonor point travel work stay hotel wife aware actual cost place nice . Hotel New York always difficult choice , location / price clean make always difficult place stay less $ 200 ... hotel conveniently locate ( leave Pen St get Newark airport go Madison Square Garden Knicks action ! ) room decent . complimentary internet free business center ( include printing ) plus , be always case ... big problem noise ... room right 7th av ... definitely quiet even double glaze window ear plug ... light sleeper like ask rear faced room : ) 
 Nov 22 2009 	 bad experience ever 	 arrive 22h00 hotel reservation fully encashe Hilton hear room available smoking floor ( 5th floor ) . smell room ( whole floor ) unbearable could stand room . find another hotel compensation refund plan . unacceptable city la New York hotel chain like Hilton type situation occur . really avoid hotel guarantee non smoking room . note low floor room really noisy well . 
 Nov 22 2009 	 Great Location 	 spend 4 night , recommend , although room disappoint 2nd floor overlook air - conditioning plant . tired arrival ask different room . apart , clean well maintain staff helpful . Pigalle restaurant well patronise time day outsider well resident . ideally situate Grayline hop - on / off bus tour , walk Times Sq , Broadway , Rockefeller Centre , Macy 's etc . oh way , could hear subway train rumble along , especially bathroom ! 
 Nov 22 2009 	 Excellent hotel NYC 	 hotel nothing fancy , everything need . clean , AC work fine summer , location really close Times Square ( be want ) , room fine . second stay hotel . lobby quite small , little crowded time . cost ( compare hotel ) great . 
 Nov 20 2009 	 look 300 $ select 	 good time spend 4 night hotel early week - great location ( block busy center NYC ) -perfect room ( book via email , get exactly pay ) -good service ( front desk , porter ) -restaurant & amp ; 24hr food store ( opposite hotel ) -close tour 's pick point / office ( greyline sightseeing tour ) would recommend be look 300 $ /night ( incl.tax . ) 
 Nov 18 2009 	 perfect location 	 hotel perfect location , 3 minute walk Times Square , several Broadway Theatres close ! room ok , hotel restaurant good , staff excellent ! good choice , want pay much centrally locate hotel great city . 
 Nov 11 2009 	 Excellent location 	 get back first visit NYC . stay location four night . location great . be block everything . be almost exactly across street Grayline Tour center . everything time center within walking distance . staff friendly , professional courteous . room clean include wi fi extra charge , 32 & quot ; LCD tv premium channel current movie purchase . also fridge microwave . small pantry store open 24 hour day snack , etc large grocery store right next door . thing impress on - site resturaunt . table close together guest get let we table small can not even open menu . staff rude service slow . food great either price . little din across street much well reasonable breakfast menu . 
 Nov 9 2009 	 well expect hotel stay 	 ' ve stay various Hiltons Hilton Garden Inns , Hilton Garden Inn stand cut rest . term location , i.e . Times Square , one could ask well location -- be within walking distance Theatre District , Theatre Discount Ticket Booth various activity . the room clean surprisingly quite spacious . decent bed nice fluffy pillow , ask pillow quickly accommodate . amenity include room microwave , refrigerator , free Internet / wifi . pretty quiet delight stay . child , be definitely enough room cot bring baby bassinet baby . it also include business center believe one could print document free . the downside gym swimming pool , provide room fitness kit complimentary use one order it . parking garage next door $ 30 regular car $ 40 SUV -- 's self - parking allow multiple entry privilege . street parking far -- .5 mile walking distance -- be able find . believe valet parking $ 30 , work rate . I highly recommend hotel definitely stay future . 
 Nov 8 2009 	 little disappointed 	 first room give we , King /Non - smoking , quite smokey bathroom . okay , happen . next room bathroom exhaust fan never stop run , LOUD . ask maintenance time rather move . five hour later , still maintenance ! call someone come immediately solve problem stuff towel , quiet down . so , manager give we 2 comp breakfast . well , make thing bad . breakfast ice cold , send back , come back still cold . decide skip breakfast day . what shame , hotel clean , staff nice , good location . first really think finally find favorite hotel ( always look ny ) . maybe next trip . 
