Great 	 Hilton away great business hotel , Thanksgiving weekend , perfect hotel location go mutliple play . NYC many time , convenience time fabulous . hotel perfectly locate middle everything well well run , good service . lovely high level room . one small , encounter rude breakfast waiter big hurry get shift 11 , odd exception . 
 Nov 24 2009 	 always good service big room great location 	 perhaps 5th stay . love location . five minute walk subway station go everywhere . room large Manhattan start 25 floor really quiet . hotel always clean every request ever ( foam pillow , high floor etc ) meet pleasantly . the bar lovely offer nice view excitement swarm people . fact , one good part hotel opinion size . large enough essential large overwhelming ( not care property like Marriott Marquis reason ) .The negative breakfast buffet . usually receive free status Hilton not would pay $ 25 . plenty little cafe area could get something good much cheaply . 
 Nov 21 2009 	 Great Base holiday 	 hotel 42nd St Time Square . right middle neon however actual hotel 23 floor soon hotel not feel though bust bit . check bit palava early check available everyone arrive similar time . sort though leave luggage porter say would phone 3 room available . never phone go back near 4 room ready . room great much big expected New York . bathroom good decent size clean . mahoosive tv load space include desk ! clean staff really nice . there decent size gym . 
 Nov 11 2009 	 right heart ! 	 hotel pleasant surprise . bring heart Times Square , doubt … think might noisy trash crowded . none thing . thing impressed . 41st 42nd Streets ( Seventh Eight ) , location ' well . restaurant galore within block walk . theater , nightlife , bar , etc . around . room pleasant . clean modern ultra comfy . desk two chair plus club chair ottoman . would stay sure ! 
 Nov 10 2009 	 unique hotel great location 	 return weekend NYC stay Hilton . room large clean , high floor great view 42nd Street . hotel boutique feel seem rather small comparison lot brand name hotel . make stay pleasant . nice intimate bar lobby restaurant well . try restaurant bar great place meet friend drink without crowd find elsewhere . staff friendly helpful although room seem bit pricey , tell other bargain give fact several large convention town , include international hotel show . the location 42nd street quiet despite fact lot go outside . far figure , room start 23rd 24th floor . also location central lot shop , restaurant , theatre & quot ; must & quot ; attraction within walking distance . minor service glitch management staff listen complaint resolve issue completely . would definitely stay would recommend . 
 Nov 4 2009 	 good location room ready upon arrival 	 back 4 night stay Hilton Times Square . hotel comfortable disappoint room ready arrive 2 pm long tiring flight . tell come back 3 pm would ready . walk around area hour kill time want get room freshen . travel elderly parent ( mid 70 's ) exhausted want lie . get back hotel 4 pm room still ready . eventually one room become available 30 minute constantly call reception finally go argued desk clerk . book hotel great review well class hotel would not recommend look get room 5 pm evening . takes long make room available , especially check 12 noon beyond . 
 Oct 29 2009 	 Great Location - definitely Recommend 	 Hilton Times Square perfectly locate visit New York . 's smack bang middle Time Square , around corner Port Authority within walk distance broadway location . staff reception friendly , even place crazy busy ( time ) . look great location , look . 
 Oct 24 2009 	 Terrific Hotel Right Centre everything 	 book hotel many month ago celebratory trip friend get all - clear major health problem , become increasingly worried negative review Trip Advisor . contact Hilton Guest Relations concern , turn forward direct Hotel . I receive email assistant manager , advise nothing worry , form opinion stay . well ! hotel well run , room spotless , ( public area ) , staff friendly helpful . stay Hilton early year , say Times Square one much friendly , mainly bvecause much small . we allocate room 44th ( top ) floor fantastic view , , voice concern , offer we complimentary breakfast morning . staff greet we morning way , also return hotel evening . all , would definately recommend hotel , certainly use next New York . , however , fairly expensive , hey , New York , get pay ! 
 Oct 23 2009 	 gem ! 	 ' fool modest inconspicuous entrance ( one 41st St. , one 42nd St. ) . great property – amenity need business pleasure . ' gem heart Times Square , one walk everything . room large clean , staff attentive pleasant . stay mid - town lot Hilton Times Square become first choice . when read review will always come across ( one reason another ) bad experience . property perfect . take word , place act together . 
 oct 22 2009 	 Best Hilton New York 	 almost like boutique hotel locate heart Times Square . much small hotel New York Hilton , mean much quieter relax . room 29th floor look 41st Street view Empire State Building . room really spacious even king size bed writing desk . great location easy public transport get around New York , Broadway front door , easy walk major attraction etc . check Hilton website booking , often special deal cheap online booking agent . 
 Oct 21 2009 	 Fabulous get good price ! location could not well 	 wow perfect location almost time square ! normally pay priveledge lucky get hotel £ 132 ( $ 196 ) per night ! room massive desk fantastic view empire state building . Carpet furnishing immaculate , safe flat screen tv include . would stay eye blink however unfortunately hotel normally £ 250 per night outwith budget ! 
 oct 9 2009 	 Perfect location 	 great location . room small Hilton good size ny . room not ready hold bag call we soon . 
 oct 9 2009 	 clean comfortable . 	 stay room 2417 October 2 5 . hotel locate 42nd Street 7th 8th Avenues block Time Square within step Madam Trousseau ' Wax Museum New Amsterdam Theatre . find room spacious clean . even though room face 42nd Street , quiet . room contain comfortable king bed , write desk two chair , chair foot rest , flat panel tv , mini - bar , coffee maker , etc . room safe . bath room clean , tub / shower supply three set large towel . air conditioner quiet thermostat adjust desire temperature . check snap . find staff friendly eager please . Traveler ' tip : arrive JFK couple family take license taxi airport hotel . fare flat rate $ 45.00 + tip get room much fast one shuttle . prepaid $ 38.00 ( two one way ) one major shuttle company trip take we two hour pickup drop passenger . save $ 7.00 worth extra time sit mini - van . wish pay hotel price mini - bar libation package liquor store within short walk near 39 Street 8th Avenue . 
 Oct 8 2009 	 WONDERFUL 	 really wonderful stay , front desk good , bar service worst , can not speak highly overall property . 
 Oct 8 2009 	 fantastic 	 front desk staff superb . friendly , helpful willing whatever need . room service couple issue term bring thing room , nothing affect stay . the location central get everything . gym look Empire State building . appreciate location hotel without keep awake noise city . 
 Oct 8 2009 	 Perfect location enjoy city - service terrible 	 would recommend hotel friend simply location cleanliness perfect . love stay hustle bustle Times Square . location also wonderful could walk take short subway ride quickly . like right middle everything . perfect stay New York City . the hotel clean comfortable stay . service horrible . maid would shout hall clean room around 10:00 a.m. people still sleep . also find staff front desk quite rude - willing help us noise issue overall apathetic approach job . 
 Oct 6 2009 	 EXELLENT LOCATION service 	 spend four day stay Hilton Times Square try l might l find fault hotel way staff throughout polite helpful front desk service staff . thank Hilton enjoyable stay . Regards Chic Rodgers . 
 Oct 5 2009 	 overprice quality get 	 really not think hotel worth pay even use corporate rate . Shabby , outdated unimaginative breakfast . location midst crowd , really depend need , would prefer stay somewhere else next time Bi Apple . 
