clean 	 arrive New York train hotel locate couple block Penn Station , location convenient . price reasonable staying city . room clean ( always top priority ) .The front desk staff friendly . breakfast include room include buffet cereal , fruit , bread , pastry , coffee , egg , etc . busy breakfast rush , problem find table . wireless free work great room . my complaint noise level room . could hear everything hallway . neighbor room night could hear door open slam shut every time . 
 Nov 25 2009 	 convenient Clean Comfortable 	 stay night . small room , everything need . 's amazing everything fit small room . breakfast complimentary good . free WIFI available . con vending machine work . receptionist helpful give change dollar see work . even hold bag , really convenient us check morning take tour ny.the parking lot validate parking 2 block hotel - $ 24.00 day - central parking . parking lot right next Hotel - Icon parking , $ 30 day . 
 Nov 22 2009 	 basketball trip 	 reservation mess Penn , try Holiday Inn Express MSG . couple block away although room small , clean bathroom look newly renovate . price right get decent breakfast . overall satisfied experience . 
 Nov 17 2009 	 good -remember NY 	 like stay . room really short remember : ny ! ! price good , free continental breakfast close Macys , Empire state other attraction ! pay U $ 140 dollar 4 people breakfast ! amazing .. 
 Nov 15 2009 	 Fantastic hotel spotless brilliant service . 	 stay 3 night October . staff reception desk unfailingly helpful polite , happy answer query . room compact , spotless . small bathroom shower / bath , also exceptionally clean . hotel ideally situate walk major sight , many place eat nearby . would recommend happily stay . impressed feel offer excellent value money . the negative would lift .... 2 lift 10 ( ish ? ) story , bust hotel make long wait room . 
 Nov 9 2009 	 Location Location ! 	 get back overnight trip Showboat see Daughtry Trump Taj Mahal -- - trump much money - get GREAT deal Showboat - go outside get Trump Arena ! ! ! ! room large ! ! ! ! view overlook ocean ! ! ! ! big bathroom separate room toilet ! ! ! Downside - internet $ 11.60 / day .... wall little thin , noisy . staff helpful -would def stay ! 
 Nov 6 2009 	 prepare hear everything hall ... 	 nice hotel , great location . courteous staff . nice breakfast . allow explain layout hotel , different expect . hotel small footprint . 10 room floor . upon arrival , husband need sleep . find could hear every conversation take place hallway , well elevator opening closing . hear child cry another room , well friend arrive , describe detail plan evening . remedied slightly towel bottom door . fan luggage provide white noise help , without , well .... would make long night . 
 Nov 5 2009 	 amazing impeccable service beautiful hotel 	 stay New York Marathon . hotel appear 100 % capacity , would never know service . every single person encounter treat we like royalty . gloria front desk especially helpful gracious . housekeeping staff friendly help we find great mexican restaurant area . breakfast staff busy , kind deferential . can not properly convey overwhelmed staff 's care . feel much like 5 - star hotel HIE.Breakfast great ample . go thick . 48 chair arrange around 16 table group 2 , 3 , 4 . count concern read previous comment . expand HIE menu include biscuit gravy , sausage , pre - make omelet . quickly refill necessary . coffee available 24 hour . Priority Club member breakfast deliver , like . the hotel locate block # 1 line , 2.5 block Madison Square Garden / Penn Station . 's block way Fashion Institute Technology . neighborhood okay feel safe walking alone night ; crazy street , 's New York crazy block . parking lot next door , $ 28 / day , think . Taxis frequently come , arrange front desk . the business center consist 3 computer lobby . stand level couch near . bring chair , not seem problem . nice fairly large fitness center basement , ice machine vend machine also locate . the room compact , would expect NYC . plush , immaculate , upscale furnishing bed . two double fit , still allow room desk , table , tv area . view speak , except top floor ( ask , be pc member ) . price great ; half much hotel NYC . not know , ' m certainly complain ! though family short train ride away , ' ve decide hotel reasonable wonderful will always stay instead . 
 Nov 3 2009 	 bad price ! 	 room little small always clean . Good AC . staff always helpful . want near Garden . make sure come back room maid staff replenish everything suppose . big wake early breakfast , , full assortment include egg , sausage , bacon etc . easily save $ eat early . would definitely stay . 
 Oct 11 2009 	 great bargain NYC hotel 	 not usually stay hotel NYC , usually stay friend 's apartment . need room one night scheduling conflict . get great deal room location ideal , block Penn Station . staff great . get around noon able let check right away . quickly get back Penn Station take train Long Island , grateful . room nice , clean comfortable . not recall sort street noise . believe Holiday Inn express free internet breakfast , make great bargain . if , reason , find need room NYC , certainly consider hotel . 
 oct 9 2009 	 Excellent stay definitely return ! 	 Holiday Inn @ Maddison Square Garden one good stay NYc . stay many hotel city one good location service money . Times Square , Herald Square , Empire State Building Chelsea within walking distance . Central Park not mind bit stroll . mood take subway get need go , jump within block 2 either direction . minute ride Times Square catch subway anywhere could want go . hotel great condition . room big enough 2 queen size bed sister still able sleep floor . hotel ok 5th person room , unable provide cot due fire regulation . nice continental breakfast morning , budget save pay breakfast . would definitely stay , would reccomend anyone want stay city . oh yeah , also free wi - fi fitness room interested . 
 oct 4 2009 	 get Breakfast early 	 New York hotel within range ' average ' traveller expensive small room . bottom line . Holiday Inn Express reasonably price decent sized room incl . breakfast . breakfast quite literally bun fight . get early wait aimlessly table food well truely pick . say , be great value NYC nice quality hotel . 
 Sep 25 2009 	 great location 	 stay week September . room small clean bed comfy . Gary Manager F - A - b - u - l - o - u - s ! ! ! well ever encounter ! could enough we ! stay HI hotel year one great Gary . hotel within 20 min walk Times Square . close Pen Station . free internet Foyer . Breakfast get busy go early , take food back room . short stay NYC . great value great service . 
 Sep 21 2009 	 Comfortable hotel - great location 	 stay hotel weekend NYC . location excellent , within walk distance Penn Station ( take train ) several subway line . price really could not beat ( probably helps book room 3 month advance ) .Our room small , usual amenity hotel brand , include free internet . not spend much time room anyway . still , comfy bed nice shower go long way . room immaculate . one minor complaint hallway get noisy ; could hear people talk loudly one room wait elevator . free breakfast nice addition price point , though opt eat restaurant one morning could enjoy & quot ; real & quot ; New York breakfast . would definitely stay . 
 Sep 13 2009 	 Great Location 	 first trip NYC decide upon hotel due location value . really good location- close touristy thing want . Time 's Square really close , Madison Square Garden around corner subway easy assessible . hotel offer really low rate city expensive hotel . adequate need . room small , hear standarde hotel NYC . free breakfast include . breakfast area crowd , free , wait patiently . problem experience hotel run linen - no towel wash clothe . call send someone give 2 wash clothe tell would & quot ; share & quot ; . survive overall pleasant trip . luxury traveler , doubt would place , we spend limited amount time hotel vacation perfect ! 
