great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Nov 24 2009 	 go back 	 price care , place . book hotel company price could wait leave . wifi connection terrible go local Starbucks get work do . door guest room slam hard close loudly wall shake . wall paper thin hear everything around . get elevator hit smell old hotel . impress anything hotel . room decent size breakfast restaurant okay . one concierge great next one speak busy count money give we time day . 
 Nov 22 2009 	 great deal . 	 book hotel Holiday Inn affordable price range short stay NY . pleasantly surprised . staff helpful & amp ; accommodate . hotel clean , quiet , comfortable , locate near place need go . fancy place great price . 
 Nov 19 2009 	 good hotel close main location 	 good quality / price relation . clean , spacious room good location 
 Nov 18 2009 	 bargain ! 	 stay hotel previously 1991 enjoy location easy access area city visit - scruffy , run - down establishment become . peculair smell lobby area corridor room delapidate show age . chip paint , peel wall - paper fray carpet feature room along major infestation bed - bug bit extensively ! agree room would fumigated follow complaint appear surprised hear additional room occupant ! know good - stay away ! 
 Nov 17 2009 	 great location fine hotel 	 little worried reading review , hotel turn perfect we . walk distance Central Park , Times Square , Rockefeller Center , etc make life easy we . hotel room clean , little date . clean staff amazing ! front desk concierge overly friendly , not let deter hotel . would stay ! 
 Nov 16 2009 	 Complete rip - off 	 hotel basic particularly convenient part town . party 12 stay two night embark cruise . one night meet hotel bar drink . barman ask two Scotch & amp ; Drys . without comment , pour two measure expensive Whisky could find . charge USD40 whisky . think hope large party may notice , ask average whisky admit USD11 . tip include bill obviously high get bill receive tip . one hotel able help we bar administer separately hotel regional manager would visit departure . careful order hotel get much cash possible . 
 Nov 15 2009 	 bad 	 reviewer find hotel . frankly , read review , apprehensive staying . arrive NY 40th Marathon end many runner seem choose hotel proximity Central Park - big bonus , particularly time year - glorious fall foliage . thing smoke definitely stress ' non - smoking room ' book Tower a. internet access expensive $ 1 x 4 min ( system cheat come print boarding card ! ) . balance would definitely stay recommend friend - central anywhere Manhattan . want really good experience city tour , small group , exceptional guide driver go OnBoard Tours , www.newyorkpartyshuttle.com/tour - great . 
 Nov 14 2009 	 ok price clean room location good hotel could need renovation 	 check late , room twin bed already take , staff helpful give we another room first night , also get free breakfast . 3 star hotel , ok price compare other could find specific time . lobby look good room hallway could use renovation perhaps , do not really matter . room could also perhaps use sound isolation , could hear people hallway room next door . free wireless internet include . overall , price location quite ok . 
 Nov 11 2009 	 Good Value - Great Location 	 first time vistor NYC sure expect find hotel $ 150 per night - seem great deal compare Manhattan hotel research . 5 night stay wife 2 young kid . arrival staff friendly pleased room spacious enough clean . review highlight , decor fade little tired , price Manhattan would hesitation recommend hotel long be look luxury - pay ( significant ) extra $ $ $ 's will not disappoint . read review seem expect pay - 's Holiday Inn discount price . experience , even young kid , will explore NYC time hotel crash end tire day . we use restaurant stay , comment service food . many option eat city stay hotel eat appeal we . location good thing stay hotel , loved fact could walk Columbus Circle subway station minute hop get anywhere city . Central Park also within short walking distance , Times Square Theatre District 10 - 15 min walk away . also restaurant , pub diner nearby want stay close . neighbourhood pleasant safe noisy . kid dark many time feel threaten here . to sum thing , good value hotel situate great location tourist . ever come back NYC , would definately book hotel . not expect luxury price Manhattan . 
 Nov 9 2009 	 not 	 location nice go bad bad walk door . staff surly unhelpful . try charge $ 100 per night confirm writing . room hallway strange smell . room run . bad check immediately go another hotel . intercontinental chain ashamed . 
