way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Nov 23 2009 	 can not beat value 	 one clean hotel stay long time , especially share bathroom . clean unobtrusively , ' m sure . frill , be sure . anytime need anything service - wise , deliver . bring iron room , come straight away fix door lock get stick . old wood - panel elevator quite fun ( slow ) .The room stay ( single ) TINY though , estimate , would say 's 6.5 & quot ; x 14 & quot ; . need though . room sink , sort pain . take room , insistent non - smoking room worth sink . word advice , request , like non - smoking room , try arrive early call early day remind 's want . one oddity : floor four bathroom , two large sink shower , toilet . small bathroom shower toilet sink ! strange . guess 's room sink . inconvenient though ! also know share bathroom hear noise people leave room morning use bathroom . the hotel 's proximity Union Square , major subway hub , make easy get anyplace within 20 - 30 minute . 24 hour Duane Reade drugstore , restaurant delis within block away 3rd Ave . 
 Nov 22 2009 	 great value 	 stay Hotel 17 August 2009 ( 5 night ) .Staff friendly . room bit small ok price ( look outside window could see ... wall ) . share bathroom - many corridor never wait use . clean . 
 Nov 14 2009 	 good location bad price 	 like hotel . great location , couple minute walk Union Square , subway line meet up . the room basic clean . really depend want . want relax stay hotel room kind holiday go NYC ? want place sleep night , maybe watch tv hour bed hotel fine . share bathroom case , however bathroom clean , never wait long use shower anything . also washbasin room handy brushing tooth on . the room air condition , however be sure heating ( hide away bit , switch room ) would advise ask assistance , work ! overall hotel fine , great location see real part NY ( i.e . village Lower East side , West Village ) - rather touristy times square district . particularly like fact locate neighborhood within easy reach everything include cheap cafe small delis etc ... use NYU student really get good value . many hotel similar price nature stick 90th st upper west side example . hotel , far well location , particularly see interesting , buzz neighborhood NY thing . plus nice park across road . 
 Nov 7 2009 	 confusing unhelpful staff good location 	 good location explore Manhatten . room clean adequately ( although mean lavishly ) equip towel toiletry . however , staff not seem train basic procedure ( use credit card machine correctly ) customer service ( issueing apology thing go wrong make difference chap ! ) not expect manager reply email comment / compaint . vibe really could not care less ! nice hotel ; shame service . 
 Nov 5 2009 	 funky ! simple lot character ! 	 Shared Washroom be not problem , always clean , never wait use either : ) room simple , sink mirror , Cable tv decent bed . good location - walk distance everything . staff friendly , hotel quiet . 
 Nov 3 2009 	 clean quiet easy park street ! 	 second time stay husband need . attend banquet every October National Arts Club couple block hotel . keep drive around block find space free long not street sweep post everywhere . tip : take shower early , pressure run husband take ! share bathroom clean usually wait . not need internet room , work lobby sit floor front step , nice quiet , clean place sleep trip city . 
 Oct 29 2009 	 clean comfortable . 	 room much big look picture . share bathroom clean regularly never wait price reflect fact share . large tv room wash basin , mirror etc . plenty towel . staff friendly helpful . close subway , excellent location . 
 oct 1 2009 	 truly awful find somewhere else ! 	 really shock terrible hotel . small , dark dingy look though not refurbish good fifty year . corridor narrow bathroom tiny badly light . room smell musty air conditioning unit loud use ear plugs sleep . there breakfast available one , ancient lift feel unsafe frustratingly slow . moment walk door staff incredibly rude unprofessional . apologise room available reserve take age put rickety old camp bed room already tiny . although bill right top restaurant bar St Marks Place , easily ten minute walk get anywhere , even be fast walker ! make matter bad , not even cheap . could stay youth hostel , pay less , much nice room much friendly service ! 
 Sep 30 2009 	 nice little hotel 	 spend week Hotel 17 , New York City . far decor overall image place go , think Pricilla Hotel movie thoroughly Modern Millie . half expect Mrs Meers pop behind reception desk ask alone world keep ear cock laundry basket sqeaky wheel come corridor ! however , get use bathroom even sink room begin see benefit stay . 's cheap clean staff seem friendly knowlegable New York City . location great , 3rd Avenue 3 block Union Square . room small bed rather dark one overhead light one small bedside lamp . tv . however quiet air con . work well . overall good , basic experience would stay . 
 Sep 22 2009 	 perfection ! 	 price , hotel Gem ! ! ! stay 3 night September . ' m able find even one negative point . be quiet , clean , perfect good , good price . 
 Sep 19 2009 	 Manhattan Gem 	 stay say good . price charge get , make great NYC hotel . ROOMS- prepare , room small not private bath clean decorate well sometimes quirky way . BATHROOM- room . private one good size accordance room size . share one keep well maintain . LOCATION- want keep away hustle & amp ; bustle Gotham night , area little oasis away . near several small park like Gramercy , Stuyvesant & amp ; Union square . look go , mid downtown subway minute away . walkable distance Madison , Tompkins & amp ; Washington square . parking- parking site handy underground garage nearby . look pay $ 45 per night . FRONT DESK- usually quick service without line - up large hotel one time tell over - book ask stay hotel 31st . drive many hour already find parking , tell would demanded honor reservation . figure not go move , miraculously find room . bicycle rental nearby across 3rd avenue 17th st . unless be look stay near nightlife Times Square /Midtown/ theatre district , perfect budget choice . 
 Sep 14 2009 	 still Great Value NYC 	 spend night gap 30 month since last stay , pleased report Hotel 17 still great value 's location . well value , service friendly , room clean internet free ( get room 2nd floor need wireless access room ) . not put share bathroom - condition fine , well clean , never need wait take shower . Manhattan cheap place sleep - Hotel 17 continue provide good value choice save dollar good food shopping ! 
 Sep 11 2009 	 Charming Hotel Good Location Recommended Budget Travelers 	 stay Hotel 17 three night , really satisfied stay . 2 - 3 minute walk away J line 14th street , 's good neighborhood . single room small adequate . importantly , clean . share bathroom much problem ; rarely see anyone else always vacant bathroom need one . spotlessly clean daily . a couple point consider : -My room sink . room similar hotel in - room sink . room Hotel 17 may - ' m sure.-there people sit stairwell laptop , apparently get well internet signal . wireless signal pick room worked.-The front desk staff quite friendly helpful . staff housekeeper dress like traditional hotel worker quite charming.-there nothing sketchy neighborhood hotel.-They luggage storage day check , case take later train / flight . as long rate stay reasonable , would definitely recommend hotel likely visit . 
 Sep 2 2009 	 Great Location Great value 	 stay four night mid - August -- choose primarily location , use live neighbourhood want close East West Villages , definitely perfect . make sure get private bathroom , room absolutely fine : big enough , somewhat gloomy eccentrically decorate ( source wallpaper ? ! ) clean , importantly NYC heatwave , cool . staff never less helpful courteous would definitely recommend go back . niggle book many month advance , have ask room view ( well , think worth shot ) instead get second - floor room window looking verrrrry narrow alleyway . still , be bad thing say : otherwise excellent value money , central comfortable . , interestingly , quiet . despite predominately young crowd would see come foyer hang round , never hear soul night . great stuff . 
 Aug 28 2009 	 great place stay Mother - Daughter trip 	 Awesome value ! travel NYC 19 - year old daughter six night stay worry safety . share bathroom clean often day always available need . find Mariella 's Pizza around corner enjoy slice almost every day . subway locate within easy walk distance . day , find either open air market art show Union Square . planning return trip hesitate stay Hotel 17 . 
 Aug 25 2009 	 cute affordable great location ! 	 NY two night staying make comfortable . staff friendly , room CRAZY clean ( mattresse brand new wrap special plastic ) , location great -near Union Square easy get everywhere NYC via subway . delis , pizza place , restaurant , liquor store right around corner . absolutely stay ! 
 Aug 21 2009 	 Perfect low budget hotel - even though share bathroom ! 	 go NY due intervie job . concierge staff friendly helpful go recommend . sure room perhaps fancy everything need room towards garden quiet . AC bite loud though awake 18h bother sleep . even though bathroom share , could never see anyone prior ( unless close door take long shower ) . location perfect ! subway station max 10 min away , internet cafe 3 block away , many beauty salon restaurant close . love walk therefore walk half NY noticed location hotel much close everything think . definitly pleasant experience , would definitly visit Hotel 17 future ! : ) 
 Aug 16 2009 	 great location hotel lot character 	 stay Hotel 17 one night pretty pleased . recommend Lonely Planet find never go terribly wrong . place lot character , even though share bathroom facility always clean never wait . thing air conditioner quite loud effective , internet pretty patchy . location definitely make though .. even though be near bustle street , quiet lot restaurant cafe , couple park near live music street vendor . recommendation another Hotel 17 reviewer , head Sunburst great deal huge breakfast . general pleasant stay would definitely go back . 
 Aug 10 2009 	 EXCELLENT BUDGET HOTEL ! 	 excellent hotel budget . spend two night teenage daughter . share bathroom bit problem ( remind college dorm ) , never problem get access . hotel clean locate quiet neighborhood , far Union Square access wonderful mass transportation system . great asset , course , price . spend amount money spend first start go New York regular basis . . . fifteen year ago . would highly recommend hotel someone tight budget ( not day ? ) willing share bathroom . 
 Aug 3 2009 	 good hotel price definitely recommend 	 special hotel , clean ( common bathroom ) convenient location , good value money ! stay weekend single traveler definitely recommend hotel . 
 Jul 27 2009 	 good value NYC 	 stay week November 2008 . third time NYC . first time stay W Times Square frank though Hotel 17 slightly par W ( course W bathroom ) . give , take extra cash spend nice dinner new clothe . room clean , quiet ok size . bathroom always clean never wait . staff courteous enough . stay . 
 Jul 22 2009 	 Amazing Budget Hotel great location - gunna lie ! 	 , 18 year old young woman Toronto decide take day travel NYC glad choose hotel . not obviously glamourous place get single room share bathroom . four bathroom floor never encounter problem accessing bathroom . wall little bit thin faintly hear neighbour , that s expect guess old building . small elevator , charm . staff friendly left luggage check day go airport take care problem . 7 minute walk Union Square 14th street station , great , close 3rd avenue recommend place nearby breakfast , think call Stardust cafe something ? good breakfast , little pricey though . oh , could not get AC work , not really problem . overall great value need . 
 Jul 15 2009 	 great value location 	 stay single room sink share bathroom . Room oddly shape , clean , quiet , cool place relax . hotel quiet , great character helpful desk staff . share bathroom clean ( although , one occasion , quite wet ) inconvenient worried would . location great - nice neighbourhood close subway - price , excellent value . 
 Jul 14 2009 	 can not wait go back 	 stay 8 night couple friend triple room . 's dark art deco , ooze character charm . basic brilliant . staff friendly unintrusive , share bathroom always spotless rarely busy . free fast wifi room , comfy bed , clean sheet , yeah ! spend day hunch computer look perfect budget hotel trip lifetime find Hotel 17 . close dive bar East Village , shop Soho , dinky diner corner serve pancake 24/7.ca not wait go back wee gem . Miss madly ! 
 Jul 9 2009 	 small brilliant 	 stay hotel 2 time . time 5 day really love . staff helpfull help anything locate near good breakfast place town , Sunburst . location great first time visitor middle many great thing still near subway . room small nice hotel really get personality . share bathroom clean enough . look cheap , cozy place stay would recommend hotel anytime . 
