Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 Nov 14 2009 	 wonderful 	 spend 4 night hotel . first slightly disappointed room size ( 350 sq ft advertise ) bathroom also small . fan pedestal sink ( put stuff table hall next bathroom ) . also light good makeup application . end stay think trivial compare yummy healthy breakfast , afternoon wine cheese , fabulous service ( really nice helpful staff member ) , fabulous king size bed ( ' m picky mattress ) , comforter pillow , excellent internet service room , overall genteel , quiet feel hotel . keep window open night could hear street noise ( even top floor ) bad . location turn good . walk moma theater , subway close basically central . not want leave . yes , would ( ) definitely stay . 
 Nov 12 2009 	 Shabby chic 	 enjoy stay Hotel Elysee . conveniently locate side street make hail cab bit challenge . first night street noise almost drive insane seem quieter weekend night . bed bed lovely . afternoon wine nice ; breakfast quite adequate include . wish one elevator . the Hotel European feel carpet need replace otherwise quite pleasant . 
 Nov 1 2009 	 Excellent experience NYC 	 come NYC celebrate birthday . Hotel Elysee provide excellent experience ! hotel welcoming provide great atmosphere helpful staff . nice surprise find complementary bottle wine chocolate room upon arrival , congratulate birthday . excellent eye detail . would recommend hotel anyone , especially special occasion want enjoy city ! 
 Oct 30 2009 	 safe small feel like home away home . 	 stay Hotel Elysee exclusively last 8 year . love location homey feel small hotel . downside rather small bathroom . especially love daily breakfast serve living room style common room lobby . 
 Oct 28 2009 	 love place 	 spend 7 night Hotel Elysee . room fantastic , spacious comfortable 15th floor ( think upgrade we ) . staff pleasant helpful . breakfast fresh fruit bonus , wine cheese Monday Friday evening ( wish Saturday Sunday well ) . love location make good use subway foot . Monkey bar lively food good - lot good food NYC ( pity extra kilo ) . stay great - Hotel Elysee make even well . 
 Oct 28 2009 	 lovely staff free use computer nice breakfast . 	 hotel kind european ambiance - one efficient elevator , small , intimate . 
 Oct 15 2009 	 Diamond rough 	 excellent location central park , shopping 5th ave . , metro stop etcQuaint , cozy , perfect retreat hustle bustle Manhattan . 
 Oct 15 2009 	 Service orient charm sweet location snag 	 NYC room size price must taken account make assessment . pay room , could Ritz Chicago . positives : room , large , room two chair , two window open , armoire ( w / flat screen ) , cabinet - enclose refrig , king size bed -- flank desk ( mirror ) one side end table . love love LOVED enter foyer face large mirror , double - doore closet . ' ve enter room , could choose walk step half right enter compact , single - sink bathroom ; could turn left walk 3 step threshold actual bedroom , helty door . compensate small bathroom size , avoid shut bathroom door instead close bedroom door . , hallway front closet sense space provide add bathroom 's actual square footage . the bathroom use space . shelf male lack counter space small window make lack fan -- pretty much . another plus attention guest . need assistance smoke alarm battery start beep evening . husband call desk , gentleman ring doorbell within 3 minute . must run stair . like magic quick get door . yes , sid doorbell -- nice touch ! soap line well appreciate also . we love breakfast ! ! ! service provider toast bagel bread clear away dirty dish quickly . convivial atmosphere -- couch look 54th w / other patron -- make easy conversation relaxation . fresh fruit fantastic . the wine cheese fabulous , enjoy Friday ( saturdy sunday service ) .The desk door personal swift unobtrusive . negatives:1 . internet totally unreliable . try wireless plug - in . occasion could stream video , 9 time 10 could not get past browser . Huge Bummer ! 2 .. carpet stain throughout room -- pretty unappeale unacceptable.3 . mattress less luxurious . good mattress acceptable , about.4 . three issue make less luxury experience , shame fixable issue , thing considered.5 . computer business center helpful could get boarding pass get front desk print . Virus ? : 400 dollar night plus TAXES , stain carpet unreliable internet simply issue . dreamy versus barely acceptable mattress give hotel , well . on hand , Monkey Bar next door fun place drink positive well appreciate . we opt room face & quot ; quiet & quot ; street , like view little bit light really need . Jack hammer appreciate . however . I would stay know look for . my husband dubious repeat visit though . 
 Oct 15 2009 	 Unexpected Luxury amazing staff ! 	 girlfriend choose hotel we meet New York . 's Rome arrive could see choose . european appearance service . clientele much old , mid thirty think young couple entire hotel . would choose large hotel like one W hotel Westin Times Square . love place minute arrive . upgrade suite celebrate birthday . suite large , traditional . bed extremely comfortable shower great water pressure . desk staff helpful know neighborhood city well . recommend Ben Benson 's steak , world . theatre ticket next night tell we try Montenapo new italian restaurant . pasta absolutely fantastic . also helpful direction give advice , like use subway go Battery Park instead take taxi . hotel also Monkey Bar . stop one night drink head - crowd tell host guest hotel go way find we table . bar fantastic , great cocktail great atmosphere . see vintage wall painting ! , great time New York . even though generally not choose small hotel , pleased stay . already , choose date return Elysee January . 
 Oct 12 2009 	 hugh room ! 	 book Hotel Elysee comment . ' ve NYC one time , 10 year ago , stay Sheraton , also midtown , room could barely turn around , plus expensive ! simply floor see room Hotel Elysee . probably 20 ' x 30 ' , view 3 side ( brick wall ) ; seat area couch , chair , coffee table live orchid . also fireplace , desk chair , good king size bed ever . bathroom also nice size nice amenity . also wonderful breakfast room , great continental breakfast . get Crown Princess cross north Atlantic , hotel 's pastry far superior ship 's . also serve cookie afternoon , wine cheese evening . complimentary . location hotel also great -- north Park Ave . N 54th St. Close everything nice neighborhood . 
