stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 Nov 25 2009 	 decent place stay 	 stay one bedroom terrace suite 10th floor - lovely well equip room . other speak low floor say traffic noise stop sleep - make sure go high floor . the breakfast basic lovely - cereal , fruit , bread . the location good , there s fantastic place eat right next door . our room not ready get , tell come back 3 . tell go , clean still wait long - little grumble . doorman polite helpful . would recommend , would probably try somewhere different return ny . 
 Nov 25 2009 	 great find ! 	 destination hotel every time visit NYC . Giraffe intimate , beautifully decorate , friendly . room well appoint free wine cheese evening breakfast morning make full package . hesitate tell people want 
 Nov 24 2009 	 favorite hotel New York 	 love Giraffe . stay one night get kind promotional rate room , upgrade we -- free -- suite . facility immaculate , service fantastic , breakfast delicious . way home , forgot poster buy , hotel call cell phone could call . even fedexe free . great hotel . 
 Nov 21 2009 	 wonderful stay wonderful vacation ! New York well . 	 thank much suberb stay . lovely family hotel room situate middle everything ... 
 Nov 19 2009 	 Unique Consistently Excellent 	 spend four night Giraff long weekend . disappointed intend travel companion cancel , prepared find fault . however , everyone helpful efficient arrive could not find . room amenity request . balcony fun addtion ambiance . nearby Madison Square Park little jewel . go watch dog play will great day sure . the breakfast buffet wonderful convenience offer wonderful variety . wine cheese party evening welcome stop way out . it restriction amenite room service - get takeout restaurant . go block eat restaurant use - food excellent . use stay boutique niche hotel might find disconcert , bu easily mde relaxed atmosphere personal attention service . employee quickly recognize acknowledge area . maid fun chat elevator . the free internet access plus really feel welcome lobby - newspaper laptop borrow check mail . Hotel Giraffe far downtown usually stay , would definitely book recommend friend . 
 Nov 18 2009 	 great find 	 NYC native , lot family still reside . bring boyfriend first time . first , location excellent . especially we , since dad live 4 block away ! second : hotel quiet , hard find hotel situate one busy avenue city . never hear guest 8 day stay . we love roof top terrace , use often . complimentary breakfast nice touch , sufficient option , although manage couple day . wine cheese reception also nice , choice one red , one white , Prosecco , well variety cheese cracker option , finish crudite offer . staff accommodate , never intrusive . housekeep wonderful job every day , never interrupt we still room . minor complaint trouble key get room . 90 % time , would take several , sometimes 15 swipe get room . , say minor complaint . also , would appreciate little water pressure ! , gem hotel great location . can not wait return ! 
 Nov 18 2009 	 pleasant surprise land money grabber ! 	 hotel bargain great section ( low Park , near Little India ) . staff pleasant , room small fresh clean , evening get - together akin B B Manhattan hotel , breakfast satisfactory . parking $ 34 day , bargain Manhattan . nice area walk , . place find ! 
 Nov 16 2009 	 gem ! 	 like Hotel Giraffe ? location convenient great area city . enjoy hotel 's evening wine cheese social . even someone play beautiful black grand piano elegant lobby . breakfast pleasant every morning . offer assorted cereal , fresh fruit , egg , pastry , yogurt , bagel cream cheese peanut butter juice . morning hostess would prepare coffee order get morning great start . lobby four different stack newspaper read take room . our room Juliet balcony love stand watch sight . great view start Veteran 's Day Parade . room spotlessly clean every day freshen evening . the staff eager help restaurant , sight direction . take advantage help knowledge city . pleasant boutique - style hotel pleasure visit . 
 Nov 16 2009 	 excellent stay 	 Park Ave , 26th St. , hotel convenient location . upon arrival , upgrade junior suite due availability , virtually additional cost . room nicely decorate , calm , touch high tech ; nice LCD tv living area wireless computer access . room comfortable , small balcony overlook Park Ave . ( great view ) . bedroom average size ( big NYC accomodation ) bathroom nicely do large space available toiletry . hotel look like refreshing , leave favorable impression . complimentary contintnetal style breakfast main lounge great way start day , evening wine cheese bar nice , welcome , touch . price excellent location time year ; total charge $ 300 per night . I return visitor . 
 Nov 13 2009 	 great find 	 hour scrutinise hotel review , finally decide Hotel Giraffe first visit New York disappoint . location great , handy Empire State Building , Macys etc . staff great , lovely breakfast , good choice croissant , bagel etc . cheese wine bonus manage back time . would recommend hotel anyone plan trip NYC . hope return hotel next visit . 
 Nov 8 2009 	 always stay Giraffe 	 Giraffe well locate -- quiet area , shop restaurant within easy walk distance -- quiet comparison town hub - bub . accomodation pleasant staff always accomodate . feel welcome . 
 Nov 6 2009 	 Comfy hotel easy location 	 ' m happy choose hotel 5 night stay NYC . location great several reason : -easy hail cab ( Park ave ) -close subway stop - entrance hotel 26th calm area , enter / exit building not feel rush / busy - Gramercy area lot good restaurant easy walk distance - whether be going uptown downtown , long trip / distance due hotel well situate . I look hotel quiet enough want sleep late ( afternoon ) , good choice . 6th floor , happen corner room , never disturb noise come hall room . double pained window help keep lot street noise , , although use earplug 2 night early morning construction st . darken shade also help get extra shut eye . I request mini fridge stay get charge extra , nice . 2 bottle water deliver turn service , always something drink . wifi great , trouble get signal keeping connection whether room downstairs lobby / sit area . I not breakfast , stop cheese one night delicious ! lay nicely wide selection cheese cracker along raw veggie dip . the bathroom lot counter space complimentary umbrella really help we rainy weather . ( see available downstair need 1 per room . ) be also door bedroom , helpful someone still sleep make noise part room . the slight negative thing think couch room not offer much support . arm fabric bit slippery , work computer sit area room little uncomfortable awhile . unplug lamp two get charger plug ( cell phone charger laptop charger 2 people , 4 plug ) , not problem we . 
 Nov 5 2009 	 great location great breakfast great cheese great time 	 enjoy time , complaint , many hotel like wine cheese gathering piano bar , well great bagel paper . 
 Nov 5 2009 	 HIdden gem NYC ! 	 find Hotel Giraffe quite accident wonderful time elegant property . complement staff enough great service attention every detail . room spacious , nicely appoint , update . pleased find plush robe complementary water . morning complementary continental breakfast available lobby , nice way start day . hotel short walk subway prove add bonus we . busy day shopping touring city , pleasantly surprised evening wine cheese reception lobby . nice way relax head dinner . New York truly city never sleep . be ready sleep , would highly recommend Hotel Giraffe , hide gem busy city . 
 Nov 4 2009 	 Excellent hotel friendly staff would recommend 	 wife , daughter stay Hotel Giraffe one night late October . arrival departure staff friendly attentive . also considerate 11 year old daughter make we feel welcome . the location convenient close subway site NYC easily accessible . buffet breakfast fresh , evening wine & amp ; cheese selection nice start evening . I would recommend hotel anyone look good value , comfortable hotel . 
