perfect 	 stay Hotel Mela wonderful experience . boutique hotel staff ambiance make immediately feel home . lobby small comfortable . accommodation spacious comfortable , bed luxurious . location great , block walk mall nightlife would interested . look forward return NYC hesitate stay Hotel Mela ! ! 
 Chic Oasis Central Location 	 stay Hotel Mela Thanksgiving week , visit friend city . overall find hotel centrally locate , modern decor friendly service . the hotel centrally locate , block Times Square . service lobby friendly professional , decor chic . arrive room , find Superior room quite small , recently redecorate , chic decor . everything clean find expect amenity ( tv , closet , fridge , etc ) - appreciate free wifi . bed extremely comfortable . I would definitely stay . 
 Convenient 	 husband stay Hotel Mela 5 night Thanksgiving Holidays . lobby small , trendy . check - in smooth , dealing staff . elevator tenth floor room quite slow . minor complaint . room good size NYC . stay Executive King please amenity . shower toiletry great . the real complaint comfort bed . use pillow top mattress fould Hotel Mela 's firm . also , pillow weak . big complaint smell come A / C unit . know urine smell hit nostril moment step subway ? well , smell fill room whenever turn air . would slept window open , window face air shaft full trap , stagnant , hot air . think typical room Hotel Mela . unpleasant , think weird , fluke thing happen stay . let add , smell faint moderate , present nevertheless . overall , great stay . conveniently locate heart action . hotel literally step away Times Square . probably stay simply b / c enjoy try new hotel , good buy moderately price traveler . 
 Fantastic ! 	 great experience . first say staff Hotel Mela nicest helpful ever encounter . go way make sure stay enjoyable . upgrade we free , gladly hold luggage , answer question actually seem happy . read room ridiculously small definitely . grant two twin bed room comfortable . decor pretty clean . yes , bathroom small lot counter space shelf sink hold great deal . course location fantastic ! half block heart Times Square ~ could ask for . I would highly recommend Hotel Mela definitely stay next time go NYC ! ! ! ! ! ! 
 Nov 24 2009 	 lady group 	 return enjoyable trip n.y , stay mela.what gem , wonderful location , helpful staff , room though small side immaculate , stylish , lovely bathrooms.the restaurant reach come hotel walk next door ! ? ? connect door need ! nevertheless staff make , excellant breakfast choices.big thank lady concierge manage get we wonderful show seat . 
 Nov 18 2009 	 good bad 	 return stay hotel . arrival bit shadow long wait room ( three hour ! ) . people check arrive find difficult understand able check room bit soon . book last Minute superior queen room book form . apparently word queen name bare 's relevance size bed think deceive . room give hot water small could not actually place either suitcase anywhere bed . really exaggeration ! ! fortunately due hot water problem give another big room . not get single apology hot water problem wait husband tell specifically room move extra £ 60 per night . fact matter hot water work first room fault sure point appropriate ! ! overall find service bit unfriendly unhelpful , ask couple question stay reception make feel like inconvenience ask . 's negative ! location hotel excellent , fixture fitting room nice . when go leave 5 pm advise hotel cab hard come time driver would rather stay local trek airport rush hour . arrange car we cost cab pick airport . grateful say give we different impression experience stay . hotel ups downs service , would not choose stay really would always prefer stay different place experience new thing . book would call hand ask room size , think able put suitcase floor room little ridiculous ! ! 
 Nov 16 2009 	 nice hotel great location Time Square 	 nice hotel . staff helpful . room small adverage room New York big ' ve see Rome . bed one comfortable bed ' ve long time . draw back small room could hear people hall way night . location great . one block Time Square 5 block 30 Rock 5ave . want see show hang near TS good option . 
 Nov 13 2009 	 great little boutique hotel slap bang middle New York 	 hotel really nice little place boutique feel . double room quite small stylish everything need - comfortable bed , walk - in shower , flat screen tv etc . staff really helpful friendly . location outstanding Time Sq Broadway . not eat breakfast , go road yard deli great food cook front we . get room priceline pay £ 120 taxis would usually pay hotel room pretty good New York standard . final night nice hotel would happy stay opportunity arise . 
 Nov 9 2009 	 happy stay Hotel Mela 	 hotel fantastic location ! right near Times Square , short walk subway Bryant Park . executive room put we room 11th floor right next elevator . room long narrow , bed tv far apart possible , otherwise , room good size , bathroom clean elevator barely audible . staff friendly helpful , free wi - fi nice treat . would definitely stay next trip , ' m city business . 
 Oct 30 2009 	 tiny cozy rooms.quiet enough 	 reasonable price room great location . broadway min walk , surround restaurant cafe . accessible atms , 24/7 drug store , office late night good kebab stall ! ur look room like hotel chain , . need cozy bed , accessibility & amp ; convenience , be right place ! staff friendly attentive . though would not use computer / internet service near gym 's definitely ripoff 
 Oct 29 2009 	 Great NYC Hotel 	 come back four night Big Apple , first trip NYC . pick Mela base good review website always let we down . arrive 3 pm good flight , room ready slightly disappointing tell would available 1/2 hour . return find upgrade big room , make ready arrive . hotel great location , short stroll Times Square close number subway station . room plenty big enough , good facility , plenty hang storage space clothe good sized bathroom walk - in shower . staff always friendly willing help , include book car return trip Airport . 11th floor noise come air conditioning , advantage one main avenue like chain hotel . plenty place eat drink close , breakfast Red Flame Diner ( 44th street , side 6th Avenue ) excellent . go Irish Bar & quot ; Perfect Pint & quot ; 45th street good atmosphere good choice beer ! would quite happily come back stay Mela . 
 Oct 23 2009 	 Trendy Hotel 	 first stay & quot ; boutique ' hotel . Hotel Mela nice , trendy- way like splurging . located heart Times Square , walk distance Times Square attraction include Virgin MegaStore , favourite place TS.Mela 's front doorman attentive , friendly seem attractive signature black suit wool overcoat winter . room small , NYC except big splurge hotel . amenity nice everything lobby room look trendy . I would stay Mela want stay Times Square . 
 Oct 20 2009 	 Great Hotel 	 wife stay Hotel Mela past weekend wedding anniversary . not really anything negative say . want nit picky , room little small . however , not spend much time room . NYC ! ! bathroom fine plenty big enough get ready . room clean bed comfortable . construction front noisy room day . however , like state early , not spend much time room . start begin stay , everything great . 3 pm check time . show around 10 am ( Saturday ) drop bag start sight seeing . low behold , room ready . let we check 5 hour early . - yes room little small , clean . room NYC little small side expect . location great - block half away Times Square . close enough walking take 5 minute far enough away not hear noise . staff super friendly eager assist way . room rate reasonable - big decide factor . go back NYC stay would recommend traveler . 
 Oct 15 2009 	 Great Hotel - Great Location ! ! 	 right Times Square - close everything ! ! ! love smell apple Lobby - absolutely love 
 Oct 14 2009 	 yard Times Square trendy boutique hotel . 	 Hotel Mela cool little boutique hotel right middle . location could not well , literally right around corner film Good Morning America Times Square . hotel nice , room kind small , hey be NYC think room small . hotel clean , comfortable bed , great service . would definitely stay . 
 Oct 12 2009 	 Give Perfect Review + Usually be 1 + Review - Integrity TripAdvisor Compromised 	 get suckere stay hotel room small circus midgets base & quot ; review & quot ; TripAdvisor . checked realize truly tiny room wonder hotel receive three star . notice virtually everyone give 5 star - 's insane - even four Seasons get many perfect score . do understand say ? 
 oct 9 2009 	 middle action 	 hotel staff exceptional . long morning travel 5 am 1030am staff check we early could shower feel human rest day . whenever need anything staff make sure take care of . the room great bed comfy . initially concern right next elevator street sound , elevator sound sound anyone stand directly outside door . hotel 's location excellent , hundred yard time square within walk distance theatre 5th street . reserve room Hotwire.com please still give we excellent service even though bargain traveler . 
 Oct 8 2009 	 cozy hi - tech space great mom - daughter weekend right Times Square . 	 11 - year - old stay first trip NY city , wonderful . convenient Central Park carriage ride , shopping Times Square , deli hot food , great restaurant brunch , convenient Broadway ( catch Mary Poppins . ) bowl fresh apple sophisticated lobby help hotel live name , flat - screen tv room ( tiny ... bed take space , seldom ! ) nice touch watch Kids Choice award evening , tired . highlight trip daughter Blue Man Group . ( see photo ) . 
 Sep 19 2009 	 Great Location great hotel - need say ? ? ! ! 	 ' ve return first trip NYC stay Hotel Mela . service great , room good size , even see review room small . hotel Times Square , great base explore city easy link subway . would definitely recommend anyone want fab location city break . 
 Sep 16 2009 	 great location value ! 	 book room priceline 60 % room 's price . bonus # 1 . room large NY , clean , feel cozy . bed cozy , safe room , staff helpful . annoying part scented candle entrance - make main floor smell like spa - great first , overpowering , annoyng . , love hotel . also , location , location , location ! right next Times Square , 5 minute walk sight . 
 Sep 14 2009 	 Loved Hotel 	 good time Hotel Mela . 's small comfortable nice amenity excellent staff . especially want thank Josh front desk . excellent even give direction italian restaurant . great time definitely stay . thank , Josh ! 
 Sep 14 2009 	 Perfect Location Hotel 	 Hotel Mela perfect hotel 2nd visit husband ' 1st visit Big Apple . holiday typical " Tourist thing " stone ' throw everything ( Times Square especially ) could well . hotel lobby quite small funky . executive room ( kindly get upgrade ) perfect . room perfect , huge small either . however , see superior room one day would definitely find small two people . advice go executive room . stay room 1007 perfect location . view , face wall wow quiet . noise ever . bed soooooooooooo comfy . really nice room arrive back everyday . also spotlessly clean .Only complaint bath would nice soak 10 hour day Woodbury common get everything else great . husband birthday send complimentary cheese board wish happy birthday really nice touch . staff hotel super , friendly false think find lot hotel day ! never eat restaurant close everything nice try restaurant away hotel . eat breakfast 3 time Red Flame street ( hotel leave ) , typical american diner great french toast , pancake omelette . would highly recommend hotel anyone want close action far enough away bother people look huge room . GREAT value 
 Sep 10 2009 	 U.S.OPen 	 go New York see U.S. Open decided also see litttle New York . Hotel Mela perfect location . minute subway train . 7 train half hour ride open met stadium . ! /2 block time square . heart theater district many fine dining establishment close . hotel offer bistro serve breakfast , lunch dinner discount hotel guest . hotel clean staff pleasant . consierge service especially helpful need show reservation . wife wonderful experience . 
