great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 Nov 17 2009 	 well - locate near Pennsylvania Station 	 Hotel Metro West 35th Street New York City well - locate we since travel New York City Amtrak . staff courteous , friendly helpful . room clean attractive , bathroom , , small . good feature hotel breakfast buffet , good bagel , fresh fruit coffee . price never fix hotel . vary season season . seem favorite stop place UK visitor arrive en masse ! 
 Nov 17 2009 	 Great Hotel Great City 	 spend week Hotel metro 30th birthday 3rd november till 10th . apart great new york traffic way hotel trip nothing sort outstanding . hotel staff great espcially Ann organise ticket go wait we get . stayed 9th floor great view empire state building . room clean arrival clean every day . breakfast boun restaraunt/ living room never really busy . thing complain would make whole experince worth hotel helped trip little worth . would highly recommend defo go to stay . not expect much sleep city truly never sleep . 
 Nov 4 2009 	 GREAT HOTEL PERFECT LOCATION . 	 stay metro week june 2009 love it.this 5th time new york first time hotel , would definately stay again.book confidence , dissapointe . 
 Nov 4 2009 	 ROOM position 	 Room overlook building site . ask change tell room . carpet stain threadbare Staff wrere friendly exception Matthew doorman loverly manner , Stayed think would never return . however , tell hotel makeover since thought would come backNever AgainK 
 Nov 4 2009 	 Excellent hotel 	 stay week art deco hotel & amp ; love . upgrade suite 12th floor , great & amp ; clean . complementary breakfast excellent , good choice & amp ; coffe / tea available free day . receptionist & amp ; doorman extremely helpful & amp ; friendly . hotel well situate sightseeing , walk mile also use metro & amp ; metro & amp ; bus United Nations ( metro card reqd bus ) . walk across Brooklyn Bridge fantastic , view Empire State Building . need visit Empire State early queue long problem hotel close .We love everything hotel & amp ; would stay . 
 Nov 1 2009 	 Smal perfectly form ...... 	 stay hotel Metro first time August , Depeche Mpde concert MSG . room small - bathroom door could not open fully hit bed , everything perfect work order clean . roof terrace amazing suntrap nice afternoon dirnk . macey right end street , Madison Square block Times Square Central Park within walk distance . staff polite really helpful -they seem please be not first time New York first time .... try book late November trip would definitely stay Metro . pleaseant good trip 
 Oct 30 2009 	 lovely boutique hotel close everything 	 stay long weekend Hotel Metro pleasantly surprise accommodation service . accommodation clean decor 1940 's & quot ; trendy & quot ; one feel like step back time . free continental breakfast library area nice way connect other . roof top terrace beautiful stunning view Empire State Building . drawback : size room bed . room teeny , tiny bed full size , be use least queen size teenage daughter . however , NYC , rarely stay room except sleep , not huge drawback . definitely stay ! 
 Oct 29 2009 	 Watch cockroach ! ! 	 please ... save money grief stay hotel ! last day stay discover extremely large cockraoch room ( actually bed ! ) . brother fiancee proceed tell also see roofdeck ( stay 12th floor ) .on complain front desk proceed ask & quot ; want we ? & quot ; manager refuse even speak absolutely insist come hiding desk . proceed tell formal comlaint procedure could authorise kind refund compensation . changeover day - busy day week ! consequently leave polite letter complaint senior manger still wait reply 3 week later ... will not hold breath ! probably bad customer experience ever encounter poorly train staff clearly know handle complaint . work tourist industry certainly way go ! total shamble would want one else go nasty experience . also make wonder else lurk hotel 12th floor roof deck ... not even want think kitchen ... 
 Oct 28 2009 	 disappoint package 	 hotel good , clean , tidy , friendly good service , breakfast fine . location great sightseeing , good . beware book agent : e B offer Mini double room @ £ 200 00 + night . ! ! ! luckily sympathetic receptionist first night able upgrade we far nice room . please take mar hotel sell room agent directly general public . would return Metro would book direct future . 
 Oct 24 2009 	 perfect bad ! 	 sister recommend hotel stay couple year ago find ideal week - long sight - see holiday . check - in advise upgrade room two double bed 12th floor ( one penthouse ) surprise spacious hear room NYC could little small side . decor room quite dated lighting dim clean bed extremely comfortable . room well equip safe , iron iron board minibar aware item minibar box top sensor - remove 20 second charge ! whilst complimentary breakfast nice touch , decent orange juice , coffee , toast , muffin & amp ; pastry , bagel , cereal , etc , room provide little cramp overstuff chair could use due lack space . cup , plate cutlery provide plastic toaster awkwardly locate corner always crowd - could done another . however , convenient save we go look somewhere eat morning . the location hotel fantastic - behind Empire State Building Macys half block away Times Square seven block away ( 10min walk ) view rooftop terrace amazing . we go back NYC within next year week not enough see want see definitely consider stay Metro . 
 Oct 23 2009 	 brilliant hotel great location 	 stay 6 night , upgrade two bedroom suite 10th floor , clean hotel , friendly helpful staff . hotel location perfect two minute macys empire state building . definitly would return . 
 Oct 20 2009 	 First Time New YorkGlad stay Hotel Metro 	 great hotel . stay room 916 . clean room , nice bed , heater AC work great . side hotel 's view . , want room service go stair Metro Grill , place order , bring . b / C do not Menus Room . want croissant breakfast careful alot Garlic ! great location able see Hearld Sq , Macy 's , Empire State Building , Time Square day ! ! also see Madison Sq garden 2 3 block away . 
