Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Nov 26 2009 	 recommend 	 clean hotel , near subway station . room 4 person bit small , clean quiet . lot shop , bar cafe near hotel . hotel staff friendly helpful . would choose hotel visit New York next time . 
 Nov 26 2009 	 Basic hotel clean room good location . ok value money 	 NY City hotel expensive . HOtel Newton give decent value money . we get room actually quite big compare NY standard . hotel face street ( Broadway ) quite noisy . anyhow room clean absolute ok . ny romantic holiday spending lot time room would book elsewere , clean , nice place sleep sightseeing ny good alternative . the location nice . 40 meter away Metro station express line downtown manhattan / brooklyn . diner next door offer great breakfast deal , lot good restaurant bar nearby ( Amsterdam & amp ; Colombus av ) .We satisfied hotel Newton . luxury good value money . 
 Nov 3 2009 	 truly enjoy Stay 	 begin good impression e - mail exchange Manager Morales seek little information rate ( ) Junior Suite . make reservation mostly basis TripAdvisor 2009 Frommer 's guide , cross finger . suite small side one pretty much tell would photo . love hard mattress & amp ; firm ! unfortunately pillow hard mattress ( ) ; room bring , sure . , hotel remind , good way , non - chain medium size hotel Britain northern Europe . always hate feel like pay fancy lobby , grand window treatment etc . really like efficient front desk staff ( thank Awwab ) -- please let know ever meet genuinely friendly & amp ; helpful doorman Eduardo ? ! will not : & gt ; ) suite 906 -- top floor back ther hotel request . never hear sound 4 night . nice - sized kitchen area -- spiffy & amp ; clean . great bathroom outstanding shower . give shower time warm , however ; take good full 5 minute A.M. maybe 's cause take late A.M. shower [ late riser ] . housekeep nice job . Newton seem know attract keep good staff . Refreshing . we weekend NYC Marathon , though hotel seem fully book ( ' m sure ) , everything go smoothly glitch meltdown . love location -- walk lot vacation otherwise take Subway anywhere want go . part Manhattan vibe own . we problem elevator 4 day . slow come obnoxiously so . in short , go lot hotel website check rate & quot ; get & quot ; rate . ' m Midwest braced sticker shock NYC trip [ still get anyway : & gt ; ) ] feel price right well - run hotel ! 
 Oct 31 2009 	 Great Value bedbug clean ! 	 search high low find place standout Manhattan value . standard not high want hotel $ 150 per night bedbug bathroom . find Newton ! add bonus convenient subway stop ( right 96th street also service express train late night stop red line ) second away . feel safe get back forth . plus room air conditioner microwave . also , forget $ 100 drawer one day cleaning staff trustworthy ( can not say much another much expensive hotel midtown steal picture frame room ) return , still . shop convenient diner nearby , plus starbuck side street well Tim Horton 's , McDonalds , etc much little place periphery . two bodega 's buy beer / etc drug store practically downstairs . downfall old elevator break twice 9th floor long walk . however , prompt get back service . the major plus convenience , bathroom cleanliness . will stay every time return base three point . important clean ... budget , reason anyone deal bug sort ... Newton definitely take cleanliness high priority . room small happy sacrifice furniture good shape ample storage 3 huge bag well iron ironing board . take turn get ready room . stay Superior Double . make one small recommendation , would update bed cover microfibre duvet would superior value . visit friend stay Plaze pay 10x price compare scale difference , extremely happy value money . plus , internet -- although free -- work printer available lobby flight prep , etc . lobby clean shart look . 
 Oct 26 2009 	 great value Manhattan 	 wife stay Hotel Newton two occasion October 4 3 night . United States holiday ( vacation ) .pros : - good value Manhattan- close subway take Times Sq / Penn St 8 - 10 minutes- clean room & amp ; bathroom , friendly & amp ; helpful staff- safe neighbourhood- gorgeous diner next door ! - three block central ParkCons : - well rate share bathroom ( , accept , Manhattan thing ) - extra cost wi - fiOverall , delighted hotel . help make stay ny enjoyable . we would definitely stay would definitely recommend strongly friend family 
 Oct 21 2009 	 Advertised Convenient Visit Columbia Univ . 	 Excelent Upper West Side Location - 1 block subway , lot convenience food location nearby . ( diner next door , however , offputting . ) staff helpful pleasant , room ( Deluxe Queen & quot ; parlor ) large . nice , reasonable size bathroom . good bed - hate soft bed almost hard . bed make sheet bedspread ( odd ) blanket closet ( also goodly size ) . leave blanket top bed first night bed make day . sheet much - high polyester content , pillow kind hard , . fridge microwave , work . adequate lighting , adequate flat screen tv acceptable though extensive choice channel . one plumbing problem - hot water suddenly disappear shower - response IMMEDIATE , pleasant , solve problem . all , good value.p.s . thank tip request low floor . one elevator . not slow , helpful option take stair . 
 Oct 18 2009 	 good base camp explore Manhattan 	 hotel reasonably price consider location , pretty good . could see entrance subway entrance ( Broadway & amp ; 94th St entrance 96th St station , 1,2,3 line ) . staff friendly welcoming . room contain large fridge microwave , stock cook food budget . bathroom well furnish surprisingly posh look small hotel . however elevator hotel painfully slow ( use stair mostly ' many floor ) air conditioning unit room bit loud night ( though get use ) . wireless internet available small fee , worth consider Bloomingdale Public Library 100th St free wireless Internet , 10 minute walk north hotel . safety deposit box also available reception . fast food restaurant coffee shop plentiful area open late . also large 24hrs drugstore next door sell everything need enjoy stay . book hotel ' website http : //www.thehotelnewton.com regularly advertise special offer huge saving . excellent base camp would stay . 
 oct 2 2009 	 absolutely great ! 	 hotel perfect place stay thew day . the staff great , polite helpful , many say , Awaab well ! book double bed / share bathroom 512 room small two person live clean new . the double bed comfortable , one two . the bathroom outside room , next door . it quite clean . the fridge microwave good thing , could buy fresh fruit vegetable , pizza 5 - min dinner . as location , perfect . subway ( 1,2,3 , ) , Blockbuster , Duane Reade , starbuck pretty good dinner next door ! would stay ! 
 Sep 18 2009 	 great location would stay 	 book Hotel Newton bit concerned stay far 96st nothing worry . location hotel excellent , subway station maybe 50yrds door express train stop Time Sq 8 9 minute . also Central Park close , Natural History museum Bronx Zoo reach Subway next hotel , well worth visit . couple block Columbus Ave load bar restaurant , say though would highly recommend Gabriela ' Mexican restaurant ( bar well restaurant ) Roth ' Steakhouse superb bit treat . 's din next door hotel well great breakfast . as hotel check fast friendly , stay room 515 en suite , bed comfy room clean quiet . room back hotel mean not much natural light would recommend stay back imagine would traffic noise front . staff meet reception housekeeper maintenance man friendly helpful . next trip New York definitely stay . 
 Sep 17 2009 	 bed Hard Rock - OK 	 hotel perfect location clean staff wonderful . however , stay ny quite bit uncomfortable bed every sleep . hard head literally slope downhill even pillow . floor would comfortable . ( 07 room like another reviewer say ) .it one night not say anything . room turn around . great , especially do - it - yourself luggage storage locker keep stuff several day necessary . location perfect . subway right , right next drugstore , b ATM two block away , starbuck across street , three block Central Park , walk distance Columbia , walk across CP Met museum good day . wish bed comfortable . oh , wireless $ 5 . 
 Sep 16 2009 	 great place stay 	 husband stay Deluxe Jr Suite two double bed small sitting area . room plenty big enough . extremely clean , quiet safe ! ! ! ! however air conditioner great . window unit quiet work well . suggestion turn soon get hopefully room cool time return . every travel website visit hotel 2 star rating , change least 3.5 . definitely stay adventure consist Upper West Side . 
