hotel 	 arrive hotel noon room not ready yet ( early ! ) decide first go check surrounding . come back evening ( already dark outside ) enter room could say ' wow ' ! high Floor Corner King balcony really call ' room view ' . view amazing ! night also day . the rest hotel room nice : 2 lounge chaire , tempur pedric matrass , shower great , ... unforgettable experience ! 
 mixed bag 	 Positives : love neighborhood , cool design , sweet staff ( move we nice room without ask ) , comfortable relatively clean . negative : NOISY ( Friday night , 5th floor street side , outside reveler 4 am sound like window open ... manage ignore partner sleepless night ) ; also , tempur - pedic mattresse everyone , steam shower ( interesting feature ) smell bit moldy due lack ventilation . bottom line : would stay high floor rack rate . 
 edgy exciting 	 great place stay want see real NYC . love edgy Lower East Side daily walk hotel conference venue Greenwich Village take Little Italy , Chinatown really interesting old tenement area . , single female , feel intimidate danger - even walk back late night ... sooo many people around really friendly . hotel different staff - particularly doormen - helpful friendly . room contemporary well - equip . thing miss extremely well stock minibar earplug ... city never sleep district partying prepare noisy , thoroughly exciting stay ! 
 Nov 11 2009 	 bad customer service per $ ever ! ! ! ! ! 	 hotel pretty . room nice . lobby cool . however , staff - bartender THOR , restaurant manager , reception desk attendant , bad - god awful woman arrange bulk room purchase wedding . terrible attitude every step . & quot ; tell everyone , even celebrity come . check early without stay night before . & quot ; Duh bit # h ! ! ! understand make special request always meet , hotel charge $ 500 night small , plain , frill room - need awful attitude . own hotel , would send spy fire 75 % staff soon possible . recession - let step service lose China . never ! ! ! ! would recommend hotel friend , way . enemy would recommend one . 
 Nov 11 2009 	 friendly staff amazing view 	 husband stay 20th year wedding anniversary absolutely pleasant experience . hotel staff friendly accommodating- really make welcoming stay . room amazing definitely return another special occasion . 
 Nov 5 2009 	 Great Location ..... 	 hotel definitely show sign wear tear . room nice could use TLC , furnishing , carpet overall fixture good shape . housekeeping also issue , 5 day 3 5 day return room 4:00pm room clean clean annoying . someone usually stay boutique hotel experience usually start great tend lose momentum unfortunately seem case . 
 Nov 4 2009 	 sleepless compensate Rivington 	 floor 1 - 7 view . bathroom smell like vomit , supply candle . neighbor throw item balcony street . security loud louder drunken , dangerous guest . offer discount one night , night . move room , comparable room , well room many superior room available . several email state desire get kind discount later answer still . misunderstand .... can not sleep due criminal behaivor hotel , problem . disappointed . 
 Nov 3 2009 	 well place stay 	 not get wrong , like hotel , find rather lackluster all . the location charming . first arrive , rather disappointing . lobby floor , elevator etc . seem rather worn . room maintenance issue ( one shower - two - drain properly , floor next bed stain , one wall hanger bathroom come ) . friend 's room terrace furniture look really damaged . our room friend 's room clean six pm . getting bake stuff turn service nice . the drink bar good . the pastry breakfast delicious . as see - bit mixed bag . 
 Nov 3 2009 	 cool vibe LES 	 last neighborhood NY still ' cool ' take Starbucks Pottery Barn cool hotel without self - conscious attitude ' W ' . Rivington ... low key entry ... check 1st floor ... quiet , confident sexy vibe . want antidote ' corporate ' america hotel .. ... want frequent sleeping point , business centre stuff = do not stay . want low key cool vibe ... comfortable quiet bedroom ( upper floor ) killer view ... check out / check . room dark ( black tile bathtub sink . Brown / white linen great window w/ view . great toiletry ... robe , comfortable towel plasma tv w/ free wifi . cookie turndown paper morning . do not eat restaurant ... ? schiller block away . tiny 's sandwich well ... great bar neighborhood close walk cool Lower East Side ( LES ) venue . stay ! cool . 
 Oct 25 2009 	 Cool neighborhood nice hotel 	 Hotel low east side love neighborhood feel location . great shop restaurant nearby ( try creperie block 2 hotel ) . hotel room modern , clean , comfortable great view floor ceiling window . complimentary breakfast ok . would nice yogurt cereal like many hotel offer . not really anything wrong place nothing stand fabulous either . perfectly fine fun neighborhood . 
 Oct 23 2009 	 good hotel location perfect 	 probably book hotel without understand location : Lower East Side bit gritty perfect good night . also 10 minute walk Soho . ideal location tourist hotspot , priority . , location perfect , worth note . key positive : hotel slick , room smart minimal , light comfortable bed decent bathroom . upgrade 10th floor corner room great Manhattan view . bar pleasant enough early evening drink inclusive breakfast offer fruit , bagel , toast , jam tea coffee , enough ( though something imaginative google 88 Orchard , decent cafe within 5 minute walk ) . LES location great evening ( also close Soho East Village ) subway within 2 minute walk give quick access Manhattan / Brooklyn . free wifi also get + + .key negative : hotel designate room non smoking , enforce . hence room smell like smoking room arrival . good hotel could offer air machine day , take two day effect . addition , exterior primarily metal frame glass , room get cold evening without pump enormous amount hot air ac.summary : great location , great view complaint size content room . however , be perfect : anybody non - smoker probably not appreciate night smoking room get chilly winter without blast AC . would stay would probably try alternative neighbourhood first . btw - light switcher dimmer - complain room dark . 
 oct 9 2009 	 Eh 	 hotel fine , definitely worth price . room spacious , clean enough , spacious bathroom dark ( hotel designer think people need light bathroom ? absurd ) . dark even apply makeup , not even bother try . the bed comfortable , sleep might difficult give thin wall . full audio neighbor 's evening . even though hotel relatively new , reason bathroom corner room dingy kind gross . sure be disregard be disappointing . if need LES , stay . go block north , go stay Bowery Hotel . 
 Oct 5 2009 	 everything hotel feel like nightclub ! 	 Hotel Rivington fun place stay , be everyone . first , understand everything hotel nightclub feel . first floor actually restaurant / bar ( adjacent hair salon ) . take elevator second floor check , lobby second floor hotel guest . also modern conference room , use modeling photo shot arrive . Upstairs hall paint black dark red accent pattern . room floor - to - ceiling window two great wraparound curtain , one sheer one room - darkening . bed comfortable , TempurPedic memory foam mattress comforter pillow . room also nightclub - like decor . strangely wall - mount tv small , much big computer monitor , although swivel face bed seat area . shower large window shade , room appear line sight shower building . ? ! balcony unpleasant small , fear height vertigo not even go . stand steel grate literally bolt side building . kept look two steel bar ( two bolt ) connect balcony building . rust bolt ? also , strangely , balcony door lock . luckily one lower rope ladder , ninja - style , balcony we , walk room , think cross mind . on top floor great 3 - level penthouse space rent event , include rooftop lounge large wooden hot tub . unfortunately first night huge party , could hear music dance partying 4 a.m . general room good exterior soundproofing , even rooftop party night stay , hear traffic & amp ; horn Delancey Street Williamsburg Bridge well night . also aware Lower East Side neighborhood everyone . unlike bohemian shop restaurant VIllage trendy boutique Soho , East Side definitely rougher edge recall role tenement slum early last century , pit crime drug previous decade . still & quot ; Taxi Driver & quot ; & quot ; Sex City , & quot ; despite many nightclub , immigrant , artist . not feel particularly unsafe , like hotel need understand getting go . 
 Oct 3 2009 	 Daughter 's last Night wedding 	 book hotel spend night daughter wedding . old brother fiancee 7th floor 11th floor corner . room amazing , staff amazing extremely accommodating . daughter 's wedding gown deliver arrive . general manager place office safekeeping . ditto flower next day . everything staff prompt professional . limo arrive trip altar , notify escort . could not ask well group professional . hope opportunity stay . especially mattress ! ! ! chinese soak tub great daughter 's nerve ! ! ! 
 Sep 27 2009 	 Beware street noise cool overrated hotel 	 great design décor , modern sleek . good floor ceiling window wall automatic curtain , sweeping view ( though view particularly impressive NYC ) , tempurpedic bed , heaven not mind street noise . I come hotel attract Marcel Wanders ’ design restaurant , Thor restaurant bar indeed beautiful & quot ; wanderesque & quot ; . mondrian hotel ( astonish South Beach wonder Wanders ) , even -not remotely- close though way expensive , NYC.The Wanders design limit first floor . good probably feel live loft Lower East Side . bad poor insulation constant street noise night , hotel locate hip busy nightlife area . traffic jam , horn scream crowd keep awake despite suite high floor , overprice hotel wi - fi reach . loved furniture sleek design , ' come back . 
 Sep 27 2009 	 great hotel incredible view room 	 stay Hotel Rivington absolutely love . staff great helpful . Minibar fill typical product , fun product well binocular ! good part room balcony incredible view city . big glass window room , would not need balcony anyway ! ever take shower watch people walk street ? not stay , great ! bed comfortable , not sleep good long time . breakfast good , really like bagel . overall , recommend stay hotel rivington great service view ! 
 Sep 11 2009 	 Loving Hotel Riv 	 stay 4 night . first , love low east side , realize 's everyone . proximity Soho , Orchard Street , Chinatown plus , immediate neighborhood around hotel lively , arty , never boring . hotel staff helpful welcoming . know find anything neighborhood tip bargaining . loved room , corner king balcony floor ceiling window , even shower . great view plenty room . definitely go back THOR . thank everyone ! 
