feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Nov 25 2009 	 great hotel well recommend . 	 stay hotel 3 night nov 09 . hotel locate 111 East 48th St , 5 minute walk Grand Central Station . stay 4th floor near lift . 3 adult room two double bed . room spacious enough 3 we . tv , ipod docking station , hairdryer , coffee machine , iron & amp ; iron board big closet . comfortable room 3 we , pillow & amp ; duvet fab , comfy . room clean maid come day . bathroom small everything need . hotel staff friendly , especially Porters , Angel particular show we place go , bar etc . food\drinks bar room service expensive wake 530am nice breakfast deliver room . deli road great cheap breakfast nice english tea . be also nice pub around corner call Scafu Angel Porter direct we . lobby beautiful , reception staff good location great , well recommend hotel . 
 Nov 24 2009 	 shopping frenzy trip 	 arrive back barclay hotel stay family friend fantastic time hotel great hotel lobby impressive bedroom good clean worried review read hotel staff friendly helpful especially angel great help location hotel excellent easy access sight would highly recommend anyone go dinner cruise hudson river manhatten skyline night river cruise sight worth see also would recommend premier drink package cruise shopping new york art buy lot bargain even though rate good thing gripe new york tipping that s expect allow budget also enjoy place call ellens diner broadway wait staff entertain u u dine great night would defintely go back barclay hotel 
 Nov 22 2009 	 Pure Luxury 	 hotel luxurious . room great . problem noisy NYC night . could hear taxi driver honk horn 3 morning . hotel 's fault . overall , excellent hotel even though barely sight seeing ! 
 Nov 18 2009 	 top line service 	 top line excellent room service . clean room good food nice attraction near hotel . reccommend anyone go new york stay 
 Nov 14 2009 	 less steller 	 get past lobby .... be downhill . desk staff nice enough . room date , dirty carpet , sure bedding , curtain , etc . small bath . could barely turn around . poor water pressure . great location weekend city . I travel weekly . par Motel 6 . recommend . overprice drink . $ 50 appetizer unforgivable . last word - natty room disappoint hotel experience 
 Nov 9 2009 	 Lovely Hotel great location friendly service 	 hotel lovely , room comfortable attractive . bed quite comfy staff helpful . arrive 3 , check - in easy , held bag could begin sight - see . pleased stay Barclay . 
 Nov 6 2009 	 Excellent service location accomodation 	 excellent place stay NYC : beautiful hotel great location fast no - nonsense service . upon check - in worry thing place . even issue tv room , mechanic literally 1 minute . concierge great try make kick - back buck steer we place want . Valet parking smooth fast . sometimes many small thing add big impression . really feel like good home visit NYC definitely stay . 
 Nov 3 2009 	 great location ; certainly quality hotel 	 stay 4 night Intercontinental two son sight seeing extended weekend New York . definitely high quality , probably spoil Intercontinental Sydney friendly . staff Barclay rude stress , main efficient - slight hiccup check - in ! aside , great hotel location wise , able easily get lot sight ' wish list ' . like traveller , agree foyer pretty impressive , certainly look rather grand . food service good , room always look - clean , big enough feel secure . room seem bit noisy night , result traffic outside , might unavoidable centre vibrant city ! New York definite & quot ; must see & quot ; , enjoy stay . sure may well return one day , favourite would dash first ! 
 Nov 3 2009 	 great location worth money . room . 	 stay 4 day recently wife . arrive 830am tell check room ready yet . inform lady member IHG Ambassador program get 8 am check . promptly another man behind counter send another desk assist dedicated ambassador check agent . agent attempt get we room could , fully book . however , compensate we , provide we free breakfast stay hotel , generous gesture . offer we temporary room would clean asap housekeeping could stay regular room ready . return later temporary room rest little find housekeeping shoddy job cleaning . toilet cake urine seat hair stick . , understand thing may miss rapid cleaning , unacceptable hotel , particularly hotel stature . later move regular room . room 1 bedroom suite , receive complimentary upgrade due Ambassador status . decent room . large couch chair desk , large , comfortable bed . decor stuffy early 1900s opinion , tv 27 & quot ; tube tv , find ridiculous . would think 2009 hotel class , flat screen tv would instal , nice way obstructive wood cabinet smack middle room across bed . major complaint bathroom . TINY . , know old hotel type , often issue know easily change , literally could sit toilet close door without move leg . counter space sink almost non existant shower squeal use . aside bathroom however , room nice enough comfortable . one thing traffic noise though . 6th floor , constantly bombard street noise . the minibar restock almost fully , exception minor oversight final day , overall efficiently monitor . , bit irritated frequency room enter . one day , least 3 entry room , presumably housekeeping , later someone fill minibar , finally unknown person . last know return find stereo playing , presumably leave housekeeping work ? also , staff generally would knock attempt enter room without even give time barely get bed , let alone come door . hate kind intrusive behavior . housekeeping friendly though , give we issue . another minor issue none clock reset Daylight Savings time , despite letter left room assure we would automatically . could issue someone rely . location superb Manhattan , within easy walk distance Manhattans sight . hotel block subway , bad travel light , would multiple bag per person . overall , nice hotel , up down . would pay rate $ 300 + night often see stay ? . would stay $ 150 - 200 night ? maybe . think might overall well consistent experience NY , say would recommend . rather , would tell people avoid , guess recommend default . 
 Nov 1 2009 	 Intercontinental Barclay 	 Nice hotel . directly across street Waldorf Astoria . next subway entrance . 
