Location 	 great location great service comfortable bed ever . stay hotel 2 night August great hotel . staff helpful attentive . dine restaurant dinner breakfast could fault either occasion . would recommend hotel family friend . 
 Nov 13 2009 	 perfect 	 hotel absolutely perfect would recommend anyone . clean , beautiful , room outstanding stuff excelent ! ! ! ! quiet amazing location . within hotel cozy South Gate restaurant pleasant stuff tasty food ! ! ! ! not miss buffet brekfast ; love : ) stay hotel , will not sorry ! ! ! ! 
 Nov 12 2009 	 great hotel 	 hotel across Central Park , great location , lot amenity , wonderful staff 
 Nov 8 2009 	 1st Class Hotel ! 	 worry hotel , thining might perfgect ... well worried ! hotel absolutely perfect would recommend anyone . clean , beautiful room outstanding ! upgrade king room ( 1633 ) like we , beautiful room , great view hey look view . it quiet , amazing location everything want it . the staff werre amazing , Kevin concierge helpful everyone else . stay hotel ! ! ! ! disappoint : - ) 
 Oct 27 2009 	 Great Location worth full price 	 first , would like say pay full price hotel stay . book package Luxury Link , auction site . room ( central park view , king size bed ) , afternoon high tea , 2 breakfast include . total cost package equal rack rate room one night . pay full price , would see whole experience differently ! good part hotel us 's location . love look window see park . love convenient hotel many attraction subway . ' ve stay Times Square area like much well . the room spacious NYC . bed comfortable . People complain review figure light switch , think well design . motion sensor night light bathroom especially good . comfortable couch sit lie . room full place store thing - his / her closet , plenty drawer , bench storage inside , etc . bathroom not huge , comfortable . shower good , tub huge step get . may hard old person get . sink modern , would prefer dual sink . room always clean promptly clean people great job maintaining . dinnertime , turndown service provide inlude ice bucket fill . the service friendly always helpful , something less genuine . several inquiry front desk answer always give , answer not adequately explain everything . take several question get whole answer . also find weird hotel price range one greet we arrive . cab drop we one around . ' m sure perfunctory service part hotel own someone american what . we enjoy breakfast include room rate . package say include & quot ; full american breakfast . & quot ; meant get buffet breakfast . buffet nice . plenty fresh fruit , delicious pastry , smoke salmon bagel , warm breakfast item ( egg , bacon , etc . ) service excellent buffet . waiter sad see we go last morning . overall , price pay , hotel meet exceed expectation . pay rack rate ( anywhere close ) , would sorely lack opinion . pay close $ 1000 night grant flawless experience . find bargain ( like ) , think hotel would great place stay . 
 Oct 12 2009 	 absolutely perfect superb location wonderful room 2 bed ! 	 viste NYC 76 year old father rarely travel . problem 2 bed one room . essex house room super , quiet , bed super comfortable , staff nice , traffic noise whatsoever , restful . research , home run . want add review rely TripAdvisor review guide . great place . 
 oct 9 2009 	 Great Place stay Business Near Central Park 	 first time Essex House , winner . like near Park running morning , like bar hotel meeting colleague ( ny medium tour ) . Mid - town also nice run around meeting , centrally locate . 's Pain Quotidien around corner casual breakfast , pub next block pint . room clean well - appoint , comfortable workspace , good bed bedding , nice shower pressure . lighting system little odd , take getting use , good . like ability plug iPod tv speaker . complaint . would stay . 
 oct 9 2009 	 first Last stay 	 aside proximity Central Park , reason could recommend property . report two maintenance problem room ( call twice ) , yet receive reply repair . even give management chance make right check - out , hope would redeem . not . instead , receive stock e - mail invite we back & quot ; upgrade & quot ; . many incredible choice around block , would never return . 
 oct 9 2009 	 great location nice staff 	 location hotel perfect face central park ; staff helpful ever get - book restaraunt etc ; bedroom one nice ever stay NY visit . large , new bathroom spacious . the bar hotel lively interesting . negative : delay check bother long flight ; breakfast expensive . outside - pleasant experience . 
 Oct 8 2009 	 nice accomodating 	 bad thing say went build next we construction . construction wake we first morning 5 am . relax weekend away , want start day . however , informed front desk problem , clear concerned happiness . provide we new room way avoid noise , offer set thing new room would ready return . nice gesture help make problem not fault begin . 
 Oct 3 2009 	 location save place 	 begin ? room clean , light on/ system maddeningly complex . light room motion detector . almost feel writer Monty Python design lighting system . find mat pubic hair around toilet . room service passable expensive astonishing ! expect pay $ 75 simple bacon egg breakfast NY Four Seasons place business charge kind $ .traveled group . agree assessment . NY Fashion Week US Open , choice stay . soon room open Four Seasons move . not sure people manage place could ever get handle thing ..... 
 Sep 17 2009 	 good great 	 Hotel centrally locate yet remove enough avoid midtown crowd . check breeze less 5 min room . room hit miss range tiny enormous . room stylish functional nice amenity . blemish otherwise spotless room giant marker stain one wall , unacceptable five star property property whatsoever , many hour travel decide ignore fact switch room . service excellent always greet smile . first night recieve email manager cheching stay , five min check recieve another email satisfaction survey ... try keep aspect good service . hotel quite tranquil consider MTV vma , Fashion Week US Open take every inch city . concierge service good , ask direction restaurant , recommendation . overall one good bet CPS , cheap Plaza , Ritz MO , waaay well Park Lane . 
 Sep 17 2009 	 despite wonderful location hotel service could possibly bad . 	 location could well , rest hotel performance could bad . construction wake we 7 am every morning . repeatedly leave without towel bathroom ended dry wash cloth . clean staff take bedspread blanket ; call return . room service hour half late . one night , come turn bed 9:30pm repeatedly rang door bell answer ... awake we sound asleep . incorrectly charge we internet mini bar purchase . front desk , always polite apologetic , never really anything help situation . 
 Sep 12 2009 	 nice hotel great location . 	 Location excellent . hotel clean nice . staff friendly helpful . complaint $ 400 night , can not give free internet service ? mean , stay Holiday Inn Indiana get free service , upscale , expensive New York city hotel . reason complain much intended facebooke pic trip family friend wound not go pay extra . maybe be nit - picking . 's $ 25 much principle . start feel like everyone city nickle dim death already be something irritated . 
 Sep 8 2009 	 Fabulous ! ! ! 	 lovely hotel great location . room spotless staff lovely . bed comfy . turn leave hotel leave around corner keep walk straight come Carneigies Deli - highly reccommended . turn right see FAO Swartz . straight road hotel stop Greyline Tours . time go ad tour fabulous city . 
 Sep 7 2009 	 wonderful Find Central Park 	 wife stay Jumeirah Essex House night Labor Day weekend . immediately impressed hotel location Central Park South . hotel clean , room large ( NYC standard ) , hotel staff overly friendly professional . ' m sure would pay go rate room ; find hotel discount broker , make price pay worth stay . 
 Sep 7 2009 	 WOW 	 return 4 day visit New York City- 8 people group . visit New York City every Labor Day weekend usually stay Waldorf Towers . year decide try somewhere new- sure glad ! hotel . service wonderful . Rooms- stay Manahtten Suite- fantastic- clean , neat , great size- terrific bed- beautiful view city park . many window ! staff nice- always greet we welcome we back hotel . concierge helpful- subway right street- park right accross street . perfect ! find new home ! spa great- staff also nice ! hotel entire experince perfect 10 ! 
 Sep 7 2009 	 5 Star Hotel - Falls short front . 	 first room bad plumbing ever see . turn shower almost pressure water continue leak tub faucet well hand fix shower head . shower head loose shake water come tub not drain stand ankle deep water three minute shower sort leak . call complain tell room could give next night . send maintenance say many bathroom problem not see quite bad room . say could not fix would involve take whole shower bath apart even try fix . speak manager put we another room , miraculously come available . minordisappointment first room well . iPod connection cable miss technology kit put room , menu tv not respond remote - press button would start fly menu ( scroll item item ) could not select item want . our new room whole lot well . bathroom like something cheap motel . tub chip ( tub first room chip ! ) shower pressure pretty poor . shower curtain long enough stay tub , floor get soak . vent shower shower ice cold air blow . toilet keep run flush mechanism not spring back be press . knobs sink appear break - not line soon turn forceful stream water hit back poorly design sink splash back vanity mirror - toiletry put vanity . way sink design , reach basin push spring - load stopper fill drain sink , mean reach sink hot , dirty water shaving drain water . way faucet design , water run back sink brush tooth end spit - out tooth paste stopper rinse away glass water water not flow middle sink . also can not fill iron side sink high iron not fit faucet . also , technology room not work well . lighting & quot ; mood & quot ; control touch screen phone . screen not really respond , dim light keep tap repeatedly icon finally respond command . try use & quot ; mood & quot ; tv cool idea - dim light give choice music set mood room accordingly . 1 mood ... classical ... not dim light room . hook ipod computer room play music , instead put speaker room music play tv - sound quality awful ! also alarm clock ipod doc well sound quality tv , keep short restart ipod , end dim light manually put classical album speaker computer . be like great idea hotel run money implement . light mood touch panel great idea , be like skimp server not respond command . little touch miss would expect hotel type . greeter elevator ( security , know ) not anyone open door hotel - even check luggage come back big shopping bag , open door street lobby . turn service , etc . personally , would prefer stay hotel functional bathroom light ( tv alarm clock ) work without complicated unresponsive menu automatic footlight night table computerised & quot ; disturb & quot ; sign . think ' ve put way much emphasis style ( flashy technology grand lobby ) whole lot functionality substance . bed comfortable room clean , say hotel NYC much cheap . course , location excellent , not think would stay . price pay , well rack rate , fine , hate think people save stay full price dream NY holiday ... would disappoint probably would try go elsewhere . 
 Sep 2 2009 	 love place 	 live NYC 17 year hotel stay . location , location , location -- addiction comfort class . next time , want try champagne tasting . 
 Aug 26 2009 	 Perfect location wedding 	 first go New York two year ago 21st birthday think amazing place , plan wedding decide would perfect place we . we stay Jumeirah Essex House Central Park . hotel beautiful staff friendly helpful . room lovely fantastic view right park . our wedding organise Ultimate Weddings USA whole process easy stress free . give wedding co - ordinator organise everything phone / email make we feel quite ay ease . everything could accomodate need request . initially quite nervous actually organise personally , realise nothing worry ! wedding hold Central Park wedding reception Porterhouse restaurant . wedding co - ordinator nice easy talk . hair make lady arrange wonderful job photographer take lovely photo . restaurant arrange fantastic cake exactly want . the thing love wedding location romantic feel . walk park local friendly offering congratulation . ceremony walk reception ( couple block hotel ) fantastic feeling walk city wedding dress ! would recommend kind wedding want something stress free ( except organise relative ! ) not like idea beach wedding . 
 Aug 24 2009 	 great location comfy room 	 ' beat location , right across form Central Park carriage ride wait right across street . room nice , fluffy bed nice bathroom . thoroughly enjoy visit hotel ; husband book second wedding anniversary . however , probably back - unless huge event life celebrate justify spend kind money hotel . 
 Aug 22 2009 	 nice location good price expensive food spotty service 	 stay Essex House 4 night - Manhattan side hotel , although next Central Park , view park . junior suite spacious , bed comfortable , wireless internet non - existent ( be travel business , one suck ) .concierge spotty good ( ie send we close restaurant , seem interested even offer call make reservation check be open ) .Booked AMEX , two breakfast include - mean * really * two breakfast - rather $ 61 usd daily credit towards breakfast , cover two buffet breakfast @ $ 35 , plus tax tip . , & quot ; breakfast include & quot ; mean quite include . Recommend take short walk south 7th 6th ave . ( aka Avenue Americas ) - plenty small breakfast shop , family 4 breakfast $ 40 - 60 problem . particularly pleasant Lou 's Cafe corner 6th 53rd - be outdoor , cafe - style , urban style . all , bad , far expect Jumeirah ... still need learn Fairmont St. Regis Four Seasons .... 
