absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 Nov 24 2009 	 disappointing stay ! 	 stay Le Parker Meridien last three year disappointing stay far . crisp recently modernise property seriously fade around edge well overdue refurbishment . concern lack good housekeeping , general cleaning , deep cleaning . room old cobwebs light bar , build ingrain grease dirt light switch mould bathroom . also , heating/ AC smelly , erratic warm . staff pleasant helpful always , hotel fully book duration stay could change room . look new hotel next year . 
 Nov 23 2009 	 great hotel get right price 	 ' ve see many negative review Le Parker Meridien , write positive experience weekend . boyfriend book room $ 199 night 2 night . feel , price pay , get good NYC hotel . agree would not pay much though . positive : - perfect location : easy get many site subway entrance close by- comfortable , king - sized bed ( many NYC hotel looked offer queen bed ) - decently large room size NYC hotel . bed crammed room.- Indoor , roof top pool amazing view city- helpful staff : forgot take ' do disturb ' sign door morning , able call housekeeping come 6:30 night instead- cartoon playing elevator , funnegatives : - shower pressure strong , drain could not keep volume water . matter fast shower , end stand water . assume due 8th floor build 30 - some floor we also need water.- mini - bar , use room refrigerator . ( be clearly label & quot ; refrigerator , & quot ; assume opened seal would broken have charge ) . - 's minor , hot tub pool , would nice . overall , would recommend hotel friend look basic hotel good location , get right price . ' consider 4 - star hotel , ' think worth pay much per night . 
 Nov 19 2009 	 Mold everywhere : ( 	 bad thing step show mold everywhere . roof many place clean crevice . hair ( black hair ) well . complain mold nice enough bring bowl fruit . guess fruit moldy well ! grape stick together , orange moldy , like kid ! 
 Nov 9 2009 	 overprice silly affair 	 $ 500 per night get : - heat room unless outside temp drop 50 - degree ( official policy ) . try work sleep 51 - degree weather- include internet access even Starwood Gold stay suite- Inconsistent rate - colleague book within minute room , night , get two startlingly different rate . refuse match lower one- over - price self - service burger joint- pretty good breakfast place ( Norma 's ) Skip . 
 Nov 8 2009 	 Nothing Special 	 husband go NYC quick get - away without kid . look something charming , up - scale , romantic comfortable . Le Parker Meridien none characteristic . up - side affordable , basic hotel good location great breakfast restaurant , cozy bar , popular burger joint lobby . would good hotel family travel kid , someone business trip , young people look affordable , decent hotel . however , husband mind relax get - away move Lowell Hotel , exactly hope . 
 Nov 8 2009 	 Style Substance ! 	 beautiful modern interior design ( like sterile bauhaus style ) COMFORT ! ' stay motel amenity pretentious joke hotel ! room thermostat , operational cold month entire building heat sauna - like temperature recourse guest , manager tell we , open window ( sound smell NYC traffic ) let put rotary fan room ( like sleep helicopter ) build old ' modern temperature control . one wonder make everyone freeze summer offer space heater complain ! Mattress hard board . Maid service make bed ' replace use glass even empty water ice bucket ( , incidentally ' include plastic liner – Disgusting ! ) . coffee coffee maker room pay stay high floor well view , note ice machine 32nd floor . Le Meridien strictly fake cool poseur faux hip yuppie sucker line pay big buck hotel ' coffee make " counter - culture bean ! " say " give break " French ? ! ! 
 Nov 4 2009 	 Favorite Hotel Uptown 	 top shelf check - in check . always enjoy stay Parker Meridien . staff go way make feel welcome . want know anything today event sport ask doorman ! 
 Nov 4 2009 	 bad hotel experience life . 	 bad hotel experience life . bed similar slab concrete ( pillow top ) . could sleep bed . roll - away bed provide son make early 1920 's , plastic mattress padding metal spring protrude thru cover . look like torture device bed . could hear elevator serve upper floor build night . door key fit pocket male clothing . bathroom well disguise joke . internet access archaic . manager one rude people imaginable . french many ( unimaginable ) way . I would give hotel zero possible except fact staff actually nice ( french one ) . last time something like happened stay old Ritz Boston . next morning manager say & quot ; Ritz Experience & quot ; charge we room . way run hotel ! many good hotel New York need abuse . 
 Nov 3 2009 	 like young Daughter say ` ` AWESOME Dad '' 	 one August weekend decide & quot ; let Mommy relax take kid & quot ; weekend . use SPG point book Le Parker Meridien one night one W hotel Manhattan another night . got bite late get one cool hotel room ever stay ( travel around world nearly 130 night year road , truly modern room ) . perfect Daughters age 6 9 . like swivel tv middle room . good Dads time take shower change bed , could still watch Nick night dad cross screen . order super dinner room service , call explained situation far young desire eat Mac Cheese . come one good Mac Cheese platter daughter love could not finish since big ( total bill NYC look girl face , well worth ) anyway will say worth every cent room service call . indoor pool roof awesome , bit get worry go sun deck looked expect least safety fence ledge none freak bit kid . kinda keep away could see problem kid well behave reckless . regardless offer breathtaking view Central Park east / west side Park City . sure follow sum stay , also stay one trendy W Hotels Manhattan Adults great soon night W , Daughters beg take back Le Parker Meridien Hotel . little one keep say day .... & quot ; remember stay hotel pool roof great food room , , AWESOME Dad & quot ; . thank Le Parker Meridien Staff make Dad Hero weekend . 
 Oct 29 2009 	 hotel leave speechless good way 	 begin ? upon check hotel , place hold hour get internet work 17 dollar / day ! ! joke . please believe . nobody would help we one hour pass finally send someone room . internet still still pay 17 / day . wake next day think famous NORMAS breakfast deliver room . eat call famous pancake orange juice total bill 80 dollar two , find breakfast do not even come NORMAS ! ! come room service kitchen . hotel way overprice . overpacke , service awful staff rude . spend 400 / night never back . treat well two star hotel ! God forbid need anything hotel , nobody help . overall terrible experience . hotel charge 150 / night ! let finish call famous rooftop pool . cold , awkward , unenjoyable . guy sit unhappily stare swim . want stay hotel pool , do not becasue hype . hot tub , sauna , nothing enjoyable . thing I m look forward hotel checking tomorrow morning . P.S . guy name Nick Data Valet nice person help we be not even hotel ! ! 
