awesome 	 right Central Park - beautiful view park . service spectacular . not type bagel want breakfast , go Whole Foods buy . 
 Fantastic 	 Excellent respect exception extra charge internet exorbitant charge $ 16 bowel cornflake breakfast though include milk fruit garnish . spite grumpy old man gripe staff great , room comfortable well appoint , breakfast great ( civilised full service meal rather usual buffet ) . pool gym excellent . look forward next stay . 
 Nov 14 2009 	 lobby 	 lobby room spectacular .... exceptional service multi lingual staff . 
 Oct 17 2009 	 elegant worth every penny 	 elegant plush hotel . tall building believe lounge 35th floor . sterile entry security approach immediately . can not get elevator unless key . nice restaurant .. unaffordable . word , nice overprice . great view . room clean , decent size , floor ceiling window , comfortable bed clean shower . flat screen tv - WebTV use first time . helpful staff . hotel near Columbus Circle attach Time Warner Building . many nice restaurant area 24 hour starbuck directly across street . hotel short distance Central Park great jogger . shopping mall locate inside Time Warner Building . hotel modern , plush great view great dining option . staff bend backward get whatever need . great location & amp ; near subway station . 
 oct 8 2009 	 wonderful view 	 stay mandarin oriental New York 3 night October 2009 . business pleasure meeting partner enjoy city . hotel beautiful spectacular view . room spacious New York service good overly intrusive . lobby bar always mix beautiful and/or rich clientele . location good business convenient park midtown . convenient tend like SoHo / Village attraction still accessible via subway . lack 5 star base cost value . great hotel pay . money tight , wonderful choice . 
 oct 2 2009 	 great location . Picturebook NYC view . 	 first time NYC want great hotel . think get . not 100 % happy ' ve stay Mandarin Oriental ( Hong Kong ) , service quality room not great HK experience . whilst accept different location explain different amenity , international brand like Mandarin Oriental really level excellent service globally . Gripe way , experience amazing . not think could ask well view New York City Mandarin oriental - like magazine movie . 49th floor great view Central Park skyscraper south easterly direction . room comfortable ( bit small , hear 's norm ) . bathroom feel like could spruce bit . concierge service bit hit miss . try hard genuinely friendly people . reception / front desk , however , friendly pretty snooty . the location also great everything - shop ( Niketown , Bloomingdales , etc . short walk away ) , theatre ( 15 minute taxi ) restaurant . Jean Georges across road Trump Tower per Se building . hotel locate shopping mall , place look ( e.g. , J Crew ) .Breakfast restaurant pretty excellent , amazing view , course . city type seem breakfast meeting , add atmosphere . all , good place stay . yes , expensive , not think 's way NYC . 
 Sep 12 2009 	 favorite NYC 	 love MO NYC . like location . lile look . like feel . love spa . gentleman 's wet room seductive . Asiate 's view cuisine provide good lunch spot NYC . service area hotel good US . many staff alum previous favorite , Four Seasons . concierge desk work miracle . ' ve secure last minute table per Se Masa we . want take niece downtown late hot spot fabulous people . even help we get coveted & quot ; list & quot ; two . front desk apprear always remeber we . use Centurion card always get upgrade , often double upgrade . Suites 5100 5300 good unless be presidential . 
 Sep 9 2009 	 one well good Manhattan 	 probably freshest/ clean feeling luxury hotel Manhattan . since NYC gritty really appreciate Mandarin . service definitely warm other stay certainly efficient . problem every day reach concierge outside , though . room nicely appoint great park view price . pay Amex Plat hotel full offer upgrade . room huge NYC . love access basic Time Warner Center - reasonable food , bank , etc . location NYC 's posh ( Columbus circle/ Lincoln Center feel commercial ) , give access direction . 
 Aug 18 2009 	 wow awesome check - in check - out 	 NYC 1/2 marathon stay Mandarin Oriental . definitely impressed . book use Platinum AMEX entitle late check - out room upgrade available . park view room , although Trump building block view still great . roomsuper comfortable bed , 600 usd night room . bath tub great amenity . nice rain shower head . deliver complimentary ice tea room upon check - in . not use internet , available like 15 usd night . small pet peeve high end hotel nickle dim internet access . flat screen tv HD feed . great audio system . room service breakfast deliver exactly time order ! nice desk ample outlet computer , phone , etc .. two bottle Fiji Water put room evening turn bed . LOCATIONAt Columbus Circle Time Warner building . breakfast one morning Bouchon Bakery 3rd Floor . great ! also Whole Foods ground floor lot healthy option . if $ $ $ concern go , otherwise consider splurge special occasion . 
 Aug 15 2009 	 seamless luxury smile 	 say enough Mandarin . room spacious high ceiling , huge bathroom , floor ceiling window amazing view . king bed massive like sleep cloud . could not find fault single thing room . REALLY picky would say thing not like could not get channel television bathroom could tv bedroom . 's . really . after mad day meeting run around New York heel humidity , ready shower relax . bathroom disappoint . great bath amenity , huge rain shower head , big soft towel luxurious robe . welcome tired foot soft slipper . ahhh . debate whether spoil upcoming dinner Asiate eat something mini - bar ( ravenous ) hear door bell ring someone say & quot ; room dining , good afternoon ? & quot ; not know , read mind . Mandarin send complimentary bento box truffle , biscotti , mini - cookie various treat -- enough tide dinner . dinner Asiate world . tell waiter vegetarian , incredibly accommodate . make sure ask eat fish , poultry , dairy , egg -- make perfect dining experience . food world . risotto spectacular , drink delightfully strong dessert nothing short sinful . couple spectacular view Central Park ( city light , get dark ) dinner will not soon forget . one thing Mandarin really impress service . five star hotel , course expect certain level service . however , impressed level service , warmth . gentleman check we ( Thomas ? name escape ) personable warm . really get feel enjoy job truly please welcome hotel . employee come across genuine smile greeting . stay number different hotel week New York , service Mandarin hand - down personable , surprised . 
 Aug 1 2009 	 Fantastic Hotel Business District 	 stay number time Mandarin New York business ( last visit Nov 2008 ) .locate 35th floor tower Columbus Circle , hotel right Central Park offer amazing view park Hudson river , well city ( even low room start 37th floor ) .Rooms spacious well design , asian touch . little date , well maintain . the hotel amenity truly 5 star hotel service go . restaurant good , light bite bar area proper dining experience michelin star restaurant , display incredible view city . the spa great , large choice treatment , jaccuzzi / sauna / steam room . pool good 20 m long gym excellent fill modern equipment . finally , business center open night everything need helpful save time . this one good hotel ' ve stay . price align hotel category , definitely rip - off , earn every cent charge for . the negative area be come leisure trip . ' ve also stay downtown pleasant neighbourhood . be bad per se ( park , museum , shop etc ) people around hotel work , feel scene not give feeling live New York like . ' m post review Soho Grand Hotel soon , good place be look holiday . otherwise business , would not go anywhere else . 
 Jul 25 2009 	 Mandarin measure 	 could not bring give hotel 5 star rating . never get 2 robe suite , regardless request . 2 morning , steak egg result meat well beyond order temperature . contemporary decor suite floor ceiling window mean suite stunning view , moderate size . extra half bath , although poorly light , always welcome amenity . Loved ' fresh ' bath product rain shower . a great urban spa . man 's facility first rate . the decor bit cold , be get sophisticated minimalist approach . ' m fan Dale Chihuly glass sculpture , touch public space detract ' look ' book . I would stay . 
