would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Nov 24 2009 	 great location service . 	 pay reasonable conference rate $ 269 night plus taxis make almost $ 320 . problem get reservation overseas stay several night . room big fresh stay rug near bed make poor first impression . touch removed complain . make wonder clean rest rug . leave message desk colleague arrive . never get message take long time we make contact . room quiet enough 100 foot Times Square . could see famous ball window . bathroom clean function well . maid job quite well . breakfast buffet quite good $ 25 include coffee juice , almost variation . could order special egg help . ok couple day , long stay . pay internet ? $ 13 24 hrs . limited lounge facility hang around . stay ? location , location , location . middle theater district , close Times Square 24 hr day open delight sense . shop , restaurant , sight , exhibit . love town . don´t know competition offer wouldn´t write place , check review close first booking . 
 Nov 17 2009 	 great stay ... brilliant location 	 spend 3 night Broadway Millenium . location fantastic , step away Time Square . room great . big NY standard . staff really helpful . , arrive , bathroom light not work fix within minute . also concierge service fantastic . ask Phillip restaurant recommendation .. recommend 3 restaurant we one reasonably price excellent quality . overall great stay 
 Nov 16 2009 	 honest review 	 first review ' ve ever write TripAdvisor . ' ve stay lot hotel experience particular hotel make decide break shell write review . arrive hotel 3 pm ( one hour check ) . meet rude employee front desk . swear , think personal vendetta towards something . beyond cold exceptionally rude . say could not check room unavailable . although disappoint , understand hotel rule hotel 's check time 4 pm wait one couch hour . return front desk around 340pm meet much nice employee . check corner room nice view Times Square . go room room still mess previous stay . crumb table , buffalo sauce desk . oh yes , also shirt closet . go back downstairs ask another room . finally hour wait 10 minute travel hotel , book corner room 51st floor . would nice check smoother transition experience . check yesterday , meet rude employee . not even look eye check . give key throw side proceed onto next customer . ask set say yes . not ask ID ask sign anything . not even see press button ANYWHERE indicate check . afraid still check hotel . , although ' m appreciative rest hotel 's staff make stay well . honestly say never stay hotel . hotel suppose home away home feel Millennium . recommendation , get cold easily , stay hotel . linen thin , be shocking . 
 Nov 12 2009 	 awesome 	 service great . arrive 11 am day room ready we , definetly plus book . do not wait till 3 pm . room big , service great . corner room could see times square . location awesome , do not walk far anything . room clean.would definetly stay opportunity arise . 
 Nov 11 2009 	 high - rise motel wrong attitude 	 New York City certaintly diverse cosmopolitan city world . large complex , make complicated traveller find good value hotel , beyond 5 star league ( obvious , quasi - monopolic - th good sense- ) trip , pay company , give option select hotel $ 300 night . must say choice difficult , tremendous amount option polarize vast review , speak great bad one place . in event , end book Millenium Broadway Hotel & quot ; Premier & quot ; , mainly proximity business meeting . ( although , ' ve never like Times Square Broadway , cheesy , sorry ) arrival impersonal cold comparable enter subway station , subway station least know subway station . case , entrance leave wonder whether enter hotel happened enter strange passageway tourist trap electronic mall Times Square . the reception clerk helpful efficient , point blank . additional advice interest guest whatsoever ( fact , ID check -- - unbelievable ) direct adjacent tower , sell & quot ; Premier & quot ; , attempt upscale version hotel , overall feel pimp 's high - rise motel , comparable exist Germany popular Soccer World Cup . the quality furnishing terrible . linen , bed cover furniture shout & quot ; cheap & quot ; . sorry harsh , truth hide . the room would adequate 15 year old backpacker look room adventurous couple seek quick fix , mean hotel take seriously 4 star business hotel . I call operator enquire laundry service , get & quot ; call valet , be big Apple ! & quot ; shock rudeness simple question treat guest farmer beyond cornland . lady know well , much well . could taught lession geogaphy , history , culture education , frankly decide hold hotel 's reputation . the laundry , sorry , valet service corteous , although provide outside company . food basic service restaurant uninspire grey . out thousand option stay NYC , definetely rule one next trip . sure must much well option $ 300 bracket . keep look , even well , stay one many fantastic 5 star ( beyond ) hotel town . 
 Nov 11 2009 	 Wonderful Place Stay -- close everything ! 	 husband stay Millenium 35th wedding anniversary . wonderful time -- -the staff helpful -- -room clean . would stay get go back NY city -- -I LOVED New York City -- -our first visit ! stay 4 night Millenium . 
 Nov 10 2009 	 great location ... fussy traveller 	 would stay hotel heartbeat , even though miss mark number area . pro : unbeatable location quiet side street , half block Times Square . step theatre still quiet refuge Broadway madness . good sized room expansive view high floor . clean . friendly efficient check - in . Felt safe - able let 15 - year - old wander area own . con : definitely 3.5 star hotel . Linens & quot ; hotel - quality . & quot ; sheet pillow thin stingy . duvet . silky coverlet keep slip bed night . problematic plumbing . call maintainance three time three day . First bathtub not drain . toilet back . back overflowed . problem swiftly deal ... would bitter pay $ 400 list price room . minor annoyance : read light bed work , bed soft - much pillow pillowtop mattress . bottom line : hotel good location justifiably critic - proof . stingy linen unreliable plumbing really not important much fun . look deal . 's worth publish rate . 
 Nov 8 2009 	 heart action 	 stay 4 night Millennium Broadway October , manage get fairly good deal easytobook.com . price Millennium cheap hotel Midtown East & amp ; much cheap hotel around Times Square . check - in hassle free , queue ( mid - day check - in ) excellent , room immediately available . hotel lobby look slightly date , clean tidy , room pretty much . 40 & quot ; tv nice touch . problem whatsoever hotel , price pay . immediately outside hotel 3 irish bar Times Square 30 second walk away . prepare crowd around Times Sq though , peak time 's almost impossible move without bump someone stand gaze air take photo . expect , however people may prefer find hotel away Times Sq walk 3/4 block . I would reccommend visit Statue Liberty possible get ticket visit crown . pre - book Crown access ticket around 3 month visit glad . ticket be not much expensive regular ticket , also allow queue - jump security point , save 10 - 15mins . note : fit healthy people fine confine space try visit crown . around extra 200 step incredibly tight spiral staircase access crown . worthwile though , something 10 people per hour get , book early ! also tkts booth locate Times Sq pretty good value . get Mary Poppins ticket 45 min show start around half price . slightly worried seat , get could not happy . unless REALLY want see particular show particular day , would reccommend buy ticket day . absolutely love NYC , can not wait visit ! 
 Nov 2 2009 	 Adequate hotel prime location . 	 stay Millennium Hotel Broadway Halloween evening . location ideal Times Square activity . hotel less block hubbub , still quiet calm . lobby pretty plain room stuffy , old smoky smell unappeale . nice window watch sight sound . bed bathroom comfortable . 
 Nov 1 2009 	 one Milli 	 great hotel close ' action ' . sexy look room nice view going street rooftop building ( construction worker pushup job someone shoot music video rooftop ) . would definitely recommend hotel ! 
