Coulde 	 slightly sceptical hotel read review site , like previous New York hotel ( similar review ) , decide go ahead book . arrival quite surprise much small lobby compare previous New York hotel ( Grand Hyatt ) , certainly not make less hotel . check 6 pm greet helpful polite man name Adelin something similar upgrade we corner room kitchenette amazing view . room nice clean , large comfiest bed ever sleep . staff extremely friendly , especially one valet 's . sure name either always wear large coat outside , always ask we enjoy day always stop chat . the location hotel not bad , walk bit hotel be talk 5 - 10minute walk Grand Central always Taxi 's outside ready business . I not try room service / hotel restaurant never normally pay price room service not seem expensive . get breakfast every morning little place corner 44th + 2nd call Plaza Delhi amazing pancake bagel really good price ( 2 cream cheese bagel + 3 large pancake syrup + 2 large coffee 's $ 9.95 ) .We not really try hotel facility pool gym etc , plan not really find time / do not energy walk around NY day . I would definitely stay hotel , stay thanksgiving get really good price hotel advance booking site . would recommend hotel anyone . 
 amazing view 	 would definitely recommmend hotel location panorama room . front desk staff could helpful though ! 
 great hotel .... quite walk shop sight 	 wonderful start hotel get upgrade huge room ( mini suite ? ) 39th floor . fantastic view high .... make sure really clear emergency stair ! room clean , staff really pleasant pool / gym good . my son wonderful time except distance shop sight . first walk Broadway 34th Street etc time get already ache foot . decide get cab fine cost really start mount . stay really need make sure get grip subway . 
 good hotel NY 	 Luxury hotel , cheap price , good service ... word ! 
 Nov 18 2009 	 amazing view 	 it´s outstanding view onto city 31st floor . couldn´t imagine well one . 
 Nov 13 2009 	 great place 	 Decent room bath ; super work - out facilitiie stunning view nice pool ; staff friendly ; rate vary greatly , shop around cheap weekend 
 Nov 9 2009 	 good . 	 get hotel priceline work fine we . issue take good 5 - 10mins get Grand Central subway . arrive 8 am could not get room course , tell we check back 12noon . 10 am exhausted red - eye flight go back give & quot ; sad face & quot ; get room old tower 34th floor . great view large room base NYC standard . would say service excellent way Frank bellboy rest staff . eat use pool , everything else fine . room definitely show sign wear tear , 100 time well previous hotel NY ( Best Western Howard Johnson ) . 
 Nov 2 2009 	 love surrounding ; Hotel okay 	 hotel quiet residential - like area provide great view . walk close subway station far perfectly safe . lot good choice eat drink nearby 2nd 3rd Avenue . view room magnificent . pro : big room plenty room bag , laptop , shopping item . large walk style closet room safe , iron lot hanger . bathroom big counter top extra room store personal item . housekeep great job accomodating & quot ; disturb & quot ; sign door nice job . bed comfortable . storage space clothe seem adequate . tv large get ready work morning . con : hard get cab right outside hotel time - always taxi early morning afternoon evening difficult . often long line wait taxi . couple time need one , walk 2nd Ave catch one problem like catch one right outside hotel might long wait . bathroom also full wall mirror right next toilet - jeez - not want view corner eye ! Staff not exactly rude not helpful . Checkin Checkout staff fluster long line not smile go trouble ask stay . one personal thing hate able control room temperature - room hot time . even though heat still come since window screw shut good way cool room . speak two people tell well could ( nothing ) .since thing really bother heat room , would consider minor inconvenience would definitely return . room 28th floor seem new worn . enjoy stay would recommend . 
 Oct 30 2009 	 Loved Millennium UN PLaza 	 stay hotel June 2009 . arrive late night get room high floor . really tired could not sleep beacuse ventilator roof - awful noise ! ! ! next morning , tired , go reception ask new room . staff polite promise arrange we new room end evening . luggage move evening . : ) staff helpful every way hotel clean . location great , time not mind 5 minute walk Grand Central Station everyday . stay short time , would not recommend 's New York - not time waste ! : ) , absolutely fantastic stay ! recommend 100 % . 
 Oct 30 2009 	 u want great view NYC simple room 	 like : less - traffic location , right highway airport , right opposite UN . great morning night view see sunrise bed . heat pool view 27th floor . big corner room open flatten - out large suitcase , decent bed soft linen , bathroom beyond old . carpet need change though . dislike : staff ( vvvery slow checking , take 30 min coz 2 staff even line ppl ) rude abrupt .... concierge helpful , friendly enough even recommend anything . Q & amp ; 
 oct 22 2009 	 o.k . 	 recently stay Millennium UN Plaza whie visit city . think Hotel nice enough , gripe . size room - great , plenty large enough ( warn hotel room city super small ) . view good . room - bed awesome , one good ' ve ever sleep . bathroom outdate need renovation . tub liner peel , drain stop break . light fixture break ( fall ceiling ) . location - too far beat path . block Rockefeller Center Times Square , feel way desireable area . staff - leave lot desire . nobody overly helpful . concierge awful . ask Broadway show , tell we use broker ticket price range drastically , familiar restaurant inquire , seem interested get info , recommendation we , offer make reservation attraction . fitness center small efficent . also pool , design exercise leisure , spa ( hot tub ) . pool hour limit . offer massage day spa type atmosphere . due proximity hotel U.N. expect would lot people business , . vibe stuffy quiet . visit fun good time , hotel . 
 Oct 21 2009 	 useful hotel 	 stay 3 day whistle stop visit new york . very large room comfortable everything need . find staff little rude abrupt would put return . very useful location panoramic view city find surprisingly quiet considering location.would definitely consider returning come expect hotel nature . 
 Oct 20 2009 	 unexpected good deal great room 	 initially think location would less ideal , great Expedia discount give try . east - side location ( 44th & amp ; 1st ) turn well expect , short 2 block Grand central station multiple subway line . business east side , nice away tourist mobs midtown . ( week early Obama make appearance U.N. , would another story . ) probably large room ' ve ever New York , comfortable king - size bed even kitchenette , not use , along sofa ( oddly ) two desk . flat - screen tv lot cable channel , seem recently - remove piece furniture one wall , large jumble electrical wire junction floor . bathroom nice surprisingly strong water pressure abundant hot water . view 30th floor room breathtaking include Empire State Chrysler Buildings . nevertheless , feel refurbishment bit overdue . high - speed internet extra $ 12.95 per 24 hour . now strange part ... arrive 11:30 , despite noticeable lack people action lobby , tell room would available 3 pm . everyone tell ; attempt see room might actually available early . check bag go lobby lounge work laptop . around 12:30 decide lunch hotel 's Ambassador Grill , find oddly empty unstaffed , despite post advertisement menus . turn bad economy cause close food service , except breakfast . bad , since planning spend next two evening write assignment expect use room service . palm restaurant around corner . read hotel nice indoor pool gym time see still open . 
 Oct 20 2009 	 still absolutely top - notch every way 	 stay UN Plaza various owner , various purpose , past twenty year . recommend friend family throughout ' 90 's recently 2007 . first stay several year , recent traveler review bit apprehensive . concern unwarranted base experience past weekend . we arrive UN Plaza , follow red - eye flight West Coast , 6:30 . have call day request early check - in , tell hotel would try accommodate we , would depend upon room availability , make sense . reserve room two bed , none available ungodly hour , offer room king - sized bed , top floor , gratefully accept . absolutely beautiful . room spacious , nicely update redecorate , spectacular , panoramic open view look east United Nations , south , East River , FDR Drive , First Avenue . could see bridge south , Empire State Building southwest . breathtake . top floor mean immediately roof - top tennis court , occasionally mean feel like small child thunder hotel corridor . nonetheless , absolutely enjoy room four day stay UN Plaza . staff cordial , professional helpful . housekeeping attentive invisible . bed linen beyond comfortable . platform bed wonderfully supportive mattress , light - weight feather comforter cozy warm without oppressive . the UN Plaza locate midtown , eastern - most edge , easy walk subway Grand Central Station , even well purpose , First Second Avenue bus run north south , respectively , close cross - town 42nd Street bus , well . always taxis available hotel close . second Third Avenues midtown offer wealth restaurant every variety within easy walk distance . while frequent City visitor know already , less - season beware : current NYC hotel taxis ( obviously applicable , UN Plaza ) add $ 50 , 60 , 70 already costly accommodation , include room rate quote . think UN Plaza offer terrific value four - star hotel category , staff member front desk , bell staff , doorman , concierge housekeeping could appropriate . highly recommend . 
