Fantastic 	 back 4 night stay Marriott Eastside . bit hesitant stay Lexington Ave previous trip NYC always stay close Times Square , good location ever . hotel locate less 5 minute walk 5th Ave less 10 minute walk Times Square . staff friendly efficient especially Irish Porter Donegal . pleasant helpful . room service one night could walk day shopping . food service great cost $ 70 dinner two beer tea include . never stay hotel close Times Square , will stay Marriott . concierge great organise ' town car ' we go airport cost $ 75 include toll tip - cheap fare ever pay airport hotel NYC . seventh trip NYC would say good trip ever far fantastic hotel stay . will back ! 
 Nov 19 2009 	 TERRIBLE CARE POLICY 	 stay hotel October 4 night friend . check - in swipe credit card extra . hotel accommodation part inclusive package BA . get credit card bill 11 November hotel charge $ 940 . 3 call US nad 40 min wait speak somone business service . credit card use pay another guest 's stay . apology explanation . next day get email Misty Gladdish Business Services say receive authorisation refund would send another update . receive email Misty Gladdish . 13th phone speak Amy tell amount would refunded . 's 19 November sign refund follow email . I write email customer service ask explain credit card detail use pay another guest 's stay , whether guest credit card detail bill post room date receive response . I call hotel say problem speak customer service . do want stay hotel badly run ? take zero responsibility action staff use credit card pay bill ? avoid ! ! 
 Nov 18 2009 	 Exceptional Customer Service 	 employee hotel customer - focus ensured guest need fulfil . encounter issue / bad attitude employee . everyone pleasant , friendly , offer assistance even ask . check - in / out desk person efficient , housekeep thorough , bellman / doorman helpful , concierge extremely knowledgeable go way serve , security present , business center clerk attentive need . never good service hotel ever stay . ( party 2 ) spend two night hotel ( Friday Saturday , Nov 13 - 15 ) . hotel website state check - in start 4 pm . arrive 12:00noon wait 2 minute hotel desk agent start check - in process . reservation information correct finished check - in process quickly room go . surprise , assign corner room 28th floor great view . room three exterior window ( one face north Lexington Ave two face west 50th street ) , small refrigerator , couch , flat screen tv , desk area extremely comfortable office chair ( recline ) , coffee maker . king - sized bed one comfortable bed ever sleep hotel . room large , roomy enough furnishing still able walk around without problem . sleep problem bed . bathroom abit small tub / shower combination . many hotel New York select . say next time travel New York , select hotel . besides service , location perfect . able walk many attraction locate within block ( Times Square , St. Patrick Cathedral , Rockefeller Center , Central Park , shopping , restaurant , etc ) . plus Grand Central Station within block go anywhere need travel . time walk subway station hotel ride train Statue Liberty station less 30 minute . traffic " noise " ( cab horn , siren ) present , bother sleep ' noise ' . eat hotel restaurant , able comment ( concierge recommend awesome restaurant ! ! ! ) .The compliant free wi - fi service lobby . luckily I - phone 3 g coverage ( problem reception ) able access email . otherwise in - room internet charge cheap ( $ 16 / day ) . 
 Nov 14 2009 	 Great Location ! 	 Marriot locate right heart Manhattan , couple street away 5th Avenue major attraction like Trump Tower Rockfeller Center . room fully refurbish bed comfortable ! ! ! Manhattan get bother noise street hotel locate pretty calm . the stuff friendly even though service excellent ... concierge seem sleepy really help we find nice fish restaurant city ? ! ? beside , pretty happy hotel . expensive indeed , think , one expensive city world ! ! ? would reccomend hotel anybody wantsd go NY trouble free stay : ) 
 Nov 5 2009 	 New York Noise Fantastic Location 	 usual , Marriott service standard excellence disappoint . location phenomenal ! walk take bus subway great Mid - Town hotspot minute . however , New York noisy city hotel right Lexington Ave . , frustrated New York cabbie loath blare horn . lot siren well . 's comforting , hotel great . sleep pretty well bring ear plugs . 's good idea . otherwise , hotel charming room immaculate . also , great little breakfast lunch diner within walking distance , not feel like pay hotel price , walk around ; will find something . 
 Oct 29 2009 	 Great Service Average hotel 	 book hotel one day conference recommendation Marriott Business Planner . staff pretty good job accommodate we , arrive morning presentation , floor vacuum break pretzel piece around room . send janitor sweep floor need wall wall vacuuming not get . make restitution remove room rental charge bill . pleased solution . staff hang around make sure take care quick come call . food great look appetizing . nice selection menu choice . consider brine AVI equipment rental ridiculous ! location terrific Central Station . Convention / Meeting room easy get hotel . sleep room leave lot desire . bed comfortable , room quite small . nice Bathroom though , although tub clogged ' drain . I feel much well option price New York . definitely worth $ 490 + price . 
 Oct 20 2009 	 New York Hotel Life 	 terrific stay great location , great room , great meeting faciliite , see first hand excellent service beyond .... leave early airport .... get lot early need .... spend time long breakfast .... 70 minute flight , realize have leave key vehicle airport 2 hour home , desk drawer hotel . figure would take 20 minute even find hotel find key .... , 5 minute later get call send car LaGuardia deliver key ! get boarding gate boarding start ! drive home Airport 2 hour away home , get call make sure driver get we key tell we would love we stay .... reply course , . will never stay anywhere else ! 
 Oct 13 2009 	 Great Place Great Location 	 spend three night Marriott East Manhattan . ' ve travel NYC 5 time past hotel , far , good selection yet . room quite large ( unusual NYC ) appear recently update . bed terrific soooo comfortable . concierge staff knowledgeable helpful -- even recommend show right target arrange ticket deliver . lobby serve great drink bar food , close hustle bustle door / check - in / elevator . staff friendly helpful . great location . across street Waldorfy , close subway , close Rockefeller Center , etc . etc . certainly try stay hote next venture city . 
 Oct 12 2009 	 Great Hotel 	 Hotel great . clean , bed sooooo comfortable , nice bar / lounge area hang wait friend . hotel staff great . 
 Oct 12 2009 	 well locate 	 mixed feeling hotel . not awful , look somewhere else next time New York . the room size smallish , claustrophobic . bathroom work fine . refrigerator room , nice . concierge lounge fine , outside close due construction . hammer outside bit day construction - could hear inside room . problem be meeting , working room , fun . there good restaurant nearby well locate . CVS street place takeout sandwich . 
 Oct 11 2009 	 Great Value Location 	 recently spend five day Marriot East Side thoroughly enjoy stay . staff extremely friendly arrive five hour check early check issue . also forget toothbrush 5 minute call front desk one deliver room . location 49th Lexington great explore midtown foot . also two block e , v 6 train make easy reach Manhattan around 30 minute . get great deal room $ definitely stay next trip NYC . 
