Good 	 return 5 night stay Omni Berkshire . 3 we total . request room 2 bed however good could room 1 bed put bed . honest ' think acceptable . book beginning year really excuse . ' happy put bed – pay nice hotel expect proper bed sleep . 1st room give small – ' figure put bed would go small ask move large room – give large room impress swiftness however really arrival give originally . the concierge good thing hotel – incredibly helpful full knowledge . everyone hotel friendly . dinner restaurant – good quality . resturant manager professional friendly . the hotel room clean . location wise excellent – Cartier 5th Avenue – short walk central park – need tube station . one thing must say arrival – demand take approximately $ 50 per day charge room case charge anything room . odd . stay many many hotel ever encounter . await back card – say ' take 3 business day – shall see ! say ' charge room would pay immediately cash . the meat packing district good bar , club resturant . we dinner Plaza also different day - lunch . lovely . the hotel nice . would consider stay . 
 nice hotel 	 get stay hotel chance get deal priceline.net . arrive hotel 10 let early check . sign hotel 's membership checking , use wi - fi room free . hotel locate block Time Square close 5th Ave , find hi - end shopping retail . love ! ! ! ! 
 Nov 24 2009 	 wonderful stay / Perfect Location 	 weekend experience Omni wonderful . room immaculate staff super helpful ! convenient site - can not beat weekend friend City ! check - in quick friendly face , Concierge assist we everything shop Theater great place Dine . especially want recognize Michael Lenny always greet we smile . would definitely recommend hotel family friend ! 
 Nov 20 2009 	 great will not back 	 Omni Berkshire Place position much high class actually . stay week Christmas . location great Manhattan sightseeing , be go stay elsewhere go back NYC . make reservation , could not confirm room two bed , course not available arrive . end massive single bed teeny room roll - away bed , knew not go work soon see ( especially consider room rate ) . opt move smoking room two bed . bad mistake ever . not really stay room much , time awful smell . give we & quot ; clean air machine & quot ; ( turn humidifier ) supposedly clear room smoke within minute . case . room smell bad Vegas casino entire 6 day . course choice could opt stay cramp first room , front desk not concern empathetic call every day ask non - smoking room become available . actual room decent enough ( mirror marble bathroom top though ) lobby nice , poor staff attitude room change issue , problem bill , nice - but - unhelpful concierge mainly will not back . 
 Nov 9 2009 	 guy suck [ -- ] 	 please one stay ! ! horrible horrible hotel blame everything renovation go take place dec jan ... stay 4 day do not want give we 2 double bed til complain ask roll away 3x never get . electric socket room 3 different department fone call say bathroom never believe we say be not one til get engineeer prove do not one give we attitude ! shock attitude give . half nice person lady check we 7 am exhausted trip west coast ! give we lecture would normally charge we check early will not time would charge we rollaway will not time ... even tho ask 2 double say sell 2 double ! write corporate still wait response ... turndown service joke leave dirty linen room manager say & quot ; hard day lot thing mind & quot ; sympathize would manager tell ? nice thing say hotel location ! finally one great thing ! BRAVO 
 Nov 9 2009 	 great location huge room ! 	 get back weekend stay 2 child . excellent hotel- nicely appoint room enormous- total surprise find something like Manhattan . one large bedroom bathroom- separate bath shower- large lounge decent sofa bed child . nice touch kid welcome pack . location superb easy walk Rock , Central Park , lot shop . staff helpful . dessert drink Fireside Friday night- even though fairly & quot ; grown & quot ; ambience able find great , comfy alcove sofas , way , 3 6 year old happily toast marshmallow little dish charcoal , cocktail . just fab . 
 Oct 27 2009 	 great weekend getaway ! 	 Omni perfect weekend NY . within walking distance Times Square , shopping , restaurant , etc . hotel comfortable , clean , provide great service . 
 Oct 27 2009 	 Great Location great room 	 wife return hotel enjoy 4 night honeymoon . arrive midday staff able check we early without question . concierge help surprise wife flower room get back dinner first night . staff seem knowledgeable everything New York well . room quite large sofa , armchair write bureau easily fitting room without overfill . room overlook 6th Avenue noise minimal . we 2 v.minor gripe ... 1 .. mention honeymoon couple occasion think bit fuss could make we ! even send glass champagne would appreciated 2 . service bar area slow . excellent hotel look return future visit . 
 Oct 24 2009 	 Fantastic hotel Concierge staff 	 visit mid - October 3 night NYC . hotel beautiful , comfortable wonderfully locate . find concierge staff , especially Marilyn , incredibly helpful , friendly professional . absolutely stay recommend highly . 
 Oct 23 2009 	 great location good bar good perk Select Guest membership 	 stay 5 night hotel girlfriend . hotel location superb , minute away major shop , ten minute max Times Square two subway station right nearby ( 51st 53rd/5th Ave ) .Fireside Restaurant Bar hotel really nice . not food see look good . nice place late night drink excellent place watch sport 4 large screen . tv be not dominate bar though could still relax nice drink chat . bar staff friendly approachable . make sure sign Select Guest program . complimentary drink newspaper every morning always correct time request . shoe shine press clothe also benefit . Doormen hotel great get taxi trouble . one downside old tv poor reception room . go holiday watch tv ? ! also bit bad smell room arrive correct we raise front desk . some good place breakfast nearby Isadoras right across street , Europa Madison Avenue really nice place also Prime Burger 51st Street classic old school diner . can not stress enough good location . definitely stay next time ny . 
 Oct 21 2009 	 Great Hotel excellent location right 5th ave . 10 minute walk Grand Central . 	 satisfied stay . short walk Grand Central Station much far Times Square . shop 5th avenue right outside door Cartier across street St. Patricks Cathedral Rockafeller Center along side NBC studio 4 5 block . would definitely stay future . great price find Priceline.com . 
 Oct 20 2009 	 great location heart NY 	 stay Omni Berkshire 5 day October impress high quality wonderful location . hotel service wonderful , room comfortable large NY hotel service good . able go location city easily 5th avenue Rockefeller center close . 's couple block subway easy walk uptown Madison Ave . also recommend Omni club provide free wifi coffee service . 
