move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Nov 25 2009 	 Watch Credit Card charge 	 stay basic spartan hotel one night , room probably less eight hour . room quite small window face brick wall foot away . location good , price perhaps little high get . my big complaint get credit card statement charge $ 28 ; call hotel mid - September tell mini - bar charge . dispute room sleep frequent traveler never use mini - bar . agree refund $ 28 late November still happen . colleague travel also get mini - bar charge use . stay Hotel Beacon instead . 
 Nov 22 2009 	 great hotel New York 	 husband stay five night impressed . New York year ago stay elsewhere ( somewhere would go back ) careful time spend little stay somewhere nice place fit bill . location great , close subway station walk distance central park lot great place eat drink . hotel room great size New York ( please warn many hotel New York tiny room - space precious , not expect giant room unless pay big buck ) stylish cozy . room clean service daily ( not forget thank person service room leave tip ! ) . reception area elegant welcome helpful staff help need . I also recommend Fatty Crab ( downstair hotel Broadway ) great cocktail food also Citarella ( www.citarella.com ) great gourmet food ( great place take away breakfast lunch ) .The place recommend ( special occasion ) Le Bernadin truly magical dining experience - 's close hotel worth cab ride . be expensive ( $ 110 prix fixe ) worth dinner remember . 
 Nov 21 2009 	 convenient great location great value 	 thoroughly enjoy stay Ave . close two subway stop , 79th St 72nd 1 line , well 2 3 express line get Times Square Village even fast . buy 7 day Metrocards find easy move around city . Manhattan Diner across street tasty yet affordable breakfast not mind diner standard bacon , egg toast . bed big comfy , ' deluxe ' room 12th floor not huge , big enough we tp comfortable . bed bug ! thank goodness . street noise problem morning construction crew work street nearby . slept ear plugs fine , though find without window block much sound . find doorman especially friendly , especially one leave post run street sight , come back ride cab have hail we could get airport . overall , nice hotel , great location , great value NYC , would definitely return . 
 Nov 18 2009 	 hard cancel reservation 	 make reservation online , receive confirmation e - mail . need cancel reservation way deadline . phone number email confirmation , find web site . call number list & quot ; Reservations & quot ; ( 800 number ) turn could not cancel reservation make online , mean call hotel 's in - house reservation department . call local main number hotel , ask in - house reservation , hold , person answer - service spoken , could not cancel reservation ! big endless loop . call back tomorrow business hour cancel . may nice hotel , sure make hard cancel reservation . 
 Nov 16 2009 	 great location bed good previously . 	 ' ve stay since 2000 - 's available , be stay NYC . great location , great room ( deluxe room , panoramic view , minisuite comfortable - standard room tiny ) . visit first time not completely thrilled bed . instead feather / down pillow ' ve get past , time bed pillow fill sort lumpy polyfill . end use one decorator pillow sleep . also first time , noise within hotel control . not issue street noise , even though two window face Broadway . People yell hall , though ? 
 Nov 16 2009 	 great hotel near Central Park Natural History Museum 	 Ave location good , one block away metro station 10 min walk Central Park . stay four night . would not classify room superior like Hilton / Trump , good especially spot 150 - 200 $ /n bargain offer . room big quality much much well Park Central hotel stay one night ( 56th street ) .room size ok we not understand people whine room size . room standard room king size bed . enough space luggage etc . also LCD tv common channel , include ESPN & amp ; cnn.traffic noise not bother we 9th floor even window directly Broadway . feel neighborhood quite safe lot restaurant . visit , go breakfast & quot ; good enough eat & quot ; ( 483 Amsterdam Av ( 83rd Street ) . People stand line restaurant see attachment picture . great breakfast ! 
 Nov 15 2009 	 Great Value Great Location ... 	 spend four day san kid NYC 17th anniversary . choose Ave despite mixed review great price great location . interested place collapse long day sightseeing ( wife 's first trip New York ) deluxe experience willing take gamble . happy report hunch correct . room good size ( upgrade Deluxe ) , clean ( bed bug , mention early review ! ) 2 block subway . could easily walk Museum Natural History across park Met Guggenheim . great neighbourhood - get kick see local native environment - lot restaurant choice , include Sarabeth 's block away breakfast . not use cab get La Guardia ; walk subway perfect we . to close Central Park ( plus we ) , shop subway sell we hotel . would go back ? variety spice life - curious try Excelsior , also ' hood , bit pricier probably bit nice . note staff friendly courteous , prompt address couple concern ( get locked room one morning ) hotel also quiet , despite across fire station ( not think use siren night , day generally not around ) . price , , hard beat will not get Plaza $ 250 / night not expect . 
 Nov 15 2009 	 Great Place Quiet NYC Weekend away 	 stay Midtown previous visit NYC , look something & quot ; little different & quot ; weekend trip . addition ticket show Lincoln Center , draw Upper West Side neighborhood & quot ; lack tourist & quot ; , neighborhood feel UWS close proximity Central Park . nice find . meet expectation complaint . room 5th floor king size bed ( super comfy ) . never hear street noise , everyone gracious , helpful accommodating . location could not well . arrive Penn Station , take cab hotel , walk everywhere ( return Penn Station via subway two block away ) . thoroughly enjoy neighborhood . really can not say enough safe , clean & quot ; low key & quot ; ( low key NYC get ) area NYC . runner Central Park three block away like heaven we . not need ton room , standard room sufficient we . can not say room struck & quot ; small & quot ; . perhaps other , feel sufficient two we . lot closet space , enough room spread stuff . 's Marriott Hilton Renaissance Westin big hotel chain , , perfect . look something & quot ; little different ' , yet crazy , nice gem . hope enjoy , certainly . go back NYC overnight trip , will back . would note though : kid , want center action ( i.e. , Times Square , 5th Ave , FAO Schwartz , etc . ) , probably great choice . ticket Lincoln Center , form basis trip , want typical touristy thing NYC know , like go somewhere quiet & quot ; get away & quot ; end day , great place . hotel close Lincoln Center , 12 block walk worth charm Ave Hotel . also say like hotel & quot ; slightly different & quot ; not typical hotel -- perfect . hope enjoy , ! 
 Nov 12 2009 	 Urban Getaway adult 	 love hotel , two stay , be become go - to Manhattan spot . be clean , modern , great service killer location . be cheap , reasonable NYC standard , always seem kind promotion go . would recommend hotel people kid , urban boutique feel . staff accommodate , be happy room upon arrival , work . management open feedback really nice job . can not wait come back . 
 Nov 4 2009 	 good room location bad amenity 	 hotel good room - modern , clean , stylish - great location Upper West side . complaint bizarre tv reception lack local channel , total absence internet , indifferent staff . live amenity $ 400 day taxis , would like able watch local news email family . will not back . 
