everything 	 stay one person , hotel great choice . husband say would absolutely stay ..... long . stay 2 night Thanksgiving 1 year old 2 year old room WAY small 4 we . room stay ( 611 ) much big queen size bed . however , room size aside , hotel great . locate close Subway 6 line . staff friendly helpful . lobby nicely decorate leather couch fresh flower attach restaraunt nice . serve great breakfast croissant , bagel , juice , yogurt , fruit , etc . price , FABULOUS ! find deal internet pay $ 139 / night . however , NYC kill taxis : $ 12.34 / night State tax $ 8.17 / night city tax $ 3.50 / night Occupancy tax . 
 Nov 25 2009 	 lovely boutique hotel great location 	 stay room 2 double bed . room quite small 2 we , luggage fit . interior room window face brick wall quiet . bed pretty comfortable great pillow . happy cleanliness room . outside hotel cute twinkle light & amp ; small shrub around entrance lounge . staff friendly - always doorman open door we . : ) continental breakfast excellent : pastry , muffin , cheese & amp ; meat , hard boil egg , bagel , toast , english muffin , juice , coffee , serve spacious Lounge . first night drink Lounge & amp ; pretty expensive , atmosphere lovely sit couch next fireplace . location hotel fabulous ! subway half block away & amp ; safe walk around . would definitely stay future . 
 Nov 18 2009 	 Park South fine . 	 stay Park south 6 night Nov 6 2009 . hotel absolutely fine want . room entire hotel clean service good . ideal world , would like room bit large pay bit less . however , bottom line Park South deliver . 
 Nov 18 2009 	 nightmare 	 hotel choice disaster ! come home cover bite . additionally , front desk staff rude , abrupt generally unpleasant . also overprice . garbage truck outside front hotel 3:30 - 5 condense trash loud , could sleep . contact manager Hotel bed bug issue general displeasure , reply ever . stay away . 
 Nov 12 2009 	 lovely hotel would stay - right price 	 stay Park South Hotel 3 night March 2009 . book hotel search hour hotel room reasonably price not look like college dorm room - would not believe many New York ! choose Queen Superior room - website book hotel offer type room € 380 3 night , hindsight full whack may continue search . I can not say disappointed hotel , room lovely , clean comfortable double bed nicely decorate . 's small travel alone plenty room , partner may little cramp - room suppose big Standard God know small room ! location absolutely fine - not far Gramercy Chelsea , hotel right beside subway great lug back ton bag Macys hotel room . breakfast lovely , selection egg , cold meat , toast , cereal , juice pastry choose 2 free newspaper deliver room morning plus . room face onto street not problem noise , sleep soundly every night . contrary review , feel quiet hotel ! also find staff really friendly , helpful direction . couple minor problem . upon arrival discover not mini bar , fridge - well hour shuttle bus desperate bottle water - bar not open evening , go buy bottle nearby mart . not big deal grievance time not feel well arrival . fridge freeze water bottle . another issue bother hotel not book shuttle , recommend particular service supply phone number use do hotel slightly annoying . unless flush , not order room service . fish cake glass wine set back $ 30 ! minor complaint , nice hotel one would recommend traveller . get right price would return . 
 Oct 20 2009 	 okay will try something else next time 	 stay three night husband two teenage daughter . plus side : really good proximity Village , Union Square , low Fifth Ave shopping , Upper East Side museum , great half block subway station Duane Reade . breakfast fine . really like indian restaurant one door east hotel . eat Black Duck . on minus side : room second floor face street large noisy traffic pedestrian . buy ear plug get room ! ( help lot . ) coffee maker room . bit dingy overall ( hallway lobby ) expect ; sheet high grade , mattress okay , pillow good . enough washcloth four us room ! sure would stay -- though get good rate would . 
 Oct 11 2009 	 great place stay explore 	 good size room , big average hotel room NYC not expect suburb suite big kind room . 's adequate two people feel comfortable enough private bathroom clean crucial . important thing location , smack right front subway , within walk distance almost anything , plenty good restaurant not care Black Duck next door adjacent hotel lobby , theater three block away ( Loew 15 Kips Bay ) , shopping area five block broadway six block west 34 . like spend evening Madison Square Shake Shack . be plan spend time NYC sleep hotel room , highly recommend Parksouth . 
 Oct 10 2009 	 Great Location 	 Hotel convenient location , good restaurant , room clean small . 
 Oct 6 2009 	 would definitely recommend ! 	 stay two friend room two double bed . room great . enough space three suitcase . bathroom good general room well decorate update , clean look . bed pillow heavenly comfortable , breakfast awesome ! 's location also plus point . central , block Union Square subway station near . lot place eat nearby.the thing make give 5 star rating AC noise . not bother not stop sleep , get room whose view back view nice ( not mind though ) see noise problem people . be really loud . either really strongly recommend ! 
 Oct 6 2009 	 Great Location Great Staff 	 recently stay Park South Sept 14 - 17 , 2009 . check hotel line find well fit we . great location , accomodate staff . Booked Superior Queen although small room normally would vacation southern resort par NYC room . clean , comfortable bed , amenity would want hotel room . breakfast much well continental breakfast plenty option . eat dinner Black Duck pleasantly surprise good food service , wine bargain price compare NYC restaurant . front desk staff helpful . last day check store bag concierge come back retrieve way home . subway close way get Manhattan , otherwise pay arm leg take taxi sure fast subway . would highly recommend hotel would absolutely stay another trip ! 
 oct 4 2009 	 Great Hotel good price 	 get back NYC stay Park South 3 night . room clean , bed comfortable good quality get free breakfast every morning . breakfast good include pastry , bagel , bread , fresh fruit , cereal , etc . always great start day light breakfast . check good prompt . would recommend though pack bottled water soft drink go nearby store ( pharmacy ) cheap . also go restaraunt.com find could purchase $ 25 gift certificate restaurant & quot ; Black Duck & quot ; fraction price ... look promotion . black duck favorite hangout end day . would fire place night would sit comfy chair foot ottoman drinking glass wine . superb able prop tired foot end day ! ! would recommend hotel anyone . be not 5 star hotel , quaint small hotel good location . easy get Manhattan subway literally street corner . 
