great 	 enjoy stay Martinique first time visitor New York New Zealand - central everything want everyone helpful . eat restaurant three night stay New York meal great . especially enjoy able get meal 11.30pm show Broadway . would definitely stay . 
 Nov 18 2009 	 shopping nyc 	 HI return four night stay friend . hotel self nice , staff helpful clean . exxperience man try get room 11 pm , distress three girl travel alone . staff take age answer distress call reassuring . man question later find cctv however feel satisfied responce head security . assume cabin crew ! ! room hope normal ! ! would stay husband girls.the bar pricey hey ur manhattan u expect , breakfast menu vey limit egg egg egg . 
 Nov 6 2009 	 much well imagine 	 read review hotel , good , bad , average postion Trip Advisor , decide go . staff work well , excellent location , room clean comfortable . WIFI ( free 56k ) work iPhone . sometimes hard find place internet room , close lobby . expand area ( least buy table ... ) .curious case : forgot cell phone ( iPhone ) internet room remember 2 hour later . someone find give back front desk . hear case steal thing review , say guest staff honest . really fine , place perfect we . 
 Nov 3 2009 	 disappointed 	 research indicate hotel provide good location 3 star rate accomodation . however , check , noticed hotel room update . addition , bathroom lack ventilation ( fan ) , shower tub drain water slowly , towel hanger rust , bathroom door old need repainting . because problem bathroom , believe insect breed drain area . specifically , daughter bite cheek large mosquito room husband kill insect swat mosquito ceiling . upset find mosquito hotel room daughter suffer cheek wound fully heal 2 week . 
 Nov 2 2009 	 good Hotel 	 spend 5 night . well locate , within easy walk distance time square . staff helpfull offer we good room 01 pm . room service daily . extremely clean , confy bed , large room LCD tv , minibar , good shower . tube station front hotel . will saty ! ! ! 
 Nov 1 2009 	 upgrade Free Absolute Chaos 	 not complain much upgrade executive suite , place absolute chaos . stay two night business trip . when arrive hotel ton people hang around tight lobby concierge trouble manage luggage . little early arrive hotel room not ready check luggage , take forever . return check , confusion room upgrade , appreciated . co - worker unfortunately get stick smoking room feel fortunate . even though executive suite , not perfect . bathroom awful rattle sound sound like loose water pipe bang wall . shut bathroom door bedroom keep bother . internet terrible complain pay $ 13 unreliable service . tv also flaky signal make watch Sportscenter morning pointless . co - worker also stay hotel complain flaky signal tv.checke hotel take forever . lobby packed ton people concierge overwhelmed manage bag . give least 15 - 20 minute check out . the location hotel fantastic , right Empire State Building . overall though , feel price pay would organization enjoyable stay . 
 Oct 26 2009 	 Radisson NY- Comments 	 recommend bad experience . Good- room clean & amp ; tidybad- hot & amp ; could control temperature , restaurant food terrible though inform hotel restaurant . move room 2 am heating ( storage heater ) break & amp ; start smell . move another room heat ' fix ' wait 2 am ! ! ! ! apology leaving & amp ; make offer lunch restaurant accept due . room quiet small consider class hotel . 
 Oct 19 2009 	 Fabulous Service 	 arrive 6:00am Saturday morning fully expect drop bag sight seeing check - in . desk clerk note since reservation make AMEX card could check we . wow ! ! got room ( 18th floor ) nice . room clean , orderly well equip . service personnel kind , helpful make stay great experience . thank Radisson .... people ar top ! 
 Oct 16 2009 	 nice hotel good location fantastic breakfast 	 go New York Easter , look lot hotel want stay somewhere nice good time . come across hotel , special offer time , club level room breakfast include . stay 4 night pay £ 500 whole stay . believe good price New York spacious room.we like everything hotel except room ready arrive 11.30 pm , receptionist offer we free drink bar wait . weekend room clean twice ask really pleasant ask late check , kindly agree we stay room till 5 pm opology late cleaning . as mention breakfast excepcionally good pancake fantastic ! din twice pasta dish lovely . overall enjoy stay definitely would go back . 
 Oct 15 2009 	 Great Location Great Service Great Hotel 	 stay week . ideally situate shop Manhatten . within easy walk distance time square empire state building . hotel staff extremely helpful friendly , check straight away . request attend immediately . room service daily . extremely clean comfortable , welcome long day sightseeing . would definately stay hotel . 
 Oct 15 2009 	 Radisson Martinique Broadway 	 stay already several time company agreement . hotel good location want go shop sightseeing : Macy 's , J.C. Penney , Victoria 's Secrets ... metro around corner . lobby quite small often crowd especially flight crew arrive leave . room next lobby computer internet one use free ( limit 15 minute ) . room tiny clean . room stay bed always small american everage ( seem small queen size ) . size bathroom vary . 
 oct 9 2009 	 good hotel ' ve stay price 	 book month advance stay 5 night average price $ 90 night . can not beat price .. hotel across street Macy 's . great location . arrive bit early person check able get room @ 1 pm regular check time 3 pm . friendly staff . room big thought . bathroom huge bed sleep number . People take towel go vacation want take bed pillow . loved ! stay ..... 
 Oct 8 2009 	 Great Hotel 	 Service excellent . nephew city 48 hour . home base Raddison Martinique . great location , right outside subway , walk distance Penn Station many tourist attraction , one block Empire State Building . resturant premise great breakfast room service . room clean , bed comfortable ever sleep away home . 
 Oct 5 2009 	 great hotel kind staff excellent service outstanding location .... 	 husband spend 7 day hotel - celebrate 25th weddinganniversary . we arrive around 13.30 , room ready - take minute check in . we ' ve get nice , clean big room - silent . difficult imagine , locate middle crowded New York . location perfect - walkingdistance everything , staff helpfull , especially little giftshop , make different booking we , helicopterflight . always ready kind word . the breakfast good , various choise , nomatter arrive 10.00 , plenty food - fresh food . we would certainly recommend hotel , come back , go New York again . when read bad review , wonder , hotel , visit ..... , people common different , expect thing ..... anyway , good recommandation hotel . 
 Sep 26 2009 	 satisfy Radisson Martinique 	 arrive 3 pm 7 hour flight Manchester would read previous review also colleague experienced delay checking , prepared room ready . ask upgrade immediately issue room card . unfortunately open door room 5th floor , light window face onto brick wall three foot away zero natural light . immediately return Reception refuse room . point , informed would wait 4 another room . pre - check , room number allocate , detail take tell return collect key card later . leave luggage concierge go explore . return 5 , queue issue new room card . problem room - 11th floor face front street . book room 2 double bed get . room good size , spotlessly clean flat screen tv . bed comfortable maid service excellent . towel change every day toiletry replenish daily . find staff Reception , Concierge , Maids door staff pleasant helpful . free Internet service business area greatly appreciate make good use facility research book attraction etc . although 3 computer , guest request use maximum 15 minute find people adhere . say room one quiet ' ve ever stay . noise room either side we , although occupy , corridor street . amazing consider be middle huge city . sleep soundly result , something never take grant busy hotel . free newspaper every morning nice touch complimentary water first morning ! fly Newark Liberty Airport catch train Penn Station , 5 minute walk hotel cost half price taxi . not eat hotel , regret late restaurant seem busy menu good value . definitely worth check . long be prepared potential wait room allocate , willing assertive undue delay ( colleague ask speak manager problem immediately resolve ) can not say anything negative hotel . book deal Expedia together flight £ 1700 2 return flight Manchester plus 5 night room , feel good value break . previously mention , lot airline staff stay initially concerned may mean noise disruption unsociable hour never hear thing . would definitely stay location within walk distance Flat Iron building , Empire State Building , Macy 's , Times Square Central Park 10 - 15 min away . 
 Sep 23 2009 	 run dirty zero service 	 fine place consider alternative hostel 1 - 2 star hotel . otherwise steer clear . upgrade check . give tiny room full size bed ( foot stuck night ) scare think kind room would gotten without upgrade . room smell cigarette . sheet not seem clean smelled . ask change , guess , one ever answer phone . 3rd call , time let ring joke 30 + time , finally someone answer . come back day 's meeting , sheet change , iPod steal . complained . 2 hour later security guard come room look bed . say someone would get back next day . next day , nothing , try call front desk . answer . go meeting come back . try call . still answer . get next morning check , call , still answer . crazy . many hotel ny well service , clean room , etc $ 229 pay . go somewhere else . 
