good 	 mom recently stay Ramada Eastside Thanksgiving enjoy Macy 's parade . hotel good location could walk everything . continental breakfast include room price , nice . room compact clean . coffee maker ( rare NYC ) , flat screen tv , comfortable queen bed , price location , would definitely stay . want cozy , nice , quiet , clean , safe , convenient , reasonably price hotel Manhattan , Ramada eastside good value ! 
 Nov 24 2009 	 great hotel 	 husband stay 2 night stay . son hospital short walk hospital . hotel extremely clean room , though small , fit need . staff pleasant helpful . continental breakfast would expect . book return weekend follow continue use hotel long need keep return NY . 
 Nov 20 2009 	 cheap even close ` ` good enough '' . 	 room tiny , clean . breakfast crap . except clean lady , guy front desk , staff shame . if look good price , really nice location , go . not expect treat like king . 
 Nov 14 2009 	 bed feel like home 	 sta ; ye two night past week say bed comfortable , tempurpedic ( home ) sleep late day leave miss sightseeing . staff wonderful , room clean , breakfast good believe name Rita work breakfast room wonderful . good value ! ever go back NY definately stay . note buy tour ticket also save trip downtown . also arrange transportation airport . 
 Oct 19 2009 	 inexpensive unremarkable 	 location good price one cheap NYC , room small unremarkable , need rennovating service sub - par . ' ve stay hotel three different occasion generally disappoint , hotel go day NYC , be worth price . heating room not work middle winter , time room right next ice maker ( bad luck guess ) , keep come back else find affordably price hotel NYC , twice generally satisfied room . not expect gem ( review terribly overrated ) will not feel totally rip either . 
 oct 8 2009 	 good price nice hotel NYC 	 please Ramada Eastside NYC . take girl weekend trip get away busy DC work life happy find moderately price hotel NYC . exactly need . can not find nice hotel $ 200 NYC . be unheard , unless look stay hostel . please service well . concierge helpful even hold bag we secure room time check . could not lug luggage around NYC convenient . thing would change would upgrade bathroom . much space utilize ! ' m sure 's work , perfectly functional would make room much well . all place definitely find . ' m almost hesitant posting not want secret place . will definitely stay next time ' m city . 's perfect budget wise , location wise , service wise . 
 Oct 5 2009 	 fine experience 	 room bathroom spotlessly clean , evidently newly decorate . room small , two chair , two bedside table , lead reading lamp ( besides regular bedside light ) , desk , three drawer bureau , flat screen tv . staff helpful . housekeep excellent . complimentary breakfast , usual toast , bagel , cereal ... also yogurt fruit . would certainly return . ten minute walk 28th St. Lexington Avenue subway stop , bad . car , notice offer reduce rate parking fee $ 20 24 hour , fantastic midtown Manhattan . 
 oct 4 2009 	 like curry place ; stay soemwhere else 	 realize Murrray Hill Little India . everything hotel , include bedclothe , reak curry . sensitive odour check 1 night 4 day stay . room , otherwise ' clean ' . window bathroom door window bathroom . combination , although cover thin plastic film , allow much light room , not expect sleep past first light day , least will not need alarm clock . great location 2 block subway walk distance shopping dsitrict , able tolerate . think get value money , , get pay ! 
 Sep 26 2009 	 Good hotel 	 stay three night September . room nice size ( king size bed ) modern . large tv , good quality furniture good shower . two lift 12 floor . complimentary breakfast excellent , ( toast , juice , coffee , boil egg , waffle , pancake , cereal , fruit ) .secure luggage room require . not attractive area New York hotel different . 10 minute walk Empire State Building . Times Square 30 - 40 min walk . large selection restaurant / shop nearby . subway station 5 min walk . safe room ( free ) . 
 Sep 25 2009 	 great location good value 	 wife stay Ramada Eastside one night recently pleasantly surprise cleanliness recently remodel room available moderate price . advise single bed room SMALL efficient . double bed room quite bit large , even spacious . free breakfast great plentiful , item constantly replenish . front desk help pleasant helpful . hotel conveniently locate near Murray Hill , Herald Square , Empire State Building etc . AAA discount available make sure bring card . 
 Sep 3 2009 	 well inexpensive hotel NYC 	 stay Ramada Eastside Inn 2 weekend night NYC visit friend . price , be hard find well place . ( travel NYC several time year stay many different hotel . ) book Priceline pay $ 125 night . hotel clean , modern staff friendly . yes , room small NYC - - space premium . room flat screen tv , comfortable bed , private bath , etc . would definitely recommend hotel anyone look nice inexpensive hotel option NYC . 
