Great 	 staff great . breakfast excellent . room comfortable . internet spotty well sometimes non - existent . enough elevator , help now . the price keep go level service keep go down . the two night & quot ; social & quot ; amusing . will not .... 
 Care 	 's probably hokey , sell point consider book hotel manager check review respond person review . seem like something someone concern guest satisfaction hotel 's reputation would . hokey flawed logic , maybe , factor book . I ' ve stay New York several time measure well hotel ' ve stay business . like Marriott Marquis , slow elevator truly issue hotel much cheap . internet access free fitness room not world - class , deck plenty free , too . the room well - sized bathroom small . kitchen area well - equip modern appliance ( microwave , refrigerator , dishwasher ) . travel business arrive late , lack room service probably would issue . eat breakfast ( free ) full - feature warm buffet . overall , hotel heart thing , New York anyway , moderately price ( 2 night tax $ 480 , AAA discount ) . pay much , little thing impact satisfaction pretty sure would not surprise manager , , track site . pleased stay . 
 Nov 24 2009 	 have plan save life 	 review soon , event precede stay Marriott overshadow , keep forget get this . the good thing large hotel many room , usually something available . end Marriott B & amp ; B have feel proud finding turn material existence . find last - minute replacement not easy , naturally , cheap place book solid ( find hostel first night , want something bit comfortable rest stay ) . , decide see sort deal could find well - know chain , end Marriott 39th . although receptionist blink moment show , dishevel back - pack - bearing , recover moment , smile kindly , inform we have upgrade suite , double room would originally book ; moreover , pick two . our select suite top floor , look straight Empire State Building ; breath - taking slightly unreal . ' m originally New York , never see view Empire State Building outside picture . feel slightly like movie . stop snivel miserably hotel - find failure , begin enjoy myself . in addition spectacular view , suite provide comfortable lounge area bedroom ( seven pillow vary firmness double bed ! ) , clean bathroom , kitchenette ( not really use , since many favourite eating place NYC ) . substantial , buffet - style breakfast , serve pleasant surrounding include . the Marriott , however , expensive side , student , although central location particular one advantage make pretty much everything Manhattan ' within walking distance ' ( provide be good walker , good shoe ) .When arrive , room find bag popcorn bottle water arrival snack , price high difficult believe anyone avail , run downstairs get fraction cost . 's pleasant gesture . also little candy bowl table , remember correctly , magazine newspaper . the breakfast ample , , ' Middle America ' ( waffle , bacon , egg , etc . ) ; want idea many Americans eat get full - immersion experience . food quite decent , definitely well brand pre - package breakfast food , still hot ( although come bit late ) . expect major hotel group provide home - cook breakfast -- scale , would unrealistic -- mention absence heart set freshly - bake bread bake good : , experience anyway , would need stay small place . overall , excellent , unintended unexpected experience . make we feel grow ; ) 
 Nov 22 2009 	 nice find - would stay 	 stayed alternative hotel large conference hotel sell . suite large room space price range find NYC , clean quiet room small sofa , microwave refrigerator , counter space double desk area . hall way large enough could still easily walk even iron board set . window could cracked fresh air . view high floor . hot breakfast ( egg , french toast pancake waffles , yogurt can fruit , oatmeal , cereal , pastry toast , juice coffee ) not gourmet anything , complementary ( definitely step continental breakfast many hotel serve ) , along free newspaper , include Sunday NY Times . hotel easy walk hustle bustle area Times Square , Theater District , Rockefeller Plaza , Murray Hill , shopping area , etc . , well catercornere park ice skating rink . easy access several restaurant , delis , gourmet salad place next block . staff helpful allow print document . side couple time ask housekeeping item ( e.g. , replacement hair dryer not work ) - time , even though say handling , take second call get ( although apologize nice time ) . , though , think great find would definitely stay . 
 Nov 20 2009 	 great value comfort 	 second stay , first child . visit , originally choose stay highly rate ( Trip Advisor ) hotel think would romantic . apparently & quot ; romantic & quot ; mean cramp quarter paper thin wall , one night , move Residence Inn , know room great . the view upper floor wonderful , room spacious ( 12 per floor ) great location - could walk almost everywhere need to . my complaint book package rate include city pass Marriott Bonus Bucks ( email prove ) front desk would not initially give pass , say not rate . finally give pass , not get Bonus Bucks checkout . hope resolve seem strange see clearly rate book , hotel can't . other , great value NYC , spacious , comfortable , quiet room . 
 Nov 18 2009 	 Best Value Location Service 	 stay 3 night October 24 . husband came meet 19 yrs old son tag along . hotel locate south end Times Square quieter . pretty much center Manhattan . son 's first visit NYC , able tourist thing without much travel . hotel close Empire State Building , Chrysler Building , Grand Central Terminal , Bryant Park , Central Library , Rockefeller Center Theater District . walk Gershwin Theater see Wicked . corner King room top floor , room 3402 . email Gwen Lytle , hotel manager arrive . get email address response give TripAdvisor review . Gwen answer question quickly arrange everything ask . tell corner room large , not direct view Empire State Building . opt room , view three picture window spectacular none less . ask hotplate arrive ( end use , promise ) . ' m sorry not get meet , hopefully next time . breakfast morning hot , good plenty . arrive around 7:30 crowded . something new day price NYC , great bargain . room clean staff nice . husband meet annually , know stay next year ! 
 Nov 18 2009 	 great place 	 good price valuebreakfast delicious complimentary - rare find nycroom cleanhave small kitchen perfect little kidscon : elevator horribly slow rush hour - bfast check time 
 Nov 17 2009 	 Excellent Value Excellent Location 	 could think well value NYC . central location , clean , good value , child - friendly . else could ask ? 
 Nov 13 2009 	 Best Mariott NYC 	 ' ve NYC many time business pleasure - 's easy trip live . usually stay Marriott Marquis Times Square rate get ridiculous elevator take forever . discover property blow Marquis away ! location could not well , block away Times square , Radio City street beautiful Bryant Park across street . much quieter location time square . hotel well keep , staff helpful room - although small side - beautifully furnished . flat screen tv , comfortable bed , well decorate . complimentary breakfast good - something everyone . lounge 3rd floor small great place drink . property well worth time check - yoou not insanity large hotel , noise times square price point reasonable plus well do complimentary buffet breakfast . Valet parking $ 54.00 per day - . new place stay city . 
 Nov 7 2009 	 perfect package 	 Folks , mid - town Manhattan , place hand . might find cheap place , one EXACT middle Times Square cost , overall can not beat place ! staff simply fantastic ... greeting , service .. unbeatable . breakfast buffet ( free way ) well stock , diverse , taste great ! location like one block south east Times Square . bryant park subway literally one block away . small grocery store 1/2 block hotel open 24/7 . area incredibly safe . theater 10 minute walk hotel , Macy 's Penn Station mere block away . Gwen , staff really lay we make stay memorable experience . return New York visit , will not figure stay ... already know . 
 Nov 3 2009 	 Excellent hotel top location great service ! ! 	 stay five night October , fault hotel . room lovely , kitchen come suprisingly useful , able keep drink cool make hot drink time good . bed soft comfy , even sofa bed ! bathroom small shower excellent power always plenty hot water . also amazing view Empire State Building window ! breakfast great addition , ample set day sightseeing - good french toast ! location hotel excellent , short walk Times Square , Macys , Bryant Park , list go ....... finally recommend nearby Deli ( right hotel entrance ) , be call & quot ; Devine Bites & quot ; excellent sandwich , pizza pasta freshly prepared order reasonably price . 
 Nov 1 2009 	 great Room Great Service 	 North Carolina well aware enjoy ' small town ' atmosphere travel within state . staff Residence Inn NYC able create friendly , small town atmosphere within hotel . everyone staff come contact nice , helpful professional , prompt attention service detail . room great , clean well , comfortible . ability work kitchen dish , frig , dish washer microwave give we option avoid expensive restaurant every meal . leave over could store reheat . view 22nd floor interesting mixture old new building well good view busy street . oddly enough , quiet room much less ' hotel noise ' use experiencing . many great place close : resturant , subway , park , museum , shop . also really enjoy full breakfast include price fo room , free paper well . breakfast enable we eat quickly get fast start day . staff breakfast room friendly efficient . thank ! look forward next stay ! 
 Nov 1 2009 	 Perfect location spacious room ! 	 hotel locate close Bryant Park Times Square right middle Times Square crowd close enough walk minute . room quite large bit view Empire State Building . 16th floor think high floor would get full view . opt spend get room corner worth . think give room light window face front side . room incredibly comfortable king bed also sofa pull . work area plug laptop free wireless access . kitchen area wish take advantage . store thing fridge . bathroom little small size great showerhead ! free breakfast available not crowd weekday Saturday take minute find available seat . take advantage ! free ! ton place eat area spend enough money lunch dinner elsewhere . negative brief experience concierge desk . woman seat behind desk go ask question inform us duty . man suit come minute we ask question assist . not know friend casually dress negative experience . offer perfect location spacious room place stay future visit NYC . 
 Oct 29 2009 	 wonderful accommodation unbelievable service ! 	 55th birthday , college friend make reservation Residence Inn treat like GOLD ! Gwen , manager Howell , front desk clerk , take care every detail see accommodation top notch . check check perfect , bed soft comfy , kitchen everything could ever want , shower heavenly . easy walk Port Authority , Grand Central Penn Station , well Times Square offer . great weekend , even lousy weather could not deter we blast Residence Inn . HIGHLY RECOMMENDED ! ! ! 
 Oct 26 2009 	 Residence Inn ROCKS ! 	 Fantastic NYC hotel experience ! stay last year & amp ; extremely pleased ! year equally fabulous ! positive : splendid staff -- cater customer ! due redeye flight , arrive 8 am hotel & amp ; one room available -- cordially accommodate we ! great buffet breakfast morning ! oh spacious room w / all treat : comfy bed , kitchen w / everything , sofa , perfect ! free internet access ! ( partially work trip -- nice work room w / no technical difficulty ) ! front desk nice enough give we slightly late checkout time , ! perfect ! negative : much closet space ( live ) . also would nice extra hour breakfast time Saturdays & amp ; Sundays ( okay , confess -- Saturday wild night & amp ; not wake till 10 am Sunday -- lovely buffet ) . chance could extend weekend buffet 11 am ? also , rate pretty high stay -- compare Comfort Inn & amp ; place investigate ( still choose Residence Inn , great treatment last year . ) would nice nice deal people stay 2 day , maybe little price break . other mild complaint , place really ROCK ! 
