big 	 stay 8 - year - old visit family . room much large cheap NYC hotel stay . 's old elegant way . room move around , everything place . son keep talk soft bed rest trip . not want leave , complain switch hotel later week . next hotel much small expensive . Roger Smith clean , sheet towel new . will book ahead next time stay . 's close Grand central train station . 
 great location staff restaurant elegant room ! 	 ' location , location , location ( mid - town , east - side New York ) . Roger Smith also reliable , warm - hearted , responsive , professional staff . test sport bar please appetizer ( include smoke fish ) entrée ( wild mushroom risotto ) dessert ( apple tart á la mode brownie á la mode , perfect splitting sharing ) . also test restaurant breakfast please extra touch raisin brown sugar accompany oatmeal . we need stay room equipment disabled person impress junior suite ' elegance perfection . include sofa easy chair two flat screen tv , one big one living area , handy mini - kitchen - in - a - french Provincial free standing closet refrigerator , microwave , white china coffee tea amenity . plant — imagine this — be alive healthy book read nook well dust appealing . need Wi - Fi password . bedroom comfortable , , king size bed comforter — also small flat screen tv . bathroom big New York bedroom , glass - wall marble shower could accommodate roll - wheelchair . unfailingly courteous attention staff even round extra wheelchair us use , Kucuk G. Bag , front office manager outstanding crew . look forward return ! 
 Nov 25 2009 	 great hotel really nice staff central location 	 hotel real homely feel , room seem decorate differently , be unique comfortable . the bed really comfy . the staff really friendly helpful , breakfast day Lily 's - really good staff really accomodating , nice food . we also take part 4 mile run central park hotel send team take part in . it be charity 's really nice thing part be run take place . run Roger Smith running team . 
 Nov 23 2009 	 wonderful Midtown Boutique Hotel 	 RS charming midtown hotel unique accent make room unique . room clean , comfortable surprisingly spacious . staff friendly attentive without overwhelming . excellent value . breakfast pricey , good alternative within short walk . 
 Nov 21 2009 	 Roger Smith homey great escape bustle city . 	 Roger Smith hotel take pride ' service . point check moment leave always make feel welcome . room stay like hotel room ever . someone really dislike city , escape room real treat . room wonderful big comfy bed really homey feel reticent Bed Breakfast Maine production hotel room local Holiday Inn . understand room unique two alike . much brand standardized experience huh ? want come back see next room like ! 
 Nov 20 2009 	 Home Away home 	 pleasure stay Roger Smith Hotel mid - town Manhattan week , truly feel like home away home , albeit well bar ! travel business find location convenient location visit . welcome warm , room large clean , food wonderful , full - service restaurant , Lily 's , three catered event attend within hotel . I would describe Roger Smith boutique hotel without ounce pretension . day arrive back hotel , find lobby staff welcome attentive , bar restaurant lively pleasantly full , room always quiet peaceful . Lily 's favorite destination dining , socialize business meeting local business people resident - sure sign excellence neighbor patron . this first stay Roger Smith , guarantee last . recommend hotel even stay strength recommendation friend , stay live exceed expectation . 
 Nov 20 2009 	 great old hotel good service large clean room . 	 win bidder two night hotel charity auction know point , would need staying buisness NYC . dinner holiday party back back , perfect spot . walk work morning back evening function . although & quot ; sound NY & quot ; , trouble fall asleep comfy bed . room like small apartment complete little kitchenette area . staff friendly helpful . Breakfast Lilly 's also good . would definately stay . 
 Nov 20 2009 	 good value hotel uncommon NYC . 	 get room high floor remodel , excellent hotel money . refer stay twice , pleasant kind . comfortable , old - NY hotel . 
 Nov 19 2009 	 Roger Smith huge room great service ! 	 love size room , hence title review , Roger Smith . centrally locate - close subway station - one classier place town still reasonably price . hotel staff always friendly accomodate - especially sophy front desk . ' ve hear speak least four different language guest ! stay ! recommend ! 
 Nov 17 2009 	 food dreamy ! 	 daughter short break New York celebration 30th birthday . we stumble upon Roger Smith Hotel one evening decide drink bar . we feel really relaxed comfortable decide eat restaurant . the food amazing - tenderloin good ever taste - cook perfection . the restaurant manager - Jamiel - chat us - charming ! learn visit city insist us complimentary desert suggest delicious creme brulee ' make sweet pumpkin . well , dreamy thing ever taste ! go food , must it . although not stay hotel , felt treat special way . 4th time NY never notice Hotel know will go dinner next visit ! ! 
 Nov 13 2009 	 Hidden Treasure 	 every find true gem life . fortunate enough find one month ago midtown Manhattan . located central convienant location city small boutique hotel , Roger Smith Hotel , staff amazing , care wonderful people New York City . embrace , , entire family ( stay various time visit many , ) first many dear friend personally recommend gem . know alone praise , often elevator , lobby guest remark wonderful staff make feel . room suite character absolutely perfect , flaw make friendliness competance excellent staff convenience location . want feel part family , special welcome good New York offer hurry make reservation truly remarkable hotel . many thank : Kucuk , Randy , Mani , Sophy , Gemma , Rafael , Deforest , Vicenc , wonderful house keeping staff , please , forgive , not mention name , equally wonderful . last , least , excellance food service & quot ; house & quot ; bar restaurant Lily 's . , thank staff , include , limited Ramon , Mark Yamile . every stay pleasure ! ! thank , Williamsburg , VA ! ! 
 Nov 6 2009 	 always Perfection ... 	 ahhh .. well place stay . great location , comfort , coziness , good food .. etc . boutique hotel lot personality . old 's little quirk , spacious room , be clean , bed pillow super super comfortable ( comfy check see matresse use ) , homey , comfortable charm , lot real book peruse room , cool art antique . care staff ... be like apartment NYC . home away home . recommend hotel 1000 % 
 Nov 2 2009 	 can not wait next stay Roger Smith ! ! 	 love Roger Smith ! room homey comfortablle location amazing really set Roger Smith apart friendly efficient staff . recent stay fourth visit already make plan visit ! ! 
 Oct 28 2009 	 simply beat value location . 	 staff fantastic , service second none , location perfect , travel NY often business usually stay Hilton double price . simply beat value location . 
 Oct 28 2009 	 great location nice room friendly staff good offer direct call . 	 wonderful big room friendly staff make stay comfortable . needless say location near Madison Avenue Grand Central fantastic . price offer call directly Hotel Lobby Reservation Service good , normal rate though bit expensive ordinary traveler ... atmosphere friendly nice restaurant around , night quiet find good relaxing sleep . chance , go try . 
