disappoint 	 rude staff ; good value price ; security check go room ; small & amp ; claustrophobic room ; inconvenient bed ; loud music bar first floor could fourth floor late night . go . 
 Cool hotel great location 2 minor fault 	 really enjoy stay hotel , be perfectly place explore Central Park , Empire State , Rockerfeller , Times Square 5th Avenue , within walking distance . room cosy yet funky , although two minor fault are:1 ) light bathroom bright enough - could barely see apply make - up come back bushy eyebrow ! 2 ) towel rail hook hang towel , not dry properly use . would not wash often somewhere dry . 
 perfect hotel perfect location 	 first time stay New York hotel first plus ! nice welcome , helpfull , attend , ... room spotless , spacey ( stay Queen room ) , breakfast large variety choice hotel amenity ( pool ! ) perfect ! would definitely go back . 
 Good Hotel avoid room number number 205 ! ! ! 	 hotel great location , clean small nice room , medium size good breakfast ... first stay room 305 bar run music 2 am level difficulty talk room ... argument receptionist , could finally move another nice room fifth floor . we recommend hotel make sure room third floor … . 
 little gem times square 	 stay 5 night begin honeymoon . not expect great deal 3 * hotel heart Times Square , however , pleasantly surprised ! ! arrival , reception staff friendly helpful offer we help advice make short time New York . take elevator 10th floor , first impression hotel look bit & quot ; motel - like & quot ; neon orange lighting , deceive . room compact well design little storage area bed , plasma tv , dvd player , ipod docking station , telephone , aircon , iron , hairdryer , self - stockable mini bar , wetroom separate toilet . room well maintain clean towel daily . bed comfortable bed ever suspend high window look crazy NYC comfort duvet ! hotel offer we continental breakfast ( think room basis ) , yummy ... pastry sweet savory , fresh fruit , cereal , egg , tea , coffee , toast , juice etc . serve 06.00 - 12.00 ! pool really lovely touch soothe ache foot sightseeing ... complaint would temperature need bring degree ! sauna steam room ! pool clean , music playing , swim - up bar , twinkly light ... honestly feel part hotel many guest miss enjoyment , could not understand ? ? ! ! highly recommend hotel , location perfect ! A+ 
 Nov 25 2009 	 great value great location bring earplug ! '' 	 girlfriend find hotel solo business trip seem good true ... $ 200 + hotel middle Times Square look like would offer & quot ; W Hotel & quot ; type experience fraction cost . as stay Grace , joke w/ friend feel like & quot ; V Hotel & quot ; ; be try like W come short style , comfort overall vibe . however , price location , grace incredible value . literally middle Theater District Times Square 15 block Central Park , 15 minute walk . save much money avoid cab subway b / c everything pretty much walk distance . to degree , get pay : location , location , location . room however , tiny construction go next door . light sleeper like , make sure bring earplug sleep pill . 12th floor request , need buy creature comfort get good night 's sleep . I regret take advantage swimming pool bar . guy , be travel alone , killer place stay . lot gorgeous woman run around pool private party DJ theme night . tempt cancel plan stay hotel bar Brazilian Night , trust I . for biz traveler , internet connection spotty well . not think will get ton work do room ... 's hardly space internet connection run hot cold . overall , be single , 20 early 30 want W - like experience not want pay $ 400 night , stay . especially like european - style atmosphere almost feel like high - end youth hostel . be travel someone seek romantic quiet weekend nice hotel , go someplace else . hip , young establishment will annoy loudness hub - bub . all , ' m glad stay Room Mate Grace . , thing equal , single 35 - year - old w/ disposable income ... future will pay extra money add comfort quiet nicer hotel experience . prefer class grit point life . word , will upgrade & quot ; V & quot ; back & quot ; W. & quot ; 
 Nov 23 2009 	 European Style Experience NYC 	 great price , great ambiance allure boutique hotel . 
 Nov 23 2009 	 excellent choice central NY base 	 great convenient hotel stay visit ny . though room compact heart Manhattan ideal people want hotel simply sleep . en - suite bathroom ample , clean shower toilet . also safe free use . hairdryer provide room well iron ironing board be worried crease clothe ! hotel pool , sauna , steam room gym help guest relax . breakfast continental style excellent toast , bagel , croissant , fruit , cereal , ham , cheese boil egg ( cold ) plenty tea coffee . 
 Nov 22 2009 	 great hotel get good price ! 	 come Grace stay another NY hotel 5 night ( different location ) good hotel . issue street noise ( much much quieter first hotel ) concern construction right next door . breakfast fantastic room adequate . book 3 month early get decent deal ( $ 240 + taxis ) . toilet shower little strange slide cupboard - feel little claustrophobic window glass ( 3 plaster wall back slide mirror ) essentially cupboard . deal staff member short stay great , one friendly . also could not answer ask could additional luggage . customer checking tell place street ( jack world something ) . also would not answer anything tell room number check ? , everyone else lovely would stay want central location . 
 Nov 17 2009 	 small comfortably pleasent hotel middle NY ! 	 nice hotel , recommend especially young people would love nice stay Grace . room nice enough space also breakfast good untill 12.00 o'clock ! position close Times Square , do not love crowd not problem help we reach everywhere easily . 
 Nov 16 2009 	 nice trendy hotel close Times Square 	 great location want near Times Square - 's half block away Room Mate Grace . room reasonably small well lay nice fitting . pool , sauna , free fitness room bonus , free continental breakfast serve sit area Level 2 . bar downstair pool pretty quiet night , be handy able wander drink mood take you . service good , nothing spectacular issue there . all would definitely recommend RMG people want nicely appoint , clean room close Times Square not ridiculously expensive like other area . 
 Nov 15 2009 	 low quality / price ratio 	 door shower room , two small bed small room , dirty disgusting curtain hang next bed ... thank god could buy surface antiseptic ... positive point : location kindness employee . in short survive place , 300 $ place not offer good quality / price ratio 
 Nov 10 2009 	 Great Hotel good accommodate need 	 petite corner non smoking room awesome ! ! ! ! bathroom big expect even view city great . love ! ! ! 
 Nov 10 2009 	 good New York offer open minded traveller 	 can not recommend hotel highly enough . everything stay top notch , initial reception check - out . pool , breakfast , cleanliness , room , location service thing remember warmly . not time try small gym quick inspection look like enough make quick workout enjoyable . 
 Nov 8 2009 	 grace love Room Mate Grace 	 currently favorite place stay NYC . stay second time move regrettably cheap - but - less - clean nearby hotel . location West 45th put middle Time Square action . amenity great ; room modern attractive clean ; free wifi DirecTV , free continental breakfast substantial . plus , Port Authority block away walk / cab travel connection , subway airport shuttle service . 
 Nov 7 2009 	 Pretty good 	 comfortable , reasonably price ( New York standard ) , hotel Grace tick box . great location Times Square . clean design quite cool , although admit cut edge expect . room particularly rather unexceptional , design element irritation anything . nonetheless , bed extremely comfortable . pretty noisy , give location 's inevitable . Saturday night particularly noisy , bar downstair go dawn . lay good continental breakfast , room get crowded expect share table . 
 Nov 6 2009 	 extremely clean trendy perfect location new 	 staid two people hotel one week . take small room . say .... small . arrangement ( high bed permit put luggage ) quite smart . think high bed like could problem old people even see hotel . make room give good feel quiet place ( good NY especially close Times Square ) .The cleanliness room hotel simply perfect . the location breakfast could bigger not wait take breakfast ok.wi - fi include price , , real plus . I would recommend hotel . maybe take big romm ( think difference price important ) . see map hotel , room seem less twice big room difference price not seem twice ( maybe ' m wrong ) . would suggest take room give back hotel . room give street . still ok big truck sound especially week worker in - construction building next hotel . even , really happy hotel maybe well locate room hint . 
 Oct 29 2009 	 Great Value Great Location Great Atmosphere Great Fight Brekker 	 stay five night happy . staff helpful efficient , place decor quirky fun room comfy . whilst large clean well appoint fine sightseeing holiday . location great second walk Times Square . bad point try get breakfast . breakfast bar pack solid time get seat difficult . give twice go cafe next door . though would happily go back . 
 Oct 29 2009 	 Excellent round 	 really enjoy stay . modern room clean comfortable . great touch - cosy pillow , ipod dock , iron , hairdryer , decent sized bathroom , lovely shower , weather forecast leave bed , etc , etc . breakfast delicious , service friendly location ideal . would definitely stay next visit NYC . 
 Oct 25 2009 	 great breakfast good location reasonably price 	 hotel great location right near Times Square walk distance many attraction . theatre right street . room modern well equip safe , iron , hair dryer . bed huge comfortable . breakfast great fresh berry fruit well pastry , cereal yoghurt . would stay next time ny.only negative internet expensive . 
 Oct 25 2009 	 Chic boutique hotel reasonable price 	 sister stay night town celebrate friend ' anniversary .... sis always want stay , think would fun see like . price reasonable , $ 208 ( $ 180 + taxis ) consider not book reservation far advance usually . think place would trendy maybe little snooty we feel comfortable , staff friendly accommodate ... even see couple baby , good sign . room little small , still roomy enough two we relax go ( ' ve stay much small cramp room NYC ) . bed platform , comfy , little bench area we put bag . also , like mini fridge , although take half closet space , already small begin . room 4th floor overlook 45th street , actually pretty quiet consider loud NYC street noise time . fixture bathroom nice ( although would ' ve prefer bit bright ) , rainshower cool , wish shower separation rest bathroom ... half wall shower curtain , water still splash rest bathroom area floor . take advantage continental breakfast next morning , pack , wait bit seat . end sit near pool , kinda cool , would ' ve prefer seat breakfast area , since bright not smell like chlorine . wish long , since not get try facility ( pool / spa / sauna , gym , etc . ) . overall positive experience , sis happy get stay . would definitely stay , ' ve see low rate site sometimes , be plus . 
 Oct 24 2009 	 eccentric hotel fulfill purpose .. 	 july 09 , 2 girlfriend stay Room Mate Grace 1 night . hotel spitting distance Times square ! ( good bad thing .. depend close want ) motel immaculate retro / modern decor ( like ikea showroom ) . small pool entrance level cool , ( gear toward adult ) . room narrow space use effectively . view existent , not come NYC sit room . bed comfortable ... sleep top bunk bliss . complimentary breakfast one good . continental breakfast , plenty choose , well snack grab go trek city . travel NYC many time never settle less 4 star . ' m glad try Room Mate everything good hotel . give good breakfast , clean room lovely bed sleep . tip : worth check NYC tourist website event may go trip ... fortunate Restaurant week eat expensive exquisite restaurant city ( prix fixe menu ! ) 
 Oct 24 2009 	 peaceful place dim light 	 room beautiful . lobby breakfast room small pool . friendly service . 
 Oct 23 2009 	 extremely good location Times Square 	 's first time NYC , choose hotel . 's easy see part city . be MIDTOWN ( ! ) Manhattan ; - ) price okay , room big expect acually , hear advance hotel - room NYC . room clean . 3 drawback : half staff really helpfull pleasant , half seem semi - interested guest . breakfast area really small over - crowd early morning . , be deal swimming pool ? use space build big bar / breakfast area ? easy watch people use pool thru glass wall elevator bar girlfirend shy jump ... , enjoy stay . despite minor drawback would recommend hotell couple ( small family teenager ) want live & quot ; crossroad world & quot ; Times Square .. : - ) 
 Oct 21 2009 	 great ! 	 4 woman vacation , bunkbe room fabulous perfect we . include breakfast also wonderful almost unheard New York City . great time love stay . couple burn light bulb ask several time replace get service , please everything . 
 Oct 20 2009 	 great fan room mate hotel europe - disapointe NYgrace hotel 	 first room confortable 10th floorsecond room 8th floor fresh paint - toxic smell - : ( ( ( black curtain avoid light early morning : ( ( ( replace give another one 3rd floor : impossible sleep 3AMbecause party swimming pool ( tell party end 2am fun go manager extend later : ( ( ( night reception never ever say sorry disturbance : ( ( ( least stay total 17 night ... breakfast room crowd start good day NYC : ( ( ( queue get seat queue help : ( ( ( seem hotel direction prefer keep sofas order organize evening party swimming - pool instead place small table welcome people breakfast : ( ( ( finally seldom use pool always crowded party : ( ( ( sauna spa often use party : ( ( ( sorry able recommend grace hotel could several room mate hotel spain ( laura - oscar - alicia madrid + marina valencia ) ! hope make good use review ... improve grace ! 
 Oct 15 2009 	 pleased hotel 	 clean , hip hotel . great breakfast . bit street noise room . efficient use space room . staff friendly somewhat helpful . couple knowledgeable . overall pleased 
 Oct 12 2009 	 great location great breakfast fun hotel 	 reserved & quot ; Petite & quot ; room , concerned might uncomfortably tiny , room quite spacious ( perhaps give we upgrade ? ) . king - size bed ; small table pull bench , chair ; closet hang space 3 - 4 shelf ; bathroom nice big counter long narrow shelf mirror ; spacious shower ; toilet room close slide door . lot empty floor space -- plenty chest drawer , would nice . we hear low floor could noisy night ( party pool area ) , request upper floor get room eleventh floor , plenty quiet . course , always city noise , double window help muffle . amenity : safe large enough laptop computer , small mini - fridge ( empty ) , hairdryer , iron small ironing board , magazine , binder menus local restaurant . the breakfast available 6 am noon , include bread ( slice white wheat , bagel , croissant , muffin , etc . ) , fruit ( apple , orange , banana , raspberry , blueberry ) , yogurt , ham , cheese , hard - boil egg , cereal , coffee , tea , cocoa , juice , milk . staff quick re - stock anything get low . the location great . 5 minute subway stop , within walking distance Times Square , MoMA , Rockefeller Center , lot tourist attraction . 's deli two door good place get snack want something quick , want eat room . 2nd floor area breakfast serve also available rest day want comfortable place eat hang out . the staff friendly helpful . last day , bellhop store luggage could see last sight , mention would back around 2:45 take cab airport , arrive , cab wait we . love funky decor , love breakfast , love room , would love stay ! 
 Oct 12 2009 	 Luxurious Hotel Hotel snoby 	 enjoy classy hotel without snoby approach - far Subway , room newly decorate , clean although large . swimming pool ( quite small ) Sauna extraordinary day full New York ... price high book late like .... 
 Oct 10 2009 	 oasis 	 two teenager stay overnight Grace Hotel town show . find clean , pleasant . service people friendly helpful . bring bathing suit : heat pool oasis . light dim pool area , soothe music play softly . ahhhhh . first floor really get hop night , loud music filter room . next time , will request room high floor ; 3rd floor , main floor . continental breakfast nice ; buffet bagel , sandwich fixing , croissant , fresh fruit , muffin doughnut . OJ excellent coffee . room king size bed twin upper bunk perfect 3 we . drawback we would ' ve see - through shower curtain shower , since door close b / w shower area rest room . would advise bring clothespin pin bed sheet see - through curtain . simply use swimming , bathing suit still . conveniently locate theater district / Times Square area . also , cafe - type restaurant -- casual , right near hotel . 
 oct 9 2009 	 interesting hotel 	 really like location hotel . really could beat it - it close Times Square , subway , etc . bed situation really interesting . ' m old person keep think someone old someone super acrobatic stayed room , would probably end sleep floor . bed rather high platform entry one side . crawl , crawl husband get side bed . actually quite amusing awhile . large closet space , amazing New York hotel . loved decor whole vibe place . 
 oct 8 2009 	 awesome hotel 	 modern deco . room cute , big large enough . breakfast good relax take front pool . service great , always helpful . recommend stay high floor ( 16th floor ) case party around pool noisy sleep upstairs . location perfect , close broadway times square . 
 Oct 7 2009 	 could well .... 	 general term , enjoy hotel . room need noisy . buy ear plugs sleep . not noise street air condition machine building . 's non - stop noise night day . think 's problem window , thick enough coud feel air come inside bed . like much hotel Room Mates concept . client Spain one chain , think detail attend . recommend reserve . 
 oct 2 2009 	 Nice room lot style 	 room get Room Mate Grace really fun . unique shower , big comfortable bed , lot space luggage . general hotel stylish . hotel clean , service helpful ( allow we check - in 8AM ) , breakfast nice way start day ( especially like sweet stuff breakfast ) .The location central lot subway station nearby . the problem room constant machine noise come roof build next hotel . window room seal noise well . Tip arrive Newark Airport - take USA Coach bus ( outside terminal ) get Port Authority . 10 min walk hotel . round trip cost 25 $ . 
 Sep 30 2009 	 Excellent customer service great location 	 really enjoy stay Grace Hotel . staff incredible , always ready help always smile . heat pool perfect relax long day shoppind sightseeing . breakfast morning really good , fresh fruit , cereal , different sort bread muffin also nice coffee machine ( cappucinno , latte ) available 24 hour . location great , directly Times Square , less 5 minute walk 5th Avenue , 15 minute walk Central Park , 15 minute walk 34th street ( Macy 's lot nice store ) . Saturday night , DJ pool everyone dance , lot fun . stay next visit NYC sure . 
 Sep 27 2009 	 nice comfortable . 	 Room Mate Grace NY . reception personal friendly helpfull , room nice , clean comfortable . People breakfast area fast friendly , grumpy eacht not know laugh smile . ask every morning orangeju , clean table , cup , etc . breakfast itself/ food good . we would come back stay . 
