mostly 	 arrival four night arrive tired late travel San Francisco . inform Hotel Policy request $ 150 per night credit card , bond cover incedential ( I.E . do not trust - guest ) . likely use facilty hotel indication likely price , tell $ 150 dollar would take , $ 600 dollar four night . show one small room hotel , could get warm -window find open , stuck . thankful duvet . bed fine comfortable , shower leak water bathroom floor door wide space . opinion much style little practicality . staff helpful , would single concierge -Yenni . customer orient . also night staff duty 1st December , could helpful early morning start . would recommend hotel -not value money , convenient location . 
 luxurious Respite heart Midtown Manhatten 	 Royalton exceed expectation hotel midtown Manhatten , provide luxurious welcoming retreat long day tour city first trip NYC . location wonderful - quiet street step subway , Bryant Park , Times Square - short walk Grand Central , Theatre District , great restaurant , Rockefeller Centre - even Macy 's Empire walking distance . historic georgian stone building , set appear old & quot ; tony & quot ; area , Hotel Algonquin across street , NYC club Harvard club step away . service prompt friendly - unassume welcoming - open greenhorn tourist question . bathroom bed wonderful - especially mirror tile huge tub shower - feel wonderful ache body full day walk ! price internet special put price range Manhatten hotel less quality - hard get anything $ 250 cdn . reviewer mention , lighting dim get use , seem soothe - flicker light large fireplace shadow scale modern architectural detail beautifully appeal sense . curl leather couch front big fireplace glass wine long day huge & quot ; ahhh ! & quot ; moment . great little deli / coffee house couple step away grab quick breakfast bring coffee room . also enjoy Jewel India - street price quality food . restaurant area likely good expensive ( Algonquin across street Jazz supper club - expensive great rep , although not try ) short walk cab ride 9th Ave Hell 's Kitchen , great , less expensive food ! 
 Superior Customer Satisfaction 	 spend 5 night Royalton Thanksgiving holiday month say extremely impressed . stay Grand Hyatt , Marriott Marquis , Millenium Hilton name , level service family receive Royalton second none . moment arrive bellman front desk staff delight work with . our room spacious desk couch , bathroom large one good shower head experience ! bed comfortable room appoint nicely . highly recommend hotel visit Manhattan great location great staff . 
 Nov 25 2009 	 really special ! 	 great hotel . location fantastic , right heart everything . room wow factor . open fire really cosy come back long day shopping , large soak tub divine relax bed extremely comfy . thing price room service wine , astronomical find place ( reflection , go will take bottle we ! ) ... staff friendly without top quite like . would definitely recommend especially get deal . pay $ 180 per night think good value . 
 Nov 25 2009 	 Fantastic ! 	 husband stay Royalton first leg honeymoon FANTASTIC ! first time NYC , everyone doorman front desk person helpful . show complete novice NYC , employee helpful offer we advice get around city . even offer we advice get Yankee Stadium even though Twins fan head playoff game . come back trip Yankee Stadium find bottle Champagne chocolate dip strawberry room . treat ! also give advice place get pizza cocktail . come time departure , doorman get private car we even give we tip place see London ( next stop ) ... love city , come back , stay Royalton . 
 Nov 23 2009 	 Locationclean silent fantastic bed 	 one disturb minus smell open fire room . airco open fire room fit .We use room , transmit odour room . but overall fine hotel good price except bar price ( 14 $ gla wine plus taxis ) lead bar . 
 Nov 17 2009 	 Disappointing 	 stay Bryant Park last visit NYC high hope hotel . not believe hype . first impression great , greate great doorman walk door automatically woosh open can not help smile , however , reception staff soon wipe smile face . cold unwelcoming . we assign room 6th floor , know noise NYC enquire whether another room available high level . tell room book nothing available . enter 6th floor room dark smell badly . ask doorman smell be inform 's fireplace , housekeeping must aware problem room overpower air freshner try mask smell . 's worth nothing fire light later year . I contact recpetion smell promptly re - assign another room high floor - amazing room vacant . not seem surprised complain smell fireplace ( nasty smell cigarette ) . subsquently find common complaint . the hotel quiet seem attract ' old ' generation customer , certainly not hip swinge hotel like protray . the room spacious , however , 's dark - 's depressing come room leave behind sunshine / daylight . light turn well be leave fumble around , nightmare try put make - up , also , hotel not provide full lenght mirror room . the Phillipe Stark round bath look great good thing , plumb poor water not drain away leave deadly slippery soapy scum bottom . loo would periodically flush 's would not turn result late night call reception get someone fix it . the room overall dirty dust everywhere decor vary colours grey add feel old tired room . two plus location , easy get everywhere bed . there plenty hotel NYC up - to - date cetainly welcome hotel . overall feel like hotel management away training course junoir leave charge - find well recommend . 
 Nov 16 2009 	 expect ? 	 hi everyone ! ' m travel NYC friend next week excite stay Royalton Hotel . deal get offer free upgrade upon check - in , recommendation term room size/ accommodation ? additional detail provide term hotel would appreciate : ie . tip etc . able check late hotel , flight 8 pm ? last , much cab LaGuardia Airport hotel approximately ? 
 Nov 6 2009 	 Great Location Style 	 stay Royalton four night late October . find staff welcome , pro - active , friendly accommodate exception one clearly bore employee . concierge extremely helpful . recommend great Broadway show , manage get extra ticket late notice . also find town car take airport within three minute booking fall . breakfast great - become addicted steel - cut oatmeal . hotel really buzz lobby popular native New Yorkers . give hotel authentic vibe . room comfortable , many comment , bathroom huge well - plan extra makeup space rainhead shower . location wonderful . usually stay close Central Park near 55th Street , west 44th location access 5th Avenue , Broadway Times Square within couple minute . far Union Square cab , either . wonderful stay throughly enjoy experience . 
 Nov 4 2009 	 location great hotel OK 	 return 5 day trip New York stay Royalton Hotel . firstly location hotel fantastic short walk hub Times Square , Broadway 5th Avenue , brilliant . like reviewer however find dark somewhat dingy interior hotel rather depress souless . great place go work drink show throng non resident locate bar every night , great stay hotel . bar occupant rather suck New Yorkers seem turn nose one walk lobby elevator . reception staff also seem stuck air . make reservation ask later check time flight late evening . lady reception tell we late could room 1 pm . proceed shopping come back . try get back room key card block prevent we get back room . surely simple thing extend keycard 1 pm ? room nice functional lovely shower stand long day sightseeing . clean tidy comfy bed , great . in summary potential great hotel , however one would recommend follow ; uplift lighting perhaps use natural light ? , staff interested resident snobby bar punter , finally little genuine friendliness staff would go amiss . 
 Oct 26 2009 	 Lots Style Misses Basics 	 great location Midtown Manhattan . staff friendly . wow lobby ambiance . experience good make room . Superior Double beautiful ( expect ) , small ( somewhat expect ) , completely impractical ( expect ) . drawer clothe . bathroom light dark enough daughter wife hard time hair makeup . finish tub come , bathtub drain work properly . bed set back wall niche look cool , giant pain . whack knee wall couple times night . ( 3 ) power outlet room hard get , hard find . ' m frequent business traveler , accustomed focus comfort practicality . perhaps ' m cut boutique , style substance approach ? 
 oct 17 2009 	 Great Location hip trendy 	 stay 5 nt October first impression good . lobby dark create lovely atmosphere around bar area . room compact & amp ; inspection appear small room top floor . however not anticipate spending lot time not problem . walk shower invigourating find wardrobe area adequate gear . Unfortunatley hotel bar price especially mini bar ridiculous therefore one drink Bar 44 time . evening bar area full New Yorkers work drink hard find anywhere sit relax . would therefore recommend Bar road Figaros drink food . room breakfast Gregorys road every morning staff great cheap . as staff Royalton not interact much think need anything would help not go way ensure good stay , however concierge helpful recommend chinese one evening even make we reservation . in nutshell great location first time visit , hip trendy personnel enough resident 
 Oct 16 2009 	 take torch ... 	 review say ; location great probably hotel 's good asset . 's street Sofitel Algonquin 's one good place stay middle Manhattan . 5th Avenue one side . Times Sq . like walk , be block everything interest . beyond ' m sure main attraction place would . room small ( know 's NYC ) . extremely dark mute . bathroom fancy ( great tub rain shower ) little functional space / surface . additionally , tv place weirdly side wall bed make view little strained . aircon howled growl like demon switch . also , perhaps miss , hotel information room , menu . detail wifi charge , hotel service etc . nothing . bed comfy little ' cave ' hide city get much . clean quiet - although anyone room 4th floor beware would lobby near gym etc . staff not live moody expectation would read 're friendly responsive . 's small adequate fitness room business centre hotel like nice touch , well present . as everyone mention ; lobby dark , really dark hall way , lift well everywhere . not expect clear bright light room either ( candle though place odd , eye gouging level sconce , weird ) . 's shtick mysterious create temporary blindness eventually make onto street . lobby always busy evening must work bar functional hotel waiting area . restaurant overprice course good need something spot . otherwise NY offer everything anything within minute ... really can not face search breakfast , Red Flame diner across street ( scaffold date ) basic get ; get food throw hurried door 's busy cheap . you judge hotel whether would return not think place good enough retry . 's quirky luxurious . neither cut edge . be bit arrogant , indulgent dark - good way . 
 Oct 10 2009 	 Nice hotel good location good good point ! 	 Location good , room good size , clean although little sparse . bathroom luxurious modern . lobby dark comment review not detract ambiance hotel . say however , price lobby bar clearly put customer always appear empty . drank alone feel little flat . consider calibre hotel , hotel staff ( apart housekeeping ) less attentive friendly . another reviewer comment feel put staff request anything sadly case . ( case ask price room Wifi reset electronic room key not exactly ask upgrade ! ) . experience shame Management superb product hotel , unfortunately let staff . state , hotel fab great base discover New York , due experience staff however would reluctant recommend hotel return . 
 oct 9 2009 	 Great Refurbishment love hotel .... 	 ' v ebeen stay hotel since open ' m biased like . say first visit since refurbishment think worth review . first general description . hip happen boutique hotel mid - town . 's stunning location new Tribeca , Chelsea , south Manhattan revival . 's good theatre shopping go downtown trip . otherwise head Soho House . it be small reputation suggest . mean quite personal charming . want Morgans Group style Mahnattan scale stay Hudson . staff interested guest , bother chat introduce arrival pay dividend . worth check stay major fashion film week . hotel chaos . chic chaos , chaos same . the new lobby wonderful . fire glass front chimney gorgeous - space ' ve demolish circular bar . 's dark wood marble carpet . food good , great , fine breakfast lunch . want eat really well cross street go DB 's - one good kitchen Manhattan . the room dark , ' ve stay . really want loft suite superior room sort . like loft round bathtub , although superior room large bathroom cool too . on trip forgot shaving foam , deliver room three minute , need Best Man 's speech print urgently ( email Natalia reception print critically - review ! ) . thank Natalia ... ; ) previous trip concierge organise car , ticket Avenue Q Camelot day , send laptop another hotel leave room . if want whole huge Manhattan hotel experience , want personal , gorgeous hotel human scale great staff . avoid Fashion Week . it charge $ 10 24 hour internet annoy . 
 oct 9 2009 	 hip ? guess 's great 	 friend go NYC stay midtown 3 time - like Royalton hotel least . read reviews Trip Advisor go , surprised find many flaw hotel ( might also explain ' m give negative review .. high expectation ) . begin ? yes , people online mentioned & quot ; bit dark & quot ; . BIT dark ? ! hotel like mole ground . feel like ' ve walk dark bar matter time day . always happy ( rush , fact ) leave gloom hotel . could not make bright daytime ? ? even room , dark SMALL . may need room two bed room felt cramp , truly small . much , bed feel bit like coffin tuck wall ( hard explain , could not see bed ) . friend sleep diagonal not like feel claustrophobic . little space put luggage , tiny closet ' ve ever see hotel room , make bag / personal item store floor bathroom ( counter space ) . term service , fine ( room service happy bring we robe .. not room already ? ) , least try fix clock radio not work properly . front desk staff mediocre ( particularly friendly , bit ' cool ' ) , concierge friendly helpful . positive - great location clean . next time , would pay stay across street Sofitel ( nice ! ) , would take less location Affinia Dumont ( fancy , large room ) - would not return Royalton . 
 Oct 5 2009 	 nice 	 stay loft suit get good deal . room really nice - little plain , bathroom great . do not find dark - think great atmosphere . staff general friendly attentive . location excellent . thing little disappointing price bar downstairs - end really stay drink not worth price . overall would highly recommend would happily stay . go DB restuarant opposite great meal , diner road also good brekkie . 
 Oct 1 2009 	 Nice Room Good Location Oddities 	 stay Royalton weekend visit know go fairly & quot ; hip & quot ; hotel . lobby dark check - in desk seem kind hidden . lobby bar / night club , many beautiful people dj . first , good : room huge , particularly NYC standard . believe closet size actual room W New York . bathroom actually two room ton mirror great shower . flat screen tv couch . Royalton part Morgan group similar Hudson Hotel fact not box spring bed close ground , hassle . like location , four block Grand Central near Theater District . second , bad : staff seem put deal . rude , really deal . checked ask good possible room , wife not sell hotel get response front desk people . never greet anyone . morning would walk front desk bell man say & quot ; Good Morning & quot ; , response . really not big deal , change place stay recently . third , different : already mention bed close floor . find odd candle room match ! ' m sure would romantic , think kind safety hazard . overall , would stay right price . pay $ 239 night get $ 20 Metro Card . 
 Sep 26 2009 	 top notch mid - town hotel 	 stay one night disaster another chain - find excellent - book phone via reservation - tell woe girl friendly say would much well look - fair ! - super friendly check girl look well , hear leave last hotel , give free upgrade - huge room comfy bed plenty nice touch - great bathroom massive tub , good shower - lot towel something rarity day superb midtown location - cool lobby bar , lot beautiful staff - find efficient , exactly friendly - unusual type hotel NYC - yes ' hip ' may everyone 's taste - really enjoy stay would look back 
 Sep 25 2009 	 Royalton stop try hip try good hotel ! 	 disaster ! boyfriend excited fun weekend NYC . stay Royalton many time business excite share hotel . Royalton completely let we never stay recommend anyone . first night 's stay , wake loud disco music 2 am . call front desk tell music loud could sing along , rude guy front desk ask we come . tell not sure sound like come downstairs lobby . rude guy say , ' yeah , hold party lobby . ' ask could turn music , guy say could move room . want move room 2 am ? would hotel guest pay sleep , party loud guest can not sleep ? tell front desk morning , front desk clerk less apologetic say not aware party . weekend Royalton continue fashion maid throw shopping bag purchase still . time complain , staff Royalton seem hip actually apologize fault anything . good luck stay - feel like worthless person chic hotel . 
 Sep 25 2009 	 Personal Touch 	 book hotel first trip New York mention Thirtieth wedding anniversary immediately get upgrade deluxe room . room beautiful huge bath shower . downside dark natural light , pay upgrade would insist move . also right next door business centre fitness room , not want woken inconsiderate guest bang door hour , get room end corridor . never use facility hotel much morning night , , staff helpful friendly , lead believe & quot ; native New Yorkers & quot ; . lot , soon realise great location everything . one final thing , return hotel 22nd , date anniversary , anniversary card wait we room , sign staff . personal touch mean lot we . would definitely reccommend hotel , come back would stay . 
 Sep 24 2009 	 feel like star ! 	 ok , be use stay upscale hotel NYC decide splurge . moment walk lobby , know hotel something special . subdue light , big comfy chair form intimate seating group , bar selection fancy cocktail interesting snack . room , Manhattan small , beautifully furnish . bathroom luxury product , everything could want comfortable stay , include scented candle , . real thrill ( ok like say , not get much ) notice picture candle sconce change . tell we even little detail important . staff young hip , interested make stay pleasant possible . definitely give Royalton 2 thumb . 
 Sep 24 2009 	 Quintessential NYC hip edge 	 fabulous design , wonderful location , great chef attentive service . 
 Sep 21 2009 	 wonderful experience 	 stay spouse February 2009 , severe winter storm . would also agree yes , 's dark hall . 's issue stay somewhere well lighting . say , be chic without pretentious . 's thing - grow east 15 year Oregon feel like hayseed despite spend lot time Manhattan DC . staff could amazing . give we incredible recomemndation way restaurant feel like open eye real NYC , help we elementary navigation issue , end day whip martini size Sputnik enjoy gorgeous lobby . clearly , lot local agree always busy . the room great . location could well . quiet cross street , proximal coffee , subway , wicke great diner next door . again , staff really make we want return . 
 Sep 20 2009 	 love love love 	 say anything bad staff excellent conceirge door guide thoughout stay true proffesional deilght , girl waitere table truly friendly give outstanding service . room cleanne daily prefect prefect , want say huge big thank reception everyone make we english feel special . fab location grand central straight road newyork public Library around corner times square road , first time new york let we yellow taxi airport rude orrible man juste want TIP , anway get private hire car plus driver back aiport , excellent service .WHAT SAY LOVED Newyork back , plus back stay royalton hotel high quality standard thank much 
 Sep 8 2009 	 Great Location Comfortable bed good walk shower 	 hotel everything need New York City , 44th street 2 min 5th avenue time square . the standard room good size shower great , bed great . it usually hotel lobby , could consider bit pretentious , spend time usually full people drink snack , Hall bit dark , save environment way . overall nice hotel , good price , great location . 
 Sep 6 2009 	 hip chic watch elevator ! 	 king loft room , fantastic - bathroom world 5 ft round bath tube rain shower shower attachment - huge ! oversized bedroom ny standard winter even open fire could light . staff often lack presence , guess part hotel charm , feel exclusive club rather hotel . public area funky , night dark let eye adjust & quot ; mood & quot ; light . bar staff great ( price high ) , soon ask anything appear . location great West 44th 6th , 10 block Empire State Building , 5 minute Times Square handy subway Penn Station get Newark Airport . concierge ( available weekday - shame ) fantastic know hint tip - direct we TKTS South Port Plaza get excellent ticket half price see Mary Poppins Mamma Mia ! great tip inexpensive place eat too . downside - elevator , three , not reliable . get trap one two hour , finally get , apology staff management . seem lack awareness long trap check see ok ! ! perhaps that s pretentiousness hotel ? short look something hip trendy , price boot can not go wrong - like standard chain Marriott Hiltons , make refreshing change 
 Sep 1 2009 	 fantastic place stay 	 recommend Royalton highly . great location within walking distance Times Square Fifth Ave . service excellent staff cheerful friendly , plus superior grade room meet expectation - large , airy stylish . stay will disappoint ! 
 Aug 27 2009 	 Pretentious 	 really look forwrad stay Royalton , review picture make look fantastic . arrive indeed , impressive element hotel , fire reception great not feel comfortable sitting ! room merit : bed fabulous , bathroom amazing everything sooo dark , make appear dreary . definitely winter hotel would depress summer ! not veiw window , buit consider small amount time spend room not matter we . staff prance wear t - shirt suit concerned appearance deal customer . hotel air pretenious , cold impersonal . would go back recommend hotel well hotel find money . 
 Aug 25 2009 	 trendy hot totally worth money . 	 hot , hot , hot , say ! ! hotel awesome . room big gorgeous nonetheless . hotel lobby bar sexy worth looksee drink . food good restaurant . 
 Aug 19 2009 	 great hotel would definitely stay 	 really love stay , think staff excellent . surprise much pay attention detail since always hear horror story New York City hotel . clean room , comfortable bed . every time see someone elevator hall would smile een ask stay go randomly . really turn business trip pleasurable experience . 
 Aug 14 2009 	 wonderful experience ; perfect location ! 	 first experience boutique hotel ; travel college aged daughter think would enjoy stay somewhere trendy typical chain hotel , especially NYC . Royalton disappoint . moment cab drive , doorman open cab door we escort we check . door always man always greet & quot ; get lady cab ? & quot ; & quot ; day ? , get anything ? & quot ; . exceptional service ; staff always courteous polite . great travelzoo promo rate free upgrade . room probably twice big room another hotel last visit NYC . nice sit area much open space make 5 night stay comfortable . room also quiet ; 2 room away elevator never hear sound . would hesitate stay . location perfection ; seem equi - distant Theatre District , Times Square , Rockefeller Center , Central Park , Grand Central . nice coffee shop & quot ; Gregory 's Coffee & quot ; couple door street pick bottled water , bottled juice , fruit yogurt daily . fitness room 4th floor accessible room key Business Center next print boarding pass charge . 
 Aug 13 2009 	 Great Hotel great area 	 Royalton cute trendy . room nice , little small NY hotel plus boutique hotel . room decor nice room typical ugrade , slate bathroom , robe etc . great service overall outstanding stay . location wonderful able walk Times Sq . matter minute . drink lobby bartender friendly efficient 
 Aug 9 2009 	 Breathtaking sexy discreet akin Morgans property ! 	 stay Alcove room .... fab bathtub ... staff outstanding especially Tatiana concierge . bartender make feel comfortable drink alone friend meet .. love Royalton ... 
 Aug 7 2009 	 .... great little hotel good location . 	 wonderful 4 night stay Royalton .... particular , contrary review , find staff helpful friendly . check - in smooth hassle - free . problem find front desk unlike other ! yes , light atmospheric create lovely welcoming feel away glare city . calm welcoming .... room not huge , neither bed . plenty big enough two . bathroom beautiful , fresh flower candle , romantic . enjoy amazing cocktail bar venture dinner ....... one evening manager even treat we champagne finding get enage early day . would definitely recommend hotel anyone ask , give go , love . 
 Aug 3 2009 	 stylish hotel great service great bathroom ! 	 book Royalton great price via online special . lobby stylish impressive , though dark side . standard room soak tub . room good size stylishly decorate . queen bed wonderful , bathroom impressive huge round soak tub . room small desk , small loveseat , bar fridge ( full mini - bar stuff , move put drink ) . room clean appear newly decorate . housekeeping fast morning go . quiet hotel ever stay NYC -- door slam hallway night , traffic noise , real pleasure . however , reason lack traffic noise room face onto build next door , 2 & quot ; away . mean room dark receive natural light . day , room dark twilight -- need light time . not bother ask change room although three night . stay , definitely would not accept room like . friend deluxe King room high floor large bright . hotel service excellent -- friendly efficient , able accommodate request late check - out appreciate . 
