Great 	 family & amp ; stay past week . room good size 2 double bed ; 2 side chair ; desk ; walk closet ; kitchenette bathroom ! room clean front desk staff helpful / friendly ! location superb ( 2 block Central Park ) several local eatery within 1 block ! negative street noise throughout night ( window close must thin ) . price though - great find NYC ! ! 
 great family Holiday 	 Excellent hotel . close popular attraction . 
 Room Size vs. Price Location well 	 go NYC always prefer stay Salisbury Hotel people earth hospitable . room quite large NYC price reasonable especially consider location . also love breakfast . always stay December see rockette Christmas decoration . leave tomorrow NYC . 
 Nov 26 2009 	 Brilliant hotel ! 	 stay hotel 5 night mid November . 3 we find triple room NYC quite hard ( reason ! ) go salisbury approx $ 1800 dollar one bedroom suite 5 night . include living room sofabe , bedroom 2 bed perfect 3 . staying would say room would fit 6 bed double sofabe . when get hotel definitely be not disapointe . stay slighlty modern hotel previous trip NY expectation be not high however hotel room perfect . outside hotel do not stand much reception hallway quite plain old fashioned . inside room / suite massive . live area large sofabe , 3 armchair , 2 coffee table massive plasma tv . also small dining area table , 4 chair , sink , fridge microwave . corridor bedroom two massive bed , dresser another massive tv along 2 chair ! also 3 seperate closet plenty space hang clothe also safe key store valuable . bathroom normal size clean . whole suite perfectly clean , con would slightly old fashioned appearance do not affect we . bed also extremely comfortable . hotel perfect location . 57th street 7th avenue mean 5 - 10 min walk Times Square , less 5 min bottom central park , also 5mins 5th Avenue . also 2min 57 street subway ( NRQW ) handy ! another good thing hotel put voucher day breakfast 1 person , never avail reading review tripadvisor seem good value ! ! issue hotel noise work do somewhere outside . reason work ongoing early morning be light sleeper i d recommend earplug although chance people tire sightseeing notice ! would definitely recommend hotel room pretty much perfect , staff extremely helpful polite location brilliant price hotel . be look modern hotel romantic break high budget might first choice , however sightseeing trip friend family trip would definitely recommend . clean , spacious comfortable nothing could really ask ! 
 Nov 24 2009 	 Great hotel 	 place great location see sight city . also close subway stop bonus . the room spacious reasonable price . I would stay NYC . 
 Nov 24 2009 	 great location stay NYC 	 really like hotel room spacious comfortable perfect location Central Park doorstep , close Subway station right near nice shop ( Bergdof Goodman , Gucci etc ) .I stay hotel New York never see big room , great . housekeep excellent place spotless arrive keep way throughout stay . only couple thing let make give 4 star instead 5.firstly lift old shaky hear cable , almost like snap strain much ! ! bit scary ! ! secondly electric bit dodgy plug old loose . electric completely go room one point suddenly pitch black darkness . ring engineer one come 5 min think good . fuse box turn room easy enough flick switch get electric back again . the front desk staff bite mixed term helpful . one friendly guy , eastern european sound girl friendly . hotel front desk mess taxi booking airport rectify quickly . the bellboy sweet helpful bag . front desk people know use new internet room instruction room , wait engineer come show we never show despite 3 call downstairs tell would ' very soon ' . apologise give go downstairs . luckily pc reception use instead . we do not bother breakfast , kind sound like free check say 3rd floor will get voucher , small print voucher actually $ 6 , do not bother prefer head Brookyln diner round corner ( highly recommend ) .A minor trouble therefore still think good place stay city , reasonably price far Manhattan hotel go comfortbale place rest head long day city . 
 Nov 22 2009 	 fantastic location superb hotel 	 stay Salisbury 4 night , first visit New York . conveniently locate central park , locate one block behind hotel Subway . walk distance major attraction Times square , FAO Schwartz , Empire state building & amp ; Rockafeller centre . hotel almost opposite Carnegie Hall & amp ; russian tea room . upgrade suite , fantastic , superke size bed ( King american know ) , Great Linens microwave , Fridge & amp ; coffee Maker . Suite 2 flat screen tv 's , one bedroom & amp ; live area . offer buffet breakfast $ 6 7 am - 11 am , cereal , cold hard boil egg & amp ; bread , pastry etc . order car reception take we Airport transfer Niagara Falls area , expect standard town car & amp ; end limousine ... extra cost . great hotel , contemporary , old charm . huge clean room fab location . the downside pricey internet access , think around $ 20 per day . 
 Nov 22 2009 	 wow wow wow . huge room friendly service great travel kid . 	 go weekend Thanksgiving . booked one - bedroom suite . three child . place HUGE ! wife sleep pullout sofa living room , kid sleep separate bedroom two queen bed . room convert former one - bedroom apartment . would say border 700 - 800 square foot . amazing room , great service , fantastic location , good price . 
 Nov 21 2009 	 huge bed spacious room great location . 	 stay 5 night . room big huge bed , flat screen tv , 2 chair & amp ; table , desk sofa . bathroom little date serve purpose clean towel replenish every day . superb location central park , handy subway . not breakfast find great deli round corner . great cheesecake little deli next door snack Duane Reade across road . ask loyalty card get good deal . Booked go April 2010 . 
 Nov 20 2009 	 good value money 	 find great deal hotel Hotels.com 100 € ( time book $ 140 ) night . stay thereon wednesday thursday night . compare hotel price real deal New York , consider location ( less 5 min . walk Central Park ) .You be pretty much close almost everything : MoMa , Frick , MET , Time Square , Rockefeller Center , Empire State many within walk distance . for southern part Manhattan , be easy take subway . the hotel , quite old , good clean condition . room relatively spacious well keep . big plus walk closet easely store suitcase still room . bathroom near mint condition . stay new hotel , bathroom bad condition one ... hotel staff friendly helpfull . would definitely stay . 
 Nov 19 2009 	 Good experience 	 hotel good comfort , affordable price , also near main street metro , important not rent car . 
 Nov 19 2009 	 Near Subways ! ! ! ! ! ! 	 OK 's plain , little old . bar restaurant staff snooty . 's room clean , large room ( New York ) , bathroom big . flat screen safe room . good part , hotel right need , two subway . N - r - q - w half block west ( Times Square ) f half block east . A - c - e ( Meatpacking district ) # 1 ( Greenwich Village ) 2 block away Columbus Circle . 5th Ave short 5 minute walk east . Central Park 2 short block north . time square 20 minute south . definitely would stay . would make everything mention must list . check Little Owl MarketTable Greenwich Village , Union Square market day , purse shopping Chinatown . view restaurant Times Square drink 9:00pm ( 9.00pm charge $ 7.00 ) . 
 Nov 19 2009 	 Bland comfortable convenient good price 	 hotel meet expectation : great location , massive room closet , oblige friendly staff , ( overly welcoming ) , except one whose name forget work double shift , poor thing . however , personality .... need personality hotel stay New York . go Top Rock , buy double ticket go back night . go 3 hour boat trip - well worth time spend get sit . go early November , next time go later see decoration instead watching erect . also burger Burger Joint Parker Meridien hotel immediately opposite Salisbury delicious . 
