good 	 wish 3.5 option overall rating hotel . 4 seem high , 3 low . this hotel much op be describe . find good value . pro : large room also clean , lot closet space , light - block window shade , good bed good quality linen , friendly multi - lingual staff , good location ( altho personally prefer west side easy get around ) , excellent access computer printers- think may 8 stations- WIFI fast dependable . con : really could use another bath half - bath ( 3 woman 1 man ) , Breakfast much- yogurt , cottage cheese , coffee , juice , rather dry pastry .. probably one bad & quot ; continental breakfast & quot ; anywhere . Noise- street noise bother much , daughter husband comment . old daughter say , & quot ; mom , noisiest place ' ve stay NY & quot ; . sure problem street front really busy street , seem great deal honk hour . think might annoy , ask room face street . we try ' Mint & quot ; , eat establishment connect hotel- impressed . my husband , two 20 - something daugther , visit NYC look way avoid 2 hotel room $ 275 - $ 325 / night room weekend Thanksgiving . the San Carlos suite 2 queen bedroom pullout sleeper LR , along small & quot ; kitchenette & quot ; ( microwave , sink , refrigerator utensil ) $ 300 / night . review TA favorable , book 3 night . thank member helpful review hotel . accurate review ! save we hundred dollar 2 separate room without sacrifice much way comfort space . 
 Nov 22 2009 	 great service nice cosy room 	 exceptional friendly service midtown hotel . cosy , quiet clean room comfy bed , though tiny bathroom downside . 
 Nov 19 2009 	 good choice 	 choose San Carlos location , review value ... disappointed . staff incredibly personable friendly , room large , great location mid town . ' ve stay many hotel NYC , prefer location hustle Times Square proximity many restaurant / market . 1 BR suite enormous , clean small kitchenette less $ 400 . bed comfortable bathroom counter large enough spread stuff ! absolutely stay . 
 Oct 31 2009 	 Excellent Stay 	 San Carlos prove excellent choice ! room clean , large ( two queen bed ) bathroom modern . room fridge , microwave utensil . location ideal - across street Benjamin Waldolf Astoria . also add never hear street noise . would hard press find reason stay San Carlos again . finally , continental breakfast include . never try not look good . 
 oct 22 2009 	 good stay San Carlos Hotel 	 husband usually stay Elysee Hotel rate well $ 400 per room week . Hubby NYC business tag along . Friends Trip Advisor recommend San Carlos Affinia 50 & quot ; suit hotel & quot ; . get nonrefundable rate $ 310 per night & quot ; Executive Suite & quot ; .The San Carlos locate great neighborhood . quiet clean . room nice large . king size bed live area small kitchen . staff great . continental breakfast minimal . offer muffin bread . quite sure offer bagel . we would definitely stay . 
 Oct 19 2009 	 Pleasant stay 	 third time stay San Carlos , pleasant , always . one room , two nice bed ( view ) . room clean comfortable , staff great . everyone friendly helpful . free breakfast nice touch , food mediocre -- various bread not seem particularly fresh , yogurt , cottage cheese , coffee , juice . eat two three morning , could not face third morning . time stay , exact thing every morning . wish would throw cereal , oatmeal ( packet ) , waffle ( toaster ) . thing would improve breakfast fare tremendously . & quot ; business center & quot ; nice -- quite free - use computer couch . hang several hour check time leave plane . one thing -- never supply hair conditioner bathroom , bring , hair mess trip . stay , well bring least little , case . 
 Oct 8 2009 	 San Carlos OK 	 book Bedford East 40th , booked & amp ; send we San Carlos ownership Bedford . delight . great bed either two double queen ( forget ) soft pillow , breakfast include . eat place everywhere ( par N York ) , pleasant staff include owner . recommend . would like stay again . Mike Normanhurst Australia 
 Sep 12 2009 	 comfortable Clean Convenient ... will back 	 stay 8 night recently disappoint . get great rate hotel website executive suite . ample room 2 people . Kingsize bed comfortable . housekeeping service fantastic , keep room spotless everyday . room quiet , aircon work beautifully . Wifi bonus . the cable tv bit dissappointing , upgrade interesting channel would good . suggest , breakfast basic . buy tubs cereal convenience store across road take eat . also take real tea cup breakfast . also couple hot breakfast across road & quot ; new york lucheonette & quot ; -good . japanese restuarant across rd great , eat couple night , fantastic indian around corner near steak place . walk broadway easily - make five minute dash catch show . subway next corner get know yourway around fantastic way travel . never wait long 3 minute train . hotel oasis return hard day pound pavement regroup drink either relax get . back . 
 Sep 9 2009 	 expect - less - good value 	 great location close main sight . good room include large separate sit area kid sleep . good value without excite also without disappointment . Breakfast include basic really need . feel bit cheap plastic plate , cutlery etc . 3/4 * generally good value . 
 Sep 8 2009 	 large room service include extra charge . 	 find many thing like San Carlos . rare NYC hotel & quot ; double - bed & quot ; room two QUEEN bed . hotel offer single king queen bed two bed small , double - sized bed . Wifi recently instal guest room work extremely well . three computer go really fast connection . drive city , hotel 's discount parking garage next door big perk . get great service every employee encounter . small hotel little noise guest lobby serene . probably apartment building past life renovate mixed result . bedding , bathrobes soaps luxurious , floor creak every footstep . drab decor could use decorator touch . every wall , floor , window curtain shower curtain blah beige . limited room service provide indian restaurant building . 
 Aug 23 2009 	 home away home NY 	 second trip San Carlos . time , stay 4 night suite . cheap , course , need two bed couch , separate living room real plus . service , would guess , good would get spend $ 900 night rather $ 275 plus tax . room spacious , ambience quiet , owner ( every morning , think ) joy talk to . the service hotel first - rate . * * problem get cab busy time , try hard , door . ( pinch , could sneak Waldorf pretend customer ) . go airport , will cab door , ask . will add chorus , though : superb hotel , breakfast really subpar . believe plan upgrade it . for many tourist , location really ' beat . Waldorf back door , be worth money splurge tea cocktail . St. Patrick 's Rockefeller Center easy walk , nice day nothing nice take cab subway Metropolitan Museum , walk back Park Madison Avenue . Broadway show , ' ve get leg , close enough walk back Broadway play can not get cab . and not go play , * * , we , stroll Grand Central eat Oyster Bar . 
 Aug 16 2009 	 fabulous home away home 	 stay Affinia 50 directly across street move second day one week stay New York City . happy change . lobby lovely tastefully decorate . always calm quiet . staff warm welcoming . room tastefully decorate lovely linen , furniture relax feel . always feel great return every day long day play tourist . stay include continental breakfast simple nice . newspaper await door every weekday morning . would highly recommend hotel would gladly return next trip back Big Apple . 
 Aug 14 2009 	 ` ` average '' NYC accomodation ; location ; value : overall 3.75 	 plan go city long weekend two friend not want spend fortune eating , partying , site . happy choice . need room could hold we 3 seperate bed . San Marcos offer two QUEEN bed suite pull sofa perfect sleep set trip without get two room . room common area nice 3 star . small property 3.5 could high except apartment rental large full service hotel . service GOOD , be limited basic . concierge , front desk , doorman , maid service , maintenance helpful friendly . hotel offer room service bar ( except one restaurant not need use ) . however offer 24 hour front desk doorman , internet , small cardio gym , InnCom , flatscreen usual inroom amen . room common area date , pretty well maintain , clean . rate room reasonable 3 night , 4 people , 1048.US . website San Marcos match find pleased stay . leave 4 's review happy 3 star level hotel . 
 Jul 18 2009 	 good hotel experience ' ve ever NYC 	 travel friend 2 teen . staff friendly , welcome helpful every possible way . room large , immaculate comfortable . bed amazing include nice continental breakfast . feel cosset pamper . often travel husband business well know , fancy chain hotel never felt welcome well care . tell friend place plan make regular stop travel New York City . check website offer special . 
 Jul 5 2009 	 comfortable relax time spend . 	 stay San Carlos first . always excellent time , time come , treat like royalty . staff , enough say staff , respectful . owner San Carlos proud employee hire . must high standard ! nothing good thing say fantastic hotel middle everything ! happy choose San Carlos . sincerely , Anna . 
 Jun 23 2009 	 Perfect Stay San Carlos 	 good friend suggest San Carlos right ! everything perfect start telephone reservation . desk team fantastic throughout , helpful service smile . initially greet Gabriel say & quot ; ' ve expect & quot ; show 10 yr . old son clever little magic trick make we feel welcome . clean hotel room ' ve ever see - the housekeeper even move small table bathroom notice need counter space . Doormen Bellmen great . pleasant even arrange parking family member come visit . continental breakfast convenient , enough selection present well . Business Center bonus . outstanding location . experience superior San Carlos hotel choice future trip NYC ! ! 
 Jun 13 2009 	 wonderful stay San Carlos 	 stay San Carlos , 4 girl 1 bedroom suite 3rd floor . thoroughly enjoy stay . room clean big enough us girl stuff . staff great especially Bellman work stay . helpful get Taxi 's , direction even umbrella .. one thing though , low floor face 50th , hear alot traffic noise ( fire engine siren , trash truck etc . ) stop we though stay . 
 May 14 2009 	 quiet reasonably - price great location 	 Quiet , peaceful , heck location , roomy New York standard . the wall appear little thick standard . mean BOOM closing door mitigate . 
 May 1 2009 	 Nice Hotel / Great Location 	 husband stay San Carlos combination business / leisure trip . 4 night husband 6 . arrival call request front face room husband check upgrade lovely , large room sofa , two comfortable chair small kitchen area . nice surprise . we stay hotel everyone staff friendly accommodating . location terrific , 50th Street near 3rd Avenue , convenient subway , bus within walking distance many thing city offer . area many restaurant serve type food might want . one favorite Sip - Sak , turkish restaurant 2nd Avenue . minor complaint San Carlos . trip Advisor reviewer mention , continental breakfast good . would much well offer cereal yogurt addition bread pastry . hair dryer provide small not enough power . would definitely recommend San Carlos hope stay next time New York City . 
 Apr 27 2009 	 big room great location friendly staff 	 arrive Bedford Hotel find move San Carlos -- really glad . friendly front desk staff set we quite large room ( especially Manhattan standard ) , clean , comfortable , etc . issue : hair dryer work , one electrical outlet dead , first set key not open door -- minor stuff , annoying . location 50th 3rd could not much easy , 5 - minute walk Rockefeller , 10 - 15 minute walk Broadway , Central Park , Grand Central . thumb . 
 Apr 13 2009 	 wonderful gem hotel mid Manhattan ! 	 intimate little hotel truly gem . last time visit NYC stay Marriott across Waldorf . difference ! San Carlos spotlessly clean , spacious , quiet well appoint . microwave , fridge dish cutlery 2 fantastic . bed comfy warm . thoroughly enjoy visit definitely return location . front desk staff , concierge maid service stellar . every consideration trouble . door staff breakfast server bent backwards we . place total find CAA handbook heartily recommend . 
 Mar 3 2009 	 lovely home New York 	 Rockafella Plaza near Waldorf Astoria San Carlos . big lack size make every way . staff great , breakfast really nice , room clean pleasant location fabulous well within walking distance Times Square big store . really enjoy stay come . great find ! 
 Jan 20 2009 	 great hotel 	 choose hotel friend already tell we great . tehy absolutely right . the staff really nice . guy help luggage get us ticket concert impossible get week before . the room really big clean , although view nice . good thing silence . Everyday could check teh email , access free twice wait couple minute use one computer . breakfast bagle , pastry bread , juice , coffee tea . free . we would definetly repeat . 
