Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Nov 25 2009 	 nice room great location 	 book hotel priceline $ 170 / night . room 19th floor 2 double bed & amp ; plenty room luggage . room large window great view . bed comfortable & amp ; not hear noise adjoining room . could hear occasional siren street nothing bother we . happy cleanliness & amp ; appearance room & amp ; bathroom . check - in efficient & amp ; although room not ready ( 11 ) hold luggage room ready . negative upon check , charge fee need hold luggage . staff encounter friendly & amp ; helpful . hotel great location - close subway , Times Square , Central Park , Rockefeller Center , 5th Avenue , etc ... & amp ; safe . would definitely stay future . 
 Nov 24 2009 	 Location Location Location 	 stay SPG point one night get jump holiday weekend . serve purpose place sleep regroup . not expect lot it . good stuff : registration snap ; room clean fairly update ; bed comfortable ; location perfect easy get cab , take subway walk around see show ; hotel also cater tourist ( well bad ) accustom deal sort issuesbad stuff : valet parking difficult bell service help bag ; room warm -- ask help , say A / c season offer open window ( cool room , loud outside , even 30 story ) ; shower so - so ; room small ( typical NYC ) ; breakfast expensive buffet ( $ 27 pp worth much ) . , would stay ? maybe . 's fine night place stay nothing else . look & quot ; wowed & quot ; hotel , well choice ( Westin Times Square one ) . 
 Nov 23 2009 	 amazing view high Times Square Luxury Suite 	 hotel ideally locate near relevant subway line block Times Square . corner suite view Manhattan Hudson . breathtake . hotel employee gracious helpful . room large clean . complaint club room offer complimentary breakfast cocktail open Friday evening - Sunday . would nice amenity offer daily . otherwise , hotel five - star way . 
 Nov 22 2009 	 amazing experience .... important read book 	 surprise . NYC , people dispensable relationship fleeting , amazing experience Sheraton . individual Sheraton way - far way - make important personal occasion , memory last lifetime . could nicer do , importantly , feel totally sincere . know sound like ' m pay employee Sheraton , first experience property team : Jorge Guerrero , Guest Service Manager , Aramis Fundora , Front Desk Manager , Sean Verney , hotel manager Joan Torres , Guest Services Manager . return , gladly . 
 Nov 22 2009 	 First Visit dissapointe 	 first visit city . also first time ever write review . dissapointe room numerous reason . apon arrival 5:15pm room not ready arrive room maid still clean get room ready , leave bag come back later . television did'nt work , watch tv , room source info hotel , bill ect . temperature control unit heating / cool blow ambient air , adjust temp room open window . not good option room look low roof support numerous aircondione unit hotel , loud run constantly . bedside lamp leave not work , want read bed not option . room somewhat date , carpet wear , peel paint bathroom , door numerous area dent scratch paint , okay nit - picky saw . first morning report issue front desk , take note evening return nothing address . person typically make big deal thing , not life alter . maybe search front desk manager get issue address , exspensive hotel stay everything order . would stay , likely . 
 Nov 21 2009 	 Awesome location 	 hotel perfectly locate Times Square Central Park . large hotel busy lobby day night 's problem . give room view Times Square amazing . room quite spacious bed comfortable ever sleep . actually order bed linen line get home want re - create cozy feeling Sheraton bed well could . light sleeper drawback noise , truly city never sleep first night , neither . however , invest earplug solve problem not let deter . subway stop right next door use subway every day always feel quite safe , day night . hotel walk distance many attraction site . definitely stay next trip N.Y 
 Nov 19 2009 	 good 21st birthday Celebration could ask 	 stay Sheraton group 5 friend November 14th 15th . celebrate 21st birthday really need place crash night since be NJ PA planning go wee hour . check - in around 7:15 prompt staff member assist we friendly efficient . three room suite 9th floor . perfect group - clean spacious . Times Square quick walk away dinner , head Webster Hall . concierge give we pass free admission wait get club ( although people form pass wait 10 minute ) . helpful instruct we get get , print information we well . give 6 people party taxi accommodate 4 people , bellman tell we hold find we transportation club . minute , tell we limo could take we need go $ 30 ! wow ! pull 30 second way . sleep well arrive back hotel little 4 am . check next morning also quick , back bus PA without hassle . complaint hotel location perfect need . would definitely return Sheraton ! 
 Nov 19 2009 	 outstanding location close action lot dining option 	 hotel situate block Times Square overall great location nice hotel . hotel restaurant pricey even NY alot dining option family business nearby . even Tim 's close - by canadian traveller . trip personal business hotel accommodate well . room clean size okay . difficult control temperature need fan bring room quite warm due unseasonally warm temperature . staff friendly helpful . 
 Nov 19 2009 	 Overpriced never terrible service . 	 business two night . room hot oven , air not work , fact knob control temp spin around . call multiple time . & quot ; engineer & quot ; simply open window . thus , hot , loud . toilet break . drilling room next morning . lose glass case . Heineken $ 9.00 
 Nov 18 2009 	 Basic business Hotel ( suitable family leisure ) dirty old POOR SERVICE 	 plus point hotel great location , however , expensive £ 150 plus night 4 star hotel ok guess New York , 4 star hotel , like 2 3 star . service room 4 star standard . Room noisy , aircon make hell noise . room small . Carpet dirty , stain Old , hoover old carpet replace 3 year ago . wall mark . one sheet dirty . window blind fall , bad part stay service , include 15 % service charge food standard , however staff still expect tip , $ 4 extra delivery charge room service . business hotel guess go get tip service basic standard . staff earn tip get give tip poor service … … .The Bell captain ask collect bag room 10 min , 30 min later still come travel 11 month old baby 3 year old son drag 3 heavy suitcase downstairs myself . I think bad part stay hot water one night . , room also WIFI cable dsl internet . customer stay hotel Business , imagine business get good discounted rate use hotel . pay £ 80 £ 100 night would write well review , 4 star hotel value money leisure traveler . another plus note Breakfast nice expensive . 
