Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Nov 22 2009 	 wonderful surprise 	 make reservation Skyline base review Trip Advisor . since $ 199 / night NYC , expectation really low . time make reservation visit , hotel sale . mention check get sale price . mention NYC celebrate daughter 's birthday , get upgrade suite . top , park $ 10 day ( plus extra time stay past check ) .The room huge New York standard , clean , decorate ok . husband think hotel room nice one stay expensive hotel NYC business trip . location walk distance site like Times Square American Girl Place , able take subway site . hotel close ton good restaurant 9th Street . get pretty cheap breakfast every morning deli across street . I would definitely stay - even without sale upgrade . great weekend ! needless say , expectation exceed . 
 Nov 21 2009 	 perfectly locate large room comfy bed ! ! 	 friend stay Skyline hotel 12th November - 16th November , faberooney ! room spacious , 2 queen size bed really comfortable ! staff friendly . eat hotel , across street Deli corner excellent hot drink homemade food . there little bit noise outside , sooo tired really not realise LOLYellow cab airport $ 65.would reccommend ideally locate near times square . 
 Nov 17 2009 	 Excellent Choice 	 come back long weekend New York stay Skyline hotel . Hotel ( Sales Director ) highly recommend hotel people want excellent value money . hotel idealy locate reasonable quit surround New York , altough close ( walk distance ) Times square , Hop -on / of bus , shop , etc , ... . hotel might look attractive outside , insight nice need . room book ( Queen double ) spacious comfortable large bed . 
 Nov 5 2009 	 great Find 	 wife stay Skyline night leave NYC seven night cruise . location hotel relation pier perfect . $ 10 night parking seem good true . car perfect condition upon check - out . check - in process easy young man desk , Tyrone , professional friendly . room large , clean well appoint . bed comfortable bathroom huge handicapped accessible . owner small motel picky come cleanliness Skyline pass fly color . would highly recommend hotel less $ 300 might consider bargain city . 
 Nov 2 2009 	 Quiet Location Friendly Staff 	 find hotel Trip Advisor reading lot review New York Hotels . pleasant surprise - Hotel within easy walk distance Time Square shop , quiet location . clean friendly staff . pool add bonus 2 young teenage grand - daughter treat short break New York trip England . staff helpful pleasant , Bell Captain especially helpful , handle Bags we , find taxi need . 
 Oct 27 2009 	 Clean Good location 	 expect big room , clean friendly staff , walk distance times square , columbus circle , central park , hell kitchen , subway station , etc . thing do not like pillow hear people stay next door conversation , that s insignificant enjoy everything else hotel 
 Oct 12 2009 	 Great Location sure be worth price 	 ' m become convinced value hotel NYC . spend $ 300 advertise thusly : & quot ; King executive seating area . & quot ; get 2 queen bed 2 chair sit . not time complain , accept - least big closet ' ve stay elsewhere . 5 block Times Square . walk show , get cab back . lot shop restaurant one block away 9th avenue , many 10th hotel . neighborhood Hells Kitchen . the place old , decor acceptable , carpet seem almost new , place clean . mattress lumpy , good enough get good night 's sleep . we not eat restaurant , check menu look adequate , price bad . check go smoothly staff friendly . key card fail first time around later walk back desk get card re - key . one thing hotel missing think available door man help luggage cab , none . bring luggage way indoor offer help . hail cab . real inconvenience , emjoy luxury someone else I . I notice concierge duty every time lobby , include midnight . I not bring computer , notice wi - fi . not free however . feel $ 300 night afford give internet free . will stay ? probably . ' m still search good hotel rate will not break . 
 Oct 10 2009 	 great stay first time visit New York 	 stay Skyline part Cosmos Bus Tour across States . stay five night find hotel want . service average , not experience bad service ok . room nice spacious , room two people spread luggage . bathroom big expect , clean tidy . expect way way , pleasantly surprised central location . block away Times Square Subway station get rest Manhattan . pool great , nice view skyline 10th floor . not use restaurant read review decide experience much New York possible . diner road ( Citylights Diner ) absolutely good place breakfast . couple block away cheap , good food available . would certainly stay return New York . 
 oct 8 2009 	 clean quiet 	 receive really good deal hotel . money clean great night sleep hour hour walike city . would recommend 
 Sep 26 2009 	 Great Value good location Friendly Helpful Staff ! 	 stay whole week Skyline must say Beds comfortable bed ' ve ever sleep . comfy pillow ! staff helpful pleasant always make big difference . 
 Sep 23 2009 	 superb stay 	 come nyc wedding 5 night stay book twin room single bed ( keep cost ) . daughter arrive tell upgrade large room two queen size bed ! everything hotel great friendly staff , clean room , nice pool , good location ( 10/15 min stroll times square , central park etc ) great neighbourhood plenty deli 's , diner , restaurant etcwill definitely stay ! ! 
 Sep 18 2009 	 bit way / second Rate Hotel - OK 	 spend 3 night wife 3 day trip NYC.I would describe 2 star hotel see well day year ago . Old fashioned decor throughout date back 50 's . bar dark dismall . swimming pool ok - plus staying - limit opening hour .... also bot old .... 15 minute slow walk main drag Times Square etc - area locate - particularly nice - safe ish ( drunk prostitute see enter bar ! ! would go - no . would recommend - get cheap deal expect spend time hotel apart sleep 
 Sep 6 2009 	 nice place good location 	 nice place good location . somewhat clean , bathroom not great ok . price pay expect little well close attraction . conceirge rude help . noisy room train track come window woken hour night noise hotel shake train . also wake drunk guest come go night club downstairs hour . morning leave pick 3 am airport shuttle treat rudely desk clerk shuttle not arrive ask could call . rudely hand phone offer assistance . passaby throw outside step hurry get someone clean . 30minute later another staff come clean throw bucket water leave . huge hazard right middle stair . apart problem room ok location good consider New York . would not stay ' m return NYC anytime soon either be dirty rude city . 
 Aug 25 2009 	 great stay 	 back 5 night stay Skyline hotel . hotel clean room spacious . get upgrade original room book . eat restaurant fine breakfast beat little deli across road corner 49th 10th avenue cheap breakfast especially kid .. rooftop pool real bonus warm weather great let kid jump busy day . good hotel would definitely stay good price also . 
 Aug 19 2009 	 Nice Hotel Pleasant Staff Great Stay 	 Family four . adult . stay 6 night two Queen suite . . make long . room large comfortable . staff always helpful . concierge book ticket play two we . two car two suite . car stay park entire stay $ 10.00 per day . little concerned parking - operate Hotel . however , damage , dent scratch car . owner parking lot look car lot ensure access control . location could close action , price room parking - work fine . ActuallyLots restaurant nearby . amish market corner 9th 49th amazing . hotel situate quite close Lincoln Tunnel . one word warning - careful opening window . rather open sideway , one window became unhinge nearly fall son 's head top . fortunately , catch time . frill hotel - like recommend other . definitely return Skyline . 
 Aug 14 2009 	 work great 	 stay 3 night work great . place clean , park $ 10 great . eat breakfast twice ok . walk Times Sq easy , 3 block . would suggest walk 49th 50th , walk first time 51st 10th good . quiet , never hear anyone else . 
 Aug 7 2009 	 Great value 	 nice hotel city , particularly New York City . can not beat $ 10 night parking - know advance $ 10 take car entire visit - one - one - fine I . room comfortable clean staff fine , though top line , well expect . 
 Aug 4 2009 	 great hotel spacious clean room . 	 find hotel room spacious clean . beds queen size comfortable . hotel within easy walk distance anywhere want go , time square , subway , theatre district , etc . travel 4 teenaged child two room . enjoy pool , although would nice open hour . would highly recommend hotel would certainly stay . P Mutter , Calgary Alberta , Canada 
 Jul 23 2009 	 Excellent location value 	 recent trip ( 4th July ) stay Skyline truly enjoy . King / sleeper sofa room free upgrade two queen room time checkin . old hotel , find well maintain well run . room spacious , bed comfortable . 7th floor . quiet night , traffic street noise . location surprisingly convenient Times Square treatre district . walk show restaurant . Hell 's Kitchen neighborhood interesting location , diverse real . note safety issue . want stay neighborhood know fill bill . eat restaurant use garage . family tend bit slow getting go vacation , easy run across local deli 's get breakfast , good reasonably price . with year firework Hudson get bonus . 2 - 3 block river could watch firework rooftop . high end luxury hotel , nice place stay , room , comfortable , good location good value . would stay . 
