first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 Nov 25 2009 	 Bryant Park- Knew ? 	 love hotel . location great , close everything little neighborhood . Bryant Park suite skate rink . spacious , clean , comfortable . loved view , shop , central location . noise problem . take red - eye LA staff help we get room early nap . end smoking room , really odor . staff nice , would liked learn name . would like fridge ( mini - bar ) room . free wi - fi . room service breakfast good . can not wait go back , heart ny ! 
 Nov 24 2009 	 high - end luxury fantastic location 	 can not normally afford hotel expensive , find deal website decide splurge ( even discount rate splurge ) . enrapture moment set foot lobby . place super swank modern , employee extremely nice helpful . fast valet , smiley sleek black - clothe reception people . gorgeous red lobby . AWESOME huge shower , soft robe slipper . bed big little uncomfortable . could feel pop - out spring something side . stay ask room 808 , room side 808 . view ice - skating rink Bryant Park . beautiful magical look window night see skater swirl around scarf . feel pretty real . thing find little annoying , guess understandable , ask see room key every single part hotel go . elevator , bar , restaurant . make feel like not belong hotel . additional note : KOI sushi restaurant inside hotel delicious . make reservation want table instead sushi bar . 
 Nov 19 2009 	 Superb Service 	 never stay Bryant Park ... client make reservation . first , bit stark modern taste , quickly fall love service . ' m hook . Ahmed Omar , front office manager ... fact , whole staff ... could enough make stay perfect possible . whatever want need , always ' no problem ! ' travel often ny , ' ve look hotel call ' home ' ... ' m happy say , search . location great ... right across charming park name , walk distance shopping try squeeze . great restaurant , Koi , attractive bar premise . highly recommend Bryant Park . 
 Nov 18 2009 	 prime choice romantic stay great service 	 last minute decision stay city weekend , concierge , Julian , make stay pleasant stress free experience . come city much go , great come hotel 's modern comfortable balcony . stay penthouse suite , quiet romantic balcony overlooks city . amenity great 1 - 1/2 bathroom . 's really part complete weekend fun make back hotel satisfie need comfort service . first time stay Bryant Park certainly last . thank staff , especially Julian . 
 Nov 17 2009 	 Fantastic Hotel Perfect Location 	 come New York husband 's 50th birthday . concierge desk helpful assist restaurant , night life , surprising husband , etc ... staff personable make we feel like guest stay . location excellent , block Time Square , five six block Central Park , across street beautiful park ( Bryant Park ) little boutique ice skating rink . upgrade corner suite bright natural light , hardwood flooring , large bathroom soaker tub , separate large glassed shower , bathrobe , slipper , stereo system , flat screen television , room safe , turn service , chocolate pillow night . Cellar Bar downstairs lively night nice crowd , good music go - go dancer ! bar staff friendly well . would definitely make New York hotel . need look anywhere else . 
 Nov 16 2009 	 Love Happy Hour Hotel Guest promo can not wait come back 	 check Friday , early enough take advantage Happy Hour hotel guest .... cool concept ! love location hotel , across Bryant Park . try get room high floor though , be narrow two way road lot construction street , car stop , block traffic driver honk times day wake ! , great hotel . love big bathroom standup shower . 
 Nov 14 2009 	 Bryant Park great hotel Manhattan 	 location hotel fantastic , walk place Manhattan . the front desk , bellboy concierge staff friendly really helpful . room always clean , chambermaid great job . the KOI restaurant nice serve good food excellent cocktail ! Manhattan overprice . I second time would definitely come back . 
 Nov 13 2009 	 Excellent Hotel -- -- - winter ...... 	 return trip New York stay five night Bryant Park Hotel ( Nov. 7 til Nov. 12 ) . let us start good thing : Hotel centrally locate , room nice clean . staff friendly ( maybe front desk little bit professional ) , housekeeping perfect , make room twice never see someone ( return early afternoon one guy vacuum - clean 15th floor stay see wait elevator immediately stop work wait get elevator ... ) japanese Restaurant excellent , bar great -- -- - see everything would perfect ..... not terrible noise outside : know , Bryant Park winter time ice rink . ice rink need lot energy , supply generator two huge truck , place corner 6th 40th . generator run 24/7 cause great great noise . day time not hear much , noise street , night ..... wonder find bathroom hotel two package ear plug . first reserve deluxe Park View Room , see four different room locate different direction end smonke non - park - view Room , think would not much expossed noise . still without ear - plug could slept . ( pay five night usd 2'800 . -- ...... ) front desk know exactly problem , play . second last night one nice guy tell know problem small number silent room face back hotel . know , fault Hotel , pay usd 500 night expect quiet room . maybe Management invest money double - glass window .... anyway , back May New York ice rink maybe stay Bryant Park Hotel . 
 Nov 10 2009 	 1st class 	 second stay Bryant Park Hotel three friend . apart hotel ideal central location would like extend thank hotel staff 1st class attention detail . concierge recommend we two fabulous restaurant particular Tao well worth visit . definitely return ! 
 Nov 6 2009 	 great hotel ... loved ! Perfect New York Fashion Week ! 	 stay Bryant Park Hotel 4 night September New York Fashion Week , cover work . could pick well hotel stay ! firstly location - right across street Bryant Park ( NYFW hold ) mean could work 5 second flat ! even not need close Bryant Park , location still amazing ... 40th st 5th 6th Aves Times Square , 5th Avenue shop , Empire State Building , restaurant , etc etc easy walk distance . as Fashion Week ... hotel buzzing activity whole time ... model , fashionista lot celebrity run hotel ! might ideal visitor us fun see action ! hotel look great - cool modern - see picture strike red lobby ! ! room lovely ... simple , clean , modern furnishing , flat screen tv , cd player , etc ... bathroom surprisingly spacious spotlessly clean . not make cellar bar cocktail Koi restaurant bar ground floor great . really really enjoy stay hotel ... staff helpful , love look feel hotel , super convenient work , could ask ? think 's new favourite hotel New York City . can not wait go back . 
 Nov 5 2009 	 do not waste time 	 service hotel fair however front desk staff incompetent , slow , & quot ; pushy & quot ; upgrade room . one front desk rep another hang back , front desk rep & quot ; Justin Julian & quot ; rather rude extra aggressive pushing get suite junior suite book .. bellman staff nice , knowledgeable , helpful ( least 400 per night ) . mention go front desk 6 time room key could adjust .. boyfriend find bar wonderful décor , seem cheap low budget " smutty " outfit girl . furthermore , music sub - par . good thing hotel restaurant Kio ! ! next time stay New York , well probably try hotel meat packing district .. CB 
 Nov 4 2009 	 Tres Chic Tres Fabulous 	 amazing stay hotel . great time quick overnight stay . room spacious New York standard staff friendly professional . never get slight feeling snobbery . Cellar Bar great , love fact bypass long line Saturday night get right away room key . stay - even though live New York ! 
 Nov 3 2009 	 Nice try quite hit 	 return Bryant Park Hotel October special birthday trip great stay January year . return trip not much write home about . we arrive mid afternoon Thursday queue 15 minute check . one man desk not cope influx guest arrive make front queue , give hard sell upgrade room , book 2 month advance , tell ' deluxe ' queen room small bed generally small good ( hardly want hear front desk ! ) . first offer suite $ 100 per night extra per night , junior suite $ 75 per night extra , would not available first night . discover weekend NY Marathon , assume try get rid expensive room up - sell rather upgrade people ' deluxe queen ' reservation . bear mind already pay average rate $ 350 per night , keen pay much more . once finally give room , find 7th floor ( low guest floor 5 , think ) , close building industrial air - conditioning unit outside window , fairly noisy time . room clean nicely decorate quite small , main ceiling light not work , probably due locate prime position sofa result hit head every time stand ! course weekend room key stop work twice , one elevator almost always break one day room not make return 3.30pm . bar , although great spot open , not open Sunday , disappointing hotel 's size . that say , hotel great location well kitte , however level service not would expect $ 350 per night . 
 Nov 2 2009 	 fabulous chic New York retreat ! 	 boyfriend recently stay Bryant Park Hotel romantic weekend getaway enjoy autumn New York . hotel lovely , nicely upscale without overstate . really like elevator , nice touch ! love stylish European feel location wonderful , right across street Bryant Park . room nicely decorate like sleek modern furniture . Bathroom lovely . staff friendly helpful . check - in smooth enough . concierge truly breath fresh air . name Lindsey warm , friendly amazingly efficient infectious smile . know everything actually get we reservation two restaurant think would impossible get ( La Esquina Babbo ) . downside lobby little small ' m huge fan music ! also , hotel pricier side , nice ny hotel . 
 Oct 29 2009 	 2nd stay even well 	 second stay Bryant Park 12 month great hotel many perspective . room service great Koi restaurant staff friendly ... love hotel definately stay again . Great mid - town location well . 
 Oct 27 2009 	 Management incompetent horrible stay . 	 arrive manager duty tell name not attach wife 's reservation ( although personally call week verify ) would let check arrived- fly arrive 11 pm . finally check get room smoke ( although request non - smoking ) complain tell check late . room REAKED smoke noisy , Management say next generator something . pay almost $ 500 horrible room . travel New York business almost monthly colleague . -and never stay . 
 Oct 27 2009 	 luxury hotel make holiday 	 special present partner ' birthday decide book trip New York . never America want learn much could New York leave England . when look holiday tend lot research place go . lead late night computer screen headache look thing . use advice Trip Advisor various hotel review site come conclusion want we stay Bryant Park Hotel . key factor choose particular hotel : location luxury . say , never America want treat ! use Expedia book flight hotel . site give we choice room option . request Deluxe Queen room View ( view Bryant Park ) room non - smoking one . book , wait 6 week holiday . look forward it . nearer departure England , email hotel couple question regard check . receive quick polite response question also tell would upgrade Junior Suite room . nice surprise , ' never receive complimentary room upgrade before . on arrive hotel bag take check welcome front desk . serve guy tell we everything room , hotel event go evening . check , get take room ( funky red light elevator ) . room lovely welcome sight long journey . room large bathroom good size . nicely equip room decent sized tv screen hang wall , Bose radio iPod docking station . oh Molton Brown product bathroom , partner ' delight . room 8th floor good view Bryant Park , New York Public Library newly complete Bank America tower . after good day sightseeing follow day , go hotel ' Cellar Bar . guest entitle free drink 5 6 pm . bonus ! enjoy Nastro Azzurro sit intimate social bar . bar gothic style ceiling moody lighting match . enjoy make conversation hotel guest . good music . hotel also restaurant . go , seem popular see number favourable review net . sometimes read luxury hotel see luxurious , lack true charm formal feel . never feel Bryant Park Hotel . luxurious , nice cosmopolitan charm staff friendly accommodate , ' feel like pain ask question . the location hotel pretty impressive . short walk west take Times Square , short walk East take Grand Central Terminal , short walk South take Empire State Bulding . hotel also close 5th Avenue , result walk hotel couple time see sight shop ( ! ) . one nice thing stay hotel able walk 30 second chill park opposite . ' nice relaxing spot . I shall recommend hotel friend family , return New York later date shall stay . 
 Oct 19 2009 	 totally over- Priced Noisy Hotel Zero Courtesy Staff 	 husband book room , employee talk spend extra money suite park view . agree since special get away 4 kid . mention need make sure room high floor away noise . note computer . arrive , tell we 5th floor room leave . since midnight choice accept situation . floor room dirty since last room let go . 7:30am jackhammere outside street directly front hotel . complain staff say nothing . bad treatment ever experience . 
 oct 9 2009 	 amazing whole family 	 wary stay hotel NYC two toddler ( 2.5 & amp ; 18 month ) choose one great price NYC suite 2 terrace wood floor ( clean carpet ! ) . arrive day parade take we little long get upon arrival everyone friendly even though might seem & quot ; child friendly & quot ; , man Guest Entertainment desk offer help we find somewhere eat thing kiddo . room beautiful child - safe . kid love dual terrace ( get read bedtime story light empire state building star ) . would definitely go back , great location , love carousel Bryant Park . not fans & quot ; touristy & quot ; spot even though close Times Square not feel congestion . love , back ! 
 Oct 6 2009 	 good hotel Midtown ? think . 	 date : Fri / Sat – May 15 - 16th . quick wknd getaway . arrival : doorman pleasant enough . take one suitcase medium tote cab front desk check . ' offer take bag room , fine probably would ' decline offer anyway . enter hotel , front desk , concierge bell captain area rather small - ish room leave . right enter hotel Koi ( sushi ) restaurant . ( ' eat local friend say good , though little pricey . ) elevator guest room straight ahead enter building . say , ' really lobby speak small bench sit near entrance elevator . lobby definitely ' somewhere ' hang drink cup coffee , read paper , etc . check - in unevetful . front desk efficient . ' already prepay Expedia ' much do / talk . elevator rather small dimly light w / red light – lounge like . may like , ' bother least . strangely , ' share elevator guest entire wknd . know May slow month NYC , especially economy , still odd . almost feel like private elevator . anyway … . ROOM : jr. Suite 9th floor . nice ! ' true suite ' one room sit area , overall " suite " still twice size NYC hotel room ' stay . two closet short entry way , one honor bar shelf , closet hang clothe . ( also complimentary large , wood - handle umbrella . call iron / board , Ie . deliver 5 - 10 min . ) like three well - place coat hook leave wall entry way ... much easy use opening / closing closet use hanger . sit area area rug chair , coffee table chaise sort . comfortable spacious say least . think furniture nicer look hotel picture . loved wood floor high ceiling … make feel like home . ' small desk / chair ( w / cordless phone ) one side room entertainment center underneath wall - mount LCD tv window side room . entertainment center Bose radio separate I - pod docking station . top center various drink glass small ice bucket ( already fill ice upon arrival ) , though call room service additional ice come regular - sized ice bucket . well yet , ton natural light four large window overlook Bryant Park – great view ! ! ( Jr Suites face park . ) window also open 5 - 6 " get good breeze wind blow right . platform bed nice , though prefer traditional box / mattress combo think somewhat comfortable . white - noise machine one nightstand phone w / digital time readout side . ' also bedside " d - n - d " button light button next door outside room housekeeping ' knock ' try sleep . come handy kind late night . bathroom easily double size compare dozen nyc bathroom ' experience . full - size , deep - soak tub . separate shower , big enough two . bath product top shelf . plenty towel . nice bathrobe slipper . room bathroom clean . housekeeping fine . issue . downside room ? maybe couple . want face park , ' go deal street noise . ' Chicago ' bother . actually like sound city , ' light sleeper , ' probably go need use white - noise machine , consider get room back hotel ( view though ) . also , wood floor + big window + high ceiling = loud . ' hear anyone stay ( 5 6 rm per floor ) , happen get loud neighbor , suspect ' probably able hear rather easily give sound reflect around room . also , ' come back hotel late thur - sit , might run line outside hotel Cellar Bar – hotel ' bar / club . ' think wait line . ' even break stride approach . roll right doorman , flash hotel keycard ' waive . ' back hotel , go straight club – choose . walk Sat night around 1:30 - 2am place pack - way beyond capacity . four deep bar , say forget call night . ( mainly 20s-30s crowd recall . ) location : ' imagine well place stay midtown . across Bryant Park absolutely make place give bit break relentlessness City . hundred ( free ) chair lot table sit – grab one . ' suggest buy breakfast / lunch nearby deli , sit park enjoy people - watching . Bryant Park Grille , locate east side park , okay . ( late dinner Fri night ) . atmosphere nice food ( standard bar fare ) , ' get really nice view park . main bar area north restaurant also popular happy hour crowd busy Friday night . [ ' look avoid mini - bar drink price , ' deli SW corner 39th 6th sell wine ( small selection ) even buy single beer ( get bottle wine 2 large Saporro can price one mini - bottle wine hotel . ' look food , also couple deli - style place even close - east hotel 40th - nice place , think close kind early . ] addition , hotel 5 - 10 min walk Times Square , Empire State Bldg , 5th Ave shopping , etc . want head either uptown ( Central Park / Upper West Side , etc . ) downtown ( Soho , Little Italy , tribeca , etc . ) , ' subway stop block hotel . even cab Morimoto ' Meatpacking District @ 8 pm sit night take 10min . [ FYI … cab LGA ( Delta Shuttle terminal ) hotel Friday evening rush $ 34 ( tip toll include ) , take 25 minute . trip back LGA late Sunday afternoon , take less 20min get , cost $ 30 ( tip toll include ) . ] all - in - all , great , centrally - locate place stay . highly recommnded . 
 Oct 5 2009 	 good hotel ' ve ever stay ! ! 	 hotel ! love every minute stay stay Bryant Park hotel ' m Manhattan . the location fantastic , room spacious chic , forget bathroom enormous . house keep good turn service offer . the hotel nice gym , great gym freak like : ) love small detail ; green apple munch tough work , news paper every morning , well stock minibar , Molton Brown bath product , robe slipper bed side ginger flavor chocolate . I highly recommend hotel everyone know honest good hotel ' ve ever stay ! 
 Sep 29 2009 	 love Bryant Park 	 Great hotel , fab room wonderful staff . location pretty fantastic . 
 Sep 29 2009 	 Bryant Park Hotel home big city 	 excitement city nicely complement elegance service Bryant Park Hotel . staff friendly accommodate room beautiful ! great time . 
