good 	 girlfriend spend one week New York celebrate 30th birthday spend four night Carlton remain three Surrey much well choice every way ( see separate review ) . give competition New York hotel price range , would recommend stay Carlton again . Pro 's : - Location , close pretty much everything include two subway line make transport e.g . Grand Central point south ( Union Square , Financial District ) easy- Quality breakfast in - house restaurant Country- well - price ( ny standard ) Con 's : - small room ( deluxe room ) - quantity breakfast ( breakfast include package ) - charge we $ 50 three minute US long distance phone call- Lack customer service . front desk bell boy service expect hotel standard ( give price tag ) . check , ask help luggage point elevator . friendly staff maid porter would always say greet kind manner little chat . 
 Nov 24 2009 	 big room cheap luxury 	 book double double bed room , hear room NYC small , supriced- big nice ! ! ( even though think handicap room ) . pay 1800 dollar week , 4 person , do not think bad price : ) ! ! close subway , walk time square sevral time , without problem . lobby nice , breakfast good , SPENDY . think cheapes luxury hotel find town , spend day looking- I m quite pleased result : ) . 
 Nov 17 2009 	 would stay 	 Carlton potential nice , renovation recently make , however woud defintiely stay recommend friend . husband often stay night city little getaway . decide try different hotel , read review , decide Carlton . make reservation day stay check inform restaurant bar hotel would open we wedding take place . one amenity always look bar / lounge within hotel annoyed find could not use . least tell we call hotel directly morning make reservation . also tell lobby would close guest hour would use side entrance . bother use entrance not single door man security person find . room fine . small , expect , clean fairly comfortable . small & quot ; problem & quot ; night , blame hotel . 5 highly intoxicated man bang door next scream person inside let . also yell something kid . watch people could see literally throw door try get open . try find number security , take , ten minute commotion finally stop never inform front desk . suppose could happen anywhere though . overall , unhappy hotel . 
 Nov 13 2009 	 exciting perfectly acceptable 	 apparently , everyone need New York City mid - October , bargain far . daughter wound room Carlton series miscommunication leave we press need reservation , luck Priceline . Carlton close two subway line - quick walk either one , could get either Grand Central point south ( Union Square , Financial District ) quickly . well - price ( NY standard ) standard room cozy - okay , small - clean , comfortable quiet . bathroom almost large room ; could calisthenic . , , shower essentially glass tube force one stand perfectly straight still one spot ? Heaven help want bend wash foot . have yell maid armed jaws life extricate . hotel staff competent pleasant , ... say ... little distant ? 's good thing ( ) not feel lose need friendly conversation ( b ) suitcase wheel . be long , lonely walk front desk elevator . everyone restaurant / bar first floor warm accommodating , though . in - room coffee maker ..... even legal ? yes ? well , not . internet access price per - minute basis , have need court reporter type fast enough make email reasonable . go next door convenient little store / deli pay $ 1 check email look address - drink coffee . 's pleasant place stay ( Carlton , mean , deli ) , somewhat lack charm ' ve grow love blakely . would happy return Carlton , heck ... 's New York City , have willing sleep lady ' room Penn Station 's . unfortunately , could not get bargain rate October , either . 
 Nov 11 2009 	 good stay ever New York 	 come NYC nice weekend celebrate anniversary . greet friendly staff give complimentary upgrade nice bottle red wine . room nice view Empire State building . definatelly wonderfull time will surely back . highly recomende imo . 
 Nov 9 2009 	 stay 	 visit NYC times year see son , hotel ' ve choose stay . be attractive , clean , spacious , well - equip room price 's reasonable New York . particularly appreciate bathroom ample counter space set toiletry . bath time even shelve next sink . hotel centrally locate block 28th St. 4,5,6 subway stop , be easy get around city here . my criticism visit concierge staff . first arrive , ask man duty recommend restaurant immediate neighborhood light lunch . friendly try helpful , really not clue . woman also duty time . seem well - train people role knowledge fingertip . fortunately , someone stand nearby overheard request recommend liitle cafe two block away -- & quot ; Naturally Tasty & quot ; live name . 
 Nov 3 2009 	 comfortable stay clean quiet . lack customer service though 	 husband stay recently honeymoon . arrival ask possible upgrade room honeymoon , due response front desk , quickly learn go get special treatment hotel ! let pass . find room clean , bed extremely comfortable quiet . air conditioning work well can not really window open constant noise outside ! bed sheet change daily bathroom shampoo , shower gel replenish although maid remove full bottle last day ! room big TV safe provide wireless internet access . hope would get friendly term staff hotel keep self . one even ask concierge could book town car take we Broadway show would . find surprising thought would happy guest . friendly staff maid porter would always say good morning little chat you . good location near Empire State building Macy 's . eat hotel buy food many deli situated block . hotel lobby stunning , classy personally like creepy ghost - buster look corridor ! would stay : ) 
 Nov 2 2009 	 ok 	 stay suite 3rd floor . bedroom nicely furnish . bed comfortable . & quot ; sit room & quot ; sparsely furnish wall hanging . bathroom zero counter space . move table outside bathroom set toiletry . outside noise bad . club across street would close 3 seem like window shut . bellman doorman fantastic . breakfast restaurant , mess order service sloooow . free wi - fi internet great . 
 Nov 1 2009 	 Adequate spectacular ! 	 husband stay one week . room , number 703 , seventh floor advantage two window different wall ( although one behind bed type metal cover discover could open allow light room ) . room huge include queen size , comfortable bed , desk chair . wardrobe limited hang space couple drawer along laptop size safe , ( useful ) , iron small ironing board . next desk small fridge well stock expensive drink space anything else . also radio / alarm clock build ipod docking station next bed . the bathroom absolutely tiny difficult enter close door behind enter . indeed toilet straight ahead clear door . shower bath good large head always plenty hot water . also good , powerful hair dryer provide small bathroom cupboard along waffle robe back bathroom door . Toiletries Molton Brown therefore good quality , replace daily even obvious enough another day 's use . however towel replace daily bedding . there air conditioning room however extremely noisy . say help drown traffic noise matter ' take pick ' . also not view window room opposite , depend room 's location . also large LCD television desk . we not eat hotel can not comment , drink bar certainly cheap . plenty place step hotel eat drink certainly lot choice without go far afield . the location hotel good shopping sightseeing foot use public transport . subway couple minute walk away Empire State Building , Maceys Flatiron district / Madison Park within easy ten minute walk , less . having visit New York time decide spend little time Brooklyn quite enjoy town feel without tower skyscraper family seem spend time slowly walk enjoy free time . easy get via subway close . also visit Grand Central Station love architecture inside art work ceiling . also food hall underneath eat sort food along fresh juice smoothie . like go junior wide selection cheesecake never yet manage eat whole portion . also visit New York State Library interesting inside lot architectural feature painting particularly fame reading room . fancy little fresh air suggest walk carriage ride around Central Park lake statue , zoo carousel . make sure comfortable shoe huge . place either easy walk short subway taxi ride away . Little Italy China town also well worth visit could always join game chess tai chi see take place China Town park area . all , Carlton comfortable certainly room quiet apart traffic noise , remember busy city nothing stop still matter time day . expect absolute luxury disappoint would not pay really need hotel standard quality . 
 Oct 20 2009 	 beautiful hotel rude lousy service 	 spend four night hotel husband anniversary . order adeluxe hotels.com get good price . hotel beautiful , room nicely decorate bed comfortable . thing bathroom small ask cac swich room large bathroom add give we another room large bathroom small bed . tell expecte king bed ( deluxe room ) tell we ( politely ) problam take hotel.com since book websight . make long story short - hotel beautiful clean service many other point , absolutely terrible , outrageous rude . 
 Oct 13 2009 	 great hotel - big friendly 	 little worried hotel reading people review arrive . nothing fear . perfect hotel - impersonal like big chain horrible brash Times Square ! staff lovely & amp ; room great although ask change first room give - small deluxe & amp ; poor view . request handle politely 2nd room want . surprise lack tea / coffee make facility room read leave England & amp ; buy travel kettle & amp ; mug etc . fresh milk buy daily delicous Cafe 28 - amazing breakfast 2 min walk away . 
 Oct 12 2009 	 overrate 	 Carlton definitely miss Ritz hotel miss mark mile . slate 4 - star hotel , room small , noisy , uncomfortable bed creepy hallway . definitely worth rating , perhaps 3 star fitting . impressive part hotel lobby , beyond entrance nothing else really impress customer . 's poor location , amateur service , Carlton one avoid . 
 oct 8 2009 	 beautiful hotel great location service issue 	 overall , lovely hotel - beautiful building room . clean comfortable . great location . problem free wifi . Breakfast Country Restuarant delicious ! enjoy yogurt granola parfait , french toast . appreciated complimentary mini - fridge request . booked hotel package specialty hotel website , package include breakfast voucher , valet parking , food / beverage credit . check - in , room rate correct ask breakfast voucher , parking , food / bev credit . take manager come provide voucher explain parking . check - out , charge parking food / bev credit apply . ask staff correct bill . Bill correct , apology . receive ontime wake - up call first morning , second morning wake - up call recieve 30 min late . Caller insist call early , request time , husband doubt ( wake time - glad not rely wake - up call ) . 
 Oct 8 2009 	 quiet efficient 	 stay hotel 18 night business . stay Executive double room clean , surprisingly spacious really good size bathroom bath separate shower . although hotel lack little character , really appreciate fact throughout stay never disturb slamming door guest shout corridor , anyone stay hotel lot know , usually case . fact never hear another guest , even though hotel obviously busy . I also appreciate free room wireless internet . 
