location 	 agree early post , decor look slightly tired , could possibly facelift , location superb , view central park spectacular , subway 2 minute away , 5th 6th avenue.time square 15 minute walk rockefeller centre empire state building .A great alternative afford Plaza , Ritz Trump , overall good value money . 
 Nov 22 2009 	 Poor versus competition 	 New York many good hotel - one . basic fabric tired ; hotel feel like ready major renovation . top room plan dirty . by far bad aspect staff service . tired , disintereste , poor standard bad aspect american service culture . example - take ten call get someone come collect shoe get clenaed . pass operator , concierge housekepe - zero interest getting do . eventually someone come return shoe give $ 10 . say ' the hotel carge $ 10 service & quot ; bill pay ; pocket too . the food ok - breakfast deliver without item order ... not bother complain . person deliver stand , quite intrusively , wait tip leave whine . I leave hotel 5 am catch 8 flight . rush leave white shirt floor cufflink . entirely fault . hotel call mail ? . call twice still joy . 's theft , would never happen Four season Ritz Carlton . incidently , Ritz 20 metre away - , feel stay location , go there . as say - extremely poor . 
 Nov 20 2009 	 beautiful view central park Great Location 's 	 besides location , nothing much positive . overprice , room average , everything cost extra , bathroom need implode . invite back hotel major refurbishing . 
 Nov 15 2009 	 lovely hotel great location opposite Central Park 	 lovely Hotel opposite Central Park . first put room overlook grotty alley way ( L7 L9 ) word manager offer room L35 lovely cityview . small bed furnishing much nicer . low room dark furniture bad state repair view almost bad Hong Kong room ! however new room great comfy . stay 6 night hotel meet expectation . great location nice boutique style hotel . pricey NY hotel . fussy great . read rat nasty staff etc many review hotel really blessing . thank . 
 Nov 7 2009 	 Filthy date 	 drinking glass bathroom crust corner , grout dirty , one towel something red crusty another towel six - inch rip middle , underside bedspread number stain , wallpaper rip bedroom peel bathroom , toilet would not stop run . top , bed hard decor ' 80 . worth money ! 
 Oct 30 2009 	 date accomodation less value dollar ? 	 privileged location amazing view Central Park South , therefore doubt wonderful landscape beautiful people around , rate , range 700 's 500 's night , could well street strip , incomparable Jumeirah Essex , Trump Int ' l. , around corner Columbus circle . ok , know renovation , offer attractive rate guest accept live & quot ; vintage atmosphere & quot ; old room . could add value dollar . & quot ; must & quot ; NYC ' old timer ( like lot brazilian friend meet ) love flashback .... & quot ; revival & quot ; one sophisticated address City ; today carpet wear , little dirty , furniture great 70 's 80 's , headboard loose , air conditioning noisy simply work , like one room sleep 12th.floor ... move original room reservation . front desk , door man bell captain , work fine corteous . responsive reception staff correct service ; certainly dollar NYC luxury scene . 
 Oct 28 2009 	 Average Hotel nice location 	 Average Hotel nice location , view Central Park . easy access 5th Avenue 
 Oct 27 2009 	 great location room well expect 	 boyfriend ' work book hotel bit worried reading review look photo . hotel well expect , though date . first , location Central Park South excellent . besides vicinity Central Park , subway station ( N , r line ) foot away . Fifth Avenue right around corner . we park view room , view fine ' room much anyway . photo , park view look nice . king bed room bed comfortable . bed ' comforter , though , odd . also fit sheet , flat sheet tuck bed . look ' traveler ’ photo , ' actually glad comforter / bed spread . look pretty old . central air prefer box unit air conditioner . flat screen tv wall room spacious enough 2 people NYC standard . the bathroom bite date need work . tub / shower need regroute , appear clean . cold water handle stick shower ' move . boyfriend able turn , barely lot difficulty . shower also ' drain well stand puddle water shower . however , let hotel know two issue send someone fix shower problem resolve . fuse also blow two different occasion blow dry hair . fix quickly occasion . towel nice , big fluffy . turn - down service nightly nice . also small refrigerator bathroom nice keeping water cold . they renovation work . could hear work go weekday start 9 am . note room say work would done work hour . tourist hour anyway suppose . want sleep bit last morning , big deal . would stay ? maybe – get great rate . minor re - modeling hotel could great , price would rise well . 
 Oct 26 2009 	 Wonderful Hotel 	 husband stay night October . bit skeptical read many review . pleasantly surprise check . receptionist could not nicer loved room ( 14th floor junior suite park view ) . love elegance hotel staff helpful . wonderful location . would recommend Helmsley Park Lane anyone location , amentitie great staff , doorman . thank great stay.csutton 
 Oct 24 2009 	 great location hotel outdate Conceirge fire 	 hotel Central Park South ideal walk major site Manhattan . location beat ! walk ABC studio , Columbus Circle , Frik Museum , 5th Avenue , etc . Whole Foods inthe Columbus Circle great picking grocery . the hotel outdate furnishing . bed worst ! colleague mention dinner one night , agreement . business traveler , desk chair conducive work long period time . housekeeping ok . the front desk staff helpful . conceirge hand fire . welcome helpful . homework , make reservation will well off . if go back door ( turn right ) , nice inexpensive ( NYC standard ) spa . nail do night , clean . not remember name , go back door turn right , can not miss . 
 Oct 21 2009 	 Place Pretty Bad 	 ok . ' ve never do . feel compel write bad hotel stay awful . first , travel lot stay wide variety hotel - room go $ 1,200 night room go $ 20 night . like think good judge hotel . Helmsley Park Lane really really really bad . not perfect location staff accommodate - recognize Hotel 's shortcoming - would downright awful . the RoomsVery date decor care . hair bathroom . half eat snack minibar area . bed hard rock spring pop . unusally hot day October room air condition . room temperature reach 80 degree . towel flithy . hotel three night . dinner colleague stay hotel well share sentiment encourage switch room . staff allow accommodate new room bad . dirty date awful bed . oh way , one colleague say open window dirty sock ( 's ) floor . room remind one hotel would see Dateline NBC be investigate flithy place stay . the AmenitiesThe room entertainment system movie , like . lobby bathroom . lobby ATM . gym joke . conference room small cramp problem regulate temperature ( cold hot ) LocationIt 's right next Central Park corner 5th Avenue beautiful shop nearby . Ritz right next door similarly price - boy wish know advance . Everytime walk feel like doormen Ritz laugh we stay dump pay money . regardless , location perfect . park trash truck 5th Avenue not mean want sleep it . the ServersThe Servers nice ( cute ) . realize hotel date need major major renovation . need extend late check client commtiment front desk take care . room bad ask change front desk accommodate request . people door would hail cab friendly ( regardless whether person tip ( ) ) . Park Lane well glad competent staff try desparately make Hotel 's shortcomming . * * * , think people stay hotel comfort , cost convenience . hotel comfortable . cost way much particularly since hotel room bad . , admittedly , hotel conveniently locate near lot attraction . 
