pleasant 	 stay hotel Thanksgiving holiday surprise please ! hotel accomodation great . room comfortable king bed & amp ; sleep like baby ! continental breakfast great ! hotel bar great ! will stay hotel ! location ! ws fabulous ! 
 Nice Budget Hotel 	 town Macy 's Parade select hotel base fact good deal could find . selection criterion . look clean , simple room , . husband stay every hotel price range imaginable , trip , try stay cheap , know would never room . room clean small . NYC hotel small , brace . bed comfy bathroom clean . lobby area nice provide complimentary breakfast coffee , juice , bagel , do - nut . location great explore subway around corner one block . complaint AC bang roar night ( even , yes , know , be true ) . let front desk know , polite , nothing fix . strange window unti banging , never hear neighbor street . staff polite , old exactly & quot ; hip & quot ; cool place eat drink . advice . would probably stay , personally fan neighborhood close Times Square , many visitor , location perfect . 
 great value 	 travel NY often business stay many nice hotel ( Palace , Plaza , etc ) , bit worried one . travel mother , want spend lot , review choice TripAdvisor , pick Hotel Times Square . must admit good choice value - minded traveler . relatively quiet block 46th 5th 6th avenue -- close 5th Avenue shopping east theater west . would caution guest avoid room east side hotel next several month , however , big construction project start lot next door . room face 46th street noise minimal ( NY ) . hear nothing wall either . the room small normal ny . room clean bathroom newly remodel plenty shelf space nice enough towel . problem hot water . bed comfortable sheet soft , albeit rather thin . blanket bedspread ok , likely area watch newness redesign start fade . the room always warm , often hot fact , sleep AC low make temp perfect well block street noise . the breakfast room downstairs ' m sure elevator low level . doorman , help luggage get taxi . lobby nice computer guest use . my complaint vend machine not work newspaper available purchase hotel 
 Nov 26 2009 	 great hotel great location great price 	 get back quick trip NYC see Macy 's parade . Hotel Times Square clean , quiet , nicely furnish , convenient Grand Central many site . stay family suite 12th floor spacious , clean , quiet . book AAA price right . would definitely stay without hesitation . 
 Nov 23 2009 	 Great Hotel Great Value ! 	 Location can not beat , walk distance Times Square / theatre district . hotel clean room nicely furnish . staff front desk professional accommodating ( Geovanna especially informative friendly ) . definitely stay ! moderately price hotel middle Times Square ! 
 Nov 18 2009 	 Great Hotel good location 	 Stayed Hotel Times Square fo 8 night wife , find excellent value money , room large huge bed . traffic noise street night New York , room 7th floor overlook small memorial garden . Hotel renovate recently certainly look clean modern , Breakfast include consist cereal , bagel bread toast fruit yoghurt fine start day . area around Hotel load Restauants Bars 200yards center Times Square . would recomend Hotel would stay . 
 Nov 17 2009 	 excellent location moderate price good family trip 	 stay 6 night Hotel ( re- ) discovery trip NYC . appreciated location , service , business centre , friendliness staff . moderate price , .... spend dollar elsewhere . good proof : full house ! recommend tourism private / family trip . 
 Nov 17 2009 	 good value wonderful location 	 good hotel , good price , close nyc atraction , new room , refurnish , confortable . 
 Nov 15 2009 	 frill perfect location 	 stay 10 day holiday 4 week around US . stay last super 8 . upgrade since price still around . think may due construction next door . noise start 7 am every week day prepare wake early ! noise finish one day hotel great . great location although room small everything need . not sit room adequate bed quite comfy . find free wi - fi bit patchy top floor may something . breakfast room extend since last stay plenty room everyone sit eat . you can not beat place location , 5th 6th Ave close Times Square short walk Central Park . great base we explore city . 
 Nov 15 2009 	 great location price shame reception desk staff surly 	 hotel recommend we friend great location , easy walk distance Times Square upper east side . continental breakfast fine man work breakfast room pleasant helpful . book king size room large ( small ) . careful booking via website - system glitch book 2 room book room . arrive hotel front desk man quite rude make we feel uncomfortable fault . know also happen least one couple - appear website . not fix website recommend confirm book prior arrival rather suffer grief check . 
 Nov 10 2009 	 Location Deal 	 right Times Square close . 6th 5th Avenue ( Times Square Broadway cross 7th Avenue ) . Nw York three day see four play . three theater easy 15 minute walk hotel . fourth 20 block walk Broadway Lincoln Center . first time ever New York without use subway . the real surprise quality hotel price . pay $ 189 night , include AARP discount taxis ( $ 27.40 ) . picture web site accurate . single room large plenty closet drawer space desk two chair . 9th floor could even look half window see street sky . wallpaper drape look new . bathroom large bright new - look 
 Nov 10 2009 	 although room small meet need can not beat location price . 	 not know expect . could not believe eye realize 1 block away Times Square . although hotel fancy , meet need . clean bed comfortable . staff friendly helpful . even breakfast adequate get day start . can not beat price hotel locate . 2 adult daughter never fear walk alone night . daughter plan go back family around Christmas . even able print boarding pass business centre . usually paper available printing . 
 Nov 7 2009 	 average 	 HEAT ROOMS ! ! ! ! ! ! ! stay week hope good , quiet , relaxing , friendly inexpensive accomodation . get , heating overpower . ask heating turn , tell , room still make we sick . also change room family room small , pay upgrading suite , little well , heat still disaster . continental breakfast good , crossiant , juice , cereal , fruit , tea coffee much like . reception personal helpful , housekeeping staff polite . overall good hotel , great location . BAR UPSTAIRS OVERPRIZED GO ELSEWHERE JAR , better value . 
