great 	 third stay London past 12 month continue excellent . Book & quot ; Vista Suite & quot ; get room separate , generously proportion sit area bay window big curve sofa sit read New York Times coffee spectacular view Central Park ( river high enough floor ) . really believe room great value consider size / cost option mid town hotel standard . located couple block park , shop 5th avenue , carnegie hall half block Moma , ideal position long weekend NYC . feel like private apartment . new boutique ( hip ) hotel may eclipse London & quot ; cool factor & quot ; , hotel offer good looking , functional , immaculately clean room ( still smell brand new never smoke ) , quiet . get old want hear thump hotel bar 3:00am London pleasantly peaceful . restaurant food good , especially breakfast selection . gym well equip free WiFi . concierge department helpful doorman remain touch edgy . , go wrong choose London . 
 Nov 18 2009 	 good sized Rooms New York Money 	 recently get marry NY choose London hotel recommendation . let say recommendation live promise . room really spacious standard room seprate living room . double head shower , massive bed modern design . early trip ny eat London Gordon Ramseys restaurant nothing less superb also . bar little pricey hey get pay , get lot . get involved . 
 Nov 18 2009 	 Reception staff bad attitude unfriendly unhelpful 	 reception staff hotel unfriendly , unhelpful interested credit card , want stand look pretty , think special pain hotel . the room great , although mood light strip rope light , nothing specie . breakfast joke $ 35 1/2 mushroom , 1 strip bacon , 1 sausage , 1 egg that s .. worth . 
 Nov 16 2009 	 disappointing 2nd visit will not go ... 	 book room 3 adult share give king size bed rollaway . discussion rollaway provide & quot ; misunderstanding & quot ; attribute Travelocity inability . room smoking smell like ! hotel staff say can not many time not try way come expect american hospitality . restaurant drink serve chip glass resident bar closed midnight - great positive jet lag zone ! April recommend friend treat somewhere meet . disappointed standard fall short time . however fabulous location walk main sight attraction . 
 Nov 6 2009 	 Front desk staff attitude ! 	 stay 4 night half term , staff stand offish , think hotel overate . great location large room dark dingey spring mind enter hotel . watch credit card , charge another room card week later still email sort problem . 
 Oct 29 2009 	 best experience EVER .... new favorite hotel 	 love first sight arrive good friend Norman , hotel exquisite , surpass expectation . suite spacious spotless , service impeccable . good part stay absolutely incredible staff London , provide we kind warmth professionalism seem absent hotel . concierge desk favorite place . two gentleman particular , Richard Tim , help we everything sun , far lovely people deal . London seriously consider give Richard award employee century . adore night manager , hip friendly doorman , pretty much every single employee come contact . look general manager , speak person , write email tomorrow . get home tonight , already plan next visit . literally body ecstatic experience . would like , compare recent review Cliffhouse inn Ventura California . study contrast , agaony versus ecstacy . 
 Oct 27 2009 	 Loved ! perfectly locate ! 	 husband extensive research stay NYC . first trip since child bear ( 5 year ) go take alone . know want hotel near Times Square one large room . think , initially , want Times Square . however , initial research , discover lot room close Times Square small ( seem almost like NYC standard ) . room all - suite , large , nicely decorate . floor living area parquet , nice ( though cool weather , cool floor ) . bathroom GORGEOUS ( room dual - shower ) fill everything need : shampoo , conditioner , hairdryer , showercap , etc . bedroom ( room king - size bed ) large ( though little dimly lighted ) one comfortable bed good sheet ever ! sleep like champ weekend long . I ' ve read complaint wardrobe space large enough , not problem . fact , two we also go bit 5th - Avenue shopping spree still plenty room hang thing . we order room service last night end share sandwich . good ( steak sandwich fry ) , exceptional , price would lead believe . fry regular , old french fry . little surprised . service great staff attentive ( not need much assistance , thankfully . not like staff constantly nearby room knock door , though . ' m hotel meet talk staff , ' m rest head . less see well , think ) .Overall , wonderful stay . hotel free wireless internet service ; minibar 's overprice good stuff ( not overprice ? ) ; close enough Times Square could walk theater yet far away enough could not hear noise ; even walk back room Central Park 5th Ave shopping . 
 Oct 19 2009 	 Midtown Mid - market Middling 	 5 star unlikely get . nice enough room - little & quot ; Wallpaper 2004 vintage stylistically & quot ; - intermittent aircon , inadequate wardrobe / closet space even 3 day trip . fast elevator - good concierge - service otherwise haughty reason ( tip - go stay Four Seasons Carlyle see manage helpful friendly ) .all - design 4 star junior 5 star price 
 Oct 19 2009 	 great ! -Long Term stay 	 excited cast Gossip Girl eat / at bar ! stay work two month city . concierge great always send local place . people say full maybe little I m LA I m use . room good sized , know satying give room terrace ( do not think suppose use consider climp ove couch throw window well worth extra space . issue room service little formal , well gordon ramsey pricey . issue closet coat device two drawer . normally stay regency lowe love change . be excited cast Gossip Girl ! 
 Oct 17 2009 	 still good attention detail . 	 second visit London NYC * Staff go motion . smile attention detail . * still love spacious room . * good location midtown . close enough far enough broadway * add comment facebook page not like , remove ... * not ask anything ok . * great gym . 
 Oct 15 2009 	 great room - fantastic location 	 friendly , helpful professional concierge lot - one receptionist mean queue check queue check , expect class hotel . room large stylish , room clean excellent . location fantastic 54th St. quiet street next Broadway also handy irish pub great cafe / diner breakfast . we dine Maze disappointment . ' ve experience well menu 's , well food knowledgeable staff plenty restaurant . ( $ 50 + bottle ! ! ) NZ wine serve warm waitress reluctant put ice bucket next table - never work though . in summary will definitely stay London will not bother restaurant . 
