pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Nov 17 2009 	 Terrific Hotel can not wait stay 	 pleasant surprise . look hotel upper west side , attend show Lincoln Center . visit NYC 3 - 5 time year always try different hotel . Lucerne keeper . can not wait stay . staff attentive , room large elegant area quiet . great location restaurant shop . 
 Nov 14 2009 	 good 3 * 	 stay partner 5 night stay . great location UWS , close 1 subway line , load nice bar restaurant close . dine Scarletta 's 77th Columbus , St James Gate 81st , good . Manhattan Diner Cafe 82 also good breakfast Broadway . hotel staff pleasant , accommodation , tidy . however , room ( # 1201 ) small . book late deal Expedia 10days travel , suspect room reflect price . have ask room high floor accommodate , room ( hindsight ) small advertised disappointing . desk , easy chair - not room . also , although free wifi hotel , travel without laptop , interet access available business centre . $ 5 15 min ( apprx ) quite disappointing . we spend little time hotel ( maybe necasuse room small ) , would call smart 3 * rather anything grander 
 Nov 13 2009 	 Quiet hotel great area 	 Clean Quiet hotel upper west side . stay first week New York . thinking could settle new york uper west side move midtown second week . hotel great location close subway right middle upper west side . think region New York rate , great shopping , fantastic resturant multi cultural vibe . 
 Nov 9 2009 	 worth money 	 whole lot research , former college roomate decide stay Lucerne girl ' reunion weekend . sooooo please facility courteousness staff . four we , come different part country , fly other drive . staff go way open suite early first we able relax wait rest group arrive . suite fairly typical size Manhattan -- definitely huge , perfect four we . bed insanely comfortable -- ' m total bedding snob , pillow linen rival home . everything meticulouslyly decorate CLEAN ! ! ! agree feel like spa . location work well we , know have spend time Upper West Side . would stay -- be hard find right combination affordability , elegance professionalism come NYC 's hotel , Lucerne top - notch way . 
 Nov 8 2009 	 extremely well pleased Lucerne 	 Trip Advisor review , rank 14 418 hotel perfect location visit Natural History Museum relatively reasonable rate make Lucerne good pick overnight NYC . perfect every way , beautifully furnish , roomy enough , clean , quiet plush enough we feel pampered . four we double quite comfortable . bed comfy , bath large bright , nice carpet , drapery , pillow . never hear honk horn sleep . would stay heartbeat . 's nothing not like Lucerne . 
 Nov 6 2009 	 Great Location Noisy 	 Lucerne Hotel great location Upper West Side . convienient Restaurants , Central Park , Museums , Subway , etc . lucerne nice , clean hotel convienence . surround great restaurant , grocery , store , bakery . corner Amsterdam West 79th however noisy traffic , cab horn , emergency vehicle siren , police siren , garbage truck , bus more . our room two door elevator top floor herd elevator bell night people coming go . also resident hotel chatter hallway . would stay . next time request room refrigerator microwave breakfast item neighbor bagel shop . 
 Nov 5 2009 	 great hotel great location 	 fabulous hotel NYC . Amsterdam Ave , walk distance wonderful restaurant bar ( Amsterdam inn lively place ) . stay hotel world reasonably price nice hotel quiet location . service excellent . upper west side - walk Central Park Museum Nat History . 
 Nov 3 2009 	 lovely classic hotel wonderful neighborhood . 	 spend 4 day New York decide stay upper west side . require bit walk transit plan worth . nice neighborhood seem less hustle bustle compare mid - town . lucerne great . close park lot great restaurant . nice room amenity pleasant stay . would highly recommend . 
 Nov 1 2009 	 Nice hotel fantastic Upper West Side location 	 husband stay six night September . travel 14 - month old son want stay child - friendly area close park . love Upper West Side never stay . start look hotel NY , think Lucerne pretty expensive , hotel city not ? decide book Lucerne ( AAA rate ) , happy . request room high floor put 10th floor . stay corner Deluxe Double Room , spacious perfect little boy crawl around . ask crib boy . first one really squeaky wake every time move , thankfully housekeeping replace quieter one . the room nice well keep , bathroom . front desk staff nice , overly friendly correct , bellboy super nice help we stroller every time came left . we meal , need boil water make oatmeal baby , coffee maker work fine . location perfect be look quieter area New York ( well , New York never really quiet ) be travel child . be two block Central Park Museum Natural History . favorite breakfast place , Sarabeth 's , two block Amsterdam Av , could not better we ! lot stroller neighborhood baby chair every restaurant go . can not find well deal next time , will definitely stay ! 
 Oct 28 2009 	 new favorite spot city : lovely SILENT hotel room NY ! ! 	 spend one night Lucerne , base solely fab review . ' ve stay many hotel town ( Essex House , London , Elysee , Dylan , Morgan 's , Hudson , etc . ) none could offer Lucerne provide : absolutely silent room ! say room silent , mean traffic noise really well - muffle . mean room absolutely silent night long - like sleep vault . noise , sound . none . sleep midnight 7 , sound hear breathing - ' m loud breather . 's kicker - 4th floor ! go figure . check , ask delightful gentleman desk quiet room hotel . always request super - sensitive ear & amp ; hear everything . almost always end resort earplug whenever ' m NY 's way sleep . never . , ' m stay Lucerne . silence necessary luxury , recommend hotel highly enough . I agree everything everyone else say spotlessness hotel , charming decor , really spectacular staff . bell staff open door everyone , whether be coming go . may sound like lame thing mention , frankly , find 's nice touch . front desk personnel also exceptionally polite pleasant . love location hotel reason already mention , other . nothing negative say hotel . deserve terrific review & amp ; can not wait stay . 
 Oct 19 2009 	 clean affordable great location . 	 nice place . room big ' ve see NYC , clean . water pressure bathroom amazing ( might sound weird comment great water pressure shower awesome ) . location also exceed expectation : subway stop block away ; numerous restaurant cool bar Amsterdam / Broadway ; Natural History Museum Central Park block away . hotel also offer free wireless internet , seem rare day . minor complaint : pretty noisy housekeeping start work a.m. , front desk staff perfectly fine not seem terribly eager offer assistance . really , though , would great choice want avoid madness Midtown still lot eating / drinking / entertainment option close . 
 Oct 18 2009 	 would definitely recommend 	 husband return 4 night Lucerne definitely return future . staff courteous helpful room large expect . arrive early able get room time . hotel room always clean far could tell . the location excellent walk close bus subway transportation ( 1 block ) . 
 Oct 17 2009 	 truly wonderful place stay ! 	 ( family 4 ) stay 5 night Oct. 13 - 18 , 2009.we vacation Manhattan LOVE stay Upper West Side . the staff Lucerne Hotel friendly , polite , helpful ... Room ( queen suite ) roomy , quiet , comfortable & amp ; METICULOUS ! location beat - surround great restaurant , two laundry / drycleaner right across STREET ... 24 hour pharmacy right across STREET ... 1 block # 1 subway ( Times Square , Macy 's , Columbus Circle , Soho , Harlem ... etc . ) , walk distance Central Park Museum Natural History ... back NYC absolutely doubt stay . one ... LOCATION , CONDITION & quot ; & quot ; price ! 
