surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Nov 19 2009 	 first class service city never sleep 	 recently go New York 50th birthday . 28 year old daughter stay Muse , short walk Times Sq . prove completely central place want visit . hotel decoration service second none . room feel like step episode Poirot , art deco theme modern twist . absolutely beautiful . we also dine hotel one night recommend $ 35 pre - theatre 3 course meal . I intend tell friend stay whenever go New York . ice cake perfect holiday . 
 Nov 19 2009 	 Muse Hotel - lot value 	 hotel great experience – despite glow review TripAdvisor . expectation low usual experience large chain probably happy Muse , otherwise look elsewhere . get email hotel week arrival something call Standby Upgrades – suspect experience lot no - show try avoid lose revenue people book Suite cancel . check - in original front desk clerk could not tell much upgrade would cost , finally give amount could not tell one night two , include tax . new front desk clerk took make mistake offer upgrade additional charge , already room unpacked realize make mistake much high rate write key packet call front desk . apologize , unwilling give discount . need either re - pack move daughter small room overlook construction behind hotel ( room available time get mistake sorted ) , pay additional $ 129 per night . everyone pleasant whole thing definitely count , feel hotel 's fault mine responsibility take give discount F & amp ; b credit something . ask clerk say clearly would discount consideration mistake . check - out also challenge . stay many kimpton every property extremely accommodate late check - out . property give abrupt & quot ; - even one minute past checkout time & quot ; . press clerk tell would need call back . different clerk call back give we 30 minute late checkout ( " 30 minute ! " ) . understand room may pre - book way around issue . excellent service come expect Kimpton property , Muse feel much like large hotel chain visit . unwillingness solve problem unwillingness look solution norm - want employee can not solve problem could go Hyatt Marriott plenty . feel property way try extract every dollar pocket instead make customer life . room $ 500 per night plus tax : $ 100 discount 2 hour late checkout would stay property every time New York , point already research hotel next visit will not muse . it disappointing stay come expect Kimpton chain . 
 Nov 18 2009 	 not stay Value Good Service 	 recently stay Muse Hotel really wish not . hotel nice - room good size , lobby contemporary nicely decorate . however , get far . soon interact front desk staff , opinion entirely change . ' ve never meet unhelpful group people work customer service role . fly London trouble check - manager 's response ' there be nothing ' ..... find , three hour rainy street , not give option available solve problem . set tone entire stay - hotel directly next construction site 7.00am permit begin work - tell . every time stop front desk enquire anything , leave stand , wait , least 2 member staff ignore we continue conversation type . routinely hail taxi ( rain ) doorman , , busy chat help . normally pretty forgiving hotel guest - understand hundred people ask everything sun - , surely idea customer service role mean 's power help customer ? 's & quot ; be nothing & quot ; attitude can not abide - especially almost $ 500 night . 
 Nov 12 2009 	 good hotel ever 	 stay Muse Oct 4 - 7 . fabulous place . travel BFF : ) 18 yr old daughter 2 girlfriend Kelly Clarkson . first book Marriott C / W breakfast , last minute recommendation land we Muse . kid bite upset change arrive . OMG - squealing not stop 4 day . soon get buy breakfast settle double pillow top bed , enormous bathroom , pillow , bathrobe , large roomss , glamourous bar , not forget coolest bathroom ' ve ever see - front lobby . hotel spotless , safe - never fear girl 's safety go lobby , staff top notch . definately would return . oh , add bonus - Kelly Carkson 's band staying - oh girl squeal delight see cool musician lobby . 
 Nov 6 2009 	 great stay heart NY 	 know NY pretty well experience many hotel big Apple , mostly business trip . leisure trip travel friend , look hotel huge building 500 room , boutique type , small size nice decoration , feel little like home . yet near Times Square friend 's wish . would take distance Times Square easily fear crowd noise . none small street , hotel 1 mn away Times Square . hotel exactly expect . charming . decoration meet expectation creative yet comfy cosy . room bathroom clean . street quiet . staff amiable ( always case ny ) . wineglass invitation every afternoon pleasant afternoon sightseeing shopping . check Kimpton hotel since , apparently US chain . wish worldwide , would look try other . one disappointment : book ' premier ' room - supposedly corner room , give room book pay advance . hotel full chance switch . propose rebate . tell give executive instead , ' good deal ' . difficult check get good replacement doubt still . would preffered corner room . management amiable apologetic inquiring . 
 Nov 1 2009 	 Amazing Kimpton experience 	 second visit Kimpton Hotel stay literally perfect ! muse fun hotel great location truly outstanding customer service . every single staff encounter positive . downright unbelievable . forget add InTouch number reservation , hotel staff spot advance set . we superior king , bite standard room . huge New York completely spotless . especially nice get totally quiet room , actually view close Times Square Rockefeller Center . we be sell kimpton ! 
 Oct 21 2009 	 room picture 	 stay Muse past weekend . walk without reservation even though online room around 249.00 particular weekend . Reservationist quote we 389.00 ! ! ! say forget will go Comfort Inn across street ........ suddenly price come 309.00 hmmmmm . anyway , room lovely , bed incredibly soft . room look exactly picture . 1 block Times Square , across street Havana Central restaurant . 
 Oct 13 2009 	 Fabulous Hotel 	 Perfect location , right near Bryant Park Times Square . central everything ! room fabulous ! renovate , clean bed comfortable . bathroom great size well . free wi - fi Kimpton Touch member . wine hour every night lobby , can not beat ! lobby restaurant renovate well , beautiful ! service great . check within minute forgot computer cord , find one lose find bring one room immediately . would definitely stay ! 
 Oct 13 2009 	 lovely stay great Mid - Town Hotel 	 lovely stay Muse . room clean , comfortable modern . however , upgrade non - standard room would . standard room ( one place initially ) low floor close hotel generator . hotel staff accommodate move we quickly different room . complimentary tea / coffee morning add bonus . would definitely stay . 
 Oct 12 2009 	 happy experience 	 Saturday , night , Oct 10th , hotel next door ( night Hotel ) apermit special party . despite we quite side hotel , other unable fall asleep approximately 4 . hotel staff , refuse take give compensation - penny ( ask one night free parking ) . Danielle manager refuse say noise keep we 4 morning beyond control . Danielle recommend relate story make another reservation would get well rate . refuse give meanything writing . 
