good 	 location good , nearby many subway stop . shopping center Macy 's empire state building within walking distance . room comfortable clean , medium size fair size bathroom . give renovate room furniture bed good . room 34th floor view Manhattan incredible ! check smooth never get touch hotel staff : key room also pass hotel facility easy use . provide complimentary wireless connection room plus . try tick tock diner hotel property ` impressed service , clean standard food quality . write bill tip amount request ... needless say go . 
 Serves purpose 	 select hotel , stage grind Macy 's Day Parade . guess tourist advantage centrally locate slightly seedy part town ( especially night ) . staff accommodate , allow late check without problem . size room TINY . guess price expect something slightly big . queen size bed , 2 1/2 foot room side bed . . iron board ROOM SAFE- think odd . bed comfortable enough one night . Bathroom refurbish tiny . necessary toiletry . big complaint though noise alley way , street - 23rd floor . husband could sleep hurricane complain noise level next morning . hotel serve purpose - clean enough centrally locate thought bit expensive actually receive . 
 good hotel large room clean- shame certain unprofessional check - in staff 	 stay new yorker hotel 5 night november . on check course excited arrive NY look forward stay new yorker book 8 month advance . our excitment later turn anger way speak gentleman check we reservation department make book correctly . we book 8 month advance pay £ 100 extra double double room view- website state view city hudson river . when make booking request city view also email hotel 4 week visit request city view . on check advise view ' brick wall ' hotel full . tell person check unacceptable false advertising room state ' City view Hudson river view ' also fair concicdering book far advance request city view could not ignore . the gentleman check become rude totally unprofessional . at time apology understanding , hotel full 8 month ago book & amp ; upgrade room room view acceptable argue back customer . 20 minute fight corner finally offer 2 room , get send go view room . neither city view however one hudson view take room- could not offer first place . I think although job check resolve situation reservation do job properly first place problem would occur . request take concideration make someone booking importantly actually pay . advertise upgrade room say get view give view brick wall , ismisrepresentation , wheather hotel full customer problem sell room 8 month before . I should not argue case give room mine , pay for . our room double double room large , good wardrobe space , clean modern . the maid would come everyday keep room immaculate . the doorman lovely , friendly helpful . great job ! great see security shift 24/7 , always say hello direct area hotel ask . the tick tock diner great value lunch evening meal , porton generous staff friendly . overall happy stay new yorker , room hotel great shame do not good experience check reservation really let hotel . later speak manager apologetic greatly appreciate . would let incident stop stay new yorker future however would hope see reservation check staff improve . 
 Nov 26 2009 	 stay honeymoon 	 hotel good location room spotless recently refurbish ( massive tv nice surprise ! ) . bit disappointed however queue half hour check travel 12 hour , finally check couldnt / wouldnt let we room early ( check 3 pm , 2 pm ) let shatter desperate shower . the slight disappointment honeymoon ask nice view do not give we . check staff interested flirting check we annoyed . room immaculate , hotel right next subway stop I ve certainly bad room . I d recommend hotel other full price get good deal price pay match get . 
 Nov 25 2009 	 location great big hotel staff bit indifferent 	 stay hotel begin end trip . first time stay 3 night give disabled room ( although neither we disable ) . turn room bathroom fairly large disabled element seem handrail bathroom , complaint . room decor look bit tired , although art deco style charming . large hotel much staff except check - in pretty indifferent towards we - although rude . the staff hotel transportation desk recommend get we car Airport end cost we least double feel pretty cheated . second stay , catch metro JFK cost we $ 10 dollar .. ( transport hotel arrange cost we close $ 80 ) . second stay 1 night , 7 day later . give standard room small . bathroom tiny one person could enter time . room clean , would nice spend 1 night . overall location hotel great - get large room ok . 
 Nov 25 2009 	 highly reccomende 	 great hotel stay .location great .just block away macys . tic toc diner attach hotel . get voucher contintenal breakfast .there also restraunt hotel use it . , room upgrade we extra cost [ 40 doller extra night ] .the room overly big lenght time spend matter . go see mary poppin would reccomend , go see x mas show two year ago radio city would definetly reccomend anyone go see show brilliant.there safe deposit box reception extra cost . staff friendly . book ticket show hotel really pay top might well booking theatre . great stay hotel b back 
 Nov 24 2009 	 Excellent Location New York shopping tourist visitor 	 back stay 3 night hotel . excellent location right middle new York , near madison Square garden , times Square Shopping @ Maceys . facilite excellent free internet access room well visitor concierge organise tour event visitor . also transport organise check shuttle service airport departure . room basic comfortable requirement need . hotel staff helpful area safe . perfection location anyone want shop new york . use nearby metro problem get tourist area lot cab available use well . would recommend hotel anyone visit New York mainly location comfort mid price . 
 Nov 22 2009 	 Convenient Midtown 	 step NY Penn Station , New Yorker ( builit 1929 ) spruce offer convenience value folk ready hit town . room small - bathroom tiny , nicely appoint good linen , plenty pillow , hd tv comfortable chair . ask view Empire State Building . diner lobby , plethora NY restaurant await . staff cordial accommodating . 
 Nov 20 2009 	 good quality - good location 	 room small money - expect Manhattan suppose . pro : comfortable bed . central location ( 8th & amp ; 34th ... walk Times Square ) subway line . refurbish room . con : small room 2 people . bit noise room , intolerable . unreliable internet connection . tip : long stay , check laundromat 9th Ave 34th 40th . 
 Nov 20 2009 	 Nice hotel ! 	 arrive hotel tell give upgrade ! good start ! room looked recently refurbish comfortable enough even though bit small . very friendly helpful staff . would find hard say anything bad hotel would recommend friend . location - wise 's good . couple block empire state building Macy 's . be also 10 - 15 min walk fro times square . lot bar resteruant close though would give tgifs across road miss . well worth visit ! 
 Nov 19 2009 	 Awesome ! 	 beautiful hotel . comfortable bed ever ! great location . small issue great ! would go back ! 
 Nov 19 2009 	 New Yorker Oct 09 	 great location , art - deco styling nice , mohammed front desk awsome . upgrade room free charge Empire State building view . 
 Nov 19 2009 	 beware check process time 	 ' m Germany friend stay Hotel , tell convenient locate , , arrive hotel line huge wait line 15 minute , lot eight hour flight , arrive counter , basically waiting call , see customer service agent busy background 2 lady busy argue something not know ; aknowledge , one call we , even though notice since begining , decide call we feel like , believe name Ofelia , spend another 15 minute we counter , check process phone time , remember ask cuestion even not notice , believe talk relative friend . go room ... guess ? , give we wrong room key , go back thing say .. ' m sorry ! .. ; unfear , believe ! , want line least 15 minue want get wrong room key , please not hesitate check lady . 
