Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Nov 26 2009 	 great location 1st timer ! 	 look age hotel ideal central location NYC , Roosevelt definitely ! right next Grand Central Station want subway , 4 block Times Square be walk , do not think could pick well location . time hotel sleep , say bed lovely , big soft ! pick problem room look 45th street thursday night soooo noisy - rubbish track night long - weekend bad . like elegant , grand , big hotel ( ' m talk reception ! ) do not mind room simple , bathroom small - mean small there s space toiletry girl ! - hotel brilliant : 
 Nov 23 2009 	 good location Mid - manhatten 	 sister & amp ; return NYC . stay Roosevelt -- good choice ! ! prior visit NYC , hear & quot ; bed bug & quot ; scare , decide call & amp ; inquire visit . assure time problem hotel . gentleman speak kind & amp ; informative . also upgrade rm . hospitality suite - at extra charge . disappoint arrive . rm . everything promise & amp ; { bedbug } location best- within walk distance almost everywhere want go . can not wait go back . hope stay rm . 
 Nov 23 2009 	 relax comfortable stay 	 husband stay Roosevelt Hotel 5 night honestly fault . great location 1 block 5th Avenue right Madison Avenue . room spotless quite spacious , contrary read previously ' box room ' ! staff helpful especially hotel extremely busy . would definitely go back . 
 Nov 18 2009 	 Roosevelt Hotel 	 3.5/5+in heart ny ! + Clean Rooms , comfortable bed - very small room - expensive -expensive charge ( wifi , roomservice etc ) 
 Nov 17 2009 	 okay hotel . 	 stay 11/15 11/17 business . hotel wear , clean . room nothing special , bed comfortable . hotel busy , bar busy evening . business trip fine , although internet slow , location great . would stay vacation , though . 
 Nov 14 2009 	 say so - so hotel 	 stay one night hotel business meeting . location really good , short walk major attraction . room small old expect , surprised free umbrella hotel guest borrow , ( need pay borrowing umbrella ) . guess service expect $ 200 per night hotel . say , 's New York . 's pesonal trip , would rather stay Financial District area , hotel much update reasonably price . 
 Nov 13 2009 	 almost perfect ! ! 	 travel Roosevelt 2nd November boyfriend . read negative comment quite honestly dread stay experienced hotel definatly pro con . when arrive hotel check quick professional . ask would possible get upgrade give suite free charge huge ! ! lobby area beautiful spotless . room date although maid come every day clean little thing let . shower head loose plug sockett hang wall blind dress area cover dust . positive side bed really comfy 2 plasma tvs one bed area one living room area nice comfy sofa . from experienced service hotel 2nd none every request delt proffsional friendly manor quickly , boyfriend forgot razor hotel arrange complimentry disposable bring room include shaving foam ! doorman always hand flag taxi last day hotel store luggage we without issue . order room service delicious ! ! hotel little pricey compare New York price be different really ! ! location hotel FANTASTIC ! ! walk everywhere ! ! 's 2 min away Grand Central Station , 10 min times square Empire State Building Rockerfeller Centre short distance foot . 's 5th Ave shopping door step take 15 min walk Maceys 20 min Bloomingdales . time take cab anywhere get Battery Park Ferry Liberty Ellis Island . all hotel definalty worth visit get bargain . 's classic date style fine we like modern contempery hotel wow factor room 's probably place . be quite easy go see fussier travller room could sore point however can not see anyone could fault service . 
 Nov 8 2009 	 great choice great deal get priceline 	 husband determine find decent hotel ( 3 * ) $ 200 night November 4 - 7 stay NYC , find Roosevelt . like other ' ve comment , lobby still gem year . really , really beautiful . like other ' ve comment room , not overly impressed . , big .... room clean , functional bed comfortable . end day , be really care . yes , toilet flush two , three time . yes , room bare , fairly small , coffeemaker mini fridge , curtain AC unit dirty need washing ... , major stuff fine . everyone come contact pleasant , even go way we . keep mind , customer service glitch read far outnumber good excellent service receive hundred people stay hotel not leave review . would recommend hotel , unless want upscale accomodation willing pay . P.S . get free wi - fi room & amp ; cellphone service provider . 
 Nov 8 2009 	 great Stay Roosevelt 	 love Roosevelt . walk distance Times Sq , U N building , Empire State building . room clean quiet bed comfortable . foyer gorgeous take back time another glamorous era . lift great quick . great price . go stay Greenwich Village night . great combination place stay NY 
 Nov 8 2009 	 37 buck club sandwich ? ? ? ... 	 hundred , maybe thousand , hotel NYC one one stay . room tiny , room absolutely view ( stay top floor -- view something ) , food 4x expensive cost ( club sandwich cost $ 37 ) , internet free ( be $ 15 / day . could go across street coffee shop get free internet stay Roosevelt , pay $ 300 stay night still pay $ 15 use internet . ) . bellhop beg tip waiter deliver room service practically stole tip give tell room service bill already include 18 % gratuity $ 4.50 & quot ; service charge & quot ; . stay unless extra cash want throw trash . 
