fantastic 	 first visit ... 3 night . great area terrific HighLine . state art design ... Standard Grill excellent .... could also tell good value people wait 11.00pm . room view fantastic . the 18th Floor Lounge awesone ... lift must unique . staff good great & quot ; different & quot ; hotel experience . 
 Best Hotel Chelsea ! ! ! 	 Excellent service -- -alway willing help anything . room awesome -- -great view Chelsea / Hudson River / Highline . peekaboo shower open room . Room King bed nice spacious 2 people . loved floor - to - ceiling window ! ! ! Hubby love huge tv mount wall . location -- -great esp . since Chelsea favorite area . easy find way around . only negative comment wish small microwave / fridge / coffee pot . survive without , big deal . 
 Nov 26 2009 	 mixed Bag 	 return 4 night Standard Hotel Meatpacking district New York City find hotel mixed bag . positive side , meatpacke vibrant lively area great restaurant up - market shopping Standard locate right heart . hotel beautifully design , room little small typical NYC , great view across city . room 11th floor bath could look across city , take advantage floor ceiling window . the bistro grill pretty good , standard American dining definitely worth try . major thing warn ... picturesque lounge bar 18th floor close resident 9 pm become nightclub ! mean locate top floor , sound travel right way whole building ... night arrive woke throb bass 2 am , luckily ear - plug could use . funny thing lounge / club top floor 9 pm guest allow go ! put noise can not join , little silly sure make large amount money hire space . want drink bistro 11 also warn extremely busy may struggle serve . use room service good , food arrive quickly exactly ordered . staff also friendly helpful , complaint . 
 Nov 25 2009 	 stay ! ! 	 stay 4 night October hotel fabulous . room dual view Hudson Empire State Building . room gorgeous , stylish , cool layout include bathroom divide main bedroom glass screen . bar , cafe restaurant downstair add vibe . look also really cool video display lift ! Meat Packing area much fun lot go evening real gritty character day . Greenwich Village also easy walk . whatever eat Budakan restaurant couple minute hotel , also worth visit move World Trade Centre Museum nearby , time Chelsea Market Food Tour . love back ! 
 Nov 25 2009 	 great view unacceptable service . 	 stay week standard begin November 09 . end , lose one bag luggage room . back 3 week , except one email telling would contact , news whatsoever lose luggage . hotel category , 500 $ night , unacceptable . send 2 email remain unanswered . basically conclusion : overprice not give damn customer ... 
 Nov 24 2009 	 Loved Standard ! 	 great location , great room , great service , great elevator fast , great bed , great tv , great peace quite . the shower take bit getting use ... loli ' ve stay NYC must admit Standard well far . chic , stuffy ... Grille open 4PM ! ! ! ! Boom Boom room total scene ... not know people write bad review ... stay Waldorf . 
 Nov 23 2009 	 amazing hotel great place stay 	 everyone smoking give place bad review ? one person previous review seriously complain transfer bar soap room shower . well , uh , last time check give generous serve show gel addition bar soap . the room functional , not get people complain either . bed SUPER SUPER comfortable . tv huge easy figure . get lot hd channel . view spectacular . location amazing . service top - notch . shower 's see - through wall bit strange get use . shower comfortable not want leave it . the elevator fune neat video art ride . dead quiet night . not hear thing hallway noise . street noise , noise room . conveniently locate , subwaye , walk cabbe everywhere Manhattan problem . the warning would give everyone fashionable . not mean wear suit tie , easy way look good . mean fashionable . genuine sense fashion style . think good go .. boy wrong . breakfast walk Gray Dog worth , italian try Gradisca . so yeah , fantastic hotel , not listen negative review . room size gigantic , opinion . expect closet get palace . 
 Nov 23 2009 	 love place 	 look fantastic fantastic . staff helpful - secure dinner reservation ( although not love restaurant bobo ) print map . beer garden - beautiful fall afternoon - blast restaurant excellent well . view incredible not even top - of - the - line room . 
 Nov 21 2009 	 care nice view ... 	 currently stay Standard write review . really look forward stay not doubt decide come New York 7 - night honeymoon , impressed design proposal massive view Standard Suite ( room 8.23 ) .When book room , make clear wanted pay cash room , not seem problem contact hotel . however , problem service start check : person receive we prepare method payment , uncomfortable almost annoyed , insist authorize full amount stay credit card . offer cash deposit money , surprise , accept . really want credit card ... time try authorize ( tell not high limit available credit card , hey , pay wedding ! ) , finally take cash . take long , embarrassing long line form we . we get sick first day ask salt , request receive irony room service staff ignore . call finally get salt ... absurd . then run shower gel . come house keeping check something basic replace shower gel ? call , take forever , second call , wait wrap towel , arrive . concierge service fine , reservation give recommendation neighborhood , text message supposedly send we arrive room phone , end , impression poor . and , speak phone , not work local call ( suppose free be use cell phone - spain - instead ) . whenever try call , get & quot ; please hang & quot ; message phone block . not even bother call unblocked / fix . would probably call twice , get upset , etc . leave way really not feel like interact staff . the good side ? room impressive view nice design furniture . Bathtub Philip Starck , nice indeed , specially be design orient really care stuff , . good hotel , stay long , make good view design . need excel service . next & quot ; hip - place - to - be & quot ; hotel around corner want survive New York city battlefield , would improve aspect business . def staying . worth 600usd / night rate . 
 Nov 17 2009 	 hip hotel run teenager 	 trendy hotel great location attract trendy crowd . 18thfl bar large beautiful view , can not get 7:30pm unless secret password . hotel guest , either go early like , go first fl bar . room tiny place put suitcase ( ) . staff young disorganized check - in , follow request . elevator break one point . keep want see experienced adult mgr , not find . recommend uniqueness ( location High Line , glitterati bar , location Meat Packing District . would not make regular hotel go NYC . 
 Nov 11 2009 	 NYC wrap single hotel ! 	 Overall really enjoy stay Standard . stay Standard LA hotel NYC extremely impresee hotel aesthetic feel . simplifie big city wrap giant structure . love tight room amazing bathroom feature . hotel little pricey know quality come . great amenity downstairs pack bar scene . 
 Nov 9 2009 	 over - price / poor service 	 make mistake travel NYC late September U.N. session - difficult good get hotel room , ' the Standard ' take full advantage , charge ( gouge , really ) $ 500 night shoebox . despite guarantee reservation 3:00 pm arrival , make wait another hour bar could get room ( do not even comp beer ) . room could generously describe ' austere ' ( less generously cold - kind money , will take classic luxury , thank ) . internet service poor , print ridiculously cumbersome ( business center speak - print via website reception 's small printer ) . bad , rouse bed 8:00 next morning hammer saw - instal floor room directly . check shortly thereafter , speak manager , decline even take anything bill . short term think part ; wonder will hype wear ? 
