welcome 	 spend 3 night Westin whilst trip friend . easy check room available despite hour specify check time . room 15th floor partial view Hudson . two heavenly bed indeed heavenly , affording good night sleep hotel . noise level minimal , room service excellent ( though expensive ) attention detail , second none . staff extremely helpful , courteous polite make we feel welcome . bathroom adequate need , toilet little low double head shower amazing . would definately recommend westin leisure break - location excellent sight shop New York offer . 
 great stay Times Square 	 Location excellent , right heart Times Square . accomodation come expect quality Starwood hotel . stay package deal stay two night , get third night free . great time . also , staff pleasant helpful stay . 
 enjoy back 	 love location wonderful service nice room . stay last four trip New York continue stay next visit . 
 heavenly stay busy city 	 opinion westin new york times square locate heart city . perfect location capture essence city within walk distance . once enter hotel , noise city go surround serenity . nothing top heavenly bed ! sleep like baby first time many countless nyc visit , feel like miss anything stay long bed morning probably rare situtation city vibrant . I enjoy stay would always come back . also try hotel part starwood program ny prefer one good . until next time , keep great standard : ) 
 Perfect Location New York City 	 get amazing rate Hotwire two day include Thanksgiving . hotel perfect location New York City . locate 8th Avenue 42nd Street , directly across Port Authority Bus Terminal . hotel entrance 42nd 43rd street make convenient . Westin step away cute restaurant 8th 9th avenue , well touristy dining option , attraction , theater street 40 , well Times Square . hotel attach entertainment complex call E - Walk include Chevy 's , Starbucks , Regal Cinemas . hotel lobby second floor , safe separate activity people street level . Macy 's parade , people stop get onto side street , hotel guest could easily make way 43rd Street watch parade 7th Avenue . view terrific ! hotel provide we list attraction Broadway show open closed holiday , well parade map . hotel super modern 45 story glass tower . try stay corner room , possible , great view city . 
 Great Location Safe Clean Hotel 	 take train arrive NYC 11:00 a.m. want go shop afraid would able check early . problem ! ! ! gentleman check - in friendly not hassle we bit early ! let we check noon go spend money big apple ! 
 great room terrific location 	 room comfortable large space comparable hotel . room quiet clean . 
 JEWEL NYC LOCATION EXCELLENCE SERVICE 	 Manhattan property ideally situate visitor New York City reason . short walk theatre , fine restaurant , Fifth Avenue Madison Avenue shopping , Central Park walk short cab ride museum attraction NYC . pleasure stay property multiple time consistently appreciate wonderful staff professional hotel go way polite succeed meet guest expectation . request staff tall order possible achieve . impressed General Manager often stand lobby greet guest watch first hand guest care make sure guest happy moment enter hotel . heavenly bed truly & quot ; heavenly & quot ; bathroom amenity quite nice . every employee make sure wish good day treat guest respect . hotel unique though many room , manageable guest feel warm cozy rather give cold impersonal feeling large hotel . wonderful able leave Broadway show able fight cab simply walk short distance hotel . though location outstanding , hotel even compliment location . 
 Great Hotel 	 come NYC Thanksgiving every year stay Westin . 's great hotel . room nice , hotel quiet great location . thing miss room mirror desk . 
 stay ! 	 moment walk Westin Times Square , greet friendly manner make feel like guest hotel . everyone come contact friendly helpful . room wonderful ! one side overlook street side could see Hudson . nice . room comfy cozy . one night wear walk do stay order room service . sat eat look view . nice . 
 wonderful Experience 	 Westin perfect New York getaway . get great rate , amazing corner room view . reception , Janice incredibly friendly , professional make sure feather free room make . location great - connect indoor complex include large movie theater , Starbucks , Chevy 's Restaurant , steakhouse bar hotel . hotel also contain fitness center spa . room comfortable size NYC , bed comfortable . altogether , fantastic stay ! 
 fantastic room - Outstanding service 	 want within walk distance almost everything , Westin Times Square good place stay . come Columbus Day week end every year enjoy walk Times Square , Rockefeller Center , even Cenrtal Park . mention restaurant theater . always warmly greet . like stay upper floor always get room fantastic view . bed comfy room comfortable . ' ve ask suggestion eat find location , not feel like inconvience . disappointment Shula 's closed . 
 NY Westin overnight destination ! 	 find Westin bid Priceline . since , stay hotel ! Westin provide upscale amenity room decor , , importantly family , service employee -- George , bellman Robin reservation . also , location phenomenal ! within two block theatre ! Westin ... simply , BEST ! ! 
 good experience ever ! 	 first trip New York stay two different hotel . switch Westin half way make sure amazing memorable experience we ! starwood prefer guest room upgrade spa room massage chair beautiful view . hotel close everything two minute walk Times Square . restaurant locate hotel across street ( even movie theater access hotel ) . hotel beautiful room , love Westin ! 
 accommodation nice although expensive used average cost NYC . 	 clean , comfortable room . excellent front desk staff . Great Times Square location . great conference room area . able take advantage Westin Promotion buy two night get one night free great discount . 
 everything excellent expect . 	 service great every level . room clean , smell good , clean every time return . Access Times Square Broadway , perfect . good service Shula 's restaurant ... 
 Nov 26 2009 	 amazing quiet hotel middle everything ! 	 Westin associate helpful pleasant . room wonderful well . book hotel small group associate event planner company . contact ahead time staff check accomodate need change reservation quickly correctly . room quiet , bed amazing 4 night stay great ! would stay time . 
 Nov 26 2009 	 Westin Times Square . 	 beautiful ! mini bar ! comfortable bed , hot shower , high : ) 
 Nov 25 2009 	 unexpected glorious experience 	 hotel locate block Times Square easy walk distance many theater . allow check early without request ahead time . courteous bellman help we room . room clean modern . bed , hand , worth price room . comfortable bed think ever sleep . room also quiet , even though Halloween night thing kick outside . bathroom also modern good water pressure even high floor . elevator seldom wait even though hotel pretty crowded everyone leave time dinner show . check process efficient , always cab wait outside . awesome experience , expensive worth opinion . caveat would plan EARLY . try stay hotel availablility date want . 
 Nov 25 2009 	 Location staff amenitite great ! 	 easy access & amp ; tunnel . be , walk take train anything want see . staff knowledgeable helpful getting around see list & quot ; to - do & quot ; . stay . 
 Nov 25 2009 	 Great Hotel wonderful helpful staff room breathtaking view . 	 great hotel want stay Times Square . centrally locate uptown downtown village . staff helpful room update , comfortable cozy . 
 Nov 25 2009 	 Location Location Location ! ! ! 	 love location ease walk theater , shop , find Times Square , grab taxi . concierge excellent recommendation dinner . also willing take photo family friend visit we hotel lobby . the room neat cozy , little small taste , wer not spend time room . , flat screen tv outstanding , course , enough can not say & quot ; Heavenly Bed & quot ; . 
 Nov 25 2009 	 great location heart Times Square 	 great location theater weekend NYC . able check early 3pm state time . nice room - large NYC hotel . concierge helpful restaurant . 
 Nov 25 2009 	 expect ! ! 	 exceptional desk staff , courteous staff general , polite willing help . clean hotel , get 4 am wake time etc ... greta front desk , helpful 
 Nov 21 2009 	 Comfortable Functional 	 room good size , comfy bed inclusion Apple Mac room unexpected bonus ( $ 15 / day internet connection though ) . 1:4 chance get room view air conditioning system , think kind New York charm . room perfectly adequate , bath tap drip non stop stainless steel sink fitting feel institutional rather stylish . feel corridoor could attention redecoration , look bit shabby place . check like talk automaton , quick efficient devoid emotion . great hotel like beige prefer efficiency human touch welcome feel . 
 Nov 16 2009 	 Service lacking 	 Expect wait looong time eveything - valet , security , room service bell hop . Sigma six folk . front desk helpful check - in conciegre great . room clean albiet small . Amex Platinum cardholder - know hotel accept Starwood Gold upgrade . 
 Nov 12 2009 	 service quite par 	 since frequently travel East West Coast over - night flight , check many hotel NYC morning . surprised advise front desk room available Monday morning 9 am , even though hotel aware early flight arrival . tell come back noon . sleep 4 hrs plane go office afternoon , welcome news . , wait lobby . go back desk 10 am one last time check another attendant , say room available , king size bed . arrive early morning , really not care sized bed , long bed . know room available hr early front desk man think outside box . annoying . thing fine first night . second day another bobble happen . room alarm clock . sure effort encourage stress free vacation , business hotel . People need know time clock room . rely upon front desk wakeup call . fine first day , second day . never call , since adjust East Coast time , wake past 11 , schedule meeting checkout time . luckily flight time . annoy late not opportunity complain front desk . would request alarm clock next time suggest bring another one case fail provide one . 
 Nov 11 2009 	 Great Weekend- Excellent position Times Square 	 Hotel great , expect . perfect location within 2mins Times Square good tourist little time , right heart City . complaint , food shula be great . good caesar salad eat ! would stay . 
 Nov 11 2009 	 really worth money star rating ! 	 long flight Newark transfer Manhattan arrive Westin New York Times Square . starwood Platinum Member normally get upgrade standard suite , hotel . rate way high small room hotel . as well executive lounge almost nothing offer . & quot ; breakfast & quot ; nothing 2 star motel . service also worth 2 star , even New York . good thing hotel location . 
 Nov 9 2009 	 Fab Stay Westin 	 return Westin 4 night stay sister daughter , birthday treat . allocate room 34th Floor fantastic view Hudson River also pretty quiet night . bed comfortable room clean . find staff helpful enquiry . buy couple cocktail Bar 10 expensive . location excellent theatre shopping metro although tend walk everywhere . find nice place eat 9th Ave expensive . go see Jersey Boys August Wilson Theatre fab would reccomend show . would recommend Hotel anyone come New York hope visit near future . 
