cleancomfyperfect 	 second stay travel inn 42nd street . even knee damage find location theatre shop ( time square ) within comfortable walk distance . I book single get double double , near lift request . forgot hair dryer uk USA adapter provide ( hair dryer room , plug request ) handy later check 12 pm , still get run last min errand last day . easy walk subway port authority . also across street drug store food nearby . fridge microwave room nice touch warm . can not fault place price location . small cozy , well look helpful staff . will return def . reccomend NYC traveller want comfort budget location ' the thick ' ! 
 Nov 23 2009 	 Great Location Great Price will back 	 Booked hotel read many favorable review ( favorable ) travel NYC see show RadioCity rest sight NYC offer . GPS bring we directly hotel directly 9a West Side Highway , easy check free PARKING . mention able check 3 hours early . room large enough family five . two full size bed 13 12 yr old one bed wife . sure 10yr old son sleep bag floor be not 10yr old boy want . bed comfy bathroom clean . linen freshly laundre spotless . read review complain room cold . actually though qiote warm open window . NYC hear street noise unless be highrise 10 + floor .. 6th floor room face 42nd street certainly nothing keep we night . location 42nd street close everyte need . Felt safe walk neighborhood . fortunate enough great weather . staff courteous pleasant . absolutely make return trip Travel Inn . 
 Nov 8 2009 	 not expectation not need hot water will fine . 	 leave book room trip , rather office assistant never would ' ve happen . Lesson learn . room date , bathroom tight hot water hotel flucuate cold tepid . tell front desk water , nice man ask & quot ; long let run ? / & quot ; 15 minute . & quot ; / & quot ; need let run twenty ... ( smile ... serious . ) . Everytime wash face hit head shelf extremely small sink . toilet , small . room loud echoy . could easily hear people talk adjacent room . close subway hear odd time . room dingy . front desk guy really nice ... be nice mean sleep well night . anyways , hate complain . 's drag , not want learn hard way . 
 Nov 5 2009 	 good location false advertisement room 	 good thing hotel location . like advertising internet flat screen tv refrigerator . bad part heating .... TOTALLY FREEZING ... front - desk say put heating go 55 ... room humid sleep 2 additional cover second night sleep dress sock sweather . forget sexy wear baby doll impress partner .... november anyway ! ! ! reservation ask non smoking room get smoking room . good thing indoor parking . 3 light bulb burn ... ! ! ! 
 Oct 29 2009 	 excellent base visitor want easy access NY top attraction 	 hotel good value money . room large clean comfortable bed . room open onto pool area ( close visit ) friend one overlook street . room quiet little dark , one brighter slightly noisy . easy walk distance Times Square , Theatres , circle cruise , bus station , underground etc . unlike reviewer , find staff helpful generally friendly . deli next door great place breakfast , late night pharmacy corner convenient NYPD station ensure security ! ! ! ! certainly use . 
 Oct 19 2009 	 great hotel shame front desk staff ! ! ! ! 	 book hotel 3 night 21st anniversary surprise hubbie . arrive early start Wednesday morn ( 14.10.09 ) . tiere travel want get room asap . keep wait reception 5 min even though 2 reception . finally get serve take another 5 min find booking tell room type book not available ! ! ! give keycard room arrive maid still clean tell have 20 min ! ! tell reception swap room we . 2 reception worker ( man may add ! ! ) arrogant ignorant could not care less ! ! ! however , go room unpacked & amp ; pleased room ( apart kettle ! ! ! heat water brew microwave room ! ! ) clean & amp ; quiet even though room directly opposite conferance room . horribleness staff make maid clean room 6th floor , Mary . lovely , friendly person , promote front desk opinion ! ! ! location hotel fantastic , clean , tidy , warm ( freeze New York ! ! ! ) bad thing reception staff could live . Deli next door ace brekkie & amp ; reserve seat next morning ! ! ! Brill service well . would deffo stay . 10/10 ( point deduct rude reception worker ! ! ! ) 
 Oct 17 2009 	 new york fantantastic . TravelInn 42nd street . 	 stay travelinn 42nd street.5min time square . grea location.travelinn good indeed . clean room ample size.me husband son september 2009 . hotelstaff friendly helpful , clean hotel great value money . next door deli great breakfast . next time go new york certainly stay travelinn . 10 of10 
 Oct 11 2009 	 Surprising Nice Price 	 pleasantly surprised nice Travel Inn . room decent size , clean modern . room view pool , away street , quiet New York City . employee nice . can not beat location , 2 block Port Authority take shuttle airport . convenient . water pressure great . would definitely stay New York great price ! 
 oct 2 2009 	 great deal . 	 Hotels midtown Manhattan outrageously expensive . Travel Inn one good rate midtown PLUS parking include . incredibly rare Manhattan save minimum $ 30 per day . 's luxury hotel , stay find clean quiet staff quite efficient helpful . ' m perplexed people complain noise review . Manhattan . never go without good ear plugs . 's big , noisy city . not think pool would matter much we , turn quite hot late afternoon dip pool hour walk around city heavenly . think price , free parking location Travel Inn beat midtown . 
 Oct 1 2009 	 Sleepless NYC 	 stay hotel base fairly good rating hotel location . we request quiet room couple month stay arrival give room train line run underneath room ( see picture ) . much sleep night . next morning move another room . wall paper thin get 360 degree noise night morning - noise cooler room , cool outside room , next door guest , upstairs guest , guest in / out lift , clean trolley , sleep 2nd 3rd night . yes hotel may cheap other fairly good location time square transport . however nearly ruin first time visit NYC get sleep be tired next day anything ! ! also front reception staff arrogant , unhelpful go way nasty . understand hotel old , much , good customer service go long way make guest stay comfortable . Travel Inn management review staff , attitude treat guest stay hotel . afford , stay somewhere else , otherwise hotel people not need sleep not mind treat badly . 
 oct 1 2009 	 great location nice room good service free interior parking . 	 People pay nice basic hotel go visit . price great . parking free garage hotel close security guard 24hrs . check blazzingly fast . room nice clean . microwave fridge . the bed comfortable , pillow horrible . bring , hahaha ! bathroom clean . service great . hair dryer die we , mentionne maid welcoming fix come back breakfast . the location hotel great . corner 42nd 10th time Square 42nd 7th . hard beat . also front NYPD Manathan South Task Force make safe . you order food room 1 's full menu . Most hotel make pay around 60 $ night parking . hotel one rare one offer free low price lot other room . 
 Sep 30 2009 	 try find sleep . 	 stay couple less 2 room change , have give . one side floor , open window subway run hotel . room level 3 overlooking inside pool , ready sleepless night . swimming pool pump 24hour noise nuisance resonate floor . impossible ignore 24hr constant sound vibration wall . in - room air conditioning bad . choose noise prefer well . plan sleep morning either clean people start roll heavy laundry trolley corridor , rattle wall , open closing room door , chat well 8 am . counter staff friendly , professional tell really overcharge credit card US $ 150 hold amount least 2 week release hold . definitely check bill card upon check - in . recommend pay elsewhere plan sleep night definitely look elsewhere . 
 Sep 29 2009 	 Nice Hotel 	 Room nice . request two bed room first send we one , honor request give we different room . far subway state - 3 avenue NYC avenue much long standard block . 
 Sep 29 2009 	 bad hotel good location 	 title suggest , good thing hotel location . stay 2 double bed room overlook swimming pool sound lovely first read see really like ... - hotel like maze . good alot luggage drag around . - ( un ) lucky get room overlook pool , aware a / c unit attach outside hotel . noisy , way block blast tv volume .. not really help want sleep ! - room cold bathroom dirty . find toe nail clipping , dust hair scatter around . totally gross . - Staff unfriendly.- hotel close Times Square overprice dirty . not stay ! ! 
 Sep 18 2009 	 good hotel price 	 difficult make choise hotel hotel New York expencive get . year ago stay hotel Pennsylvania really bad . want find well hotel time . find . Travel Inn nice hotel , big , clean , good location good price . room nice although bathroom little small . stay next visit New York . 
 Sep 17 2009 	 basic clean 	 room basic clean . front desk staff friendliest especially night . noisy air - con unit room . location hotel good within walk distance Time 's Square . early check - in . 1 internet access point lobby fee . walk car - park get lobby elevator . 
 Sep 14 2009 	 great hotel - clean great location - be go back ! 	 wife stay Travel Inn long weekend stay . impressed staff - friendly , outgoing cordial . room spotless although decor rather old still look fresh inviting . notice hotel fresh clean smell , unlike musty , old odor find old hotel . room flat screen tv , also microwave refrigerator extremely convenient . even strike conversation maid , state change linen every day unless request otherwise . many hotel use sheet leave unless ask change . . also find location safe convenient , across street police station . Times Square / subway access five minute walk away . lastly , else get free parking NYC ? literally drive , stay three day drive . could not ask well deal . five star luxury hotel ? . great place stay NYC reasonable price total convenience ? yes . HIGHLY recommend Travel Inn . 
 Sep 7 2009 	 Noisy night Travel Inn NYC 	 Hubby overnighte Travel Inn , New York City , get cruise ship . able leave luggage concierge service actually get room check , not able check - in early . front desk service basic , though staff particularly friendly morning night shift -- certainly adequate . room basic clean . main complaint -- room near indoor enclose pool area , acoustic amplify noises uncarpeted hall outside room , not restful night . the location hotel great price -- within walk distance Time 's Square waterfront . internet service available lobby fee , car service offer airport flat rate . would recommend place short stay , sure ask room far pool area . 
 Aug 31 2009 	 good location value 	 go conference Javits conference center hotel great purpose . three block away conference center . also vey closed marina ( circle line world yatch cruise ) time square . hotel clean , staff vey helpful . also free parking deli next door . police station , front , feel safe . 
 Aug 29 2009 	 clean quiet 	 Spotless hotel friendly staff . diner right next door two block times square subway . affordable great location . 
 Aug 28 2009 	 Nice Hotel Great 	 come back 2 night stay . request high floor online booking still get stick 4th floor , back - tower . ask another room main building avoid pass parking lot tell & quot ; check tomorrow & quot ; . spend 2 minute lobby already hear statement 5 time receptionist tell guest also make request . check - in , employee ready go home manager ( supervisor ) talk laugh loud find unprofessional . review right ; could good hotel staff front desk training . size room adequate , find bathroom small . light limit still dark even switch . recommend limited budget personally return hotel . 
 Aug 26 2009 	 would stay gain issue 's 	 wife stay 3 night . location great . rate awesome . hotel clean staff friendly . free parking garage . happy stay . place go back , easy access everything . want & quot ; luxury & quot ; hotel , . would like nice , clean , safe place stay affordable price , ! ! 
 Aug 24 2009 	 Great Value ! 	 Stayed end July long weekend . $ 125 per night pool free parking in / out privledge . good location , clean room , comfortable , perfect family . 
 Aug 23 2009 	 great noisy 	 choose hotel review trip advisor pretty disappointed . the location good Manhattan , 5 minute away time square subway . room clean outdate . the main problem us noise . noisy even though face street ( pool side ) big A / C unit outside hotel make huge noise time ( sleep hear plug ) .Staff friendly ( sure & quot ; new york & quot ; thing simply link hotel ) price ok friend mine get well deal nice hotel time period , good class . 
 Aug 21 2009 	 great family hotel New York visit ! 	 Travel Inn fancy hotel great value money . location great , walk distance time square Hudson river . staff friendly , sometimes even asleep . pay internet . , room big enough , bathroom big everything need . fridge microwave provide possiblitie keep food room heating . swimming pool fitness room basic luxury nyc.definiately recommend , good price . 
 Aug 20 2009 	 good hotel 	 room clean decent size . coffee maker kettle , nice deli downstairs . one man desk rude , rest staff pleasant . the pool nice , hour erratic . never know go open . not seem set hour it . the location excellent , within walking distance evrywhere want go . 
 Aug 19 2009 	 good combination location value 	 choose TI location free parking . tiny room near pool - plus visit , last time visit winter . easy walk subway , restaurant , theatre , midtown , well easy access route home . always travel earplug - help room next elevator busy corridor . otherwise , TI provide we essential - clean room , clean towel , hot water , responsive front desk staff . 
 Aug 16 2009 	 great value location - would stay 	 great 42nd St . Location . friendly , accommodate staff . great fridge microwave room . third floor outdoor pool great - issue hour 10 am 7 pm . people sightsee day , hour accommodate . one day 7 pm deck / pool area pack , however , close promptly 7 pm . would nice able return day sightseeing relax pool - even open 10 pm . mention review , feel safe area . another bonus hotel locate couple block Lincoln Tunnel , allow easy access arrive leave Manhattan . it also short walk ( less 5 min . ) , Circle Line Cruises . we issue shower pressure air conditioning unit - make phone call time problem quickly deal - quite impressed . as first trip New York , not sure expect , would good location . would definitely return location . 
 Aug 16 2009 	 fancy perfect family stay day 	 Good- cheap -- $ 160 night include parking attach garage- conveniently locate block Times Square- deli , liquor store , CVS store near by- Clean- Pool ( outside convenient hour ( 11 - 7 ) - fridge microwave room- Deli next store deliveredthe good ( really nothing bad ) - Beds comfortable- room small , two adult 2 child top other- WiFi -- charge $ 6 day sketchy ( although never get charge ) look decent inexpensive place stay family good choice . kid small think twice bit walk get thing 5 okay . I would recommend short stay . four day get claustrophobic . 
 Aug 10 2009 	 avoid room 622 	 ' ve stay , come back central location , friendly service , swimming pool , free parking . room clean , quite large Manhattan . wifi sketchy , never really get solid connection . luckily , could online business via iphone . problem noisy cool tower sit directly atop room 622 . sound like semi truck run outside window night . immediately notice noise , inquire source , another room available , basically blow . keep tell come back next day . never get new room end sleep earplug 3 night . attach photo offend machine . I certainly stay , long get different room . 
 Aug 10 2009 	 Great Value Location not expect fancy 	 stay second week August weekend pretty good hotel . average hotel , city setting , would much less expensive . room small , bed average , shower water pressure awesome . nothing fancy . nothing trendy , room sleep night that s really want ... , NYC ... perfect . GREAT location value ... afew block theater resteraunt Times Square . Dunken Dounts Starbucks next block , Chase CVS right across street ... bar pizza place surround block . also dog we kennel 3 block away helpful . there pool outside cold , nice sit afternoon . guess parking free ? garage nuthouse . 
 Aug 8 2009 	 good hotel -- -- excellent value 	 recently stay 8/4 - 8/7 positive experience . book online $ 160 / night excellent value free parking . room 5th floor two double . pleased find fridge microwave room . third floor pool large nice bonus summer . deli next door excellent bring quick breakfast back room . also liquor store , supermarket CVS block . police station across street Port Authority bus terminal . waterfront include Intrepid two block away . the front desk staff friendly give we specific direction get place subway . easy walk Times Square metro two block away . buy New York Pass save much money . travel 12 & amp ; 10 year old boy never NYC . concentrated trip & quot ; touristy & quot ; thing like Empire State Bldg , Times Square , Rockefeller Center , Madame Toussauds , Natl History Museum , Met Museum Art , Bronx Zoo , boat ride around Manhattan view Statue Liberty etc . buy NY Pass online save couple hundred dollar admission price & quot ; touristy & quot ; place . pack alot sightseeing 3 day would highly recommend NY Pass ! 
 Aug 3 2009 	 great room price location ! 	 great hotel great value , stay every time go NYC . free indoor parking , clean spacious room , great location couple block Times Square , nice size pool third floor friendly staff . 
 Jul 31 2009 	 frill 	 old hotel frill . room small smell probably due poor ventilation . plumbing problem first day flood entire toilet overflow bedroom . demand move another room tell service . price decent manhattan standard free parking . good location , block times square , subway bus terminal . 
