Great 	 recently stay daughter . really nice hotel downtown location . Close Soho , China Town Greenwich Village . subway 5 min walk Uptown Manhattan . staff friendly helpful . would recommend hotel . within 20 min walk financial district , World Trade Centre Staten Island Ferry . great Value money , good restaurant . room clean although big , everything could want . want drink central tea / coffee make service floor . 
 Nov 24 2009 	 great getaway cool hotel friendly fantastic location 	 cool funky hotel , attitude . everyone extremely friendly helpful - not feel like usual hotel experience . fantastic location right near Soho - great walk around , shopping , gallery , etc . room high floor tuck away corner , great room right atrium open way lobby bar , loud ( Saturday night band start 1130 ) . would definitely stay . 
 Nov 12 2009 	 good location ; ok hotel 	 try check early advise nothing available . front desk attendant offer call room ready porter would store luggage . call never come upon return hotel , apology less sincere . finally get room key , tell would wait bag porter return ( eventhough two people behind desk one else wait check service ) . Doormen great ; front desk personnel uncaring , good . room typical cramp NY hotel room ; nothing special . could not find pen , use # 2 pencil leave pencil sharpener room . really impressed ! 
 Nov 11 2009 	 Excellent hotel perfect location downtown activity 	 stay many many time really praise enough . recently invite stay newly open place meatpacking , reinforce feeling place . ok ` certainly fancy modern many other New York , staff always remember say hi . spacious room comfortable , 6 ft wide bed city , bar none , minimise jet Lag ! eat restaurant , often order room service , especially early hour , always excellent . although everyone taste , usually pretty kick party bar weekend , take full advantage one Halloween . difficult get access late drink happen place weekend , ` guest ... concierge staff always helpful arrange restaurant , club etc seem pretty well connected , even get we table per Se ! ! ! Columbine round corner soup sandwich go .. must ! 
 Oct 27 2009 	 Outstanding service ; beautiful hotel ; great experience . 	 tribeca Grand favorite destination escape night two low Manhattan . recent trip October 2009 prove Tribeca Grand develop perfect recipe luxury NYC hotel experience - stem quality people . tribeca Grand staff ( valet / bell / door staff desk manager , concierge , bartender dining staff pleasant , courteous , helpful , professional ( actually make eye contact , introduce , smile , ask help anything ! ) . hotel bar continue provide trendy , energetic environment , Sunday brunch amazing . enjoy high - end luxury hotel experience , Tribeca Grand . 
 Oct 16 2009 	 Great Hotel - little loud Saturday night 	 arrive long flight Melbourne , Australia . it early evening check friendly smooth . the room available although small international standard , good size New York ! toiletarie room excellent . a large shower different massage setting shower head need arrivel . we light dinner hotel . the food well price good quality . after dinner move bar lounge area cocktail . the drink perfect staff attentive helpful throughout . we retire room 11 pm settle sleep . the downside hotel ( depends look ) noise resonate lounge back room bar early hour morning . if look good night sleep Saturday night , place ! look join crowd settle night go upstairs room , great place Saturday night nyc.all , highly recommend hotel great location Manhattan . 
 Oct 12 2009 	 bad experience ever 	 despise hotel , say one horrible experience not happen , would probably give bad review . hotel large convention center , Las Vegas soul kind feel it . the bad experience - celebrate friend 's birthday bar 8 people . order bottle champagne around $ 80 . little later ask 2 bottle . barman say particular champagne suggest similar one . not tell we bottle $ 350 . husband end paying not want cause scene friend , bartender say show we bottle pour fault . add salt wound , cheeky bartender went tell bartender great laugh . final insult , gratuity add bill . 
 Oct 11 2009 	 Friendly Service Trendy Environment 	 hotel convenient business pleasure location . staff friendly helpful , never witness rude uninterested employee . hotel clean comfortable . decor cross futuristic factory environment ... urban feel . definitely recommend hotel family friend look forward stay . 
 Oct 10 2009 	 Aub 's 30th 	 go New York 30th birthday want stay somewhere nice . get room tribeca $ 230 night . later find good deal could ever get . staff super nice someone open door enter exit place . hear could also get gold fish room ( charge ) ask one . get hotel 6 check time usually 3 pm . let we check even wish happy birthday . tribeca block away ground zero walk around hit Wall Street , Battery Park , Little Italy China town . one night go little tavern across street ( Tribeca Tavern ) local quite impressed stay tribeca . really good beer tab even decent price . look nice place hang play pool place . anybody look stay nice place visit New York stay Tribeca Grand . shower big water pressure perfect . room big even nice view street people watch . I forget mention one night want lemon water bring time slice ! ! also , be block away fire station Ghostbusters . have fun enjoy City ! ! 
 Oct 8 2009 	 Classy excellent service 	 stay business week . impeccably classy elegant hotel , trendy face . subdued light excellent furnishing lobby make pleasant place come back long day meeting . would recommend anyone look bit old - school style New York . 
 Oct 5 2009 	 helpful employee employee seem like actually like job 	 stay business trip , exhausted arrive fly overnight . even though arrive hotel 11 am , room available . doorman amazing , help find anything need ( bar coffee ) . employee actually seem like like job , unlike everyone else run NYC . location perfect subway stop block away . definitely come back . happy find hotel NYC . 
 Sep 7 2009 	 great hotel popular section CIty . . . 	 tribeca Grand locate convenient area walk distance Soho , Chinatown Little Italy . past recent visit , hotel staff exceptional check - in stay . room clean , nicely decorate top rate bathroom amenity . nice lounge , enjoy great breakfast room -- real plus complimentary coffee , tea hot chocolate area floor . definitely back .. . love place great staff . . . 
 Sep 5 2009 	 bad probably try another hotel next time . 	 good location . stayed 1 bedroom suite ( actually turn like alcove studio ) . room small look photo . actually rearrange sit area furniture make space usable . & quot ; Bedroom & quot ; small enough closet door actually hit side bed open . computer mac not update year , basically useless . could not even view Google Maps . turn TV , not hit channel something immediately , will not come . power button not enough . right bathroom , keep get strong whiff cigarette smoke . , though nice , lot bug . probably worth almost $ 1200 spend 2 night weekend stay . money , will try Standard Meat Packing next time . 
 Sep 4 2009 	 Grand vs not - so - Grand 	 Grand : quiet part town , sound machine ceiling , trendy cool , breakfast , bathroom product , plenty towel , prompt housekeeping , cool bar especially after - hour , mini snack bar , 24 hour room service , coffee bar floor , locationnot - so - grand : AC not work well - room could not get cool 71oF , linen could well , small room , loud hallway , dank smell roomI try another tribeca hotel get well idea Tribeca Grand rate other ! 
 Sep 4 2009 	 make memorable visit even memorable 	 great boutique hotel . chic , cool , comfy fun . enjoy room , drink well lounge , staff friendly without overbear . would definitely stay . good location . great place stay , close cool neighborhood , perfect get away mid - town madness end day . 
 Aug 28 2009 	 love concierge 	 good hotel . want live tribeca , great hotel . room small , view speak find & quot ; Church Lounge & quot ; bit dark , be still nice semi - fashionable place revert else fail . sort indie rock festival staying make feel like eld indie rock statesman , nice . say , spectacular feature place absolutely gorgeous female concierge make weak - kneed speak top superbly competent . feel like back high school , want pass note everytime walk , high school remain silent admired & quot ; professionalism & quot ; . goddess . male concierge good not swing way , doormen friendly . good hotel . 
 Aug 20 2009 	 Excellent design hotel nice atmosphere great location 	 much enjoy stay Tribeca Grand . friendly staff , great location , good atmosphere excellent restaurant shop nearby . good value money also . highly recommend . 
 Aug 8 2009 	 wonderful Respite ! 	 husband travel friend NYC 25th wedding anniversary celebration . love much Manhattan , show , restaurant , etc . , really look get busy muck city . tribeca Tribeca Grand exactly look . grant , stay several day week , rather weekend , find privacy solitude look , easy access concert , broadway play , shopping , exceptional food . love sleek , european styling place , . NYC hotel room , amply appoint . the staff friendly without overbear . Manny set we great package allow we sample hotel 's offering , like incredible goat cheese arugala pizza late night munch . try ginger pineapple mojito ... perfect blend unusual flavor . the concierge incredibly friendly helpful . track bocce court we West Village afternoon game park , well suggest incredible local restaurant . mention love peppermint bar soap room , staff connect website could order direct . much thank everyone tribeca Grand . back.~ Karen . 
 Aug 6 2009 	 helpful pleasant staff good food drink excellent value NYC 	 stay different NYC hotel depend activity . trip Tribeca SOHO seem good location choose TribecaGrand mainly location . satisfied . staff could accomodate , food eat par bar great . 
 Jul 23 2009 	 Crooks 	 ring steal room . alert security tell would take care unnecessary call police . listen give plenty time cover track . ask copy entry room tell would get back . ask cameras hall say none . say liable . stay ! 
 Jul 23 2009 	 dirty date small ....... 	 hotel price compare 5 * hotel Manhattan . room small , dark , dirty date . reality hotel different web site nothing compare local W 's say hotel 's like Omni Berkshire , New York Palace etc . would recommend book hotel , even like night life offer , stay somewhere else . 
 Jul 21 2009 	 amazing impeccable LOVE ! 	 first time ' m write review , ' ve ( wife , , 2 puppy ) stay Tribeca Grand 5 time can not emphasize enough ; would not stay anywhere else city . room always immaculate , service always excellent , staff always remember we , ' ve never see anyone unhappy complaining . food delicious , good 's guilt order room service . consider level food offer tribeca , stay regrettable . Sunday brunch lavish incredible ; went not even stay . well , be quite possibly pet friendly hotel country . staff recognize offer room service be also allow church lounge . else sip martini 's eat lavish brunch precious little puppy baby ? ? location excellent ; far enough tribeca be near everything want / need , thing ; ) , also cool 5 minute walk Soho Chinatown proper . nearby restaurant tribeca 's fine ( many list ) course church lounge always great place , especially tribeca film festival even hotel screen movie theater basement . still convinced ? ? hectic NYC day , stay practically every place tribeca deliver , oh yea , mention ' ve never deny late checkout . 
 Jul 12 2009 	 friendly problem shower resolve 	 hotel staff friendly , issue shower never resolve . water pour shower onto bathroom floor soak floor even reach bedroom . contact front desk say would send engineer fix problem . say three day row problem never resolve . make stay uncomfortable . attempt address issue give we free pass Sunday brunch . apologize check satisfactory . Friday Saturday night party Church bar downstairs . music loud could hear room evening . 5th floor . we stay hotel . 
 Jul 11 2009 	 good experience 	 hotel stylish comfortable , staff friendly helpful . hotel well locate , close c e subway line , walk distance numerous downtown NYC location . access 3 newspaper weekday . suggest join hotel 's frequent guest plan reserve entitle $ 25 per day credit hotel service food , drink , etc . 
 Jul 10 2009 	 Chic lacking utility 	 look hotel great -- include hotel bar Church . 's convenient location tribeca subway around corner . also free coffee , mocha , hot chocolate machine floor . con : wireless $ 10 per day . room cramp lack outlet , shelve generally space put toiletry etc . Shower leak floor ( enough spill bedroom ) shower make look use . response complaint cool helpful moment . ( ' m stay write . ) update service response . way , ' m 20 business . 
 Jul 1 2009 	 Amazing experience 	 wonderful hotel & amp ; great service upon arrival . room sheek extremely clean & amp ; quiet . rent iPod & amp ; iPod player , great feature . cab call , lounge downstairs always happen overall atmosphere upbeat sexy . valet quick retrieve car pull right front , dent , ding scratch , handle luxury vehicle , sure other , care . would absolutely stay , romantic night NYC ... far Nobu , great dinner spot . 
 Jun 29 2009 	 love return 	 tribeca Grand wonderful boutique - like hotel . room comfortable , big enough hold luggage . decor trendy , comfortable . interior open concept , fun courtyard enjoy coffee newspaper . location wonderful , especially people interested shop SoHo good restaurant . caveat , loud night ofthe clubb - y atmosphere noise . sound reduction system room help counter , unfortunately work . put white noise computer fix . think would check upon arrive next time . however , noise not hurt opinion , love place . definitely return . 
 Jun 18 2009 	 great hotel great location 	 Husband stay Tribeca Grand mid June love . hotel nice treat great check -in check - out . utilise Patrick , concierge , lot suggestion great . location perfect we explore Soho , Tribeca Little Italy . explore mostly area even walk Little Italy dinner 10 minute walk . would recommend hotel anyone want great hotel great location . definitely stay . 
 Jun 11 2009 	 Fabulous 	 Love New York , love Tribeca , love hotel . polar opposite experience , compare stay Old Mill Inn Toronto . massive power outage knock low Manhattan , staff step plate deliver fantastic service smile . concierge even send someone taxi pick cheeseburger shake we ! room great , clean round perfect place stay . 
