bad 	 friend check W Hotel Court high hope will similar W Hotels . let beginning till checkout . first , hotel elevator constantly break , even ridiculous thing hotel blame US stall elevator . not even ask okay , instead try cast blame we break elevator . even ridiculous thing not even shut . two elevator , avoid break one , since interest plummet death . not know name staff work Court , recognize none friendly situation we . secondly , room key never work , get new room key everyday , say magnetic strip & quot ; de - magnetize & quot ; easily . not even bother try day 1 , go front desk every time come back hotel . thirdly , hotel housekeeping non - responsive request cleaning room , live cheap either . three day , bathroom pile towel floor dirty . time get good service order room service . overall , good trip . 
 good hotel right price ... 	 reasonably impressed W Court . the room clean nicely decorate although starting look little bit tired around edge . get corner room probably help impression hotel . like lot hotel & quot ; somewhere 4 5 star & quot ; category one much pay . get cheap rate , pay $ 200 night feel good value money . be pay lot might start feel like 's rip off . the staff friendly efficient . example , one guy bag taxi ready go whilst check walk straight cab leave finish . 
 sadly go downhill . strongly recommend stay elsewhere . 	 background : stay twice W - Court 2007 2008 , respectively . strength experience previous stay , book two night stay Thanksgiving holiday year . sorry stay W - Court particular trip could disappoint subpar service , amenity room . first , hotel 's elevator fix throughout duration stay . two elevator adjacent fit 5 - 6 people max . imagine , one , nearly impossible get hotel without 10 - 15 minute wait elevator . 11th floor , not really option we hike . instead , wait wait . situation get frustrating desperate guest would pile elevator ( imagine 10 people elevator design 6 ) , would cause elevator get & quot ; stuck & quot ; floor . , imagine wait 10 minute elevator go room , getting say room find key hotel room long work hotel inadvertantly & quot ; locked & quot ; room . exactly happen we . twice . second , internal phone W - Court work . call front desk , say , ask wake call room service , ring busy ring ring . finally try call external line get . tell front desk attendant internal line not work , acknowedge problem say & quot ; switch phone company cause inconvenience . & quot ; Note stay hotel November 26 - 27 another reviewer site note problem November 16th ! 's 10 day non - functional phone ! okay , get front desk use external phone order room service Saturday morning . hour half later , still food . go downstairs ask whereabouts room service tell food & quot ; accidentally deliver W - Tuscany ( note W- court w- Tuscany immediately next door eachother ) & quot ; . although front desk offer send another room service order , decline , give whole room service business . lastly , bathtub drain need serious repair . water pressure shower quite good , even get shower , tub back water . time do showering , stand 3 - 3.5 inch stagnant water . ask front desk fix discover problem Thursday night , one ever come . stay room 1104 management incline reading review fix problem . upon checkout , speak Aline Urkumyan ( manager time ) problem characterized & quot ; small issue . & quot ; suppose right , outlined & quot ; small . & quot ; however , look event aggregate , make aggravate unpleasant stay . would never , ever stay suggest read thinking stay , please avoid unless make vast improvement . otherwise , great disappointment . 
 Nov 16 2009 	 Expectations meet . would consider 4 - star Manhattan hotel . 	 husband recently stay W New York - Court . hotel staff pleasant . however , upon enter room disappoint find dirty minibar desperate need wipedown , cushion look like not wash , barely towel rack bathroom hang washcloth shelf place toiletry bag . also disappointment kick back long day , find room service menu anywhere room . attempt contact front desk , find unable get hold anyone phone keep ring busy . thankfully , room service restaurant staff patient enough take time provide dinner drink option phone . as moderately frequent traveller , husband stay numerous hotel across world generally find Starwood chain sure thing . service W New York - Court satisfactory , hotel good location , expectation elegant , superior experience certainly meet . less stellar experience , doubt stay . definitely worth rate pay . 
 Nov 16 2009 	 WOW - Great Service 	 return 4 night stay 11 girlfriend .... ! ! ! concierge front desk staff W Court could helpful stay . girlfriend weekend remember would definitely stay W . fabulous location 5th Ave shopping ...... ! 
 Nov 15 2009 	 REAL LETDOWN 	 W Court certainally expect . lobby invite , although small , fresh orchid arrange contemporary design . also welcome pitcher water lemon , orange slice , cranberrie fresh mint . downhill . carpeting tear , wear need cleaning . room fair good , quality would expect find Holiday Inn perhaps , 4 star hotel , bathroom pretty awful . nowhere put toilitrie pedistil lsink . put window ledge . toilitrie terrible , like dollar store . mold around tub tile caucke recauke . wall paper thin , hear guest next door every word . will stay . 
 Nov 9 2009 	 not Wow 	 Booked Priceline , price right , ' m aware good room put Priceline . however , bill 4 - star luxury hotel , expect little more . the neighborhood great , hotel really close lot destination mid - town . the techno music lobby elevator little loud midnight , guess ' m cranky old man ( 41 ) .The lobby nice , small . front desk staff welcome , accommodate ask move non - smoking floor . room nice size . furniture little bit worn , brown . wall paint pretty stark white . could hear guest room walk around , people room next door . room one bathrobe , little small itchy . tv not work , call , fix ( ) return night . next day , also charge movie not watch , graciously wipe bill without problem . the hotel great location , staff good , would stay , & quot ; wow & quot ; factor . 
 Oct 24 2009 	 avoid hotel . Real W Hotel brand trouble . 	 maybe W 's nice , maybe one well run one point , mess ... example two night stay : 1 . air conditioner room not work . maintenance guy say fix . wasn't.2 . ask staff HVAC fix day . forgot . 3 . one answer front desk phone . 4 . get room near elevator hear door , music elevator , conversation . every word . every time . 5 . someone close door entire hallway shake resounding boom . 6 . even small stuff screw : water jar next elevator guest , sit empty entire time hotel ; carpet hallway wrinkle serious tripping hazard , etc . 
 Oct 18 2009 	 5 matini 3 pack cigarette many -- rough rough rough 	 W hotel tend rough around edge - many thing well , miss detail . property different except see hard use . 's time replace carpeting furniture . also , multiple problem reservation - prepay one day need extend second system could gracefully handle - end two reservation , two bill , check locked room first night , etc . 
 Oct 15 2009 	 wow suite 	 book hotel want suite terrace . check agent give we upgrade wow suite , fabulous , terrace , ( little disappointed ) . wonderful though din room table large , big son apartment . enjoy stay view window wonderful . staff nice helpful . Juan great . bar fun stop nightcap . would recomend short walk Grand Central Station . beautiful great place pick quick sandwich treat . moonstruck nice place nearby go breakfast . think serve day . wine store across street Lexington bagel store good across street . 
 Oct 6 2009 	 Great Service -- Room Bit average 	 first trip W ( Court ) . stand property definitely service . certainly VIP attitude graciousness staff absolutely noteable . expect typical NYC rudeness FABULOUS , particularly concierge . great -- recommend restaurant really help make decision truly undecided . front desk , bellman , really everyone top notch service . quite breath fresh air . now downside -- - although room pretty quiet NYC , need repair . paint job old , stained place , peel , mark . radiator wall show age wear . furniture really beat . bathroom cruddy tile grout look worn . expect W property ( think take slick marketing ! ) like Bliss travel sized product . layout room strange well -- tiny bathroom outlet hair dryer appliance . makeup mirror outlet perch bar area main room lead believe & quot ; fix & quot ; outlet bathroom . user - friendly . flat screen tv perch desk make easy tv viewing . room odd smell . elevator super slow . , service really go long way make $ 500 single night -- find appeal room Hilton near Rockefeller Center fraction cost ! update room would greatly improve experience . 
 Oct 5 2009 	 friendly staff 	 spend little week New York W Court . hotel great location . staff friendy could enough we . great bar downstairs . couple great night Drew bartender . downside would room could make . staff hotel make stay enjoyable . 
 Sep 29 2009 	 good experience possible ! 	 hotel accommodatign staff customer service . travel business customer hotel staff go way insure everything perfect customer ! stay hotel travel New York ! 
