good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 Nov 25 2009 	 Perfect visit New York 	 arrive home four night stay New York friend . say fantastic time would understatement . read reviews site , little nervous expect hotel prove quite opposite . moment arrival everything go accord plan . staff friendly ( perhaps one exception- night concierge second night , conversation phone ignore 10 minute gave go bed ! ! ! however everyone else desk helpful duration stay compensate rudeness . concierge even organise trip Woodbury Common ! ! ! suggest use private transfer another small group cost $ 3 bus Port Authority . prove Best Idea trip . driver bring we door Woodbury 10 am collect we pre arrange time ( 6 pm ) deliver we shop directly door hotel ! ! ! good idea ever ! ! ! ! double double room big large expect clean . bathroom small , adequate . central , 4 block Central Park ( take Carriage Ride night deliver back door ! ! ) 8/10 Times Square . room great view Times Sq far enough away escape noise neon light . can not speak bar restaurant get opportunity try ! ! also attach hotel find Park Cafe . food good . ( even midnight carriage ride ! ! ! ) complaint Wellington , maybe lucky . ( might happy room back hotel ) location value , not think could beat hotel . without doubt will back . 
 Nov 25 2009 	 bad room experience adult life 	 room big 100 sqft . AC make way much noise . flushometer bathroom break , repaired night though . ice bucket room . towel rack shower , since bathroom 4x5 , thus towel wet take shower . dry call bedroom . room clean outdated . wall thin , could hear go next room . claim book could not move suitable room . would never recommend hotel anyone . even cab driver know hotel horrible . 
 Nov 24 2009 	 great value - excellent location 	 fantastic stay Wellington . yes , true , could update fantastic value money hotel prime location . ' ve stay expensive hotel NY , , far , worth go . staff really friendly attentative , clean lively - would definitely return . 
 Nov 24 2009 	 Value money ... x 	 recentley visit New York stay Wellington 6 day November . Wellington good location could ask staff helpful . room ok , little bit dirty well keep large tv room boost rating . top drawer city guide ( would reccomend reading ) helpful . also large closet chest drawer . room great view edge times square noise bad . hotel comfortable lobby ( usually fill tour group ) , barber , shop ( book ticket , souvenier food- good shop entrance diner front ) . stay get breakfast include ( would reccomend ) give we choice full AMERICAN breakfast ( v. nice ) , french toast ( ok , tasty ) PANCAKES ( plentiful bit sickly ) . like drink menu apple juice drink basic could get refill . location Wellington brilliant . near Carnegie Hall , Central Park Times Square . accessible find place . I would reccomend hotel due value money . much enjoy stay Wellington look luxury , go . location value money would deffinetley stay . PS . towel provide bring soap toiletry one provide rubbish ( maybe bring toilet paper well ) . 
 Nov 23 2009 	 great location 	 return 3 night stay Wellington Hotel New York . hotel centrally situate perfect location sightseeing . close Carnegie Hall minute walk Times Square . hotel decor little date room could definitely refurb , however , room 2 queen size bed lovely roomy everything need . bathroom date give be probably day sightseeing etc perfectly acceptable . staff attentive polite , hotel bar expensive plenty place go far hotel . Red Sightseeing Bus stop almost outside door worthwhile way see city . cost $ 55 48 hour ticket take around city day night hop hop flexibility . feel worth money save alot leg work ! ! New York fantastic city hotel offer everything need without huge amount luxury ! ! ! ! 
 Nov 23 2009 	 Value money 	 central location , mid Manhattan , two block Central Park . subway entrance outside . date small room , clean enough . not forget earplug , traffic NY neverending ... 
 Nov 22 2009 	 great location ` ` avoid front door man transport ! ! ! ! ! 	 happy stay ! ! ! ! ! apart one important thing ... DOOR MEN ! ! ! ! ! ! come hotel offer we transport shopping location ... great thought ! ! ! ! time white stretch limo good price ... get thing go bad worse ... apart fact dirty clearly look ... within 5mins get Petrol fume nearly kill we ! ! journey horrendous ! ! ! driver rude , unhelpful demand money regardless we sick distressed .... Limo company call & quot ; ALS LIMOS & quot ; base outside front hotel work door man hotel rip ... USE COMPANY ! ! ! ! ! ! 
 Nov 19 2009 	 nice HOTEL 	 Great Location ! ! ! ! close Times Square ! ! ! end hotel last minute hotel suppose say overbooke . book we smoking room instead nonsmokee get give we upgrade suite mixup ! ! room nice , large 1 bedroom appartment would ! hotel outdate add charm . lobby always full people NYC life : ) would stay could get great deal like since little price pay parking nightmare ! 
 Nov 19 2009 	 well highly convenient 	 building old , could use clean even renewal ; restaurant rather diner breakfast include room scramble egg sausage waffle syrup . room big comfortable may view whatsoever . , recommend ? hell yeah ! affordable price 's great location ! two block south Central Park , eight north Times Square , three Broadway 's Theater area five six away moma ! not enough subway station outside hotel allow move part big apple . pretentious place stay , Wellington great option . do mention one block away Carnegie Hall ? actually see hotel 's sign cover Buenavista Social Club 's CD & quot ; BSC Carnegie Hall & quot ; 
 Nov 13 2009 	 disappointing service 	 hotel locate nice location central . one big thing would like see improve recommend anyone service , two staff interact cold , short , condescend response even though issue talk end pay extra money misinformation receive . pay extra money annoying thing . two staff treat handle situation . not feel like treat respect . opinion , simple respect staff miss hotel . 
