Great 	 Baldwin great location near Union Square Chinatown . room average size many area small compare many new hotel . stay Thanksgiving Friday . noisy Thursday night quiet Friday night . stay 2 day shopping special include free parking taxis also include . use mainly sleep change clothe . room clean staff helpful ! ! ! would stay . 
 great value 	 stay good sized Queen room recently renovate , good light flat screen tv . accommodation basic , clean comfortable . staff friendly helpful . amazing low rate post website , include parking . location central , safe convenient , close shopping , downtown , Chinatown , restaurant public transportation . this place stay want pamper cater , great value price . 
 Nov 25 2009 	 location location location 	 stay 5 night . overall impressed enough reccomend hotel term location value money . simple , frill property locate old style building . check staff efficent , room quite small , meet need . the real selling point location . Turn leave hotel entrance step away Chinatown gate walk lead area , Columbus ( italian Quarter ) eventually Fisherman 's Wharf . ( approx 30min walk ) turn right instead 5 min walk Cable Car turnaround , 10 min walk Market street , Union Square BART station ( cheap easy way get airport ) hotel budget aware among we . price accomodation issue choose somewhere else similar location . however , like treat room little crash pad somewhere freshen siteseee dinner hotel suit need well . San Francisco walkable city public transport link pretty decent . respect , would highly reccomend staying area oppose Wharf , touristy . truely beautiful city . highlight include : cable car lombard st ... hop ... walk Coit Tower ... beautiful viewsbike bridge continue Sausalito ... explore lovely bayside community art gallarie cafe culture bike catch ferry back Wharf .... beat cycle back ! .. P.S . bike bridge tough ride let on . go napa day ... take nighttime Alcatraz tour instead daytime ... far superior atmospheric dusk dark settle ' the rock'you love SF ok frill accomodation love Baldwin 
 Nov 24 2009 	 Excellent Value Great Location '' 	 great find ! locate Grant Avenue , see gate Chinatown hotel window . upscale location , excellent price . holiday special $ 68 per night one queen bed , free parking include price . can not beat ! room neat clean . problem shower ... could not figure turn shower head . , pleased location , service , room . would stay recommend friend . 
 Nov 22 2009 	 clean / inexpensive 	 definitely luxury accommodation , great value . staff friendly , room clean good location . downside noisy slow elevator . 
 Nov 17 2009 	 nice little hotel price . 	 enjoy stay , location accomodation . would recommend get well fitting sheet bed . stay . 
 Nov 17 2009 	 quaint rustic hotel great location amenity . love 	 Excellent staff premise , clean room good security . old time San Francisco feel locate outside China Town couple block Union Square Financial District . price beat quality Hotel . continental breakfast would nice addition , complain . would stay hearbeat . love place . 
 Nov 13 2009 	 great location . be see city laze hotel room . 	 great location , entrance Chinatown , block away Prada Coach . far Fisherman 's Wharf / Pier 39 . walk Market get cablecar muni . see city , small room not bother we . Clean recently renovate bath . front desk staff always helpful . noisy night -- room face alley hear garbage pickups street noise . expect , 's city . 
 Nov 13 2009 	 great bargain - good location - little noisy 	 stay Baldwin first week Nov ' 09 two short visit . room spacious meticulously clean good bed ( two queen ) . problem temporary construction go next door mid - night garbage pickup . tour Big Sur return night prior departure back home . good bargain stay . 
 Nov 12 2009 	 amazing deal 	 frankly , idea Baldwin not charge per night ( be suggestion , management ! ) . give location , be absolutely impossible imagine well deal . room simple , comfortable , clean , well - maintain . staff courteous helpful . will back . thing would want not get free internet ( pay option 's easy use , though ) . 
 Nov 12 2009 	 Great Location Value 	 third time ' ve stay Baldwin Hotel . location excellent , close Union Square , Chinatown , Financial District . staff helpful , room clean comfortable . 
 Oct 26 2009 	 clean affordable hotel 	 husband stay three night . Baldwin hotel good location ( right outside Chinatown gate ) far price go , can not much well ! think say hotel pretty basic . bed , bathroom , TV . 's . say , room clean staff friendly . not serve breakfast , starbuck three door nice french - style bistro across street serve good breakfast . 
 Oct 24 2009 	 great hotel central location 	 husband go conference year San Francisco conference near Union Square , always like stay Baldwin Hotel . location convenient place great price . picky cleanliness feel Baldwin live standard . stay queen bedroom fourth floor face Grant Ave . room large enough purpose , bathroom adequate clean ceiling fan light fixture . window fairly new course going block normal road noise . expect . want quiet , ask room face back window look dark wall 10 foot away . the con would bed . find pillow hard comfort perhaps need replace often . 
 oct 8 2009 	 Balwin perfect ! ! ! 	 stay Chinese New Years Celebration - year OX . Baldwin Hotel perfect . 4 reservation familiy member happy stay . room exceptionally clean comfortable . staff member always willing help need . hotel stay hop skip away chinatown . love ! ! 
 Sep 23 2009 	 great hotel ! 	 partner stay Baldwin 2 night book read good review here . the room plenty big enough need overlook street nice . would read review lift noisy apart partner get stick half half arrival ( fault lift ! ) not notice anything although room land . bathroom fairly small everything look new clean room itself . the staff deal helpful friendly , allow we check early arrival ask recommend chinese restaurant ( probably relative ! ) fabulous . the location ideal - minute walk Chinatown Union Square . the price also great - far cheap stay Fishermans Wharf . the ( slight ) problem parking - upon arrival ask need parking say yes . give we card tell we block first leave ( Sutter Street ) go . check 2 day later , find go wrong car park ( must 2 Sutter Street one hotel use second one ) - not problem we not move car beware plan drive anywhere make sure find right car park one charge hour . move car cost we $ 2 less hotel charge ' their ' car park ' m sure parking would allow take car one standard price ( $ 25 per day ) . go back hotel , explain happen give refund car park ( maybe need explain detail car park future tell not first make mistake clearly lose revenue ) 
 Sep 15 2009 	 Excellent Service / Location 	 arrive Baldwin three night stay . location excellent 5 minute walk BART station , minute Chinatown , Union Square Market Street Fishermans Wharf 10 minute ride away either cable car street tram . hotel extremley clean well maintain . first room give dark overlook dirty yard . pigeon roost window ledge window overlook imagine smell nice , mean impossible open window . askedfor another room staff friendly oblige give room view street , total contrast previous room . dispite room street view notice much noise even window open read old post hotel room dwa cool even though hotel equip air conditioning . room safe , iron telephone tv . Wifi available reasonable charge . bathroom also clean stock usual soap , shower gel etc . overall would recommend hotel ever return San Fransisco stay Baldwin . 
 Sep 7 2009 	 helpful beyond expectation 	 staff Baldwin Hotel helpful many different way include help we unfamiliarity first time visit San Francisco . additionally , minor glitch handle swiftly always satisfactory conclusion . personal service attention need go beyond expectation . staff make visit enjoyable help we spend quality time local area tourist interest . hotel clean well situated couple block chinatown block beautiful Union Square . Bravo Baldwin Hotel wonderful stay big thank Viet attention need . 
 Aug 29 2009 	 good location A / c 	 plus point excellent location . 100 ft China town , 200 yard Union Square . tram line less 5 min walk . also cheap reasonable room size facility . good bathroom . enough storage space large free safe room . bad point , air conditioning . big ceiling fan work well opening window not real option 9th floor overlook surround building a / c fan make LOT noise . use ear plugs sleep make sure good night . also build general little cramp . small lift corridor . tea / coffee make facility room . hotel staff friendly helpful ask anything . chinese . desk staff speak excellent english trouble converse maid , get . 
 Aug 11 2009 	 Location ! 	 stay 4 night . room nothing special . bit large expect , since review describe & quot ; crampy & quot ; . perhaps refer one . room view absolute nonsense . window open parking lot , alley another building front . since time stay inside sleep , not bother . get wi - fi hotel , external provider mean extra charge . Baldwin Hotel locate right meter away gate Chinatown . easily navigate street check major attraction SF . basically , walk everywhere . easily arrange transportation , ' ve see past ; ) rate location convincing . ever return San Francisco , definitely stay . 
 Jul 8 2009 	 good value SFO small hotel 	 service frontdesk & amp ; fm housekeeping - cordial & amp ; helpfuli hv std rm w 2 window , v bright & amp ; airy & amp ; clean . prefer hv wall - attach bathtub standalone bath water easily splash & amp ; wet floor . wud b nice 2 bath mat tub safety . favorite room type # 03 . window shut , street noise comfortably quiet sleep . good high floor fm 8 - 10 unblock views.location - perfect , short walking distance bart , eatery , shopping , chinatown , union square . fel safe hotel vicinity . 
 Jul 6 2009 	 Perfect location friendly reception mediocre room price 	 people reception friendly helpful . room small clean . stay 4th floor view not extraordinary ( wall pigeon ) , moreover quite lot ( street ) noise night . fortunately location hotel make drawback . overall , pleasant hotel . 
 Jun 22 2009 	 great value awesome location 	 Baldwin fantastic location , around corner Union Square , close Muni , BART , tram car stop . literally step Chinatown , door Starbucks . prosfree coffee tea lobby . location , location , location ! excellent price . lot tv channel . clean decent sized room . very secure luggage storage . Front desk man time lock front door late night / early morning - good security . consbuilde little tired - the elevator sloooow lock room door seem bit precarious . Website say gym - it not gym . cool . internet lobby really expensive . I would stay , bear mind lot hotel San Fran similar price similar location . 
 Jun 4 2009 	 can not beat location price . 	 get hotel hotwire $ 53 Friday Saturday night . room clean . staff front desk always helpful . can not beat location . good part Union Square step Chinatown . great place grab beer fish call Irish Bank almost right across street . use Bart Muni system find easily accessible hotel . the room bite small side comfortable 2 . bed small seem sink center price complain . corner room face Grant . light sleeper would hear different city noise find part San Francisco experience . would stay every San Francisco trip could get price . 
 May 27 2009 	 not 	 street noisy , room noisy ... could hear street room , well people run , whistle water upstairs . look window see filthy alley . heat air room , claim heat come 10:00 11:00 p.m. vent , assume filter door hallway . hotel zero amenity . try call ahead get & quot ; knowledgeable & quot ; staff help set surprise husband . could not understand say . flagged account ask show , right front husband . never understand . hastily call around find nice hotel find 5 star hotel $ 60 night . TOTALLY worth upgrade ! stay one night leave immediately high ground , even upset leave Baldwin one night payment . be use nice hotel , not choose one . 
 May 9 2009 	 Great Hotel Great Location highly recommend 	 beautiful hotel , nice sized room great bathroom claw foot bath . slow lift . close china town handy . starbuck corner . pay $ 101 per nigh 
 Apr 25 2009 	 excellent base San Francisco 	 husband stay three night part wide trip around California March / April . pay average $ 75 plus tax per night standard double room . San Francisco feel excellent value . room although large particularly stylish adequate size , clean comfortable . bathroom good size include tub well shower ( ie shower tub ) . location excellent – step China Town . really easy get around feel safe area . read comment site , specifically request room away lift shaft ' problem noise . wi - fi available daily charge find well value go local cafe free wi - fi instead . no breakfast provide coffee available lobby throughout day . lot cafe etc nearby find somewhere breakfast ' problem . ' definitely recommend clean , comfortable good value base explore San Francisco . 
 Apr 22 2009 	 get Pay 	 preface review say look inexpensive way stay major american city- San Francisco . one particular case , may successful trip advise Trip Advisor , let review Baldwin Hotel San Francisco . Suffice say , experience mostly fault making . learn indeed , & quot ; get pay & quot ; - especially large city San Fran . positive : Baldwin one inexpensive locale find San Fran . staff friendly try accomodate possible . room clean- bit spare . negative : probably one bad night spend hotel . room locate 7th floor accessable small elevator ( mention previous review ) . arrive San Francisco middle & quot ; heat wave & quot ; ( rare local tell ) temp 90 's . 1 ) room air condition small water - radiator heat- need ! ! relief open window ( without insect screen ) overhead fan . mention previously , room small . room King / Queen bed available , two twin bed . 2 ) advertise Wifi available company locate -- Oregon -- Wifi sporadic good , signal lose constantly- also charge appox . $ 20 three day use . 3 ) water pressure shower / tube dribble ( weak ) little hot water available around 7:30 . 3 ) noise agonizing factor entire one night 's stay . room , 7th floor , locate side building face alley - way- view build next door ( mention previous review property ) . night , traffic noise terrible & quot ; back - up beep & quot ; serivce vehicle throughout night- one point , trying go sleep apox . 10:30 pm 10 minute glass break beep noise dumpster truck dump several container alley- imagine listen open window . stay one night- make reservation pre - pay one major travel internet site , talk two hotel clerk two representative major travel site , refuse even partial refund book 4 night stay- major travel site give $ 50 certificate future use attempt apology . so , moral story : try travel & quot ; cheap & quot ; - beware- even good moderate review trip Advisor- one paradise another person 's misery . 
 Apr 17 2009 	 good value great location 	 pick hotel base positive review good price . hotel meet expectation : clean , spotless bathroom , great location , nice staff . definitively recommend . 
 Mar 15 2009 	 love 	 come hotel late evening saturday night . room front fifth floor right beside elevator . request room away elevator tell would like change room next day would problem . come room feel big problem whatswhoever elevator , decide stay . yes , wiith open window hear garbage truck pass 4 , jetleg would awake anyway . the hotel easily reach public transportation ( BART Montgomery ) 10Min . walk absolutely safe time . the littel problem wakeup call come guy reception asleep table 5 am leave . overall happy pleased Baldwin 
 Mar 12 2009 	 clean good location 	 husband stay 3 night . less $ 80 night , definitely worth money . location fantastic room clean . feel safe neighborhood , even night . say previous review , try get room away elevator be sensitive noise . room # 601 right next elevator . luckily sleep ok , quiet elevator . be look clean , comfortable place sleep Baldwin perfect . be look amenity plan spend much time room , go somewhere else . overall , solid hotel . give 4 star b / c rate pay not expect much hotel . $ 100 night would definitely 3 star . 
 Mar 7 2009 	 would definitely stay 	 partner stay Baldwin 5 night April 2008 . do lot research entire USA trip find hotel good review good value money . arrive quite late ( flight Australia arrive around 9 pm ) , do not make city around 1030ish , meet warm thankfully swift reception . hotel cosy feel , boutique feel , hotel ( preferred ) . row SF information lobby also hot coffee tea available night . room 2nd level ( elevator modern fast one ) turn great case could easily walk stair room ! ! room comfy large closet area , safe , tv , nice big comfy bed bathroom clean practical ( hardly water pressure shower ) , apart good location , near china town , near public transport , walk distance city centre ( memory around 10 - 15minute ) secure ( would lock door certain time night need key get inside hotel ) . also help arrange transfer SFO depart . whole hotel room instantly welcome feel right home soon walk door . would definitely recommend hotel anyone look great deal cosy little boutique hotel . would suggest low level floor ( try avoid use lift ) , would recommend request room directly face main road hotel locate . get little noisy day , alot foot traffic ( although arrive USA first time , enjoy watch people window listen new noise ) . 
 Mar 6 2009 	 Adequate 	 arrive 3.00 pm - meet reception pimply youth hickey neck - would circumstance let check & quot ; official & quot ; check time 4pm . have cool heel starbuck close by . room small , clean water bathroom luke warm well . call downstairs desk clerk arrive shortly thereafter check out . make adjustmenst downstairs boiler lo behold hot water return . good thing hotel many point location - just block Powell street cablecar bart.lot bus run Stockton Str get North Beach etc- btw deli fan there - do miss go Molinari 's deli ( 323 Columbus Str ) North Beach - yummy sandwich - dont go Sunday though - surprisingly close - I guess money long important they . anyway digress - in short Baldwin adequate hotel would consider stay again - pay USD85 night - which pretty decent value . fiirst time San Francisco really enjoy - Fishermans Wharf tourist trap course - but lot see . 
 Mar 3 2009 	 great location ok room 	 stay SF regular basis always try stay Baldwin possible . moderately price staff reliable helpful attentive . course , location primo . the room small old frill . get bed , small tv , desk night stand . bathroom barely fit two , not rat roach everything clean . Marriott be pay much , much less great value close BART Union Square . 
