good 	 4 night stay s.f . look good value quiet location , could not make well choice . hotel really clean quiet want , also right around corner Fillmore Street Pacific Heights cow hollow area , really great walk around great boutique cafe restaurant . front desk staff little hit miss , really nice know lot good information , other kind clueless . enough helpful one overlook one not great . room king bed nice view window seat . reasonable fitness center equipment good shape . across street three bus line run downtown right around hotel bus stop go place city - easy get around public transportation foot . 
 Birthday trip 	 hotel really cute ! 's japanese culture theme right across street Japan town San Francisco . hotel staff nice room kitschy . kind anime - esque mural wall furniture modern cute.the restaurant lobby yummy serve traditional japanese breakfast . also serve shabu shabu dinner . I would definitely stay ! 
 Nov 26 2009 	 great hotel - great theme - great value - clean ! 	 Hotel Tomo great hotel great value ! price , low expectation , meet expectation much expensive hotel . hotel super clean , really neat japanese theme make modern lot extra like ipod dock fun chair room . room quite big - two double bed . table chair plus bean bag chair . room clean location hotel safe quite . super - central close enough could walk nearby amenity . 
 Nov 25 2009 	 Excellent Stay 	 partner travel S.F . serveral times past year . happen find hotel Tomo accident . say would never stay anywhere else . we love location , Japan town right front door . shopping restauraunt could want . Fillmore also hop skip jump . excellent bar , shop well . what really like Hotel Tomo staff . always friendly genuinely interested making stay good one . even remember call make reservation . I reccomend Tomo friend go San Francisco . 
 Nov 20 2009 	 Liked Japantown 	 visit San Francisco many time . usually stay Union Square area time opt Japantown , pleased do . the Tomo jazzy , modern decor . we corner room fourth floor give we great view city room not have . the problem heat not work one cold morning report man work night shift response inappropriate anger - induce . report situation management , make adjustment find satisfactory . we enjoy meal nearby Takara japanese restaurant Jitlada Thai . 
 Nov 17 2009 	 Hip decor comfy clean 	 spend night Hotel Tomo attending function San Francisco . price right , bed comfortable room immaculate . love flat screen tv , excellent wireless connection even 8th floor . room balcony face east excellent view . staff welcome helpful , housekeeping staff never fail greet we lucky snag one onsite parking spot . Hotel Tomo close Fillmore street nightlife short drive downtown SF wharf . quiet relaxing , much residential area business district . onsite restaurant serve decent breakfast bottomless coffee pot excellent coffee , ask ? definitely back . 
 Nov 16 2009 	 great spot Japantown 	 spend one night hotel nice , quiet clean . within block Yoshi 's Fillmore need car . Japantown quiet 's like 's part SF . really enjoy stay return . 
 Nov 10 2009 	 love Hotel Tomo ! 	 stay Hotel Tomo October 2009 . location great - short walk Fillmore street shop restaurant . decor fun- japanese pop art meet Ikea . probably clean hotel ever stay . mural wall awesome . bed pillow super comfortable . front desk staff helpful . would definitely stay . 
 Nov 8 2009 	 Clean Cool Decor Quiet neighborhood 	 hotel perfect need . look something affordable , clean something little bit character get Hotel Tomo . stay Japantown previous stay year ago know quiet , clean area town . nice expose child sushi restaurant nearby . not go , be also japanese bath / spa nearby sound great . housekeep great job front desk crew also attentive helpful . perk : close Bart bus line , car garage reasonable daily rate SFO , courteous staff , clean room soft bed . 
 Oct 25 2009 	 Cute Cozy great access public transport 	 think hotel neat detail ( Manga night drawer ! ) perhaps everyone would notice appreciate enjoy little touch . believe might target young people special suite sound like make intense video gaming night projector screen etc ... fine frankly boyfriend huge gamer . anyway , find location actually really good take bus around town incredibly easy get week bus pass . find amazing Thai place block use trip advisor mini business center lobby ( never overly busy rock whenever need find food ) . name escape 's block away 's small little family own restaurant amazing food . get rave review though . room adequate size two us mural wall welcoming . enjoy touch j - pop inspire furniture scary photo wall girl 's eye ' ve see enough asian horror movie freak . bathroom not overly nice light constantly flicker ( remind asian horror flick ) place shower toilet , bit small suppose would not trade small bed . view kind suck spend time explore city . basic hotel darling detail price ( search deal ! ) 's perfect be spend time outside . 
 Oct 18 2009 	 Quirky pleasant clean 	 Japanese theme Hotel Tomo great decor really quirky touch part hotel , lucky cat lobby feature mural wall room , generous size . everything clean well maintain bed huge , although bathroom basic . nice add touch include ipod dock giant bean bag . free wifi internet access hotel lobby prove useful , although extension wifi bedroom would appreciate . the staff knowledgeable , competent polite little unfriendly , could provide limited transfer traveller cheque proved inconvenience . the location hotel excellent , away hustle bustle tourist spot Union Square , central excursion Golden Gate Bridge Park well Fisherman 's Wharf , easily accessible one two convenient bus ride . nowhere take 20 minute reach , handy shuttle service available airport reasonable price . one downside hotel bar / restaurant , specialise Shabu Shabu japanese cuisine . service food fine , feel bit unwelcome sort place would want spend long visit . all , not care hotel bar , excellent choice hotel . 
 Oct 17 2009 	 great location nice atmosphere 	 hotel locate edge Japantown San Francisco , style hotel asian - influence trendy . like room lobby decor . be look quiet comfortable place stay , Hotel Tomo . 's exactly close tourist spot like Wharf , will walk take taxi . definitely recommend hotel price , service , destination . 
