well 	 15 year . WOW even well remember ! Frist , FREE Parking & amp ; SAFE ! take frist timer city , fall love . great walking , Great Resterants Bars within 2 block . kind food can not get 2 block . walk around block , get 30 bus see world . jump 49 bus front , go Golden Gate Park see King TUT de - Young . walk around park 3 4 hour get bus pass go see everything go City . staff helpful get way . yes street side room little street noise . hell sound City . sleep window open take . extra charge . rate great , romms . not dumb , stay save $ $ spend great time check City . good base trip . b Sandbank -spark NV . 
 Nov 8 2009 	 try one location comfort 	 pricing lodging elsewhere decide give Lombard area try glad . room large comfortable . noise hallway , due inconsiderate guest fault hotel . location excellent - close enough sight city middle rush . parking free monitored security camera lobby . restaurant nearby . guidebook indicate price give & quot ; Manager 's Special & quot ; drop even , $ 100 plus tax night San Francisco . one four associate property Lombard , would comfortable they . the little breakfast spot adjoin elevator good . try Mel 's Diner across street terrific burger milkshake . 
 Oct 17 2009 	 nice 	 nice room , free street parking , close & quot ; muni & quot ; line 
 Oct 8 2009 	 great hotel money ! 	 husband stay SF vacation . disappointed ! room spacious clean . price great , especially consider free parking garage hotel . love also great breakfast restaurant next door , quick breakfast donut shop corner behind , Walgreens within block ( case forget something ) , Wells Fargo around corner ATM . also couple bus pick up near choose take bus . room not fancy , large , CLEAN , great deal plan sleep spend day . be light sleeper , would suggest ask room away Lombard Street street pretty busy noisy night . 
 Oct 1 2009 	 not want leave 	 husband stay 3 night friend England . suite everything could possibly hope . room spacious comfortable feel truly home . furnishing luxurious offer view past victorian antique beautiful add touch . surround neighborhood charming enjoy experience ambiance San Francisco . travel , one pleasant stay . 
 Sep 1 2009 	 great location adequate accommodation . 	 stay motel several year whenever visit San Francisco . location great , park car free park walk Marina , Fisherman 's Wharf Golden Gate stretch . public transport great , main route town . room clean comfortable , little date . many good restaurant around , whether breakfast dinner . little hidden gem . 
 Aug 25 2009 	 lovely place stay 	 book cow Hollow last minute recommendation friend . pleasantly surprised . lovely , large room view Golden Gate Bridge , locate great little neighborhood shop , restaurant , etc . Free Parking ( rarity San Francisco ! ) one block Muni stop go Fisherman 's Wharf / Cable Cars could travel city leave car hotel . know cow Hollow soon , would spend night . definitely stay whenever San Francisco ! 
 Aug 7 2009 	 Perfect location adult 20 - something 	 2 bdrm 2 bath suite open Chestnut St - fill shop , bar , restaurant . bus stop right outside hotel take anywhere San Francisco want go . hotel situate landmark Fort Mason / Marina Presidio . Suite apartment - live room , dining room full kitchen w / dishwasher . walk distance Palace Arts hill Pacific Heights . clean - housekeeping superb . one person front desk helpful , other work hospitable . need room service - many place right outside door . grocery store within walk distance - fill food fill fridge . 
 Jul 23 2009 	 well kept secret 	 frequent visit San Francisco many year , make Cow hollow ' home - away - from - home ' past fifteen year . ' ve stay motel side , suite side . ( note , two separate building block apart , share underground garage . ) trip , stay 2 bedroom , 2 bath suite . since ' ve return past 15 year , be obvious quite pleased cow Hollow . 's opinion recent stay . pro : suite fantastic , comfortable , quite clean . everything could need step away door , area touristy . con : book suite become increase difficult ( guess secret not well keep anymore ) , be sign wear tear suite . be look large , comfortable , frill room , great location , place ! sum , say already reservation book next trip . 
 Jul 23 2009 	 great location 	 always stay hotel go SF - year . parking underneath great - go anytime car secure , . extra parking charge . room defintely frill - bit date , clean spacious . ask interior room traffic noise bother . back room nice view Golden Gate Bridge . good thing hotel location - step 25 + restaurant Steiner St. , Chestnut St. Union St. also , great shopping - Williams Sonoma , Pottery Barn , Gap , within block hotel . many cute little gift shop . staff helpful courteous . 
 Jul 16 2009 	 good location 	 people front desk welcoming give free parking great impossible find parking street ! room could definitely nice mean gross . great location could come go often make stay pleasant experience . 
