could 	 get great deal Priceline two day advance annual black Friday boondoggle . location beat . one half block Union Square . lobby busy arrive people come go - they several doorman valet duty . even though arrive busy time two hour ahead schedule check immediately greet give room . front desk , gracious accomodate fact accidently show credit card wallet ! ! wait elevator , notice lady really struggle get elevator really big rolling suitcase . employee jump nowhere help ask other need help . nice - I love see people make extra effort come service . lobby nothing exciting . 's long narrow , front desk right enter elevator leave . behind elevator small seating area decorate holiday . room 21st floor . look Westin St. Francis ( daughter fascinated outside elevator ) , Sir Francis Drake Hotel Starlight Room tiny peek Union Square . book room bidding site . . expect get one & quot ; less room & quot ; , be fair enough . room seem sub - par anyway . spacious clean like location high floor . right next housekeeping closet expect noise morning , happen . either quiet 's little used closet . bed super comfortable nice linen . extend stay , plenty room put thing . spacious closet , two dresser . tv amoire Mini bar / fridge - sensor kind can not use fridge stuff . 's desk chair small sit area arm chair table window . Liked iPod docking port . thing room not perfect , other mention , furniture little bang up . the storage bathroom countertop . nice , Portico brand white ginger soap shampoo little tube toothpaste ! not eat Grandview 36th floor go look BEAUTIFUL spectacular view ! ! would drink bar full . would recommend hotel service , cleanliness , spacious room awesome location . especially get $ 66 price tag ! ! fun ! 
 Nov 25 2009 	 Middle 	 attend conference Hilton choose place lodge . membership , find Hyatt treat Gold Passport member little well Hilton treat hhonor member . there much like hotel : great central location ; Walgreen 's next door ; 24 - hour Fitness three block east ; Good department store close ; high rise building view restaurant , club level room upper floor equally incredible direction ; hotel staff courteous well train ; Grand Club concierge extremely accommodating ; Hyatt Grand Bed comfortable ; shower good water pressure . although blogger comment hotel " date , " Grand Hyatt still feel bit upscale Hilton . Hilton guest room feel like Vegas hotel bad end strip . a small thing ' like : old fashion tv ; bathroom date claustrophobic standard tub / shower combo ( curve shower rod would relatively inexpensive fix ) ; $ 25 breakfast buffet omelet station ... nope , ' even special order omelet kitchen ... particularly vex since Hyatt Fisherman ' wharf ( 20 block north ) breakfast buffet complete omelet station $ 18 . ' ? warn , valet , slow . $ 55 per day valet parking , unacceptable ! also , prepare take cab ride good food . dining choice near hotel limit unremarkable . other tip : request upper floor get away street noise upgrade club level possible . want break $ 30 $ 50 per person dinner check typical SF , Tommy ' joint great " downscale " option good food . locate Van Ness Geary , 15 minute walk west hotel . barbeque / sport bar ' continuous operation since 1947 . eat well less $ 10 / person . overall , still give high rating staff Grand Hyatt San Francisco treat guest well . like " Governator ' say : " ' back ! 
 Nov 24 2009 	 nice hotel wireless internet ? ? 	 nice hotel regard room fitness service offer . free wireless Internet , even hotel lobby ! ! 
 Nov 22 2009 	 Favorite San Francisco hotel 	 ' the hotel ' trip San Francisco . 1 ) location good ( love Union square , 5 - 10 minute walk Market easily spoil pleasure . Hyatt locate right Union sq . ) ) ; 2 ) stay Hyatt garantie above - average level service comfort , 3 ) love bar top floor : view unbeatable even food last time really good fresh . room vary , nice , ok . last room ' ok ' , million $ view . since downtown , noisy , even night ( kind enjoy part city atmosphere ) . 
 Nov 17 2009 	 Hit Miss 	 Booked pay bay view room . room good , although need updating , bay view small patch water building . pay extra club lounge , really hit miss . come afternoon tea / dessert would one cake deliver whole club ( tell ) allow , arrive ten minute arrive nothing except pretzel stick . breakfast basic fare evening canape minimal lack quality . hotel well position , front desk staff friendly accommodating . would not stay , say , many hotel well . 
 Nov 10 2009 	 Nice hotel good location 	 book hotel via discount website extremely happy value . room nice view comfortable 3 adult . noise issue view Embarcadero nice . bed comfortable room clean . request additional towel delivery prompt . not eat hotel entertainment restaurant within walking distance . touristy area mile away not safety issue walk far refreshing due proximity bay . management nice enough allow late checkout additional fee add bill . 
 Nov 2 2009 	 Nice Hotel Great Location 	 recently stay Grand Hyatt San Francisco four day weekend get - a - way . quite pleased aspect hotel although show sign wear could use bit freshening . stay 33rd floor Club King room access Club Lounge 32nd floor . room small clean comfortable view fantastic . access club lounge bring contintental breakfast , afternoon snack evening dessert . Sodas , bottled water sparkle water available 6 9 pm additional cost . also computer printer available use fee . view lounge also fantastic clear view bay . the staff hotel extremely friendly helpful . try restaurant lounge 36th floor would definitely stay . 's location perfect access Chinatown , Nob Hill , nearby shopping , Market Street , restaurant etc . 
 Oct 27 2009 	 business pleasure 	 doorman give hotel plush sort feeling . kind privilige feeling . like conference room . internet room , charge six dollar use internet 15 minute time . busy , busy hotel . room service beyond expect hotel . not feel well day seem cater even . nice , nice restaurant top building see quite bit San Francisco . food delicious waiter kind accommodate . busy front desk . go Fisherman 's Wharf , take taxi hotel get . interesting see see view Alcatraz surreal . not take tour Alcatraz , take bus tour wonderful tour city great tour guide . not know would care revisit San Francisco , though shop around hotel seem pretty awesome , many designer name store . visit Chinatown , walk distance hotel intriquing see . reason desire see San Francisco people seem rush , comfortable environment walk travel .. hear though time see surround San Francisco area , bay area wine country . hotel nice retreat return vs. rushed environment outside hotel . 
 Oct 27 2009 	 Grand Hyatt San Francisco Nice Easy Union Square 	 go confrence visit San Francisco 10 year . pleasantly surprise Grand Hyatt . arrive 10 hope check early , guess would decline 2 pm , front desk step cordial let we check , bad flight nice kick back relax . room small take bit getting use choose explore city instead , property sit Union Square plenty walk distance . go Fishersmans Wharf one day worth , old cable car hoot cheap . side FW ton panhandler agressive . do not see SFPD 4 hour there . a little wierd that s SF . plenty tee shirt gift store several restaurant . ( wife please buy knockoff Prada purse 35 buck ! ) 
 Oct 26 2009 	 Great Location extremely clean 	 great location ! extremely clean ! little bit out - of - date .... 
 Oct 19 2009 	 Good Hotel - Great Location 	 stay 3 night PGA Presidents Cup Grand Hyatt . happy hotel especially like location . car able ride BART airport walk short way hotel . also able easily catch cab hotel want , also walk wharf . good dinner Grand Views restaurant beatiful sunset go . great time watch Fleet week airshow , tour segway bike Golden Gate bridge . ( opt electric bike - only way go ) . weather great part time freeze rest time - darn . great weekend alot fun golf tourney Sunday . definately go back SF probably stay Grand Hyatt next time . 
 Oct 12 2009 	 SHABBY 	 thought : hotel ok , great hyatt.-valet park $ 50 overnight , wait max 1/2 hour car arrive.-the bar 36th floor close 1 pm , stop serve food 12 . -There be not fan bathroom mirror steam upon hand ... -there hot water - the bed really comfy - prime spot .. peferct walk everywhereother ok , really hotel much can not complain . think would better since Hyatt ... 
 oct 9 2009 	 Great Location 	 ' ve stay Grand Hyatt 5 6 time , recent Labor Day weekend . local , go City stay Hyatt 's like thousand mile away . many poster say , location perfect right Union Square , close shop many great restaurant . hotel nice generally stay club level give we access private lounge . nice breakfast snack . view lounge also awesome ! room small yes , little date , ' always find clean comfortable . ' ve never issue noise either hallway room . rate hotel place . sometimes look well $ 300 , times mid high $ 100 's . feel extremely comfortable recommend rate $ 199 even high $ 249 . , would say may want look elsewhere . finally , parking expensive ( think $ 49 ) park lot directly across street ( Sutter & amp ; Stockton garage ) much less . 
 oct 8 2009 	 good experience ever ! 	 enjoy service people great ! first arrive hotel people escort belonging inside hotel able carefree signing . service fast quick . really love people . stay Hyatt San Francisco trip never forget ! sure tell other hotela great stay ! top , able meet man dream ! thank 
 Oct 8 2009 	 Location ! 	 Grand Hyatt situate one block Union Square within walk distance many San Francisco 's great attraction . room fine . surprised desk room . small corner table work plug laptop bit difficult . outlet hard find . still , great AAA rate can not beat location . perfect leisure travel . Rooftop restaurant / lounge worth check . beautiful view city . 
 Oct 8 2009 	 Excellent Hotel Great Service ! ! 	 stay 200 hotel year one stand - out , great people , great service great view make wonderful experience 
 Oct 6 2009 	 Perfect location exceptional service 	 stay Hyatt 5 day , think location perfect , right beside union square , nice get little turn around walk . find union square see hotel . get early ( 8:30am ) tell we people 2 room check give we choice great view 2 double bed ok view king , want check early . decide great view . able check hour later . service front desk housekeep exceptional . first day house keeping come room , early , tell room every day 10 am never come 10 , always do 12 . conciere helpful thing want . front desk even give we late check extra charge . hope come back next year stay . 
 Sep 30 2009 	 Accomodating Staff Pleasant Facilities Excellent Location 	 first stay Grand Hyatt overall would say service receive Front Desk staff doormen thing truly make stay go beyond average . decor lobby room nice , nothing great fabulosity personify . find housekeeping staff bit pushy want push room call knock door repeatedly ( give evil eye stand around group right outside door finally leave room first day ) , Room Service staff highly proficient thorough complete task . arrive lobby fill throng people mill different group employee go duty get discourage thinking would take forever notice , travel , get check room . surprise , notice wonderful woman name Isabella beckon greet smile kindness hint stress strain demeanor voice deftly check . tell nonsmoke room ask smoke available tell none day , start next day stay make arrangement reservation move new room next day leave pack bag room leave day staff would move belonging even upgrade 4th floor 19th floor ( truly review state , view upper floor die would worth pay extra necessary ) . needless say , grateful extremely pleased service receive . come time original check date , decide much fun San Francisco ( great city ? ! ? ) want stay another day , go Front Desk inquire staff member help happy accommodate request smile . day leave , run late left harry rush obviously notice Doorman ask destination inform intend take cab airport , tell could see rush offer Lincoln Towncar hotel fleet price cab . course accept offer , reason extra comfort leather seat well suspension vehicle , hear Doorman tell driver seem run late & quot ; step & quot ; . impressed never tell really late , yet observed demeanor take initiative accord let driver know situation see would help get airport time .... . barely make flight , make . overall , accommodation hotel pleasant somewhat appropriate price point , interaction Housekeeping staff leave something desire , negative brief interaction far overshadow excellent par service receive Front Desk staff Door staff . would recommend hotel ask , not think would necessarily go way suggest someone ask name hotels area stay . 
 Sep 25 2009 	 could not fault Hotel ! 	 moment enter , conceirge staff behind desk ( Sebastian ) , helpful , attentitive friendly . location hotel fantastic . walk everything . I would definitely recommend hotel anyone stay San Francisco want close city centre , shop restaurant . travel family ( kid ) , would probably consider stay Fisherman 's Wharf . 
 Sep 24 2009 	 Great Staff Great Location tired room - make feel like vip 	 stay Hyatt Monterey arrive hotel intrepidation - quickly put sleep arrival - great doorman bell captain welcome hotel escort front desk . front desk experience exceptional , warm welcome ask vacation date - apology average stay Monterey upgrade Club Floor way apology . the hotel location fantastic union square make hotel accessible sight , BART , muni cable car . hotel 36 floor worth pay upgrade view bay - stun vista bay , Alcatraz South San Francisco . room comfortable clean , good night sleep trip , room old style could modernisation enough ruin stay opinion . the club floor great get complimentary continental breakfast , evening snack , dessert well complimentary soft drink hot beverage - 's plentiful supply get refresh continuously . the concierge team fantastic know everything could possibly want ask San Francisco help organisation all . first class service - make feel like VIP 
 Sep 20 2009 	 overall good experience 	 agree past opinion review well book flight FunJet . get great price flight hotel $ 435.00 person nights/5 day Milwaukee , WI . good hotel location service . prime location super easy get airport take Bart train $ 8.00 person walk block . arrive noon check 3:00 pm , front desk able check we early check we floor 21 rather 3 - 12 level FunJet reservation call . , delight . first impression room nice , little outdated decor tv smell little musty , air conditioning whole time . bed & quot ; & quot ; comfort pillow . favorite part room . price pay vacation , hotel think would . walk everywhere city hotel . walker begin way .... Fisherman 's Whalf 2 mile walk away . within mile Nob Hill Lombard Street , Chinatown , North Beach even close . get good workout not feel guilty eat yummy food everyday ! San Fran great trip main tourist thing . Alcatraz ( buy ticket ahead time ) see mention ferry boat trip Sausilito pretty cool . street blow away steep , crazy . home cool see well , close together . would suggest hotel trip heartbeat . fun ! 
 Sep 13 2009 	 great location hotel need update 	 book hotel priceline . several night , stay JW Marriott also book priceline . Grand Hyatt disappointment stay JW . room smell odd furnishing outdate . bed comfortable pillow like rock . hotel clean good area fine , would stay choice . 
 Sep 11 2009 	 great location service 	 come San Francisco vacation , Union Square place . Grand Hyatt less one block Union Square get room $ 80 Priceline . service good find concierge helpful . room nothing special unless pay premium get high floor . top floor bar incredible view . 
 Sep 9 2009 	 convenient location great bed excellent view . 	 stay three night Labor Day weekend . Booked Priceline get terrific deal . three block Bart / Muni , right Union Square . much lobby check - in fast friendly . room typical old Hyatts , tv old - school , furniture latest . however , plenty space bed pillow extremely comfortable . housekeeper nice helpful . bar top floor fantastic view direction . location bring back . forget starbuck across street , walk sutter block Cafe Bean - 800 Sutter . nice little coffee shop good bagel sandwich full breakfast . 
 Sep 7 2009 	 great location anf front desk - dirty room 	 Booked Hotwire . 2 night $ 230 . king size available , & quot ; upgrade & quot ; we Club room . ( difference non - club room ) room small , kind dingy smell musty . toiletry substandard . thing ok since room great view city location stellar ........ next day notice stain one bed - bottom sheet . pull back , seem someone , stay previously , vomit bed , make check maid . soak mattress disgusting . report front desk promptly change we different room . funny thing though , return original room gather belonging , room clean . check bed maid change sheet ! even though leave bed bottom sheet stain expose . obviously , housekeeping staff need update training . room change similar size amenity , dirty window . aside , staff courteous location beat . return . many hotel area need purchase hotwire area . 
 Sep 7 2009 	 Perfect Location 	 go bed last night three Grand Hyatt . hotel perfect location experience San Franciso . nothing particularly amazing hotel , nothing bad either . lobby nice , room nice small . fitness centre great . concierge desk helpful especially dinner reservation . want splurge not miss Fleur de Lys , well worth every penny . would definitely come back . 
 Sep 4 2009 	 good central location generic hotel . 	 stay 5 night August . hotel well locate yard Union Square steady 30 minute walk Fisherman 's Wharf . although high floor , face away Bay view not great . room good size three us 2 double bed . furniture look little tired around edge vacuum cleaner obviously struggle reach edge room . say , room pleasant enough bathroom clean well fit . I find slightly irritated exhortation re - use towel etc . the front desk staff pleasant can not comment facility not use . 
 Aug 29 2009 	 Excellent Service 	 choose hotel near meeting hold . must say service , staff location amazing . helpful staff always ready arrange cab give direction . already make next reservation conference attend October . 
 Aug 28 2009 	 Fantastic Location Great Bar 	 recently stay hotel part 3 week trip first hotel impressive , lobby smart staff helpfulvalet parking great cheap . location superb get tram back within 300yds hotel . view bar fantastic breakfast plentiful , staff great . only downside we room - quite small bathroom could done refit starting show ageoverall good hotel 
 Aug 27 2009 	 Nice Hotel Great Location Service need Improvement 	 family nice 4 day stay kick summer vacation . location terrific - near Union Square Chinatown - room clean comfortable - bed soft . service , however , quite expect . last 30 minute stay , say pretty disappointed . checking , call bellman take bag , ask car , park hotel lot , leave we . twenty minute later , someone housekeeping arrive deliver rollaway bed , accord , request . call lobby ask incorrectly send rollaway instead bellman . gentleman say & quot ; not send bed ! not send anyone ! & quot ; ask bellman say would find quickly hang . bellman finally show , arrive lobby , car nowhere find . husband inform parking attendant call car 30 minute early , call bellman . attendant tell husband never receive call would wait 30 minute , though request car . say pretty surprised answer . receive car minute later able leave . 
 Aug 27 2009 	 great location . pricey parking . quality room helpful staff . 	 pleasantly surprised get hotel look room Priceline Saturday night San Francisco . $ 77 bid , stay one night , Sat Aug 22 . great deal room give . arrive dinner , staff courteous quick find good room we . upper level room good view Financial District TransAmerica building . room spacious , comfortable quality linen . coffee associated sugar , cream promptly attend staff . morning , good recommendation breakfast enjoy walk around Union Square area . check spend day cable car ( right outside door ) Fisherman 's Wharf . close Chinatown well . good stay , good value price pay . downside expensive valet parking expensive city parking across street . downtown location , expect . would recommnd other . 
 Aug 26 2009 	 clean room great location sure value 	 location hard beat- be Levi 's away Union Square . hotel locate within 2 block ton shopping restaurant , Market Street , BART , 1 , 2 Walgreens . 's also nice area , compare somewhat nearby Civic Center area . however , pay list price hotel , would not think great value . bid really low Priceline able get great deal , thus pay , great value . would stay bidding room . also would make feel well waste money access hi - speed internet . 
 Aug 24 2009 	 Typical Hyatt - nice place pricey restaurant 	 Nice hotel good location . like Hyatts , common area elegant , room comfortable nothing special . hotel 's room small Hyatts - typical hotel area . I usually think Hyatt 's restaurant pricey one top - $ 30 simple buffet breakfast . experience first morning , not patronize hotel restaurant . irish restaurant across street much well choice - excellent food reasonable price . 's 50 's diner block away also good . the concierge great - knowledgeable area extremely helpful arrange transportation . problem checkout since not separate bill request upon checkin . finally get thing straighten , take hour two level supervisor get do . 
