stay 	 begin ? .... believe rat hole still business ( excuse language ) . instead use profit receive we unfortunate customer upgrade refurbish & quot ; hole & quot ; , instead remold lobby attract unsuspecting tourist . ' m sure other fall victim one nice picture show lobby . explain lack ammenitie receive discomfort feel , call thug , hoodlum ( wear business suit ) , warn police would call ! source problem . wife give & quot ; continental breakfast & quot ; , & quot ; free internet & quot ; , towel , heat , toilet paper , service , respect ! please contribute scam run . risk health sanity . Save . , , stay ! 
 Nov 11 2009 	 bed BUGS ! 	 ease make reservation simple complicated . staff friendly accommodate . first room dirty toilet not flush . request move room . second room & quot ; appear & quot ; clean realize next morning sleep bed bug . room a / c , elevator take forever arrive . although book 5 night , check day arrive , notify front desk bed bug . apologized said & quot ; oh , need close room & quot ; . reverse charge without complication . unless , situation seem on - go concern bed bug improve , never stay . 
 Nov 10 2009 	 bed bug infestation ! 	 location good staff friendly . that s good thing ! arrive room stank smoke , shower work abd dirty . request move room . staff really helpful upgrade us suite . think great find toilet flush properly , fridge smell rotten food bed infest bite creature . end around 30 bite decide move motel block away ! ask money back lady front desk even seem suprise many bug bite ..... wonder many time complaint ? would recommend place anyone ! 
 Nov 6 2009 	 Great Location Price Funky .. Dead Tree Inn 	 change name since palm tree show pool like 5 story tall much dead , apparnetly many year . set tone ill - maintain hotel mostly dirty , smelly place . smell like update carpet since 1970 everyone smoke smell live , everywhere . poor maid service , get , apparently include clean sheet 5 night . pool dirty & quot ; Breakfast & quot ; week small box raisin bran jugs milk weak coffee OJ serve daily . mostly Europeans stay , apparently know well , low ball internet price $ 41 . bring . view fifth floor nice could see Golden Gate Bridge , cable service crappy could fix even though one maintenance guy jiggle wire , well , find attempt get clear picture night . final straw final night 6:30 pm see Pimps Prostitutes inside hall rough hotel great area close Union Street Fisherman 's Wharf . free street parking also plus . elevator need work seem unsafe . one go 3rd floor 5th , way get street level . one feature sound metal cable drag roof lobby first floor . elevator dire need State Inspection overdue review . ton young folk party Halloween night , rest time place , except weary overseas traveler apparently oblivious far nice hotel area perhaps $ 100 . place could easily situate Tenderloin . think give tear build something nice neighborhood . 
 Nov 4 2009 	 ambience fresh vomit ..... 	 Met hooker hallway . room air conditioning , open window ( hah -- -best described & quot ; hole wall & quot ; ) . Windows 4 & quot ; glass slat screen , anyone pass could reach glass , part drape , peek ! carpet crusty texture vomit , door barely close lock puny well . thing separate we adjoining room small latch 3/4 way door , available 10 cent store . mattress split wide open consistency lumpy , wet straw . film horror flick slasher movie , place . NORMAL person , avoid like plague ! 
 Oct 29 2009 	 never unless improve 	 thing go hotel location within easy walk distance Fisherman 's Wharf . unfriendly , disintereste reception staff stain musty smell room ( complete pillow blood stain ! ) definitley place avoid . book stay 3 night - little choice Fleet Week little else avaiable could afford . & quot ; continental breakfast & quot ; laughable - pre - packed cereal ( 1 variety - choice ) , decay apple orange juice / tea /coffee . Saturday night party hold restaurant ( function ) drunk people wander around guest area . appear restaurant may home large number homeless people . night empty alcohol container litter lift stairwell . one occasion , people wait assistance reception desk , two people behind desk conduct loud argument third person ( guest ) something personal . eventually result police call . fool picure internet ! shame - could nice little place stay maintenance , refurbishment staff care job . tip : spend bit money stay somewhere else . 
 Oct 27 2009 	 good could bad 	 stay Heritage Marina Hotel early October , Fleet Week . make price go significantly , would expect - San Francisco pretty much book . hotel not really resemble picture 's website . outside maintain long time , part balcony roof hole etc . room look like room picture pool area fade / run - palm tree even dead . lift safety check date stay , much still date ( accord safety certificate lift ) . lift take long time come make unusual clunking noise around 1st 2nd floor . room clean term rubbish etc , chair stain lock door break except one . bathroom sink not even shelf , patch putty wonky . tile break bed soft - kind roll middle soon get . one pillow bed not pillow case , actual pillow blood . forgot bring towel clean room . breakfast consist two type cereal bitter apple . could also get orange juice , coffee tea . . staff front desk pleasant , other unhelpful . one get argument customer infront customer , threat make . police later show customer return ! bad hotel ever stay , could improve lot . great location though , close Fishermans Wharf . 
 Oct 26 2009 	 smelly discuste place ever ! ! 	 arrive San Francisco 17 hour travel dirty hotel ever . carpet tear , whole place stink urine top , postitute room next door we . 5 year old son , terrible . breakfast peice fruit bowl cereal man steal breakfast street two morining ther . every 8 hotel California , Nevadaand Arizona holiday great . tha one horrendous bit maze inside . feel sdafe walk man shout obscenetie woman kid hotel . 
 Oct 21 2009 	 bad place 	 read review . see picture think would okay . get not room ready leave luggage office walk Wharf . return check room . husband military use sleep desert sleep bag nothing else . otherhand would prefer livable condition . however , 8 10 year old say walk room , & quot ; Mom , really go stay ? & quot ; . attempt change room one 5th floor give we bad . fortunately able use internet look number place call . finally get last room wharf another hotel . pay dollar $ 200 charge get suite extremely nice room , 1 block Wharf . lose money Heritage Hotel , figure save lot end . ( doctor visit , breakfast great memory trip & quot ; new & quot ; hotel ) would hope hotel would shut . 's scary think people actually stay . 
 Oct 20 2009 	 dirty flea ridden hole ! ! stay ! ! 	 room lock bedding change .. find use contact lens dirty tissue bed .. three attempt find room hotel actually lock manager send we room already people stay , man room run we try attack we .. pleasant experience . insect crawl around room loud noises night ! ! ! ! stay ! ! ! 
 Oct 19 2009 	 stay : ) 	 stay ` mind , dirty floor , smelly room , insect ( bedbug ant other ) , unlocked door window ... 
