fine 	 quality room service expect Hilton : average . location make perfect stay . right edge China Town 10min walk many good restaurant Columbus Avenue . much well location Embarcadero around Union Squaire . defintely would stay . 
 Nov 9 2009 	 beyond helpful staff . great hotel . wonderful location . 	 book room Hotels.com , unfortunately , reservation non - refundable change date . first , nearly impossible change , Hotels.com representative speak Hilton hotel manager able change reservation date Hilton 's approval . thankfully , Hilton not charge we since rate go $ 100 since book room . also , check , without we ask , upgrade we well room free . nice . the room little small expect , comfy . decor nice modern . free internet nice touch hotel . 's also coffee maker tea available you . overall , enjoy stay . tourist spot within walking distance . Union Square less mile away . also , Chinatown North Beach ( aka Little Italy ) pratically right outside hotel . would highly recommend walk North Beach italian food . recommendation would Franchino 's , nice moderately price family - own italian restaurant ( 10 min walk ) .My complaint would matter high room , still traffic noise . 23rd floor , could child play playground across street . also , parking really expensive . Valet $ 53 day self - park $ 30 per 24 hrs . would advise drive around neighborhood find parking structure cheap price . 
 Nov 5 2009 	 true Hilton experience 	 stay location proximity client . upon arrival hotel , may , may meet person proper uniform door / car person . ascend many step hotel lobby extremely basic come tourist hotel , business hotel . check - in process fine certainly sufficient . elevator bank insufficient number room floor , make bad amount apparent group child happen stay time . room service good two try could communicate well person deliver food room . room appointment average room cleanliness issue . furniture room badly mark , desk chair rip inoperative . I tell location recently go management change possible thing improve . regular Hilton guest , would classify property typical believe Holiday Inn quality . appear economy also impact staffing , understandable day time . 
 Nov 3 2009 	 bad service ok character . 	 wife celebrate 10th anniversary decide plan one - night trip San Francisco . Hilton Financial District great choice in - house spa ( Tru Spa EXCELLENT ! ! ) , proximity shopping / dining past customer review . book room week advance contact Hotel Concierge , Joel make dinner reservation find area . Joel great phone conversation even offer send complimentary bottle champagne room night visit ( Saved order ) great gesture . even though book stay Hilton directly , Joel treat great care ; customer / patron ! day stay , arrive hour check see could get room early . dismay , tell book stay ( Priceline.com ) , would allowed check - in early . problem since know advance check - in would 3:00 pm way gentleman Front - desk ( recall name ) treat wife inexcusable . gentleman make seem worthy stay hotel look , & quot ; nose & quot ; we basically tell we come back 3:00 pm . wife appointment spa decide take shop spa appointment check - in time ( Tru spa one bright - point hotel ! ) .After leave spa , go gentleman front desk check - in ( time 4:00 pm ) joke go give room away wait long check . be right ; person would allow we check early chastise we checking - in hour check - in time ( even explain stay hotel anniversary ) ! although extremely bother service , decide go room get ready dinner . when arrive room , champagne previously arrange figured would arrive later evening . wife beautiful dinner restaurant Joel ( Concierge speak plan visit ) suggest return hotel night - cap . , dismay champagne leave deliver room . luckily purchase bottle wine restaurant ( cellar ) able enjoy evening . when check next morning , go concierge desk discuss go wrong Joel plan floor response level service receive . gentleman concierge desk review room note explained never see Joel make mistake 10 - year know ( Hilton well prior hotel ) character . never apologize mishap ( seek ) actually stop conversation mid - sentence talk one old friend past . flabbergast ! travel quite bit work never poor service experience hotel . explain happen young lady check we make good attempt find manager not - so - surprisingly manager duty time gentleman concierge ( enjoy catch - up friend ) .I urge ANYONE pick another hotel travel ! initial Concierge ( Joel ) speak work day travel fault peer ' failure follow - through . bad service ok typical service ! 
 Nov 1 2009 	 great 2 day visit 	 arrive Friday & amp ; Left Sunday ; great restaurant four block away Belden Place ; easy walk Kearney ; use # 1california bus Embarcadero ; 9X Wharf front hotel ; conceirge informative helpful ; housekeeping accomodate ; return . 
 Oct 27 2009 	 great location ! 	 love location hotel , close union square , China town , North Beachand Ferry building . room adequate size nicely furnish . love large window . 20th floor gorgeous view Coit Tower andthe bay . negative bathroom , tub wear around drain drain would close , slide door give much privacy . stayhere , try Salt Pepper calamari R & amp ; G Lounge Kearny ( closeto hotel ) well calamari ' ve ever ! 
 Oct 26 2009 	 Parking Garage SCAM 	 bad experience ever . put sign front say $ 7 ... well garage across street $ 10 ... decide branch try place . BIG Mistake ! essentially false advertise small print hour deal . excuse buy teaser price , hour deal expire would sign front still ? sure reflect Hilton Financial poor management vendor , badly ACE parking bad business practice horrible customer service . Park across street , place ' look ' little less reliable guy super nice always get good deal .... False Advertising Scams Hotel would fine ... little thing count 
 oct 22 2009 	 Service location hotel food -- great ! 	 marvelous stay Hilton Financial District . check - in fast & amp ; friendly . Hilton Reward member , receive coupon free continental breakfast morning & amp ; coupon freebie and/or discount hotel . lobby spacious welcome two complimentary computer internet access . morning coffee bar afternoon evening bar adult drink . our room amaze great view ! room look newly decorate immaculate . two comfortable queen - sized bed lot type pillow . bathroom quite large full range amenity . free internet access include stay , ' m sure one perk Hilton Reward member . room build - in desk quite large put stuff . find Financial District good location vacation . within walking distance Fisherman 's Wharf , China Town , Cable Car Museum cable car . walk trip two child , 8 & amp ; 10 year old . my complaint area somewhat loud night , ' m guess be loud almost everywhere city . would recommend ask high floor get away street noise . we park underground parking area think $ 30.00 day . one thing stand mind exceptional service . receptionist go way help we get something print trip . also find people work breakfast buffet helpful courteous . all - in - all great stay would definitely stay . find true bargain San Francisco . 
 Oct 18 2009 	 lovely place stay ! 	 great place stay , great walk town , right london open top bus route ! ! clean well present hotel , would hesitate recommend hotel . travel husband 9 4 year old ! ! feel like part city ! ! stay execetive room city view ! ! ! WOW 
 Oct 18 2009 	 Business Travelers come ... 	 perfect financial district . definitely place tourist . 
 Oct 12 2009 	 love view Hilton Financial District ! 	 friend give we two night 26th floor Hilton , say completely satisfied . room beautiful , housekeeping immaculate , view Coit Tower , Alcatraz ocean fantastic . everything fine working order , would highly recommend stay hotel . 
 Oct 12 2009 	 want Decent Night 's Sleep ! 	 stay base good location ( adjacent North Beach Chinatown , within walk distance Fisherman 's Wharf area ) promise king room nice view . much deliver , fine 3 morning , occupant adjoining room come . particularly loud -- could hear every word conversation wall must lack sufficient sound insulation . chat , figure least could sleep follow morning . clock alarm -- standard kind hotel alarm -- go 7 , keep hit snooze button every ten minute hour . never hotel hear standard alarm another room wall . hotel must know problem , give pair earplug lie bedstand . complain next morning firm professional manner one clerk duty , evident hear similar complaint . say must adjoining room common door ( though ) ; 's excuse might accept $ 39 / night hotel , Hilton . offer nothing , even sympathy , problem . book Expedia , even intervention produce nothing -- say Hilton even claim record anyone complain morning . ( guess tell clerk spend bad night ever hotel , provide specific give , not qualify & quot ; complaint . & quot ; ) nicely situate property undeserve Hilton . price , many well place stay . 
 Oct 12 2009 	 Excellent hotel 	 extremely friendly check - in . although twin room not spacious view marvelous comfort great . friendly staff , great restaurant breakfast . excellent location . love ! 
 oct 9 2009 	 Awesome place live 	 great ambiance Service ! ! clean great kid ! ! 
 Oct 8 2009 	 Spectacular view great location ! ! ! ! 	 entire staff wonderful hotel magnificient . great view room walk distance China town many great site . staff helpful pleasant . 
 Oct 6 2009 	 incredible view ! 	 stay 3 night view something else ! make sure get bay view high floor though will not know mean . could understand hotel could noisy low floor . location great get rip parking $ 38 think night , park car park opposite still like $ 30 . leave car hand back day , do not need one SFO . hotel pretty much China town 15 min walk Chancellor Square easy walk though seem safe . Didnt walk Fishermans Wharf though seem easy enough bit far . hotel fine , typical Hilton really view worth money 
 Oct 4 2009 	 amazing view 	 husband stay day vacation stay become business trip . use honors point portion stay , ' m sure rate value , overall fantastic time . upgrade we 24th floor view Coit Tower 's surrounding . absolutely gorgeous sight fog rolling every morning night . the hotel staff part fairly helpful . man check we great . valet fast polite . concierge need work ... consistently try find good restaurant . Scala superb , way . hotel next Chinatown . walk Ferry Bldg ... 15min ? ? cab easy find . one driver love play drumstick sing drive lol . overall , will happy Hilton ... one word advice - if elevator get stuck , try open door shut door button unjam . yes get stick . minute : ) 
 Oct 1 2009 	 Solid Business Hotel Nice remodel - somewhat noisy neighborhood 	 solid hotel general Hilton standard . spectacular clean , nicely appoint , recently remodel . staff effecient . one complaint neighborhood somewhat noisy night wall / window little buffer sound 
 Sep 25 2009 	 Excellent business hotel great view 	 like fact hotel border lot different area , wonderfully appoint , great value . really border financial district Chinatown , housing Chinese Cultural Center locate one block Transamerica Building . 's also short walk italian restaurant north 15 minute convention area south . nice view 8th floor . room , new , excellent condition tastefully decorate . no washcloth provide first day bathroom , simple note housekeeping solve problem . trend - ' ve happen hotel . the fitness center good size music tv option . line Peet 's tthe lobby long morning , be plenty option right street . go lobby restaurant . 
 Sep 24 2009 	 would stay long ! 	 ' spend much time see like . hotel nice convenient everything . room stunning view Coit Tower harbor . room every possible convenience could think little small . check easy lobby nice . restaurant / bar / spa look invite ' time go . one BIG downer : parking . website say $ 30 parking . ' lot compare hotel SF . ' tell $ 30 street parking . drive hill find spot leave car privilege . pay $ 50 valet parking underground privilege . hmm ? one would take ? rip - off . I recommend night tour Alcatraz . excellent . 
 Sep 17 2009 	 recent room update location price trump problem 	 stay Hilton Financial District two night midweek recent business trip . busy , lot people coming go lobby , perhaps midweek not run noise problem other speak . overall good enough experience rate & quot ; good & quot ; opposed & quot ; average , & quot ; issue aware consider stay . first good . ' ve clearly do room renovation recently furnishing appointment look new , room common area . location great , several block North BART Montgomery Street station , near key bus line . Chinatown North Beach doorstep mean lot good food choice ( e.g . Hunan Home , also review ) . price get room good San Francisco . there issue run , though . elevator place entirely inadequate number people stay . wait car several time full . also not especially impressed service . room housekeeping came initially ask come back later - not . waitstaff lounge not attentive all . out fairness topic mention concierge friendly helpful . fair warning , suppose , take good renovated room , price , location , may run logistics service issue . 
 Sep 12 2009 	 Hilton not really care 	 pls let attache previous complain never reply anyone show not will not care even say simple sorry ! ! ! attention : Hilton International HotelsHilton Financial District General ManagerHilton Guest RelationsHilton Customer ComplainDears : name Hossam E. Adel Mahmoud visit San Francisco March , 2009 period know trust Hilton Chain reputation accordingly reservation 10nights wife 3rd 13th March , 2009 room # 723 Hilton Financial District San Francisco , California . we search hotel San Francisco cheap hotel rate well high rate certain treat good Hilton ' international hotel would treat client guest specially hhonor membership well go fine except one day sleep one day 9 ; 00AM shock wake loud big banging ( hammer - like ) right top room roof 7th floor Hilton Financial District ? ? ? ? ? ? ? ? ? ? ? ? ! ! ! ! ! ! ! ! ! ! ! really shock we specially wife would enough sleep medication due recent surgery well attend american Dermatology conference Moscone center already jetlag definitely could use every single minute relax sleep .Well really think one guest fix something whatever call front office complain lady answer hear bang phone ( show loud ) well approx . 9:30 call expect bang whatever stop immediately within minute surprise keep bang approx . 15 minute ? ? ? ? ? ? ? ? ? ? ? ! ! ! ! ! ! ! ! ! ! ! ! ! ! even expect call front office kind apology never happen ' common thing happen hotel particularly hotel .Well manage record incident video camcorder gladly send attachment soon get copy ' acceptable all . for sure understand thin wall issue may hear tv ' noise guest next room maintenance sudden without prior warn guest specially put " disturb " sign outside door peaceful sleep ? ? ! ! ! thing never understand specially choose stay 5 star classified hotel happen ' even transpire 3 star even 2 star hotel ! ! ! way Hilton treat guest ? ! without even apology time afterward even small simple phone call ! ! ! really inadequate deplorable Hilton . I wait reaction complain ' much interested find Hilton international Hilton San Francisco regard hope satisfactory specially recommend Hilton colleague friend plan visit San Francisco prior stay ? ! P.S . first time life face situation like stay international hotel chain throughout world 
