much 	 stay wharf hilton 9 day ; check good smooth even immediate upgrade ( HH diamond ) possible due fully book hotel . checkin staff manage get we upgrade 3 day later promise still nice surprise . first room topfloor hardly noise neighbours nice view part san fran . upgrade room first floor noise upstairs neighbour expect old building ! hotelroom ( ) spotless , clean well daily basis anything need provide housekeeping . maintenance good amenity check supply every day stay .All one good hotelstay san fran past 20 year visiste city frequent basis .Our stay certainly give we good value money ! breakfast buffet ( continental - ) complete fresh ; one want warm food egg pancake , surcharge 10 $ never try .restaurant open breakfast choice eat plenty area .Area around hotel safe streetcar cablecar one get quickly downtown san fran shopping . minus observed member front desk staff certainly work & quot ; people skill & quot ; remind mangement hospitality business minus we . 
 Nov 26 2009 	 Alright hotel expect ... 	 plus side , hotel room clean , excellent location type sight seeing want ( Alcatraz , Chinatown , Fisherman 's Wharf , etc . ) , good restaurant lot variety near . however , see level elegance expect Hilton name . hotel vicinity 3 four level - kind cheap motel look outside . parking outrageous . lucky find free street parking nearby , think pretty lucky . neighborhood look kinda seedy really late night , never bother . location really great public transportation . although internet price high room , free lobby area . staff friendly helpful . 
 Nov 20 2009 	 's fuss ? 	 hotel fine . nice Hilton ' ve ever ? . 10 would rate 6.5 . room clean , decent sized , wall thin , airconditioning work well sleep like log . stay hotel walk warf . simply put . look glamerous hotel go someplace else . plus though breakfast average well . perfect , would first choice San Francisco would probably return . 
 Nov 1 2009 	 need re - decoration update 	 2 night stay.room hot - hotel noise thin wall - safe need carry key ( electronic ) - wifi room ( chargeable ) free lobby - room need update ( mould bathroom ) - something working ( bathroom door not lock ) - good location + 
 Oct 8 2009 	 Nice Location .. nice room .. thin wall . 	 location hotel great . lot see short taxi ride see San Francisco Giants ! hotel staff friendly breakfast buffet nice morning . big problem noise ... people we not even noisy ! wall ceiling & quot ; thin & quot ; . could hear every word anyone say next door we .. much hotel stay . could risky hotel stay want quiet night , fortunately we neighbor turn tv midnight night . 
 Oct 8 2009 	 comfortable hotel convenient location 	 hotel seem good value San Francisco . comfortable , conveniently locate near fisherman 's wharf , terminu cable car line . staff friendly , receive great Chinatown restaurant recommendation concierge . one complaint electronic door lock finicky . even replace first pair card key , could open door . maintenance person quickly arrive look lock , course work without issue . get use swipe card dozen time open door . otherwise , complaint pay high - speed internet room , typical high end hotel , even though be generally free low end Hilton hotel family . parking hotel garage quite expensive , even hotel discount . might look hard long term parking alternative area , since not touch car three day . San Francisco great town visit , preferred location financial district busy locale ' ve stay . 
 Oct 7 2009 	 can not go wrong Hilton ... 	 spend two night Hilton Fisherman 's Wharf timeshare promotion . ( Shell vacation , Hilton ) . , accomodation pay mostly timeshare company . hotel clean comfortable . outside room , hear lot traffic noise night . hotel courtyard room would noise , none available check . go , ask courtyard room . 's view hotel three story high , courtyard room well way go . Fisherman 's wharf always treat . Clam Chowder bread bowl Boudin fabulous . Boudin bake excellent sourdough bread , clam chowder wonderful bread . pier 39 tourist trap , worth walk . trip Fisherman 's wharf complete without irish coffee Buena Vista . say invent Irish Coffee restaurant . be lay back place community table . , be irish coffee , sit bar . bartender year . feel warm coffee , take cable car ( outside restaurant ) Union Square . would stay hotel . 
 Sep 27 2009 	 convenient location nice room friendly staff pricey . 	 visit San Francisco sister brother - in - law ( first visit ) Hilton Honors reward point , opt stay Hilton Fisherman 's Wharf . pay room . the location within walk distance Fisherman 's Wharf attraction , well f - line MUNI street car Powell - Mason Hyde - Powell cable car . make get attraction city easy . ( opt use public transportation rather rent car pay $ 36 / night parking fee hotel . ) room well - appoint date . bit surprise annoyed , however , thin wall ability hear activity within adjacent room footstep floor . breakfast include price room , pay $ 14.95 continental breakfast . sister gold level member Hilton Honors program receive voucher breakfast . ' ve eat equal well quality continental breakfast less hotel chain free . two thing impress positively friendliness staff concern security . without exception , every staff member -- whether maintenance man walk hallway , housekeeping , personnel lobby -- greet friendly good morning good afternoon . when return hotel midday , housekeeping staff member make sister 's room , let we enter , ask key test door ensure , fact , occupant room . we stay 9/19 - 9/23 . room rate $ 239 per night . I would recommend hotel convenient location major attraction transportation , friendly security conscious staff , think could find well value hotel nearby . 
 Sep 19 2009 	 bad hotel 	 first impression positive - staff front desk pleasant point main attraction map give . king size bed give large room 2 double bed city view ( not expect excellent view since 3 floor ) - downside walk length building get quite ' hike' . the room pretty standard - comfortable bed , reasonably sized bathroom etc . 2 feature not quite like - fact mini bar safe metal box key rather electronic one ( annoying carry large key around every day top everything else ) . also internet cost almost $ 10 24 hour cheap . location - wise pretty good - close cable car turntable final stop streetcar run Fisherman 's Wharf Castro . take 5 min walk Pier 39.overall , nothing special reasonable hotel . 
 Sep 6 2009 	 comfortable convenient location take ear plug ! 	 Husband stay 3 night . lovely comfortable room , tiny bathroom , courtyard view rare thing actually open window room . lift slow . check staff ok . concierge think short snappy us order shuttle airport monosyllabic . kind person expect concierge . breakfast fine . nothing special , industrial type orange juice , usual bread , fruit etc . coffee fine american standard . however service poor especially sunday morning restaurant pack . continue poor Monday Tuesday restaurant much quieter . gym small clean . big downside fact actually hear people room next sneeze well noise bathroom ( flush toilet shower ! ) . plus side , convenient fisherman 's wharf area ( obviously ! ) , far trolley car public transport . 
 Aug 23 2009 	 Exceeded Expectations 	 stay Sun / Mon nite part big anniversary trip . although Pricelined , trade room surprise we bubbly ! clean , convenient touring , helpful friendly staff . parking expensive , Wharf , surprising . would stay recommend ! 
 Aug 20 2009 	 ideal location Pier 39 Fishermans Wharf 	 stay 3 night . hotel ideally locate Fisherman 's Wharf Piers 39 . 2 block walk waterfront . 1 block 's walk get city tour bus . concierge knowledgable helpful . Little Italy Chinatown also within walking distance . room nice clean find comfortable . breakfast hotel also order room service dinner one night . food good . would not suggest bring car . not need one San Francisco anyway hotel charge $ 36 night car parking due limited number space available . 
 Aug 19 2009 	 Decent hotel small room 	 stay 4 night Hilton ok overall - clean , quiet , good location . however , book room 4 bed breakfast deal . room small 4 we - basically two double bed take space . hotel certainly not full , surprised cram we room , although technically speak , reseve . also , special include breakfast 2 people - well 20 $ per person breakfast - good , good , be bit pricey ! fairness , get pay , can not really compare hotel area , feel bit overpriced . 
 Aug 6 2009 	 need renovation 	 say , hilton hotel need big renovation . good location , good service , room sad hilton name . but yeah , bad . 
 Aug 1 2009 	 Priceline Deal 	 get Hilton $ 100.00 / night Priceline one day prior arrival . arrive around 6 pm rather long walk ( carry luggage ) Embarcadero BART station . lady reception hear , say would check kind room could offer we . able choose street courtyard room . gladly take courtyard room . room spacious , bathroom clean bed comfortable , be matter we . 's business center use free charge check - in flight . 's close tourist spot well Cable Cars & amp ; F - Line . 
 Jul 25 2009 	 old hotel problem -- - great location ! 	 hotel clearly problem . room really clean well turn light room change clothe wall soo0 thin one see trough . not go restaurant , 's problem great choice around hotel . would go back except great location . 
 Jul 9 2009 	 great tourist 	 nice place , clean , easy walk Pier 33/39 , staff map restaurant list area ready key , helpful . walk pier 33 , 8:45 , see homeless sleeping sidewalk , stop ask money . lot people around . room large , soft bed , nice linen / towel . coffee pot , ice bucket , [ vend ice every floor ] . grocery , drug store gas 2 block . hotel , area , 3 - 6 floor , real height see bay surrounding . view old San Francisco . hotel restaurant open breakfast , bar appetizer . park $ $ . 
 Jun 12 2009 	 great tourist ! 	 first trip San Francisco make perfect location hotel meet need . 's walk distance wharf site - without mired . room clean spacious , staff pleasant generally helpful . the problem encounter parking charge bill not belong . issue resolve , however , satisfaction . highly recommend hotel - locate Wharf area , surround restaurant shop cater mostly tourist crowd . 
