great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 Nov 22 2009 	 Location location location 	 stay family day October . conveniently locate within walk distance tourist attraction ( transport get ) . hop on - hop bus tour minute away multitude seafood restaurant . hotel room clean , bed comfortable front desk staff friendly . free internet access handy catch email etc . enjoy stay end sour note . last morning whilst enjoy complimentary breakfast , family single room full people ask guest , room number , name ( wait question social security number ) . & quot ; gentleman & quot ; ask not particularly polite , leave distinct impression not welcome . breakfast area locate near reception , hotel either insist guest leave room key table eat come well system give pay guest third degree whilst eat . base experience , although plan revisit San Francisco , will not ever return hotel . 
 Nov 8 2009 	 Holiday Inn Express San Francisco - Fisherman 's Wharf 	 Hotel great location , staff friendly helpful . room clean meet requirement . 
 Nov 1 2009 	 Neat hotel te center turist attraction 	 want close trist attraction hotel nice place stay . close cable car station , bus station F - tram loop . nic service internet access . highly recommend . 
 Oct 30 2009 	 nice convenient hotel 	 stay Holiday Inn Fisherman Wharf September 2009 disappointed . location perfect , 5 min walk attraction wharf . well locate well cable car bus . lot place breakfast outside hotel . check efficient . stay annex build 2 min away main one , reception area not go back main building need ( check instance ) . room gigantic big double bed . bathroom nice clean . can not fault hotel would stay go back SF . 
 Oct 28 2009 	 definitely recommend - great location spacious room 	 choose hotel base recommendation other tripadvisor within budget book hotel holiday inn express website . really enjoy stay - 's well locate - 5 minute walk powell - mason cable car turnaround go union square . be also 5 minute walk powell - hyde cable car turnaround go past lombard street ( crookedest street ) . hotel literally round corner ' route f ' trolley car go embarcadero near pier 39 also pier 33 ( catch ferry alcatraz ) . get all - day muni pass give unlimited journey day cable car trolley bus street bus - ideal wander around see everything . get 1 day , 3 day 5 day pass . anyway , digress - back hotel .... hotel spacious large reception area - 's modern inside good shape . check - in quick staff helpful . we take lift floor . room large , spotless quiet . plenty wardrobe space tv . the bed soooo comfy . bathroom decent size spotless great shower - hotel provide soap shampoo . breakfast include room rate . provide wonderful apple muffin ever taste . also available part continental breakfast menu scramble egg , egg omelette , cinnamon bun , bread /toast , beef patty ( thin burger ) , banana , yoghurt selection cereal . plus usual selection tea , coffee fruit juice . breakfast self service could go back many time want , careful go breakfast 8.30am tend run thing , especially beloved cinnamon muffin ! inside main entrance 2 pc free internet access also printer . also separate touchscreen online check - in airline , attach printer print boarding card . extremely handy . , be great hotel definitely recommend would not hesitate return . 
 Oct 27 2009 	 Excellent hotel locationroom space value money 	 hotel extremley comfortable , great bed lot space ( family room ) within walk distance everything wish San Francisco , location superb . the staff friendly accomadating helpfull . I would normally judge hotel price cost v ery low superb place stay . highly recomend anyone 
 Oct 25 2009 	 particularly impressed service 	 stay hotel middle trip around US , pay high room rate ( $ 152 per night ) entire trip . ' ve stay several Holiday Inn Express hotel , good idea expect , hotel not terrible , not great , either . the room ok , one tv channel not work . report twice ( first time nothing do ) tell hotel not carry channel . despite PBS , list channel . Breakfast ok , always busy . not really eat egg vegetarian , hot breakfast look really unpleasant , especially egg . however , really annoy discovered leave hotel have lose necklace . rang hotel , describe necklace ask let know find . ' ve hear anything since . the hotel 's clean , housekeep efficient room fine , will not stay service . 
 Oct 24 2009 	 would not stay place 	 go long weekend June ( 25th 28th , 2009 ) shopping sightseeing friend . three woman share room . staff front desk housekeep polite pleasant - really make we feel welcome . clean room . location fabulous - 1 5 block pier Fisherman 's Wharf , cable car ( Powell - Mason Powell - Hyde ) Ghiradelli Square . take cable car ( either one ) Union Square shopping . take Powell - Hyde cable car Lombard Street Chinatown . good breakfast - nice selection food . drawback hotel room internet wireless . 
 Oct 20 2009 	 Holiday Inn Express Wharf 	 travel San Francisco , great place stay . clean , centrally locate breakfast morning . eat drank bar across street good well . parking expensive hotel , check parking garage area , find one $ 20 day . 
 Oct 20 2009 	 Great Location Amenities lacking 	 stay two night think great location . town music festival need able drive & amp ; Park day . also go friend Friday night North Beach 10 minute walk hotel . big complaint key card . horrible time use key card annex hotel elevator ( one Denny 's ) room . also see guest issue . key card replace twice still issue . stay long two night would big issue would request room main hotel . my problem hotel noisy . wake early morning people build . wall seem paper thin . could hear everything . would stay Fisherman 's Wharf , probably would try different hotel . 
 Oct 18 2009 	 Perfect place stay San Francisco 	 Location near everything - include cable car get anywhere city . room spotless . staff helpful . 5 night two separate room . perfect stay . 
 Oct 17 2009 	 great location - good breakfast 	 place excellent location , walk everything . family 5 large suite , suit we well . arrive early 10 .30 - problem room ready & amp ; speedy check . breakfast good & amp ; plentiful selection . we ground floor room , convenient . car - could walk use public transport easily . we hire bicycle around corner . it little expected pay , good value family 5 compare other research . 
 Oct 13 2009 	 amazing hotel great honeymoon 	 spend 6 night honeymoon . room small side , view back alley , care , 's honeymoon , not exactly worried view . bed comfortable , room impossibly clean . staff helpful friendly , also answer question make recs . also , breakfast good , always crowded . great location , bus stop close , thing walk distance . 
 Oct 13 2009 	 BED BUGS 	 hotel BED BUGS , feel something bit night . wake morning bites arm upper body . can not stop inch , huge bite body . please check mattress BED bug stain sleep . hope management something . 
 Oct 12 2009 	 Superb location modern clean ... breakfast include ! 10/10 ! 	 whenever land SFO , always spend first night . long flight UK , important clean , modern hotel walk multitude activity - eat ' Rain Forest Cafe ' ' Hard Rock Cafe ' ( buy tee shirt course ! ) , see ( smell ! ) sealion ( seal ? - sorry do not know ! ! ) . also short hop cable car walk south ' Union Square ' bit retail therapy might call .. find everything Levis store ' cheesecake factory ' ( top Macey ! ) .unfortunately pay parking hotel , parking problem SF major city , cheap either .. , , be major city splash location , location , location ! ! super trip ! 
 Oct 10 2009 	 good hotel great location 	 stay 4 night . room clean , staff helpful friendly . free breakfast help especially discount room rate ( reserve / pay early - nonrefundable ) .if like walk little , 's block wharf , block way Lombard St. little mile Chinatown . great stay complaint anything . 
 oct 9 2009 	 EXCELLENT location 	 stay four night wonderful time . room ready clean upon arrival check fast easy . breakfast decent free . egg , toast , bacon sausage , roll etc . get busy large seating area always find table . location excellent . ten fifteen minute walk depend pace Hyde Street Pier , Pier 39 wharf area . walk distance alcatrez pier well . also close Cable car drop off pick up sightseeing tour . staff friendly helpful approached . would hesitate stay . 
 oct 8 2009 	 Excellent location 	 Excellent location . helpful Staff . clean room . satisfy breakfast . 
 oct 8 2009 	 great stay ! 	 husband stay hotel mini honeymoon . staff friendly location great . able check 9 hotel will not let check 3 4 pm . love internet free ! 
 Oct 8 2009 	 clean quiet great location 	 can not find well hotel price wharf . room clean quiet ( unlike Hilton Wharf boss stay , complain wall paper thin ) . great breakfast , free wi - fi room , nice size room , comfortable bed , great location . staff friendly . absolutely complaint problem . would stay . 
 oct 8 2009 	 amazing location great price . 	 hotel amazing location , short walk waterfront , Ghirardelli Square numerous attraction . make area around Pier39 , streetcar take up / down Embermercado ( include BART station ) . choose take taxi SFO hotel instead BART ( due luggage , etc . ) everything else via public transit . back hotel , room clean well maintain . gripe lack mini - fridge . personally prefer keep bottled water room . consider 's much see , would definitely recommend stay hotel use money save visit attraction . staff awesome let we store bag locked office arrive early ( 8 am ) . 
 Sep 27 2009 	 Nice Hotel Good Location 	 get Kingbed room # 458 ( top floor ) . quiet comfortable . locate 2 block wharf . would definitely stay . Breakfast standard Holiday Inn Expresss fare . knuckle across street good menu reasonable price . franciscan ( seafood pasta ) , Bubba Gumps ( shrimp ) Hard Rock Pier 39 10 minute walk . Cannery Ghiardelli 's 5 minute west . street car bus either right front hotel 1 block north . get MUNI pass 1 block east south Mason Bay cable car , streetcar bus . hotel perfect location sightseeing . fog make area cool elsewhere city - bring light sweater wind jacket . 15 minute walk Alcatraz Ferry - book advance take early bird tour . street car take downtown 10 minute . exit Powell Street ( Union Square ) Powell / Mason cable car back . large shopping mall across stop wander store square . Sausolito across Bay - warm sunny . nice boutique style shop . took ferry back Ferry Terminal make good photo op . 
 Sep 14 2009 	 Good Value Breakfast include 	 choose hotel basically free breakfast , location , cost . breakfast buffet right , wide variety - egg , sausage , bacon , cold cereal , yogurt , banana , bagel , toast , cinnamon roll ( cold one morning ... minus point ) , etc . get really , really busy later morning . basically get pay , want stay budget purchase breakfast every morning . Mission Accomplished . the location hotel good first trip SF . close f - line transit stop cable car turnaround , walk distance Pier 39 lot shopping area restaurant . feel safe walk back , even later evening ... never really past midnight . stay aware surrounding , give . we little interaction staff aside check - in . request towel couple time enter clean room daily . towel deliver timely manner . our room basically view , look closed , tiny courtyard . nice quiet clean . really small , look exit map appear oddly place shape room . sleep 's . serve 's purpose . 
 Sep 11 2009 	 right Fisherman 's Wharf 	 wife UK travel around usa.this hotel right - convenient location Fisherman 's Wharf local sight , cable car stop , tour walk . nice room , reasonable buffet breakfast include , plent nearby . 
 Sep 10 2009 	 Great Hotel - would stay 	 pleased accommodation hotel room quiet , clean spacious . king bed comfortable . buffet breakfast excellent plenty choice food . location great well within walk distance supermarket , various form transport cable car etc wharf area include Pier 39 . would certainly stay . 
 Sep 1 2009 	 great location good price 	 stay couple night end July . great location want Fisherman 's wharf - near Pier 39 , cablecar turnaround , etcgreat room price - next much expensive hotel do not pay location ! downer breakfast . room small ton people stay . one Toaster . table chair . room location great 
 Aug 28 2009 	 convenient many attraction . 	 5 hour San Francisco , ideal place we close several attraction . Fisherman 's wharf 2 block away , Pier 39 . shop restaurant line street around area . even Burger King , tight budget . trolley stop close , several open air tour bus stop nearby . open air bus well way get overview city tight schedule . hop - off get back ready proceed next attraction . lot upscale shopping , i.e . Neiman Marcus , Macy 's , etc . also Mom pop shop . drawback HIE suite room . room large enough , however , use blow mattress sleep bag . the breakfast basic , stock well bagel yogart . the architecture beautiful . hallway clean bright natural sunlight stream in . I would recommend pack hoodie jacket . yes , sound strange need , even middle summer . valet parking hotel , pay parking . 
 Aug 27 2009 	 Perfect Hotel 	 enjoy six night hotel - great room , great complimentary breakfast reasonable price tourist season . Front desk staff Valet staff could answer question provide good solid suggestion information . location perfect - two block Fishermans Wharf , two block Cable Cars take many tourist locale . suggestion upon complete hotel survey , addition small giftshop , snack , paper , toiletry could purchase clean window ! highly recommend ! ! 
 Aug 24 2009 	 good location 	 member family stay 2 night whilst way Hawaii . the hotel good . excellent location Pier area . room spacious clean , good bathroom . the staff helpful breakfast excellent . varied plentiful . I would stay . 
 Aug 21 2009 	 would not stay 	 hotel fine , breakfast fine . nothing special . breakfast chaotic crowd people try get fill bad egg . neighborhood feel sketchy throng homeless cheesy store line street . walk four block radius trying find decent restaurant avail . really want stay area , stay close embarcadaro near aquarium , Hard Rock Market Street . 
 Aug 20 2009 	 expensive Breakfast 	 want pricey breakfast place come . breakfast 3 $ 60 . son water cereal , wife Tea , fruit Juice , cereal waffle coffee , fruit Juice , Cereal Yoghurt . Lesson learn suppose , right across street 10meters away lovely small cafe breakfast 3 $ 26.valet parking $ 40 per day , expect San Francisco . pool busy enough sun lounger . hotel central Wharf activity , Pier 39 10 minute walk . Hotel room clean fairly spacious , free internet access . 
 Aug 14 2009 	 great location - fantasic breakfast ! 	 right near eveything could want . bus 30 Explainitorum right outide . cable car one short block - give access experience ride ( two ) city centre . pier 39 within 15 minute stroll . location one reason book hotel . breakfast expensive worth every ' penny ' great start busy day . word warn weather - changable - need four layer still cold , able sunbathe within 10 minute . 
 Aug 14 2009 	 Pretty Nice Holiday Inn ! 	 close Wharf . like run , location also accessible nice running area city . room small side reasonable . come NYC , actually seem spacious NYC hotel room ! Hotel well maintain . complimentary breakfast basic hot food , good enough . work room quite sad pathetic . pool . WiFi work flawlessly . 
 Aug 12 2009 	 choose well hotel 	 arrive 5 am tired bit daunt wait 3 pm check however staff fantastic find we room straight away . also encourage breakfast morning well obviously happy ! room great want proximity Fishermans Warf etc ideal . really recommend hotel free breakfast great way start day . 
 Aug 11 2009 	 Excellent location friendly staff . 	 arrival greet extremely friendly staff frontdesk . arrive 2.30pm realise check - in 3 pm - however give room immediately . room large clean . complimentary breakfast bonus busy every morning find difficult get table . hotel one block away Fisherman 's Wharf short walk Pier 39 . would recommend taxi Union Square cost approx . $ 8 way . excellent stay . 
 Aug 7 2009 	 good 	 first time san francisco do not really expect . long flight arrive hotel warm welcome staff bring luggage we bring room . room clean bed comfy ( good get jet lag ) . breakfast good 7:15 morning get 8 nothing leave . apart family please service feel hotel . 
 Aug 6 2009 	 clean safe excellent location . 	 stay June 18th - 22nd , 2009 . weather great time . read review prior book arrive know expect disappointed . king room clean comfortable , little small side , go rarely room not matter . review view cement courtyard . breakfast adequate hate standing line toast ! ! ! ! People tend towards rudeness hungry ! ! ! ! short walk Fishermans Wharf lot see . check & quot ; free & quot ; museum old arcade game ... awesome ! walk alot night feel safe area . * * Side Note * * watching & quot ; little People Big World & quot ; TLC day . Amy go San Francisco sister stay Hyatt across street . one scene come front door show Holiday Inn Express perfectly . 
 Aug 5 2009 	 comfortable stay 	 decent size hotel , locate right middle Fisherman 's Wharf . great location ! lot bus tour , bike tour within 2 block walk . plenty food sight , within walking distance . recommend bring car , walk everywhere park pricey , $ 41 day hotel . we little disappointed check greet Priority club member . usually check greet give water cookie . end world , little touch receive every Holiday Inn Express , like . hotel staff friendly courteous . the room little small clean . view , unless like look concrete wall people room . bed pillow comfortable . bathroom clean . breakfast good . Eggs , bacon , cereal , bagel , toast , ect . great cinnamon bun luke warm well . stack bun top not refill often never chance heat . still good definitely fresh warm ! get really busy ! noticed stop put fresh bun around 8:30 . stop put fresh food selection go fast ! would suggest get 8:30 want good hearty breakfast . provide decent size seat area always full , search seat get food another family member hold it . do use fitness room look nice big . always use computer would rather bring laptop . lobby large . overall , average stay . think kind pricey size quality room . , nothing fancy special , comfortable stay . 
