fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Nov 24 2009 	 great stay 	 spent week Carlton November . first time San Francisco little apprehensive previous guest concern hotel 's location fringe Tenderloin , not issue stay . Carlton offer great value good location , staff really friendly love room . 
 Nov 20 2009 	 Good Location 	 stay hotel start end tour West Coast USA . reception area pleasant complementary wine reception early evening welcome get know other stay hotel . room good size clean . use restaurant cup coffee find staff friendly helpful . hotel locate ten minute walk Union Square although immediate area around hotel well . 
 Nov 15 2009 	 top quality great location incredible value 	 add positive review Hotel Carlton . experience excellent . front desk super helpful friendly , helping get we check early even though not request show we take train huge embarrassing Bears game town . absolutely problem room & quot ; thin wall & quot ; reviewer complain . bed bed clean comfortable bathroom fixture new ( ok , tub could use replacement ) . quality furnishing totally blow away bargain price pay room . I guess be city could think surround neighborhood sketchy . not think . 's urban . walk back home every night midnight always lot activity people . love right middle everything - short walk Union Square , Chinatown , lot bar resto . glad take chance stay Hotel Carlton . would definitely stay another Joie de Vivre hotel . 
 Nov 12 2009 	 Carlton Hotel good stay SF price location ! Dyan Vancouver B.C . Canada 	 like several people we perfect stay Carlton start finish . 5 night Nov. 4th 9th . staff friendly , helpful like other mention . arrive work friend also book room time hall # 610 # 608 . work well plan day together coffee morning etc . none we find wall paper thin like say . view not great not care . could hear door hallway water run shower neither ordinary . could hear siren time time nearby fire station hospital not bad . sleep earplug time anyways ' m light sleeper . room small little writing desk biggish closet hotel personal safe closet , iron ironing board . bed sooo comfortable ! room keep clean . room also perfect temperature , hot cold . nice Moroccan , modern decor filter water lobby want instead tap water . water jug fill bring back room . coffee maker room complimentary coffee . wish also tea bag , be maybe something could add . would grab coffee yummy almond croissant little place 916 Sutter call Dolce Gelato , apparently good Gelato world accord other never try . Carlton green hotel sheet towel do everyday , want save water energy do daily little sign put clean staff tell would like . also recycle bin room great paper bottle etc . there 2 computer Lobby area guest . get 20 minute free per day super ! run Visa slot side computer timer come screen 20 min . end 20 min . note come screen ask want purchase time terminate , always terminate charge Visa . 20 min . great check mail etc . free wine taste evening 5:30 6:00pm awesome . refill wine well want glass problem . 's nice mingle guest 's popular ! ! front desk also open couple cork bottle wine we buy store corkscrew , ask want wine bottle take room . think location great , lot bus go nearby far Market St. Union square . good shop restaurant nearby . know rough spot Tenderloin area think every city , problem . finally must say go SAHA Restaurant recommend other disappoint . food amazing ! dish good , Vegan option friend Vegan . go twice , second time couple appy 's desert . try Chocopear ( Chocolate & amp ; Pear mousse poached pear ) , Slap ya mama ( roasted fruit , date & amp ; almond marzipan , chocolate wrap phyllo baked ) , Warm Chocolate Cake ( Served gelato , 's good chocolate cake ever ! ! ! , Knaffe ( Classic Middle Eastern dessert consist layer arabic cheese & amp ; shred phyllo syrup ) mouth watering thinking .. can not rave enough dish include main course . also breakfast menu Vegan option look good . restaurant always quite busy . huge portion reasonable amount price fantasic flavor sensation . would say & quot ; stay & quot ; next time San Francisco 's FABULOUS Hotel ! Dyan , Vancouver , B.C . Canada 
 Nov 11 2009 	 Jewel Hotel - Green 	 ' ve stay plenty San Francisco hotel , fancy ( various company nickel ) fleabag . Hotel Carlton definitely nice . moment check Theo hand we map copy Bay Guardian guest enjoy free wine reception lobby , know hit something special . end terrific three - day stay Carlton . room , decorate lovely middle Eastern furnishing tasteful global art , good - sized ( large enough we , anyway ) huge walk - in closet safe valuable . king - size bed extremely comfortable : backache , even three night ! location great , 10 - minute walk Union Square affordable cab ride part city . in - hotel restaurant , Saha , give we two foodie friend memorable meal surprising price point . hotel also environmentally aware , important we . complaint person room next door whined front desk tv loud ( normal volume ) 4 p.m. ! however , desk staff apologetic offer give we another room , want . fortunately , overly sensitive next - door neighbour check early next morning , stayed put . think situation handle well . upshot : unless idea nice hotel Westin Hilton , enjoy Hotel Carlton . 
 Nov 7 2009 	 quite reasonable hotel expensive city 	 variability review hotel show people 's expectation vary . find hotel excellent choice consider difficulty find reasonably price hotel within walk distance Union Square . yes , 's old building , hear street noise , neighborhood not Nob Hill ( although be nearby ) . 's good price ; be well care - for ; staff member helpful ; restaurant good ; 's reasonable walk sort great place ( many straight uphill , course ) . would probably return hotel , suggest reasonable expectation enjoy stay . 
 Nov 7 2009 	 room good ; staff great 	 admit husband check room bit take aback . get corner room good size walk closet plus . wall paper thin , hear every conversation bad - dog bark . beware pet friendly hotel . the room really date decor kind bizarre . bathroom date well . everything seem fairly clean honest thought move another hotel next day . but ... staff friendliest meet three week stay America ( 7 hotel ) - welcome right start , good sense humor genuine sincere attitude service guest . theo , work front desk , absolute delight everytime deal ( even phone ) . give great recommendation burger ( Sliders ) . skeptical first right . even maid write thank note tip give . 's first time I . the staff main reason hotel grow we ... will not come back 's prefer different type hotel ( pet friendly ) . hotel proud staff . 
 Nov 6 2009 	 Friendly Funky Fun 	 stay Hotel Carlton spouse attend convention nearby Union Square . find hotel true delight . room clean , modern stylish . impressed environmental emphasis include filter water available floor avoid buy bottled water . also , great free internet service every room . front desk staff charming , helpful , great sense humor , go way create friendly hospitable atmosphere . neighborhood , exactly Nob Hill , hand , dangerous hotel adjacent good thai vietnamese food ' ve eat . , recommendation Theo front desk set we right direction truly terrific meal . want staid stodgy , perhaps hotel will not thing , clean , modern , fun place lot hospitality charm , can not go wrong Hotel Carlton . 
 Nov 5 2009 	 average 	 average stay , parking cost $ 20 across street , average neighborhood , room nice clean , AC , heat . Old well keep build . wine reception evening , seat take fast 
 Nov 1 2009 	 ok Hotel . 	 room ok , bathroom bite shabby there s alot noise outside ( fire engine ) .Not really many amenity hotel - lobby area nice . 
