location 	 hotel almost everything would want semi - budget boutique hotel - fantastic location , great room reasonable cost . thing miss - computer internet access ( though free wifi ) , decent breakast , minor quibble . water pressure not great noisy - not stay be light sleeper ! staff not especially friendly aside , price , be great place day san fran . 
 Oct 27 2009 	 Noisiest hotel ever ! 	 pick hotel trepidation due past review since usual hotel ( Hotel Triton ) book . also own art artist whose room stayed decide give try . mistake ! art cool noise intollerable . city trash truck come 2am , 2:30 3:00 empty dumpster behind hotel . bar alley behind hotel noisey every ten minute dump trash can full beer bottle dumpster full bottle . get probably 2 - 3 hour sleep get watch vagrant pee alley . promptly check go Orchard hotel street 100 time well . say , realize hotel control amount noise alley way , however , need responsible comfort people room . hence , room A / c even fan . room 10 x 10 foot , fan would make huge difference comfort . also , go open hotel , little sound - proofing would go long way . 
 Oct 10 2009 	 great location interesting Art . 	 ok , room smallish aircon , lift ' unusual ' , breakfast room table hear other , room , street noise . hey center San Francisco , close almost everywhere want visit , easy access transport system , hundred eat place road sleep individually decorate room . get second choice room think lovely . think old building well renovate - word original feature feel save far possible destroy make room little big . center San Francisco , think price pretty reasonable , especially consider pay nearly much one street away breakfast . not want breakfast knee ( table ) use one tray provide take back room . much romantic anyway ! want ' Travel Lodge ' suggest go one . want something different , hope also enjoy hotel . 
 Oct 7 2009 	 feast eye 	 although room fairly small , ever room different , owe fact every space different artist . one may room full anime character one trip , faux graffitti room next , follow urban yet zen room trip . worth penny close lot thing ... plus , 's City ! ! ! ( -- ) 
 Oct 6 2009 	 well 	 friend stay Hotel Des Artes September 2009 . room suite 2 queen bed quite spacious . however , room # 200 second floor , step away front desk , elevator staircase constantly hear people check people get elevator . bad part stay overnight front desk person watch several movie Apple computer , volume loud hear room . ask turn could still hear . person work hospitality industry , know well put headset earbud . front desk people day helpful ask restaurant suggestion direction surly . hotel locate across street Chinatown , block Nob Hill Union Square many choice San Francisco , well . 
 oct 1 2009 	 Complete Joke 	 well firstly , & quot ; hotel & quot ; get away call hotel , pok place earth , ok ok book place price , also fact website make assume & quot ; hotel & quot ; fact hostel . the decor ( sorry art , ha ha ! ) room gloomy , depress certainly make want get flip room needless say stay 2 night enough alcohol consume drag courage go bed kip . the breakfast invert comma another joke , feel like mental asylum , thing table ( let sit around extremely uncomfortable position physically mentally eat & quot ; breakfast & quot ; table complete silence ) oh god please ! staff , really idea start , arrive oldish dude counter , complete ignoramus , feel work punishment , absolute dog . would recommend place backpacker defintely strange awful experience . and add , know get pay , that s fine website mislead ( suppose nothing know point ) ridiculous 
 Sep 29 2009 	 excellent location great price extremely unique place stay - lovely touch . 	 find Hotel des Arts Lonely Planet & quot ; pick & quot ; hotel San Francisco - room available competitive price . location great Union Square Chinatown close transport tour . I personally love nice touch reception uniqueness room . get last minute service friendly - breakfast minimalist , fine I . multiple wireless internet account great connection . overall good stay - would recommend friend would definitely stay . 
 Sep 23 2009 	 tiny funky great small child 	 hotel stone 's throw Chinatown Gates downtown shopping . room poky comfortable - storage cupboard go long way make combination possible . bathroom , however , attempt quaint ( clawfoot bath ) make small space excruciatingly small . likewise , elevator almost impossible navigate large baggage . but old , refurbish cute hotel , course room not go large owner stay true original restoration . 's great option travel small child . sure charm old plumbing - toilet get clog average amount toilet paper ! paint room cool interesting get decide top 3 , hotel good accommodate choice . breakfast nice not want linger grab quick bite eat hit tourist wheel . overall funky , small affordable choice great location . 
 Sep 22 2009 	 great location friendly staff 	 location hotel could not central , right opposite Chinatown gate & amp ; 5 min walk Market St catch bus / tram everywhere . hotel secure , safe & amp ; quirky , although artwork room ( 204 ) little scary & amp ; could frighten small child ! draw back hotel room tiny , share bathroom , although say always free need use & amp ; always find clean state . 's noise ; room next ' ice ' room could hear people help ice night , & amp ; could hear people TV 's & amp ; conversation nearby room . 's ok remember earplug ! gripe tiny breakfast room literally 10 stool , way enough every guest ! sometimes would look b / fast room & amp ; decide be pack & amp ; awkward & amp ; come back later . see people take breakfast room maybe be option too . Overall be cool little hotel & amp ; good value expensive city . 
 Sep 18 2009 	 beautiful room great location ! 	 stay 6 night room nr 307 ( select ) . décor room , corridor reception amazing ! breakfast first little disappointing consider breakfast much big classy hotel ( Westin St. Francis Union Square stay later ) ok . thing would suggest receptionist recommend guest make noise hotel old listen tv ' voice . location great definitely would return ! 
 Sep 14 2009 	 horrible experience ! 	 would recommend hotel . first front desk staff ( namely Celia ) unhelpful , unwelcome uninterested . customer service subpar well . second room cramp bathroom far convenient . third ' light continental breakfast ' laugh . absolutely privacy room , hear everything hall room . hotel air conditioning recommend open window ... courtyard every hotel patron window open hear tv 's , conversation , etc . hotel horrible experience check immediately go another hotel . 
